iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2014_frequency,year_2018_frequency
dow,Latn,dow_Latn,Doyayo, ,Zs,SPACE,1439,2,"2014,2018",985,454
dow,Latn,dow_Latn,Doyayo,a,Ll,LATIN SMALL LETTER A,829,2,"2014,2018",521,308
dow,Latn,dow_Latn,Doyayo,ɔ,Ll,LATIN SMALL LETTER OPEN O,498,2,"2014,2018",289,209
dow,Latn,dow_Latn,Doyayo,i,Ll,LATIN SMALL LETTER I,415,2,"2014,2018",303,112
dow,Latn,dow_Latn,Doyayo,ɛ,Ll,LATIN SMALL LETTER OPEN E,357,2,"2014,2018",288,69
dow,Latn,dow_Latn,Doyayo,g,Ll,LATIN SMALL LETTER G,333,2,"2014,2018",260,73
dow,Latn,dow_Latn,Doyayo,b,Ll,LATIN SMALL LETTER B,220,2,"2014,2018",153,67
dow,Latn,dow_Latn,Doyayo,u,Ll,LATIN SMALL LETTER U,207,2,"2014,2018",108,99
dow,Latn,dow_Latn,Doyayo,n,Ll,LATIN SMALL LETTER N,206,2,"2014,2018",151,55
dow,Latn,dow_Latn,Doyayo,o,Ll,LATIN SMALL LETTER O,185,2,"2014,2018",142,43
dow,Latn,dow_Latn,Doyayo,m,Ll,LATIN SMALL LETTER M,185,2,"2014,2018",95,90
dow,Latn,dow_Latn,Doyayo,e,Ll,LATIN SMALL LETTER E,179,2,"2014,2018",131,48
dow,Latn,dow_Latn,Doyayo,l,Ll,LATIN SMALL LETTER L,171,2,"2014,2018",119,52
dow,Latn,dow_Latn,Doyayo,h,Ll,LATIN SMALL LETTER H,165,2,"2014,2018",115,50
dow,Latn,dow_Latn,Doyayo,r,Ll,LATIN SMALL LETTER R,159,2,"2014,2018",99,60
dow,Latn,dow_Latn,Doyayo,d,Ll,LATIN SMALL LETTER D,157,2,"2014,2018",107,50
dow,Latn,dow_Latn,Doyayo,y,Ll,LATIN SMALL LETTER Y,156,2,"2014,2018",96,60
dow,Latn,dow_Latn,Doyayo,s,Ll,LATIN SMALL LETTER S,142,2,"2014,2018",78,64
dow,Latn,dow_Latn,Doyayo,t,Ll,LATIN SMALL LETTER T,139,2,"2014,2018",98,41
dow,Latn,dow_Latn,Doyayo,̧,Mn,COMBINING CEDILLA,137,2,"2014,2018",89,48
dow,Latn,dow_Latn,Doyayo,w,Ll,LATIN SMALL LETTER W,127,2,"2014,2018",87,40
dow,Latn,dow_Latn,Doyayo,.,Po,FULL STOP,112,2,"2014,2018",58,54
dow,Latn,dow_Latn,Doyayo,k,Ll,LATIN SMALL LETTER K,97,2,"2014,2018",55,42
dow,Latn,dow_Latn,Doyayo,z,Ll,LATIN SMALL LETTER Z,82,2,"2014,2018",60,22
dow,Latn,dow_Latn,Doyayo,",",Po,COMMA,72,2,"2014,2018",58,14
dow,Latn,dow_Latn,Doyayo,Y,Lu,LATIN CAPITAL LETTER Y,68,2,"2014,2018",41,27
dow,Latn,dow_Latn,Doyayo,B,Lu,LATIN CAPITAL LETTER B,59,2,"2014,2018",44,15
dow,Latn,dow_Latn,Doyayo,ŋ,Ll,LATIN SMALL LETTER ENG,37,2,"2014,2018",18,19
dow,Latn,dow_Latn,Doyayo,A,Lu,LATIN CAPITAL LETTER A,37,2,"2014,2018",9,28
dow,Latn,dow_Latn,Doyayo,1,Nd,DIGIT ONE,33,2,"2014,2018",18,15
dow,Latn,dow_Latn,Doyayo,M,Lu,LATIN CAPITAL LETTER M,29,2,"2014,2018",10,19
dow,Latn,dow_Latn,Doyayo,D,Lu,LATIN CAPITAL LETTER D,27,2,"2014,2018",19,8
dow,Latn,dow_Latn,Doyayo,2,Nd,DIGIT TWO,24,2,"2014,2018",15,9
dow,Latn,dow_Latn,Doyayo,Z,Lu,LATIN CAPITAL LETTER Z,24,2,"2014,2018",9,15
dow,Latn,dow_Latn,Doyayo,f,Ll,LATIN SMALL LETTER F,24,2,"2014,2018",14,10
dow,Latn,dow_Latn,Doyayo,3,Nd,DIGIT THREE,18,2,"2014,2018",15,3
dow,Latn,dow_Latn,Doyayo,4,Nd,DIGIT FOUR,18,2,"2014,2018",15,3
dow,Latn,dow_Latn,Doyayo,H,Lu,LATIN CAPITAL LETTER H,15,2,"2014,2018",10,5
dow,Latn,dow_Latn,Doyayo,?,Po,QUESTION MARK,12,1,2014,12,0
dow,Latn,dow_Latn,Doyayo,N,Lu,LATIN CAPITAL LETTER N,11,2,"2014,2018",9,2
dow,Latn,dow_Latn,Doyayo,:,Po,COLON,11,2,"2014,2018",10,1
dow,Latn,dow_Latn,Doyayo,ɗ,Ll,LATIN SMALL LETTER D WITH HOOK,11,2,"2014,2018",9,2
dow,Latn,dow_Latn,Doyayo,E,Lu,LATIN CAPITAL LETTER E,10,2,"2014,2018",3,7
dow,Latn,dow_Latn,Doyayo,5,Nd,DIGIT FIVE,10,2,"2014,2018",7,3
dow,Latn,dow_Latn,Doyayo,I,Lu,LATIN CAPITAL LETTER I,9,2,"2014,2018",3,6
dow,Latn,dow_Latn,Doyayo,G,Lu,LATIN CAPITAL LETTER G,9,2,"2014,2018",8,1
dow,Latn,dow_Latn,Doyayo,;,Po,SEMICOLON,9,1,2014,9,0
dow,Latn,dow_Latn,Doyayo,W,Lu,LATIN CAPITAL LETTER W,9,2,"2014,2018",7,2
dow,Latn,dow_Latn,Doyayo,S,Lu,LATIN CAPITAL LETTER S,9,2,"2014,2018",3,6
dow,Latn,dow_Latn,Doyayo,6,Nd,DIGIT SIX,7,2,"2014,2018",5,2
