iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2014_frequency,year_2015_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
dwr,Latn,dwr_Latn,Dawro,a,Ll,LATIN SMALL LETTER A,284686,9,"2014,2015,2017,2018,2019,2020,2022,2023,2024",545,3893,41715,104644,57280,8545,20327,34644,13093
dwr,Latn,dwr_Latn,Dawro, ,Zs,SPACE,212284,9,"2014,2015,2017,2018,2019,2020,2022,2023,2024",313,6373,38411,67135,37951,5297,12121,37172,7511
dwr,Latn,dwr_Latn,Dawro,e,Ll,LATIN SMALL LETTER E,161036,9,"2014,2015,2017,2018,2019,2020,2022,2023,2024",344,6366,28686,47539,27105,3603,7642,35185,4566
dwr,Latn,dwr_Latn,Dawro,i,Ll,LATIN SMALL LETTER I,118511,9,"2014,2015,2017,2018,2019,2020,2022,2023,2024",153,3272,17771,38936,22184,3153,7175,21378,4489
dwr,Latn,dwr_Latn,Dawro,n,Ll,LATIN SMALL LETTER N,113280,9,"2014,2015,2017,2018,2019,2020,2022,2023,2024",110,3574,17949,34436,20764,2738,7147,22372,4190
dwr,Latn,dwr_Latn,Dawro,t,Ll,LATIN SMALL LETTER T,99017,9,"2014,2015,2017,2018,2019,2020,2022,2023,2024",87,3766,13869,33878,18891,2355,6554,15742,3875
dwr,Latn,dwr_Latn,Dawro,o,Ll,LATIN SMALL LETTER O,90076,9,"2014,2015,2017,2018,2019,2020,2022,2023,2024",160,2711,17867,25724,16989,1963,5255,16545,2862
dwr,Latn,dwr_Latn,Dawro,s,Ll,LATIN SMALL LETTER S,85611,9,"2014,2015,2017,2018,2019,2020,2022,2023,2024",92,3397,16169,24277,15150,1934,4456,17458,2678
dwr,Latn,dwr_Latn,Dawro,d,Ll,LATIN SMALL LETTER D,77742,9,"2014,2015,2017,2018,2019,2020,2022,2023,2024",170,1903,12572,26355,14904,2177,4303,12782,2576
dwr,Latn,dwr_Latn,Dawro,u,Ll,LATIN SMALL LETTER U,61991,9,"2014,2015,2017,2018,2019,2020,2022,2023,2024",52,2306,10875,20112,10883,1665,3394,10706,1998
dwr,Latn,dwr_Latn,Dawro,r,Ll,LATIN SMALL LETTER R,49800,9,"2014,2015,2017,2018,2019,2020,2022,2023,2024",42,3414,11565,10573,7431,547,1438,13951,839
dwr,Latn,dwr_Latn,Dawro,h,Ll,LATIN SMALL LETTER H,48945,9,"2014,2015,2017,2018,2019,2020,2022,2023,2024",48,360,5228,17400,9504,1296,3407,9789,1913
dwr,Latn,dwr_Latn,Dawro,y,Ll,LATIN SMALL LETTER Y,43206,9,"2014,2015,2017,2018,2019,2020,2022,2023,2024",148,151,5481,17898,8637,1405,3364,4036,2086
dwr,Latn,dwr_Latn,Dawro,l,Ll,LATIN SMALL LETTER L,42107,9,"2014,2015,2017,2018,2019,2020,2022,2023,2024",80,2400,9562,9895,6727,706,1263,10625,849
dwr,Latn,dwr_Latn,Dawro,w,Ll,LATIN SMALL LETTER W,34069,9,"2014,2015,2017,2018,2019,2020,2022,2023,2024",40,36,3325,14025,7250,1079,2727,3854,1733
dwr,Latn,dwr_Latn,Dawro,m,Ll,LATIN SMALL LETTER M,33924,9,"2014,2015,2017,2018,2019,2020,2022,2023,2024",55,1298,6105,9225,5749,707,1613,7964,1208
dwr,Latn,dwr_Latn,Dawro,p,Ll,LATIN SMALL LETTER P,26857,9,"2014,2015,2017,2018,2019,2020,2022,2023,2024",27,1360,5107,8142,4969,672,1597,3873,1110
dwr,Latn,dwr_Latn,Dawro,g,Ll,LATIN SMALL LETTER G,26596,9,"2014,2015,2017,2018,2019,2020,2022,2023,2024",32,558,3718,9376,4914,632,1778,4590,998
dwr,Latn,dwr_Latn,Dawro,c,Ll,LATIN SMALL LETTER C,24424,9,"2014,2015,2017,2018,2019,2020,2022,2023,2024",10,1616,6180,4298,3444,175,572,7727,402
dwr,Latn,dwr_Latn,Dawro,b,Ll,LATIN SMALL LETTER B,23887,9,"2014,2015,2017,2018,2019,2020,2022,2023,2024",41,268,3528,8347,4701,655,1372,4059,916
dwr,Latn,dwr_Latn,Dawro,k,Ll,LATIN SMALL LETTER K,22595,9,"2014,2015,2017,2018,2019,2020,2022,2023,2024",35,14,2337,9531,4670,801,1464,2688,1055
dwr,Latn,dwr_Latn,Dawro,",",Po,COMMA,19755,9,"2014,2015,2017,2018,2019,2020,2022,2023,2024",46,879,3908,6386,3294,550,1208,2708,776
dwr,Latn,dwr_Latn,Dawro,.,Po,FULL STOP,14715,9,"2014,2015,2017,2018,2019,2020,2022,2023,2024",26,521,3114,4516,2989,350,791,1780,628
dwr,Latn,dwr_Latn,Dawro,q,Ll,LATIN SMALL LETTER Q,12860,9,"2014,2015,2017,2018,2019,2020,2022,2023,2024",20,380,2326,4163,2362,391,860,1854,504
dwr,Latn,dwr_Latn,Dawro,7,Nd,DIGIT SEVEN,9913,9,"2014,2015,2017,2018,2019,2020,2022,2023,2024",24,88,1163,4223,1991,431,784,714,495
dwr,Latn,dwr_Latn,Dawro,A,Lu,LATIN CAPITAL LETTER A,7851,9,"2014,2015,2017,2018,2019,2020,2022,2023,2024",30,427,1141,2179,1837,225,509,1246,257
dwr,Latn,dwr_Latn,Dawro,f,Ll,LATIN SMALL LETTER F,6781,9,"2014,2015,2017,2018,2019,2020,2022,2023,2024",13,463,1414,1710,1118,51,139,1779,94
dwr,Latn,dwr_Latn,Dawro,1,Nd,DIGIT ONE,5558,9,"2014,2015,2017,2018,2019,2020,2022,2023,2024",14,350,565,2079,1289,153,386,481,241
dwr,Latn,dwr_Latn,Dawro,z,Ll,LATIN SMALL LETTER Z,5383,9,"2014,2015,2017,2018,2019,2020,2022,2023,2024",22,30,921,1510,725,102,279,1633,161
dwr,Latn,dwr_Latn,Dawro,x,Ll,LATIN SMALL LETTER X,5282,9,"2014,2015,2017,2018,2019,2020,2022,2023,2024",9,183,572,2051,1187,182,439,450,209
dwr,Latn,dwr_Latn,Dawro,;,Po,SEMICOLON,5017,9,"2014,2015,2017,2018,2019,2020,2022,2023,2024",32,78,644,2340,797,186,380,434,126
