iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
dzo,Tibt,dzo_Tibt,Dzongkha,་,Po,TIBETAN MARK INTERSYLLABIC TSHEG,11092964,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",92553,215726,85039,104679,714596,821690,1524204,1548146,2274375,2294051,1142852,275053
dzo,Tibt,dzo_Tibt,Dzongkha,ས,Lo,TIBETAN LETTER SA,3137656,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",23856,58184,23640,27749,194398,239271,454536,456002,625579,628494,324870,81077
dzo,Tibt,dzo_Tibt,Dzongkha,ི,Mn,TIBETAN VOWEL SIGN I,2512264,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",21653,49421,19866,24443,162081,182571,332764,354039,525924,517674,260067,61761
dzo,Tibt,dzo_Tibt,Dzongkha,ག,Lo,TIBETAN LETTER GA,2503603,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",21089,47666,19147,22872,158924,187951,350939,361809,507477,497284,262964,65481
dzo,Tibt,dzo_Tibt,Dzongkha, ,Zs,SPACE,2281719,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",18700,39835,14303,23842,150609,109083,349371,305671,515618,498883,208499,47305
dzo,Tibt,dzo_Tibt,Dzongkha,ད,Lo,TIBETAN LETTER DA,2153727,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",17494,39454,15569,19583,137207,157801,291703,303060,450153,442565,224287,54851
dzo,Tibt,dzo_Tibt,Dzongkha,ོ,Mn,TIBETAN VOWEL SIGN O,2113877,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",16851,40476,16254,19635,134991,158497,291618,299609,428791,431525,220716,54914
dzo,Tibt,dzo_Tibt,Dzongkha,བ,Lo,TIBETAN LETTER BA,1839866,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",14318,34800,14029,16069,112288,138134,262226,264494,378453,366666,190492,47897
dzo,Tibt,dzo_Tibt,Dzongkha,ན,Lo,TIBETAN LETTER NA,1582105,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",13492,30829,12057,15210,101508,112831,208310,218973,329514,336999,163937,38445
dzo,Tibt,dzo_Tibt,Dzongkha,ུ,Mn,TIBETAN VOWEL SIGN U,1563616,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",12978,31169,12157,14883,100650,113950,215257,214983,323369,325518,160921,37781
dzo,Tibt,dzo_Tibt,Dzongkha,ང,Lo,TIBETAN LETTER NGA,1532760,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",12782,28313,11436,13583,98289,114787,218663,220899,303640,309945,160992,39431
dzo,Tibt,dzo_Tibt,Dzongkha,ར,Lo,TIBETAN LETTER RA,1524968,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",11762,27470,10945,12562,93916,118546,231852,232869,297958,290312,155453,41323
dzo,Tibt,dzo_Tibt,Dzongkha,འ,Lo,TIBETAN LETTER -A,1386047,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",10947,27028,10893,13175,86772,99311,184080,188876,293283,291834,145723,34125
dzo,Tibt,dzo_Tibt,Dzongkha,ལ,Lo,TIBETAN LETTER LA,1331133,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",11679,26492,10379,12434,84813,94969,177604,180980,278420,281632,139246,32485
dzo,Tibt,dzo_Tibt,Dzongkha,ེ,Mn,TIBETAN VOWEL SIGN E,1256342,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",10564,24122,9374,11740,80489,90167,176435,173734,258755,263488,127111,30363
dzo,Tibt,dzo_Tibt,Dzongkha,མ,Lo,TIBETAN LETTER MA,1190154,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",10265,24737,9815,12464,79382,87570,161822,157349,244546,253570,120598,28036
dzo,Tibt,dzo_Tibt,Dzongkha,ྱ,Mn,TIBETAN SUBJOINED LETTER YA,1134882,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",8378,18823,7938,8228,66537,91627,177614,181908,216835,202595,120824,33575
dzo,Tibt,dzo_Tibt,Dzongkha,པ,Lo,TIBETAN LETTER PA,751335,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",6260,14949,5761,7000,47497,59708,109544,108707,150616,151169,71741,18383
dzo,Tibt,dzo_Tibt,Dzongkha,ྲ,Mn,TIBETAN SUBJOINED LETTER RA,619530,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",4807,12426,5155,5675,37063,45892,90129,91182,124686,121773,64482,16260
dzo,Tibt,dzo_Tibt,Dzongkha,།,Po,TIBETAN MARK SHAD,479675,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2675,7285,3283,2615,32040,37126,82231,81478,87141,77052,51809,14940
dzo,Tibt,dzo_Tibt,Dzongkha,ཚ,Lo,TIBETAN LETTER TSHA,449639,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",4243,10364,4020,5412,29282,29882,48612,56746,98861,106217,46835,9165
dzo,Tibt,dzo_Tibt,Dzongkha,ཁ,Lo,TIBETAN LETTER KHA,439192,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3592,8911,3638,4370,29511,30467,55087,59306,90412,95721,47298,10879
dzo,Tibt,dzo_Tibt,Dzongkha,ཡ,Lo,TIBETAN LETTER YA,420814,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3870,8280,3210,4246,28054,30378,51449,58515,88886,90391,43361,10174
