iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2017_frequency,year_2019_frequency,year_2021_frequency,year_2022_frequency
ebk,Latn,ebk_Latn,Eastern Bontok,a,Ll,LATIN SMALL LETTER A,39246,4,"2017,2019,2021,2022",73,19027,18451,1695
ebk,Latn,ebk_Latn,Eastern Bontok, ,Zs,SPACE,34241,4,"2017,2019,2021,2022",50,16555,16240,1396
ebk,Latn,ebk_Latn,Eastern Bontok,n,Ll,LATIN SMALL LETTER N,22078,4,"2017,2019,2021,2022",30,10901,10223,924
ebk,Latn,ebk_Latn,Eastern Bontok,i,Ll,LATIN SMALL LETTER I,10623,4,"2017,2019,2021,2022",18,5073,5104,428
ebk,Latn,ebk_Latn,Eastern Bontok,u,Ll,LATIN SMALL LETTER U,9160,4,"2017,2019,2021,2022",13,4379,4348,420
ebk,Latn,ebk_Latn,Eastern Bontok,y,Ll,LATIN SMALL LETTER Y,8363,4,"2017,2019,2021,2022",13,4028,3927,395
ebk,Latn,ebk_Latn,Eastern Bontok,s,Ll,LATIN SMALL LETTER S,7519,4,"2017,2019,2021,2022",16,3676,3507,320
ebk,Latn,ebk_Latn,Eastern Bontok,k,Ll,LATIN SMALL LETTER K,6939,4,"2017,2019,2021,2022",14,3290,3348,287
ebk,Latn,ebk_Latn,Eastern Bontok,m,Ll,LATIN SMALL LETTER M,6472,4,"2017,2019,2021,2022",20,2995,3200,257
ebk,Latn,ebk_Latn,Eastern Bontok,t,Ll,LATIN SMALL LETTER T,6348,4,"2017,2019,2021,2022",3,3087,3011,247
ebk,Latn,ebk_Latn,Eastern Bontok,h,Ll,LATIN SMALL LETTER H,5880,4,"2017,2019,2021,2022",15,2883,2707,275
ebk,Latn,ebk_Latn,Eastern Bontok,o,Ll,LATIN SMALL LETTER O,5583,4,"2017,2019,2021,2022",4,2817,2554,208
ebk,Latn,ebk_Latn,Eastern Bontok,c,Ll,LATIN SMALL LETTER C,4685,4,"2017,2019,2021,2022",14,2245,2186,240
ebk,Latn,ebk_Latn,Eastern Bontok,e,Ll,LATIN SMALL LETTER E,4254,4,"2017,2019,2021,2022",4,2187,1913,150
ebk,Latn,ebk_Latn,Eastern Bontok,p,Ll,LATIN SMALL LETTER P,3825,3,"2019,2021,2022",0,1905,1751,169
