iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2021_frequency,year_2022_frequency
eko,Latn,eko_Latn,Koti,a,Ll,LATIN SMALL LETTER A,116305,5,"2017,2018,2019,2021,2022",172,74,115027,437,595
eko,Latn,eko_Latn,Koti, ,Zs,SPACE,96530,5,"2017,2018,2019,2021,2022",166,60,95475,376,453
eko,Latn,eko_Latn,Koti,i,Ll,LATIN SMALL LETTER I,58212,5,"2017,2018,2019,2021,2022",147,51,57492,256,266
eko,Latn,eko_Latn,Koti,e,Ll,LATIN SMALL LETTER E,41897,5,"2017,2018,2019,2021,2022",77,31,41411,198,180
eko,Latn,eko_Latn,Koti,o,Ll,LATIN SMALL LETTER O,41142,5,"2017,2018,2019,2021,2022",65,27,40676,146,228
eko,Latn,eko_Latn,Koti,u,Ll,LATIN SMALL LETTER U,37167,5,"2017,2018,2019,2021,2022",47,23,36694,198,205
eko,Latn,eko_Latn,Koti,h,Ll,LATIN SMALL LETTER H,35842,5,"2017,2018,2019,2021,2022",52,18,35413,173,186
eko,Latn,eko_Latn,Koti,n,Ll,LATIN SMALL LETTER N,35651,5,"2017,2018,2019,2021,2022",82,16,35228,136,189
eko,Latn,eko_Latn,Koti,t,Ll,LATIN SMALL LETTER T,33732,5,"2017,2018,2019,2021,2022",66,26,33298,140,202
eko,Latn,eko_Latn,Koti,w,Ll,LATIN SMALL LETTER W,29395,5,"2017,2018,2019,2021,2022",54,14,29096,100,131
eko,Latn,eko_Latn,Koti,k,Ll,LATIN SMALL LETTER K,28605,5,"2017,2018,2019,2021,2022",30,18,28244,138,175
eko,Latn,eko_Latn,Koti,l,Ll,LATIN SMALL LETTER L,23646,5,"2017,2018,2019,2021,2022",39,25,23348,110,124
eko,Latn,eko_Latn,Koti,y,Ll,LATIN SMALL LETTER Y,22132,5,"2017,2018,2019,2021,2022",39,15,21853,118,107
eko,Latn,eko_Latn,Koti,m,Ll,LATIN SMALL LETTER M,19454,5,"2017,2018,2019,2021,2022",21,12,19267,56,98
eko,Latn,eko_Latn,Koti,r,Ll,LATIN SMALL LETTER R,13907,5,"2017,2018,2019,2021,2022",22,10,13768,57,50
eko,Latn,eko_Latn,Koti,p,Ll,LATIN SMALL LETTER P,13038,5,"2017,2018,2019,2021,2022",23,13,12901,42,59
eko,Latn,eko_Latn,Koti,s,Ll,LATIN SMALL LETTER S,11659,5,"2017,2018,2019,2021,2022",30,6,11502,57,64
eko,Latn,eko_Latn,Koti,z,Ll,LATIN SMALL LETTER Z,8918,5,"2017,2018,2019,2021,2022",14,8,8804,37,55
eko,Latn,eko_Latn,Koti,",",Po,COMMA,6355,5,"2017,2018,2019,2021,2022",5,2,6289,35,24
eko,Latn,eko_Latn,Koti,.,Po,FULL STOP,5981,5,"2017,2018,2019,2021,2022",14,5,5903,25,34
eko,Latn,eko_Latn,Koti,v,Ll,LATIN SMALL LETTER V,4486,5,"2017,2018,2019,2021,2022",15,5,4408,33,25
eko,Latn,eko_Latn,Koti,f,Ll,LATIN SMALL LETTER F,2680,5,"2017,2018,2019,2021,2022",9,1,2640,19,11
eko,Latn,eko_Latn,Koti,j,Ll,LATIN SMALL LETTER J,2646,4,"2017,2019,2021,2022",8,0,2619,11,8
eko,Latn,eko_Latn,Koti,Y,Lu,LATIN CAPITAL LETTER Y,2642,4,"2017,2019,2021,2022",4,0,2624,12,2
eko,Latn,eko_Latn,Koti,M,Lu,LATIN CAPITAL LETTER M,2622,5,"2017,2018,2019,2021,2022",9,2,2586,3,22
eko,Latn,eko_Latn,Koti,N,Lu,LATIN CAPITAL LETTER N,2273,4,"2017,2019,2021,2022",13,0,2210,26,24
