iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
eml,Latn,eml_Latn,UNKNOWN, ,Zs,SPACE,3151512,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",11070,111004,70762,155047,776322,399737,447856,240418,324979,157095,371825,85397
eml,Latn,eml_Latn,UNKNOWN,a,Ll,LATIN SMALL LETTER A,1458504,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",6152,58391,36912,33682,271606,171283,237202,132827,174654,85810,202481,47504
eml,Latn,eml_Latn,UNKNOWN,i,Ll,LATIN SMALL LETTER I,1047212,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",4446,37016,23285,43756,243742,129593,149473,77869,118309,58486,132210,29027
eml,Latn,eml_Latn,UNKNOWN,n,Ll,LATIN SMALL LETTER N,972515,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3848,32308,21022,42186,232173,125604,134705,73724,105869,51761,122085,27230
eml,Latn,eml_Latn,UNKNOWN,r,Ll,LATIN SMALL LETTER R,860544,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3005,28374,18435,41249,215614,107380,123454,63566,90610,43120,102357,23380
eml,Latn,eml_Latn,UNKNOWN,l,Ll,LATIN SMALL LETTER L,845851,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3323,30186,19706,39128,204621,107048,120299,65959,87997,42296,102119,23169
eml,Latn,eml_Latn,UNKNOWN,t,Ll,LATIN SMALL LETTER T,779034,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2880,23672,14738,44201,212980,95115,102598,53975,80646,39992,88748,19489
eml,Latn,eml_Latn,UNKNOWN,s,Ll,LATIN SMALL LETTER S,633233,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2285,20418,13214,33646,160026,83934,84524,44745,66221,34565,73073,16582
eml,Latn,eml_Latn,UNKNOWN,d,Ll,LATIN SMALL LETTER D,601347,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2316,22853,14534,29565,142859,75128,84730,46445,63193,29782,73533,16409
eml,Latn,eml_Latn,UNKNOWN,e,Ll,LATIN SMALL LETTER E,589938,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2800,22360,14104,11395,97614,66667,92540,49268,78502,38403,95100,21185
eml,Latn,eml_Latn,UNKNOWN,c,Ll,LATIN SMALL LETTER C,534958,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1983,17513,10838,26149,134149,69754,73936,38636,56609,27041,63999,14351
eml,Latn,eml_Latn,UNKNOWN,o,Ll,LATIN SMALL LETTER O,454065,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1768,11858,5738,18563,121297,60773,65447,30235,46868,26036,53080,12402
eml,Latn,eml_Latn,UNKNOWN,u,Ll,LATIN SMALL LETTER U,404809,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1812,15307,9675,18151,94409,49369,55719,30981,44445,22214,50789,11938
eml,Latn,eml_Latn,UNKNOWN,m,Ll,LATIN SMALL LETTER M,365261,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1283,11631,7817,19475,94078,47112,49015,27199,35196,19130,43115,10210
eml,Latn,eml_Latn,UNKNOWN,p,Ll,LATIN SMALL LETTER P,357992,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1214,11298,7086,18894,96745,46224,47419,24635,36657,18215,40414,9191
eml,Latn,eml_Latn,UNKNOWN,g,Ll,LATIN SMALL LETTER G,260660,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",981,8410,5408,11416,60486,31933,38105,21100,29215,13925,32060,7621
eml,Latn,eml_Latn,UNKNOWN,v,Ll,LATIN SMALL LETTER V,213241,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",734,7270,4044,9109,53577,27731,28505,14716,22942,10934,27679,6000
