iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency
emp,Latn,emp_Latn,Northern Emberá,a,Ll,LATIN SMALL LETTER A,279324,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",171253,7609,2637,15277,256,8260,314,45864,27471,383
emp,Latn,emp_Latn,Northern Emberá, ,Zs,SPACE,220371,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",134740,6063,2150,12090,212,6987,345,35711,21757,316
emp,Latn,emp_Latn,Northern Emberá,r,Ll,LATIN SMALL LETTER R,109226,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",67485,2889,1094,6077,114,2894,139,17733,10665,136
emp,Latn,emp_Latn,Northern Emberá,d,Ll,LATIN SMALL LETTER D,100365,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",61601,2590,924,5463,57,3076,68,16458,9997,131
emp,Latn,emp_Latn,Northern Emberá,b,Ll,LATIN SMALL LETTER B,91656,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",56711,2473,968,5338,59,2668,76,14647,8595,121
emp,Latn,emp_Latn,Northern Emberá,i,Ll,LATIN SMALL LETTER I,84351,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",51474,2140,773,4522,84,2479,108,14305,8322,144
emp,Latn,emp_Latn,Northern Emberá,e,Ll,LATIN SMALL LETTER E,75215,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",44647,1897,626,3933,88,2714,150,12964,8068,128
emp,Latn,emp_Latn,Northern Emberá,̶,Mn,COMBINING LONG STROKE OVERLAY,62377,8,"2013,2014,2016,2017,2019,2021,2022,2023",38029,1670,642,3438,0,1834,0,10551,6132,81
emp,Latn,emp_Latn,Northern Emberá,ã,Ll,LATIN SMALL LETTER A WITH TILDE,61736,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",38877,1729,667,3649,81,1374,63,9549,5673,74
emp,Latn,emp_Latn,Northern Emberá,ʌ,Ll,LATIN SMALL LETTER TURNED V,57208,8,"2013,2014,2016,2017,2019,2021,2022,2023",35431,1850,541,3294,0,1811,0,8795,5402,84
emp,Latn,emp_Latn,Northern Emberá,j,Ll,LATIN SMALL LETTER J,38825,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",24402,1094,360,2244,41,992,30,6022,3604,36
emp,Latn,emp_Latn,Northern Emberá,u,Ll,LATIN SMALL LETTER U,37693,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",23407,926,372,2021,32,1075,53,6025,3720,62
emp,Latn,emp_Latn,Northern Emberá,c,Ll,LATIN SMALL LETTER C,33397,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",20554,862,356,2148,42,1056,35,5151,3153,40
emp,Latn,emp_Latn,Northern Emberá,n,Ll,LATIN SMALL LETTER N,30441,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",18670,891,258,1781,38,915,104,4989,2747,48
emp,Latn,emp_Latn,Northern Emberá,o,Ll,LATIN SMALL LETTER O,29136,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",16893,587,286,1452,39,923,89,5295,3521,51
emp,Latn,emp_Latn,Northern Emberá,m,Ll,LATIN SMALL LETTER M,26678,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",15897,839,315,1405,29,887,50,4411,2801,44
emp,Latn,emp_Latn,Northern Emberá,s,Ll,LATIN SMALL LETTER S,24955,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",15180,568,128,1055,35,554,59,4593,2736,47
emp,Latn,emp_Latn,Northern Emberá,ẽ,Ll,LATIN SMALL LETTER E WITH TILDE,24218,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",15256,664,224,1362,19,539,22,3755,2342,35
emp,Latn,emp_Latn,Northern Emberá,.,Po,FULL STOP,22140,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",13377,585,254,1217,17,636,36,3701,2287,30
emp,Latn,emp_Latn,Northern Emberá,̃,Mn,COMBINING TILDE,20097,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",11899,727,202,1014,9,734,19,3281,2175,37
emp,Latn,emp_Latn,Northern Emberá,w,Ll,LATIN SMALL LETTER W,19210,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",11739,541,137,1015,17,526,20,3172,2010,33
emp,Latn,emp_Latn,Northern Emberá,p,Ll,LATIN SMALL LETTER P,16822,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",10105,406,137,841,20,571,25,2889,1796,32
emp,Latn,emp_Latn,Northern Emberá,ĩ,Ll,LATIN SMALL LETTER I WITH TILDE,14579,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",9384,420,216,972,16,309,10,2033,1198,21
emp,Latn,emp_Latn,Northern Emberá,M,Lu,LATIN CAPITAL LETTER M,9799,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",5984,241,80,473,2,310,12,1675,1008,14
emp,Latn,emp_Latn,Northern Emberá,t,Ll,LATIN SMALL LETTER T,9337,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",5152,128,96,527,6,511,66,1865,966,20
emp,Latn,emp_Latn,Northern Emberá,õ,Ll,LATIN SMALL LETTER O WITH TILDE,7906,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",4533,196,51,468,7,286,8,1454,895,8
emp,Latn,emp_Latn,Northern Emberá,Ã,Lu,LATIN CAPITAL LETTER A WITH TILDE,7287,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",4482,178,62,423,7,239,6,1207,676,7
emp,Latn,emp_Latn,Northern Emberá,q,Ll,LATIN SMALL LETTER Q,7264,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",4397,175,106,462,8,225,6,1087,781,17
emp,Latn,emp_Latn,Northern Emberá,ũ,Ll,LATIN SMALL LETTER U WITH TILDE,7169,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",4296,199,72,477,14,205,10,1120,774,2
emp,Latn,emp_Latn,Northern Emberá,",",Po,COMMA,6168,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",3842,186,60,372,15,251,9,890,539,4
emp,Latn,emp_Latn,Northern Emberá,́,Mn,COMBINING ACUTE ACCENT,5920,9,"2013,2014,2016,2017,2019,2020,2021,2022,2023",3850,193,71,350,0,86,3,828,522,17
emp,Latn,emp_Latn,Northern Emberá,y,Ll,LATIN SMALL LETTER Y,5812,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",3623,183,62,318,6,148,30,858,580,4
emp,Latn,emp_Latn,Northern Emberá,J,Lu,LATIN CAPITAL LETTER J,5461,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",3789,121,31,229,6,23,1,751,506,4
emp,Latn,emp_Latn,Northern Emberá,z,Ll,LATIN SMALL LETTER Z,5250,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",3206,216,44,298,10,95,7,772,597,5
emp,Latn,emp_Latn,Northern Emberá,1,Nd,DIGIT ONE,5214,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",2864,125,53,282,4,227,4,1111,536,8
emp,Latn,emp_Latn,Northern Emberá,B,Lu,LATIN CAPITAL LETTER B,4921,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",3217,142,66,272,2,51,9,733,422,7
emp,Latn,emp_Latn,Northern Emberá,l,Ll,LATIN SMALL LETTER L,4407,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",1776,53,14,93,2,186,41,1366,858,18
emp,Latn,emp_Latn,Northern Emberá,g,Ll,LATIN SMALL LETTER G,3818,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",2213,103,41,225,2,162,29,670,370,3
emp,Latn,emp_Latn,Northern Emberá,–,Pd,EN DASH,3726,8,"2013,2014,2017,2019,2020,2021,2022,2023",2461,83,0,77,0,51,4,594,440,16
emp,Latn,emp_Latn,Northern Emberá,2,Nd,DIGIT TWO,3600,10,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023",2179,98,32,152,3,153,2,612,367,2
