iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2014_frequency,year_2018_frequency,year_2021_frequency
etu,Latn,etu_Latn,Ejagham, ,Zs,SPACE,3484,3,"2014,2018,2021",1414,575,1495
etu,Latn,etu_Latn,Ejagham,n,Ll,LATIN SMALL LETTER N,1101,3,"2014,2018,2021",500,163,438
etu,Latn,etu_Latn,Ejagham,a,Ll,LATIN SMALL LETTER A,1097,3,"2014,2018,2021",426,232,439
etu,Latn,etu_Latn,Ejagham,e,Ll,LATIN SMALL LETTER E,798,3,"2014,2018,2021",304,132,362
etu,Latn,etu_Latn,Ejagham,i,Ll,LATIN SMALL LETTER I,596,3,"2014,2018,2021",244,116,236
etu,Latn,etu_Latn,Ejagham,m,Ll,LATIN SMALL LETTER M,513,3,"2014,2018,2021",192,95,226
etu,Latn,etu_Latn,Ejagham,h,Ll,LATIN SMALL LETTER H,512,3,"2014,2018,2021",210,57,245
etu,Latn,etu_Latn,Ejagham,s,Ll,LATIN SMALL LETTER S,504,3,"2014,2018,2021",190,135,179
etu,Latn,etu_Latn,Ejagham,k,Ll,LATIN SMALL LETTER K,474,3,"2014,2018,2021",179,68,227
etu,Latn,etu_Latn,Ejagham,o,Ll,LATIN SMALL LETTER O,464,3,"2014,2018,2021",182,99,183
etu,Latn,etu_Latn,Ejagham,b,Ll,LATIN SMALL LETTER B,450,3,"2014,2018,2021",186,72,192
etu,Latn,etu_Latn,Ejagham,á,Ll,LATIN SMALL LETTER A WITH ACUTE,427,3,"2014,2018,2021",180,47,200
etu,Latn,etu_Latn,Ejagham,y,Ll,LATIN SMALL LETTER Y,412,3,"2014,2018,2021",173,88,151
etu,Latn,etu_Latn,Ejagham,t,Ll,LATIN SMALL LETTER T,369,3,"2014,2018,2021",133,49,187
etu,Latn,etu_Latn,Ejagham,r,Ll,LATIN SMALL LETTER R,360,3,"2014,2018,2021",133,79,148
etu,Latn,etu_Latn,Ejagham,é,Ll,LATIN SMALL LETTER E WITH ACUTE,267,3,"2014,2018,2021",78,78,111
etu,Latn,etu_Latn,Ejagham,.,Po,FULL STOP,252,3,"2014,2018,2021",105,40,107
etu,Latn,etu_Latn,Ejagham,ə,Ll,LATIN SMALL LETTER SCHWA,234,3,"2014,2018,2021",119,19,96
etu,Latn,etu_Latn,Ejagham,í,Ll,LATIN SMALL LETTER I WITH ACUTE,229,3,"2014,2018,2021",79,27,123
etu,Latn,etu_Latn,Ejagham,",",Po,COMMA,218,3,"2014,2018,2021",86,51,81
etu,Latn,etu_Latn,Ejagham,j,Ll,LATIN SMALL LETTER J,214,3,"2014,2018,2021",83,21,110
etu,Latn,etu_Latn,Ejagham,ê,Ll,LATIN SMALL LETTER E WITH CIRCUMFLEX,199,3,"2014,2018,2021",100,17,82
etu,Latn,etu_Latn,Ejagham,p,Ll,LATIN SMALL LETTER P,198,3,"2014,2018,2021",69,27,102
etu,Latn,etu_Latn,Ejagham,f,Ll,LATIN SMALL LETTER F,150,3,"2014,2018,2021",46,23,81
etu,Latn,etu_Latn,Ejagham,ó,Ll,LATIN SMALL LETTER O WITH ACUTE,137,3,"2014,2018,2021",47,18,72
etu,Latn,etu_Latn,Ejagham,î,Ll,LATIN SMALL LETTER I WITH CIRCUMFLEX,136,3,"2014,2018,2021",44,21,71
etu,Latn,etu_Latn,Ejagham,c,Ll,LATIN SMALL LETTER C,126,3,"2014,2018,2021",59,7,60
etu,Latn,etu_Latn,Ejagham,-,Pd,HYPHEN-MINUS,123,3,"2014,2018,2021",60,24,39
etu,Latn,etu_Latn,Ejagham,J,Lu,LATIN CAPITAL LETTER J,122,3,"2014,2018,2021",44,32,46
etu,Latn,etu_Latn,Ejagham,́,Mn,COMBINING ACUTE ACCENT,121,3,"2014,2018,2021",56,9,56
etu,Latn,etu_Latn,Ejagham,â,Ll,LATIN SMALL LETTER A WITH CIRCUMFLEX,117,3,"2014,2018,2021",53,17,47
etu,Latn,etu_Latn,Ejagham,g,Ll,LATIN SMALL LETTER G,115,3,"2014,2018,2021",36,13,66
etu,Latn,etu_Latn,Ejagham,u,Ll,LATIN SMALL LETTER U,108,3,"2014,2018,2021",35,27,46
etu,Latn,etu_Latn,Ejagham,ŋ,Ll,LATIN SMALL LETTER ENG,107,3,"2014,2018,2021",55,16,36
etu,Latn,etu_Latn,Ejagham,ú,Ll,LATIN SMALL LETTER U WITH ACUTE,100,3,"2014,2018,2021",36,10,54
etu,Latn,etu_Latn,Ejagham,O,Lu,LATIN CAPITAL LETTER O,91,3,"2014,2018,2021",39,16,36
etu,Latn,etu_Latn,Ejagham,1,Nd,DIGIT ONE,85,3,"2014,2018,2021",31,15,39
etu,Latn,etu_Latn,Ejagham,N,Lu,LATIN CAPITAL LETTER N,81,3,"2014,2018,2021",34,14,33
etu,Latn,etu_Latn,Ejagham,A,Lu,LATIN CAPITAL LETTER A,62,3,"2014,2018,2021",21,22,19
etu,Latn,etu_Latn,Ejagham,ń,Ll,LATIN SMALL LETTER N WITH ACUTE,62,3,"2014,2018,2021",13,42,7
etu,Latn,etu_Latn,Ejagham,d,Ll,LATIN SMALL LETTER D,57,3,"2014,2018,2021",15,17,25
etu,Latn,etu_Latn,Ejagham,E,Lu,LATIN CAPITAL LETTER E,56,3,"2014,2018,2021",14,13,29
etu,Latn,etu_Latn,Ejagham,2,Nd,DIGIT TWO,54,3,"2014,2018,2021",20,11,23
etu,Latn,etu_Latn,Ejagham,M,Lu,LATIN CAPITAL LETTER M,53,3,"2014,2018,2021",20,18,15
