iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
eus,Latn,eus_Latn,Basque,a,Ll,LATIN SMALL LETTER A,584747157,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",6342386,5711770,4465373,5972946,36330765,42172616,69418844,83948684,101994073,90550636,100570840,37268224
eus,Latn,eus_Latn,Basque, ,Zs,SPACE,567231404,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",6266019,5654947,4412992,6062371,37066664,41890947,67424384,80937982,98133610,86808835,97081280,35491373
eus,Latn,eus_Latn,Basque,e,Ll,LATIN SMALL LETTER E,465701056,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",5014191,4543091,3516179,4755101,29080045,33452332,54777177,66852815,81462238,71988558,80558948,29700381
eus,Latn,eus_Latn,Basque,i,Ll,LATIN SMALL LETTER I,312557702,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3403738,3101792,2421122,3239481,19384407,22483174,36912770,45102335,54787567,48108379,53768854,19844083
eus,Latn,eus_Latn,Basque,r,Ll,LATIN SMALL LETTER R,305153423,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3320577,3026664,2348718,3139698,18924150,21946833,36172858,44040616,53364068,47069104,52435736,19364401
eus,Latn,eus_Latn,Basque,t,Ll,LATIN SMALL LETTER T,285704468,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3048421,2732799,2144103,2865929,17444215,20441029,33629742,41120267,50228883,44331734,49384835,18332511
eus,Latn,eus_Latn,Basque,n,Ll,LATIN SMALL LETTER N,270213135,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2949497,2710511,2097886,2813601,17052683,19703832,32129128,38660188,46774986,41556648,46583121,17181054
eus,Latn,eus_Latn,Basque,o,Ll,LATIN SMALL LETTER O,225467230,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2432415,2223348,1750241,2351302,14329506,16234743,26403570,32053125,39294073,34851517,39343147,14200243
eus,Latn,eus_Latn,Basque,k,Ll,LATIN SMALL LETTER K,198116619,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2077624,1834957,1455552,1896113,11477746,13762871,23302027,28812796,35435504,31110260,34102341,12848828
eus,Latn,eus_Latn,Basque,u,Ll,LATIN SMALL LETTER U,191941115,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2084202,1862944,1463962,1950216,11838146,13866151,22930168,27653597,33590879,29630938,32819455,12250457
eus,Latn,eus_Latn,Basque,z,Ll,LATIN SMALL LETTER Z,155628350,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1638108,1462148,1124098,1520101,9130777,10834095,18371207,22579690,27778355,24351165,26676789,10161817
eus,Latn,eus_Latn,Basque,d,Ll,LATIN SMALL LETTER D,131184104,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1436326,1297182,1013060,1359231,8331455,9494989,15561352,18832594,22774457,20145718,22727886,8209854
