iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
ext,Latn,ext_Latn,Extremaduran, ,Zs,SPACE,1319321,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",25333,77314,17914,48931,339062,97192,148370,145277,202777,102047,88733,26371
ext,Latn,ext_Latn,Extremaduran,a,Ll,LATIN SMALL LETTER A,755136,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",15401,46218,10753,26535,186501,55851,87043,84275,115245,58445,53444,15425
ext,Latn,ext_Latn,Extremaduran,e,Ll,LATIN SMALL LETTER E,659405,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",13113,40325,9236,24631,166984,48813,71943,73206,102326,49789,45378,13661
ext,Latn,ext_Latn,Extremaduran,i,Ll,LATIN SMALL LETTER I,481586,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",11913,35932,8161,15900,111432,35209,60770,51942,69999,35412,34581,10335
ext,Latn,ext_Latn,Extremaduran,s,Ll,LATIN SMALL LETTER S,475485,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",9927,29795,7046,18213,119350,35593,54248,51207,70489,36190,33445,9982
ext,Latn,ext_Latn,Extremaduran,u,Ll,LATIN SMALL LETTER U,472299,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",9639,28663,6669,21060,106172,36195,54849,53389,74922,37790,33312,9639
ext,Latn,ext_Latn,Extremaduran,n,Ll,LATIN SMALL LETTER N,431377,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",9434,28913,6517,15819,103554,32020,51681,47477,64278,32379,30407,8898
ext,Latn,ext_Latn,Extremaduran,l,Ll,LATIN SMALL LETTER L,385783,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",8427,25153,5676,13980,95500,29927,43216,40210,59274,30436,26369,7615
ext,Latn,ext_Latn,Extremaduran,r,Ll,LATIN SMALL LETTER R,367775,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",7780,23097,5375,13973,93053,26732,42298,40745,53622,27292,25998,7810
ext,Latn,ext_Latn,Extremaduran,o,Ll,LATIN SMALL LETTER O,336474,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",6194,19954,4598,12370,85735,23974,37391,37590,52747,25813,22839,7269
ext,Latn,ext_Latn,Extremaduran,t,Ll,LATIN SMALL LETTER T,275749,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",6134,18848,4338,9266,66922,20763,32619,30305,40849,20072,19724,5909
ext,Latn,ext_Latn,Extremaduran,c,Ll,LATIN SMALL LETTER C,238638,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",5211,16136,3655,8583,58025,17073,28614,25984,35598,17844,16937,4978
ext,Latn,ext_Latn,Extremaduran,d,Ll,LATIN SMALL LETTER D,222533,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3821,12138,2862,7664,55217,16571,25231,25406,34940,17762,15956,4965
ext,Latn,ext_Latn,Extremaduran,m,Ll,LATIN SMALL LETTER M,172356,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3326,10530,2533,6255,41645,12771,19313,19615,26729,13336,12559,3744
ext,Latn,ext_Latn,Extremaduran,p,Ll,LATIN SMALL LETTER P,152068,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3040,9192,2199,5718,37532,11267,17029,16749,23499,11756,10813,3274
ext,Latn,ext_Latn,Extremaduran,",",Po,COMMA,90281,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1615,5065,1304,3433,21065,7006,10607,10987,14308,6942,6014,1935
