iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2016_frequency,year_2017_frequency
fal,Latn,fal_Latn,South Fali, ,Zs,SPACE,246600,4,"2013,2014,2016,2017",234377,5468,5315,1440
fal,Latn,fal_Latn,South Fali,a,Ll,LATIN SMALL LETTER A,114783,4,"2013,2014,2016,2017",109061,2612,2455,655
fal,Latn,fal_Latn,South Fali,i,Ll,LATIN SMALL LETTER I,82432,4,"2013,2014,2016,2017",78034,2043,1851,504
fal,Latn,fal_Latn,South Fali,n,Ll,LATIN SMALL LETTER N,63061,4,"2013,2014,2016,2017",59716,1495,1417,433
fal,Latn,fal_Latn,South Fali,e,Ll,LATIN SMALL LETTER E,51524,4,"2013,2014,2016,2017",49208,1104,938,274
fal,Latn,fal_Latn,South Fali,r,Ll,LATIN SMALL LETTER R,45556,4,"2013,2014,2016,2017",43215,1029,1039,273
fal,Latn,fal_Latn,South Fali,y,Ll,LATIN SMALL LETTER Y,43760,4,"2013,2014,2016,2017",41650,922,922,266
fal,Latn,fal_Latn,South Fali,m,Ll,LATIN SMALL LETTER M,41842,4,"2013,2014,2016,2017",39643,1019,945,235
fal,Latn,fal_Latn,South Fali,g,Ll,LATIN SMALL LETTER G,39712,4,"2013,2014,2016,2017",37757,858,854,243
fal,Latn,fal_Latn,South Fali,t,Ll,LATIN SMALL LETTER T,36450,4,"2013,2014,2016,2017",34447,914,844,245
fal,Latn,fal_Latn,South Fali,u,Ll,LATIN SMALL LETTER U,34423,4,"2013,2014,2016,2017",32718,825,649,231
fal,Latn,fal_Latn,South Fali,o,Ll,LATIN SMALL LETTER O,28272,4,"2013,2014,2016,2017",26927,587,609,149
fal,Latn,fal_Latn,South Fali,k,Ll,LATIN SMALL LETTER K,28234,4,"2013,2014,2016,2017",26854,591,606,183
fal,Latn,fal_Latn,South Fali,w,Ll,LATIN SMALL LETTER W,26191,4,"2013,2014,2016,2017",24917,639,505,130
fal,Latn,fal_Latn,South Fali,à,Ll,LATIN SMALL LETTER A WITH GRAVE,25308,4,"2013,2014,2016,2017",24206,472,505,125
fal,Latn,fal_Latn,South Fali,d,Ll,LATIN SMALL LETTER D,23356,4,"2013,2014,2016,2017",22281,548,424,103
fal,Latn,fal_Latn,South Fali,",",Po,COMMA,17774,4,"2013,2014,2016,2017",16895,380,386,113
fal,Latn,fal_Latn,South Fali,s,Ll,LATIN SMALL LETTER S,16854,4,"2013,2014,2016,2017",16024,390,351,89
fal,Latn,fal_Latn,South Fali,â,Ll,LATIN SMALL LETTER A WITH CIRCUMFLEX,16083,4,"2013,2014,2016,2017",15153,399,434,97
fal,Latn,fal_Latn,South Fali,è,Ll,LATIN SMALL LETTER E WITH GRAVE,14955,4,"2013,2014,2016,2017",14175,326,367,87
fal,Latn,fal_Latn,South Fali,b,Ll,LATIN SMALL LETTER B,13358,4,"2013,2014,2016,2017",12665,289,323,81
fal,Latn,fal_Latn,South Fali,.,Po,FULL STOP,12871,4,"2013,2014,2016,2017",12259,301,246,65
fal,Latn,fal_Latn,South Fali,l,Ll,LATIN SMALL LETTER L,10736,4,"2013,2014,2016,2017",10206,261,217,52
fal,Latn,fal_Latn,South Fali,j,Ll,LATIN SMALL LETTER J,10170,4,"2013,2014,2016,2017",9640,243,229,58
fal,Latn,fal_Latn,South Fali,p,Ll,LATIN SMALL LETTER P,8693,4,"2013,2014,2016,2017",8269,212,179,33
fal,Latn,fal_Latn,South Fali,h,Ll,LATIN SMALL LETTER H,8028,4,"2013,2014,2016,2017",7622,192,167,47
fal,Latn,fal_Latn,South Fali,î,Ll,LATIN SMALL LETTER I WITH CIRCUMFLEX,5928,4,"2013,2014,2016,2017",5595,176,121,36
fal,Latn,fal_Latn,South Fali,c,Ll,LATIN SMALL LETTER C,5828,4,"2013,2014,2016,2017",5532,133,126,37
fal,Latn,fal_Latn,South Fali,ò,Ll,LATIN SMALL LETTER O WITH GRAVE,5639,4,"2013,2014,2016,2017",5394,102,130,13
fal,Latn,fal_Latn,South Fali,ɗ,Ll,LATIN SMALL LETTER D WITH HOOK,5564,4,"2013,2014,2016,2017",5311,103,115,35
fal,Latn,fal_Latn,South Fali,1,Nd,DIGIT ONE,4388,4,"2013,2014,2016,2017",4128,130,93,37
fal,Latn,fal_Latn,South Fali,Y,Lu,LATIN CAPITAL LETTER Y,4301,4,"2013,2014,2016,2017",4159,84,45,13
fal,Latn,fal_Latn,South Fali,f,Ll,LATIN SMALL LETTER F,4195,4,"2013,2014,2016,2017",3948,123,87,37
