iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2018_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency
gai,Latn,gai_Latn,Borei,a,Ll,LATIN SMALL LETTER A,267100,5,"2018,2020,2021,2022,2023",191102,7607,57393,6996,4002
gai,Latn,gai_Latn,Borei, ,Zs,SPACE,204677,5,"2018,2020,2021,2022,2023",145724,5990,44513,5542,2908
gai,Latn,gai_Latn,Borei,n,Ll,LATIN SMALL LETTER N,115720,5,"2018,2020,2021,2022,2023",81708,3446,25566,3232,1768
gai,Latn,gai_Latn,Borei,m,Ll,LATIN SMALL LETTER M,85154,5,"2018,2020,2021,2022,2023",62225,2307,17163,2283,1176
gai,Latn,gai_Latn,Borei,i,Ll,LATIN SMALL LETTER I,81953,5,"2018,2020,2021,2022,2023",58684,2282,17295,2485,1207
gai,Latn,gai_Latn,Borei,r,Ll,LATIN SMALL LETTER R,67449,5,"2018,2020,2021,2022,2023",47838,1921,14651,2076,963
gai,Latn,gai_Latn,Borei,t,Ll,LATIN SMALL LETTER T,57323,5,"2018,2020,2021,2022,2023",41947,1615,11507,1474,780
gai,Latn,gai_Latn,Borei,o,Ll,LATIN SMALL LETTER O,56164,5,"2018,2020,2021,2022,2023",40337,1502,12049,1530,746
gai,Latn,gai_Latn,Borei,e,Ll,LATIN SMALL LETTER E,49161,5,"2018,2020,2021,2022,2023",34724,1491,10562,1690,694
gai,Latn,gai_Latn,Borei,c,Ll,LATIN SMALL LETTER C,41902,5,"2018,2020,2021,2022,2023",30780,1024,8494,1068,536
gai,Latn,gai_Latn,Borei,k,Ll,LATIN SMALL LETTER K,40041,5,"2018,2020,2021,2022,2023",28642,1010,8623,1244,522
gai,Latn,gai_Latn,Borei,ŋ,Ll,LATIN SMALL LETTER ENG,39540,5,"2018,2020,2021,2022,2023",27901,1040,8927,1138,534
gai,Latn,gai_Latn,Borei,u,Ll,LATIN SMALL LETTER U,27312,5,"2018,2020,2021,2022,2023",19861,773,5601,686,391
gai,Latn,gai_Latn,Borei,d,Ll,LATIN SMALL LETTER D,23373,5,"2018,2020,2021,2022,2023",17158,568,4697,619,331
gai,Latn,gai_Latn,Borei,g,Ll,LATIN SMALL LETTER G,23298,5,"2018,2020,2021,2022,2023",16723,628,5023,611,313
gai,Latn,gai_Latn,Borei,p,Ll,LATIN SMALL LETTER P,23234,5,"2018,2020,2021,2022,2023",17045,626,4707,542,314
gai,Latn,gai_Latn,Borei,",",Po,COMMA,22328,5,"2018,2020,2021,2022,2023",15938,645,4814,619,312
gai,Latn,gai_Latn,Borei,ɨ,Ll,LATIN SMALL LETTER I WITH STROKE,21783,5,"2018,2020,2021,2022,2023",16067,580,4277,565,294
gai,Latn,gai_Latn,Borei,b,Ll,LATIN SMALL LETTER B,16894,5,"2018,2020,2021,2022,2023",12252,454,3517,466,205
gai,Latn,gai_Latn,Borei,.,Po,FULL STOP,12774,5,"2018,2020,2021,2022,2023",8378,417,3448,347,184
gai,Latn,gai_Latn,Borei,w,Ll,LATIN SMALL LETTER W,8652,5,"2018,2020,2021,2022,2023",6392,207,1737,196,120
gai,Latn,gai_Latn,Borei,l,Ll,LATIN SMALL LETTER L,7524,5,"2018,2020,2021,2022,2023",5049,293,1819,238,125
gai,Latn,gai_Latn,Borei,s,Ll,LATIN SMALL LETTER S,7248,5,"2018,2020,2021,2022,2023",5390,334,1247,108,169
gai,Latn,gai_Latn,Borei,N,Lu,LATIN CAPITAL LETTER N,7162,5,"2018,2020,2021,2022,2023",4724,237,1833,214,154
gai,Latn,gai_Latn,Borei,A,Lu,LATIN CAPITAL LETTER A,6903,5,"2018,2020,2021,2022,2023",4958,202,1381,231,131
gai,Latn,gai_Latn,Borei,R,Lu,LATIN CAPITAL LETTER R,4922,5,"2018,2020,2021,2022,2023",3535,127,1027,135,98
gai,Latn,gai_Latn,Borei,1,Nd,DIGIT ONE,4380,5,"2018,2020,2021,2022,2023",2555,187,1517,83,38
gai,Latn,gai_Latn,Borei,I,Lu,LATIN CAPITAL LETTER I,3979,5,"2018,2020,2021,2022,2023",3043,169,639,41,87
gai,Latn,gai_Latn,Borei,2,Nd,DIGIT TWO,3201,5,"2018,2020,2021,2022,2023",2129,99,897,47,29
