iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2017_frequency,year_2019_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
gdg,Latn,gdg_Latn,Ga'dang,a,Ll,LATIN SMALL LETTER A,62480,6,"2017,2019,2021,2022,2023,2024",104,2309,24490,12653,746,22178
gdg,Latn,gdg_Latn,Ga'dang, ,Zs,SPACE,45632,6,"2017,2019,2021,2022,2023,2024",102,1845,18181,9250,620,15634
gdg,Latn,gdg_Latn,Ga'dang,n,Ll,LATIN SMALL LETTER N,37613,6,"2017,2019,2021,2022,2023,2024",70,1567,14536,7505,370,13565
gdg,Latn,gdg_Latn,Ga'dang,i,Ll,LATIN SMALL LETTER I,25072,6,"2017,2019,2021,2022,2023,2024",40,1166,9892,4961,226,8787
gdg,Latn,gdg_Latn,Ga'dang,u,Ll,LATIN SMALL LETTER U,15189,6,"2017,2019,2021,2022,2023,2024",27,627,6324,2959,151,5101
gdg,Latn,gdg_Latn,Ga'dang,k,Ll,LATIN SMALL LETTER K,14024,6,"2017,2019,2021,2022,2023,2024",13,438,5535,2748,100,5190
gdg,Latn,gdg_Latn,Ga'dang,s,Ll,LATIN SMALL LETTER S,12976,6,"2017,2019,2021,2022,2023,2024",24,619,5301,2565,111,4356
gdg,Latn,gdg_Latn,Ga'dang,o,Ll,LATIN SMALL LETTER O,12662,6,"2017,2019,2021,2022,2023,2024",23,486,5201,2559,146,4247
gdg,Latn,gdg_Latn,Ga'dang,m,Ll,LATIN SMALL LETTER M,12320,6,"2017,2019,2021,2022,2023,2024",23,371,4976,2597,128,4225
gdg,Latn,gdg_Latn,Ga'dang,g,Ll,LATIN SMALL LETTER G,11402,6,"2017,2019,2021,2022,2023,2024",32,374,4361,2238,135,4262
gdg,Latn,gdg_Latn,Ga'dang,e,Ll,LATIN SMALL LETTER E,10696,6,"2017,2019,2021,2022,2023,2024",20,540,4035,2202,169,3730
gdg,Latn,gdg_Latn,Ga'dang,t,Ll,LATIN SMALL LETTER T,10583,6,"2017,2019,2021,2022,2023,2024",19,441,4055,2212,155,3701
gdg,Latn,gdg_Latn,Ga'dang,w,Ll,LATIN SMALL LETTER W,8011,6,"2017,2019,2021,2022,2023,2024",8,278,3211,1630,65,2819
gdg,Latn,gdg_Latn,Ga'dang,d,Ll,LATIN SMALL LETTER D,7899,6,"2017,2019,2021,2022,2023,2024",9,255,3319,1571,121,2624
gdg,Latn,gdg_Latn,Ga'dang,r,Ll,LATIN SMALL LETTER R,7677,6,"2017,2019,2021,2022,2023,2024",7,303,3219,1519,104,2525
gdg,Latn,gdg_Latn,Ga'dang,l,Ll,LATIN SMALL LETTER L,6868,6,"2017,2019,2021,2022,2023,2024",15,295,2684,1316,81,2477
gdg,Latn,gdg_Latn,Ga'dang,y,Ll,LATIN SMALL LETTER Y,6865,6,"2017,2019,2021,2022,2023,2024",12,284,2631,1345,109,2484
gdg,Latn,gdg_Latn,Ga'dang,p,Ll,LATIN SMALL LETTER P,6220,6,"2017,2019,2021,2022,2023,2024",6,270,2480,1186,80,2198
gdg,Latn,gdg_Latn,Ga'dang,b,Ll,LATIN SMALL LETTER B,4102,6,"2017,2019,2021,2022,2023,2024",13,200,1453,760,49,1627
gdg,Latn,gdg_Latn,Ga'dang,",",Po,COMMA,3897,6,"2017,2019,2021,2022,2023,2024",11,189,1423,722,41,1511
gdg,Latn,gdg_Latn,Ga'dang,.,Po,FULL STOP,3157,6,"2017,2019,2021,2022,2023,2024",8,113,1205,629,47,1155
gdg,Latn,gdg_Latn,Ga'dang,f,Ll,LATIN SMALL LETTER F,2030,6,"2017,2019,2021,2022,2023,2024",3,66,919,456,41,545
gdg,Latn,gdg_Latn,Ga'dang,ꞌ,Ll,LATIN SMALL LETTER SALTILLO,1494,4,"2019,2021,2022,2024",0,67,502,270,0,655
gdg,Latn,gdg_Latn,Ga'dang,1,Nd,DIGIT ONE,1405,6,"2017,2019,2021,2022,2023,2024",4,67,648,294,2,390
gdg,Latn,gdg_Latn,Ga'dang,A,Lu,LATIN CAPITAL LETTER A,1255,6,"2017,2019,2021,2022,2023,2024",3,45,521,268,22,396
gdg,Latn,gdg_Latn,Ga'dang,I,Lu,LATIN CAPITAL LETTER I,1196,6,"2017,2019,2021,2022,2023,2024",1,64,544,235,26,326
gdg,Latn,gdg_Latn,Ga'dang,D,Lu,LATIN CAPITAL LETTER D,1155,6,"2017,2019,2021,2022,2023,2024",5,48,510,292,25,275
gdg,Latn,gdg_Latn,Ga'dang,J,Lu,LATIN CAPITAL LETTER J,833,6,"2017,2019,2021,2022,2023,2024",1,87,369,171,3,202
gdg,Latn,gdg_Latn,Ga'dang,2,Nd,DIGIT TWO,817,6,"2017,2019,2021,2022,2023,2024",1,43,352,205,3,213
gdg,Latn,gdg_Latn,Ga'dang,K,Lu,LATIN CAPITAL LETTER K,705,6,"2017,2019,2021,2022,2023,2024",1,15,362,170,5,152
gdg,Latn,gdg_Latn,Ga'dang,S,Lu,LATIN CAPITAL LETTER S,683,6,"2017,2019,2021,2022,2023,2024",1,37,285,135,25,200
gdg,Latn,gdg_Latn,Ga'dang,E,Lu,LATIN CAPITAL LETTER E,498,6,"2017,2019,2021,2022,2023,2024",3,20,110,75,15,275
gdg,Latn,gdg_Latn,Ga'dang,N,Lu,LATIN CAPITAL LETTER N,464,5,"2019,2021,2022,2023,2024",0,38,158,77,22,169
gdg,Latn,gdg_Latn,Ga'dang,:,Po,COLON,462,6,"2017,2019,2021,2022,2023,2024",2,30,269,122,2,37
