iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency
gfk,Latn,gfk_Latn,Patpatar, ,Zs,SPACE,654810,8,"2016,2017,2018,2019,2020,2021,2022,2023",915,28502,232235,1690,1060,150,28530,361728
gfk,Latn,gfk_Latn,Patpatar,a,Ll,LATIN SMALL LETTER A,583860,8,"2016,2017,2018,2019,2020,2021,2022,2023",58,26502,198945,1588,506,10,22997,333254
gfk,Latn,gfk_Latn,Patpatar,i,Ll,LATIN SMALL LETTER I,260811,8,"2016,2017,2018,2019,2020,2021,2022,2023",72,11512,88540,565,251,12,11531,148328
gfk,Latn,gfk_Latn,Patpatar,n,Ll,LATIN SMALL LETTER N,257404,8,"2016,2017,2018,2019,2020,2021,2022,2023",676,11387,88396,629,672,131,11935,143578
gfk,Latn,gfk_Latn,Patpatar,t,Ll,LATIN SMALL LETTER T,193325,8,"2016,2017,2018,2019,2020,2021,2022,2023",93,8559,71492,508,197,16,7643,104817
gfk,Latn,gfk_Latn,Patpatar,u,Ll,LATIN SMALL LETTER U,151580,8,"2016,2017,2018,2019,2020,2021,2022,2023",34,6706,50959,435,131,5,6686,86624
gfk,Latn,gfk_Latn,Patpatar,e,Ll,LATIN SMALL LETTER E,129943,8,"2016,2017,2018,2019,2020,2021,2022,2023",132,4675,54758,313,111,17,6339,63598
gfk,Latn,gfk_Latn,Patpatar,r,Ll,LATIN SMALL LETTER R,122625,8,"2016,2017,2018,2019,2020,2021,2022,2023",64,5198,47789,268,117,9,5415,63765
gfk,Latn,gfk_Latn,Patpatar,o,Ll,LATIN SMALL LETTER O,106692,8,"2016,2017,2018,2019,2020,2021,2022,2023",793,4792,41540,267,584,129,5354,53233
gfk,Latn,gfk_Latn,Patpatar,g,Ll,LATIN SMALL LETTER G,102992,8,"2016,2017,2018,2019,2020,2021,2022,2023",7,4301,35421,289,86,5,4067,58816
gfk,Latn,gfk_Latn,Patpatar,m,Ll,LATIN SMALL LETTER M,97109,8,"2016,2017,2018,2019,2020,2021,2022,2023",25,4177,33356,237,74,2,4253,54985
