iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2023_frequency
gnb,Latn,gnb_Latn,Gangte, ,Zs,SPACE,27297,5,"2013,2018,2019,2020,2023",18840,1687,1909,2833,2028
gnb,Latn,gnb_Latn,Gangte,a,Ll,LATIN SMALL LETTER A,17520,5,"2013,2018,2019,2020,2023",12443,955,1159,1718,1245
gnb,Latn,gnb_Latn,Gangte,h,Ll,LATIN SMALL LETTER H,12996,5,"2013,2018,2019,2020,2023",9009,771,941,1284,991
gnb,Latn,gnb_Latn,Gangte,i,Ll,LATIN SMALL LETTER I,11398,5,"2013,2018,2019,2020,2023",7869,669,689,1205,966
gnb,Latn,gnb_Latn,Gangte,n,Ll,LATIN SMALL LETTER N,11128,5,"2013,2018,2019,2020,2023",8007,662,611,1040,808
gnb,Latn,gnb_Latn,Gangte,u,Ll,LATIN SMALL LETTER U,7484,5,"2013,2018,2019,2020,2023",5352,414,503,649,566
gnb,Latn,gnb_Latn,Gangte,e,Ll,LATIN SMALL LETTER E,7165,5,"2013,2018,2019,2020,2023",5022,379,373,673,718
gnb,Latn,gnb_Latn,Gangte,t,Ll,LATIN SMALL LETTER T,6314,5,"2013,2018,2019,2020,2023",4397,360,314,707,536
gnb,Latn,gnb_Latn,Gangte,l,Ll,LATIN SMALL LETTER L,4721,5,"2013,2018,2019,2020,2023",3348,246,204,505,418
gnb,Latn,gnb_Latn,Gangte,k,Ll,LATIN SMALL LETTER K,4700,5,"2013,2018,2019,2020,2023",3498,193,225,479,305
gnb,Latn,gnb_Latn,Gangte,g,Ll,LATIN SMALL LETTER G,4641,5,"2013,2018,2019,2020,2023",3319,316,216,448,342
gnb,Latn,gnb_Latn,Gangte,m,Ll,LATIN SMALL LETTER M,4170,5,"2013,2018,2019,2020,2023",2897,240,270,399,364
gnb,Latn,gnb_Latn,Gangte,c,Ll,LATIN SMALL LETTER C,2825,5,"2013,2018,2019,2020,2023",1917,190,228,216,274
gnb,Latn,gnb_Latn,Gangte,o,Ll,LATIN SMALL LETTER O,2612,5,"2013,2018,2019,2020,2023",1750,99,112,379,272
gnb,Latn,gnb_Latn,Gangte,p,Ll,LATIN SMALL LETTER P,2411,5,"2013,2018,2019,2020,2023",1737,76,130,253,215
gnb,Latn,gnb_Latn,Gangte,w,Ll,LATIN SMALL LETTER W,2297,5,"2013,2018,2019,2020,2023",1678,133,91,211,184
gnb,Latn,gnb_Latn,Gangte,s,Ll,LATIN SMALL LETTER S,2121,5,"2013,2018,2019,2020,2023",1368,99,131,305,218
gnb,Latn,gnb_Latn,Gangte,",",Po,COMMA,1837,5,"2013,2018,2019,2020,2023",1221,152,210,124,130
gnb,Latn,gnb_Latn,Gangte,d,Ll,LATIN SMALL LETTER D,1738,5,"2013,2018,2019,2020,2023",1161,93,73,236,175
gnb,Latn,gnb_Latn,Gangte,.,Po,FULL STOP,1380,5,"2013,2018,2019,2020,2023",975,72,87,110,136
gnb,Latn,gnb_Latn,Gangte,z,Ll,LATIN SMALL LETTER Z,1030,5,"2013,2018,2019,2020,2023",770,57,55,84,64
gnb,Latn,gnb_Latn,Gangte,r,Ll,LATIN SMALL LETTER R,906,5,"2013,2018,2019,2020,2023",519,18,20,190,159
gnb,Latn,gnb_Latn,Gangte,v,Ll,LATIN SMALL LETTER V,759,5,"2013,2018,2019,2020,2023",526,67,33,81,52
gnb,Latn,gnb_Latn,Gangte,b,Ll,LATIN SMALL LETTER B,724,5,"2013,2018,2019,2020,2023",442,59,26,105,92
gnb,Latn,gnb_Latn,Gangte,P,Lu,LATIN CAPITAL LETTER P,406,5,"2013,2018,2019,2020,2023",242,35,41,41,47
gnb,Latn,gnb_Latn,Gangte,G,Lu,LATIN CAPITAL LETTER G,398,5,"2013,2018,2019,2020,2023",347,2,2,12,35
gnb,Latn,gnb_Latn,Gangte,I,Lu,LATIN CAPITAL LETTER I,382,5,"2013,2018,2019,2020,2023",251,33,24,44,30
gnb,Latn,gnb_Latn,Gangte,A,Lu,LATIN CAPITAL LETTER A,361,5,"2013,2018,2019,2020,2023",220,14,34,53,40
gnb,Latn,gnb_Latn,Gangte,T,Lu,LATIN CAPITAL LETTER T,338,5,"2013,2018,2019,2020,2023",178,37,23,29,71
gnb,Latn,gnb_Latn,Gangte,â,Ll,LATIN SMALL LETTER A WITH CIRCUMFLEX,336,4,"2013,2018,2019,2020",231,7,14,84,0
gnb,Latn,gnb_Latn,Gangte,S,Lu,LATIN CAPITAL LETTER S,293,5,"2013,2018,2019,2020,2023",142,9,7,53,82
gnb,Latn,gnb_Latn,Gangte,K,Lu,LATIN CAPITAL LETTER K,265,5,"2013,2018,2019,2020,2023",180,6,15,23,41
gnb,Latn,gnb_Latn,Gangte,N,Lu,LATIN CAPITAL LETTER N,256,5,"2013,2018,2019,2020,2023",204,4,14,18,16
gnb,Latn,gnb_Latn,Gangte,’,Pf,RIGHT SINGLE QUOTATION MARK,255,5,"2013,2018,2019,2020,2023",173,7,26,39,10
gnb,Latn,gnb_Latn,Gangte,1,Nd,DIGIT ONE,248,5,"2013,2018,2019,2020,2023",143,17,36,28,24
gnb,Latn,gnb_Latn,Gangte,C,Lu,LATIN CAPITAL LETTER C,243,5,"2013,2018,2019,2020,2023",109,19,27,27,61
gnb,Latn,gnb_Latn,Gangte,),Pe,RIGHT PARENTHESIS,236,5,"2013,2018,2019,2020,2023",169,7,6,18,36
