iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2015_frequency,year_2017_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
gnn,Latn,gnn_Latn,Gumatj,a,Ll,LATIN SMALL LETTER A,637045,8,"2015,2017,2019,2020,2021,2022,2023,2024",404,191,5918,2063,30925,319125,273678,4741
gnn,Latn,gnn_Latn,Gumatj, ,Zs,SPACE,396977,8,"2015,2017,2019,2020,2021,2022,2023,2024",271,131,4017,1439,20186,197393,170657,2883
gnn,Latn,gnn_Latn,Gumatj,u,Ll,LATIN SMALL LETTER U,330313,8,"2015,2017,2019,2020,2021,2022,2023,2024",206,119,3244,1114,17229,163484,142464,2453
gnn,Latn,gnn_Latn,Gumatj,r,Ll,LATIN SMALL LETTER R,289130,8,"2015,2017,2019,2020,2021,2022,2023,2024",179,126,2463,651,15545,143003,124909,2254
gnn,Latn,gnn_Latn,Gumatj,n,Ll,LATIN SMALL LETTER N,243774,8,"2015,2017,2019,2020,2021,2022,2023,2024",146,33,2351,780,11690,121814,105244,1716
gnn,Latn,gnn_Latn,Gumatj,y,Ll,LATIN SMALL LETTER Y,217024,8,"2015,2017,2019,2020,2021,2022,2023,2024",114,27,2192,836,11065,108064,93227,1499
gnn,Latn,gnn_Latn,Gumatj,i,Ll,LATIN SMALL LETTER I,206045,8,"2015,2017,2019,2020,2021,2022,2023,2024",131,64,1884,619,10698,103256,87758,1635
gnn,Latn,gnn_Latn,Gumatj,ŋ,Ll,LATIN SMALL LETTER ENG,174013,8,"2015,2017,2019,2020,2021,2022,2023,2024",86,51,1785,662,8814,86718,74554,1343
gnn,Latn,gnn_Latn,Gumatj,l,Ll,LATIN SMALL LETTER L,147989,8,"2015,2017,2019,2020,2021,2022,2023,2024",129,47,1170,223,7097,74495,63654,1174
gnn,Latn,gnn_Latn,Gumatj,h,Ll,LATIN SMALL LETTER H,127342,8,"2015,2017,2019,2020,2021,2022,2023,2024",74,33,1267,416,6621,63313,54667,951
gnn,Latn,gnn_Latn,Gumatj,j,Ll,LATIN SMALL LETTER J,94970,8,"2015,2017,2019,2020,2021,2022,2023,2024",52,15,747,196,4621,47800,40869,670
gnn,Latn,gnn_Latn,Gumatj,d,Ll,LATIN SMALL LETTER D,89249,8,"2015,2017,2019,2020,2021,2022,2023,2024",59,14,730,145,4594,44574,38493,640
gnn,Latn,gnn_Latn,Gumatj,m,Ll,LATIN SMALL LETTER M,87790,8,"2015,2017,2019,2020,2021,2022,2023,2024",55,43,808,315,4549,43619,37702,699
gnn,Latn,gnn_Latn,Gumatj,w,Ll,LATIN SMALL LETTER W,87024,8,"2015,2017,2019,2020,2021,2022,2023,2024",74,35,791,308,4067,43556,37555,638
gnn,Latn,gnn_Latn,Gumatj,k,Ll,LATIN SMALL LETTER K,81875,8,"2015,2017,2019,2020,2021,2022,2023,2024",43,15,719,209,4560,40505,35203,621
gnn,Latn,gnn_Latn,Gumatj,t,Ll,LATIN SMALL LETTER T,54505,8,"2015,2017,2019,2020,2021,2022,2023,2024",42,17,528,204,2699,27531,23094,390
gnn,Latn,gnn_Latn,Gumatj,g,Ll,LATIN SMALL LETTER G,50121,8,"2015,2017,2019,2020,2021,2022,2023,2024",36,27,474,187,2547,25056,21409,385
gnn,Latn,gnn_Latn,Gumatj,",",Po,COMMA,43818,8,"2015,2017,2019,2020,2021,2022,2023,2024",32,13,372,102,2195,21696,19114,294
gnn,Latn,gnn_Latn,Gumatj,b,Ll,LATIN SMALL LETTER B,39300,8,"2015,2017,2019,2020,2021,2022,2023,2024",31,13,445,161,1594,19854,16928,274
gnn,Latn,gnn_Latn,Gumatj,ä,Ll,LATIN SMALL LETTER A WITH DIAERESIS,38371,8,"2015,2017,2019,2020,2021,2022,2023,2024",33,17,272,137,2033,19334,16279,266
gnn,Latn,gnn_Latn,Gumatj,',Po,APOSTROPHE,36226,7,"2015,2017,2019,2021,2022,2023,2024",16,12,224,0,1898,18137,15652,287
gnn,Latn,gnn_Latn,Gumatj,o,Ll,LATIN SMALL LETTER O,28762,8,"2015,2017,2019,2020,2021,2022,2023,2024",17,2,298,103,1464,14071,12611,196
gnn,Latn,gnn_Latn,Gumatj,-,Pd,HYPHEN-MINUS,22174,8,"2015,2017,2019,2020,2021,2022,2023,2024",7,7,204,113,1145,11167,9337,194
gnn,Latn,gnn_Latn,Gumatj,.,Po,FULL STOP,20824,8,"2015,2017,2019,2020,2021,2022,2023,2024",22,10,233,106,960,10487,8842,164
gnn,Latn,gnn_Latn,Gumatj,p,Ll,LATIN SMALL LETTER P,20624,8,"2015,2017,2019,2020,2021,2022,2023,2024",9,25,176,49,1050,10478,8683,154
gnn,Latn,gnn_Latn,Gumatj,e,Ll,LATIN SMALL LETTER E,15114,8,"2015,2017,2019,2020,2021,2022,2023,2024",11,2,187,125,650,7492,6551,96
gnn,Latn,gnn_Latn,Gumatj,G,Lu,LATIN CAPITAL LETTER G,14811,8,"2015,2017,2019,2020,2021,2022,2023,2024",11,8,175,89,845,7252,6310,121
gnn,Latn,gnn_Latn,Gumatj,ḻ,Ll,LATIN SMALL LETTER L WITH LINE BELOW,13355,8,"2015,2017,2019,2020,2021,2022,2023,2024",11,3,142,54,632,6678,5756,79
gnn,Latn,gnn_Latn,Gumatj,ḏ,Ll,LATIN SMALL LETTER D WITH LINE BELOW,9446,8,"2015,2017,2019,2020,2021,2022,2023,2024",4,1,64,23,399,4777,4128,50
gnn,Latn,gnn_Latn,Gumatj,Y,Lu,LATIN CAPITAL LETTER Y,7880,8,"2015,2017,2019,2020,2021,2022,2023,2024",2,4,63,9,405,3812,3539,46
gnn,Latn,gnn_Latn,Gumatj,D,Lu,LATIN CAPITAL LETTER D,6993,8,"2015,2017,2019,2020,2021,2022,2023,2024",1,13,109,51,496,3534,2716,73
gnn,Latn,gnn_Latn,Gumatj,1,Nd,DIGIT ONE,5849,7,"2015,2019,2020,2021,2022,2023,2024",1,0,68,56,273,2936,2477,38
gnn,Latn,gnn_Latn,Gumatj,B,Lu,LATIN CAPITAL LETTER B,5773,7,"2015,2019,2020,2021,2022,2023,2024",4,0,19,8,250,2751,2689,52
gnn,Latn,gnn_Latn,Gumatj,ṉ,Ll,LATIN SMALL LETTER N WITH LINE BELOW,4926,8,"2015,2017,2019,2020,2021,2022,2023,2024",6,1,38,26,151,2486,2191,27
gnn,Latn,gnn_Latn,Gumatj,s,Ll,LATIN SMALL LETTER S,4394,8,"2015,2017,2019,2020,2021,2022,2023,2024",3,2,68,52,315,2260,1647,47
gnn,Latn,gnn_Latn,Gumatj,2,Nd,DIGIT TWO,4057,7,"2015,2019,2020,2021,2022,2023,2024",1,0,51,40,160,1999,1777,29
gnn,Latn,gnn_Latn,Gumatj,“,Pi,LEFT DOUBLE QUOTATION MARK,3983,7,"2015,2019,2020,2021,2022,2023,2024",2,0,29,16,95,2068,1741,32
gnn,Latn,gnn_Latn,Gumatj,Ŋ,Lu,LATIN CAPITAL LETTER ENG,3775,8,"2015,2017,2019,2020,2021,2022,2023,2024",5,1,60,35,209,1870,1564,31
gnn,Latn,gnn_Latn,Gumatj,ṯ,Ll,LATIN SMALL LETTER T WITH LINE BELOW,3580,7,"2015,2019,2020,2021,2022,2023,2024",2,0,26,9,167,1813,1544,19
gnn,Latn,gnn_Latn,Gumatj,”,Pf,RIGHT DOUBLE QUOTATION MARK,3351,7,"2015,2019,2020,2021,2022,2023,2024",2,0,29,16,91,1821,1366,26
gnn,Latn,gnn_Latn,Gumatj,3,Nd,DIGIT THREE,2651,7,"2015,2019,2020,2021,2022,2023,2024",1,0,41,32,75,1350,1129,23
gnn,Latn,gnn_Latn,Gumatj,W,Lu,LATIN CAPITAL LETTER W,2076,8,"2015,2017,2019,2020,2021,2022,2023,2024",2,4,30,26,111,1042,845,16
gnn,Latn,gnn_Latn,Gumatj,4,Nd,DIGIT FOUR,1939,7,"2015,2019,2020,2021,2022,2023,2024",1,0,43,30,69,992,788,16
gnn,Latn,gnn_Latn,Gumatj,M,Lu,LATIN CAPITAL LETTER M,1934,6,"2019,2020,2021,2022,2023,2024",0,0,20,21,109,971,803,10
gnn,Latn,gnn_Latn,Gumatj,;,Po,SEMICOLON,1870,6,"2015,2019,2021,2022,2023,2024",2,0,10,0,80,940,825,13
gnn,Latn,gnn_Latn,Gumatj,N,Lu,LATIN CAPITAL LETTER N,1800,8,"2015,2017,2019,2020,2021,2022,2023,2024",2,2,13,7,84,922,758,12
gnn,Latn,gnn_Latn,Gumatj,?,Po,QUESTION MARK,1681,6,"2019,2020,2021,2022,2023,2024",0,0,13,4,38,896,710,20
gnn,Latn,gnn_Latn,Gumatj,5,Nd,DIGIT FIVE,1476,7,"2015,2019,2020,2021,2022,2023,2024",1,0,24,8,63,778,592,10
gnn,Latn,gnn_Latn,Gumatj,6,Nd,DIGIT SIX,1307,7,"2015,2019,2020,2021,2022,2023,2024",1,0,12,5,63,669,549,8
gnn,Latn,gnn_Latn,Gumatj,7,Nd,DIGIT SEVEN,1298,7,"2015,2019,2020,2021,2022,2023,2024",1,0,14,12,59,653,552,7
gnn,Latn,gnn_Latn,Gumatj,0,Nd,DIGIT ZERO,1288,6,"2019,2020,2021,2022,2023,2024",0,0,14,6,48,646,568,6
gnn,Latn,gnn_Latn,Gumatj,8,Nd,DIGIT EIGHT,1165,7,"2015,2019,2020,2021,2022,2023,2024",1,0,17,12,48,604,477,6
gnn,Latn,gnn_Latn,Gumatj,9,Nd,DIGIT NINE,1137,7,"2015,2019,2020,2021,2022,2023,2024",1,0,12,8,46,574,490,6
gnn,Latn,gnn_Latn,Gumatj,L,Lu,LATIN CAPITAL LETTER L,1102,7,"2017,2019,2020,2021,2022,2023,2024",0,1,18,12,91,542,433,5
gnn,Latn,gnn_Latn,Gumatj,‘,Pi,LEFT SINGLE QUOTATION MARK,736,6,"2019,2020,2021,2022,2023,2024",0,0,1,4,10,326,386,9
gnn,Latn,gnn_Latn,Gumatj,’,Pf,RIGHT SINGLE QUOTATION MARK,716,6,"2019,2020,2021,2022,2023,2024",0,0,1,4,10,321,371,9
gnn,Latn,gnn_Latn,Gumatj,:,Po,COLON,681,7,"2015,2019,2020,2021,2022,2023,2024",1,0,19,39,11,369,238,4
gnn,Latn,gnn_Latn,Gumatj,R,Lu,LATIN CAPITAL LETTER R,574,6,"2017,2019,2021,2022,2023,2024",0,1,2,0,56,281,227,7
gnn,Latn,gnn_Latn,Gumatj,C,Lu,LATIN CAPITAL LETTER C,530,7,"2015,2019,2020,2021,2022,2023,2024",1,0,6,3,115,233,161,11
gnn,Latn,gnn_Latn,Gumatj,ꞌ,Ll,LATIN SMALL LETTER SALTILLO,417,3,"2019,2020,2022",0,0,111,116,0,190,0,0
gnn,Latn,gnn_Latn,Gumatj,(,Ps,LEFT PARENTHESIS,339,6,"2019,2020,2021,2022,2023,2024",0,0,9,8,3,171,147,1
gnn,Latn,gnn_Latn,Gumatj,),Pe,RIGHT PARENTHESIS,339,6,"2019,2020,2021,2022,2023,2024",0,0,9,8,3,171,147,1
gnn,Latn,gnn_Latn,Gumatj,Ḻ,Lu,LATIN CAPITAL LETTER L WITH LINE BELOW,213,6,"2019,2020,2021,2022,2023,2024",0,0,3,1,13,92,103,1
gnn,Latn,gnn_Latn,Gumatj,f,Ll,LATIN SMALL LETTER F,169,4,"2015,2019,2022,2023",3,0,1,0,0,79,86,0
gnn,Latn,gnn_Latn,Gumatj,c,Ll,LATIN SMALL LETTER C,154,6,"2015,2019,2020,2021,2022,2023",1,0,1,3,5,69,75,0
gnn,Latn,gnn_Latn,Gumatj,J,Lu,LATIN CAPITAL LETTER J,139,6,"2019,2020,2021,2022,2023,2024",0,0,23,24,23,44,23,2
gnn,Latn,gnn_Latn,Gumatj,S,Lu,LATIN CAPITAL LETTER S,132,5,"2019,2020,2021,2022,2023",0,0,6,6,8,43,69,0
gnn,Latn,gnn_Latn,Gumatj,!,Po,EXCLAMATION MARK,132,5,"2019,2020,2021,2022,2023",0,0,10,9,2,70,41,0
gnn,Latn,gnn_Latn,Gumatj,T,Lu,LATIN CAPITAL LETTER T,115,6,"2015,2017,2021,2022,2023,2024",1,1,0,0,12,49,51,1
gnn,Latn,gnn_Latn,Gumatj,A,Lu,LATIN CAPITAL LETTER A,97,7,"2015,2017,2019,2020,2021,2022,2023",1,2,2,2,60,15,15,0
gnn,Latn,gnn_Latn,Gumatj,U,Lu,LATIN CAPITAL LETTER U,84,2,"2021,2022",0,0,0,0,83,1,0,0
gnn,Latn,gnn_Latn,Gumatj,I,Lu,LATIN CAPITAL LETTER I,82,5,"2019,2020,2021,2022,2023",0,0,2,3,25,28,24,0
gnn,Latn,gnn_Latn,Gumatj,v,Ll,LATIN SMALL LETTER V,78,5,"2019,2020,2021,2022,2023",0,0,1,1,1,52,23,0
gnn,Latn,gnn_Latn,Gumatj,—,Pd,EM DASH,37,2,"2022,2023",0,0,0,0,0,17,20,0
gnn,Latn,gnn_Latn,Gumatj,Ḏ,Lu,LATIN CAPITAL LETTER D WITH LINE BELOW,35,2,"2022,2023",0,0,0,0,0,20,15,0
gnn,Latn,gnn_Latn,Gumatj,E,Lu,LATIN CAPITAL LETTER E,31,5,"2019,2020,2021,2022,2023",0,0,1,1,4,17,8,0
gnn,Latn,gnn_Latn,Gumatj,P,Lu,LATIN CAPITAL LETTER P,28,6,"2015,2019,2020,2021,2022,2023",1,0,1,2,1,15,8,0
gnn,Latn,gnn_Latn,Gumatj,K,Lu,LATIN CAPITAL LETTER K,26,5,"2015,2020,2021,2022,2023",1,0,0,1,18,3,3,0
gnn,Latn,gnn_Latn,Gumatj,H,Lu,LATIN CAPITAL LETTER H,25,3,"2021,2022,2023",0,0,0,0,19,1,5,0
gnn,Latn,gnn_Latn,Gumatj,✡,So,STAR OF DAVID,23,2,"2019,2022",0,0,8,0,0,15,0,0
gnn,Latn,gnn_Latn,Gumatj,z,Ll,LATIN SMALL LETTER Z,16,4,"2019,2020,2022,2023",0,0,2,2,0,6,6,0
gnn,Latn,gnn_Latn,Gumatj,O,Lu,LATIN CAPITAL LETTER O,16,3,"2021,2022,2023",0,0,0,0,13,1,2,0
gnn,Latn,gnn_Latn,Gumatj,Ä,Lu,LATIN CAPITAL LETTER A WITH DIAERESIS,15,1,2021,0,0,0,0,15,0,0,0
gnn,Latn,gnn_Latn,Gumatj,#,Po,NUMBER SIGN,11,1,2020,0,0,0,11,0,0,0,0
gnn,Latn,gnn_Latn,Gumatj,[,Ps,LEFT SQUARE BRACKET,6,3,"2019,2020,2022",0,0,1,1,0,4,0,0
gnn,Latn,gnn_Latn,Gumatj,],Pe,RIGHT SQUARE BRACKET,6,3,"2019,2020,2022",0,0,1,1,0,4,0,0
gnn,Latn,gnn_Latn,Gumatj,*,Po,ASTERISK,4,2,"2019,2022",0,0,1,0,0,3,0,0
gnn,Latn,gnn_Latn,Gumatj,V,Lu,LATIN CAPITAL LETTER V,3,1,2022,0,0,0,0,0,3,0,0
gnn,Latn,gnn_Latn,Gumatj,q,Ll,LATIN SMALL LETTER Q,3,2,"2022,2023",0,0,0,0,0,1,2,0
gnn,Latn,gnn_Latn,Gumatj,‡,Po,DOUBLE DAGGER,2,2,"2019,2022",0,0,1,0,0,1,0,0
gnn,Latn,gnn_Latn,Gumatj,Z,Lu,LATIN CAPITAL LETTER Z,2,2,"2019,2020",0,0,1,1,0,0,0,0
gnn,Latn,gnn_Latn,Gumatj,†,Po,DAGGER,2,2,"2019,2022",0,0,1,0,0,1,0,0
gnn,Latn,gnn_Latn,Gumatj,F,Lu,LATIN CAPITAL LETTER F,2,2,"2022,2023",0,0,0,0,0,1,1,0
gnn,Latn,gnn_Latn,Gumatj,x,Ll,LATIN SMALL LETTER X,2,1,2022,0,0,0,0,0,2,0,0
gnn,Latn,gnn_Latn,Gumatj,»,Pf,RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK,1,1,2019,0,0,1,0,0,0,0,0
gnn,Latn,gnn_Latn,Gumatj,§,Po,SECTION SIGN,1,1,2022,0,0,0,0,0,1,0,0
gnn,Latn,gnn_Latn,Gumatj,á,Ll,LATIN SMALL LETTER A WITH ACUTE,1,1,2022,0,0,0,0,0,1,0,0
