iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2017_frequency,year_2018_frequency
goa,Latn,goa_Latn,Guro, ,Zs,SPACE,3306,2,"2017,2018",151,3155
goa,Latn,goa_Latn,Guro,a,Ll,LATIN SMALL LETTER A,1496,2,"2017,2018",74,1422
goa,Latn,goa_Latn,Guro,n,Ll,LATIN SMALL LETTER N,1228,2,"2017,2018",39,1189
goa,Latn,goa_Latn,Guro,l,Ll,LATIN SMALL LETTER L,1015,2,"2017,2018",39,976
goa,Latn,goa_Latn,Guro,e,Ll,LATIN SMALL LETTER E,759,2,"2017,2018",35,724
goa,Latn,goa_Latn,Guro,ɛ,Ll,LATIN SMALL LETTER OPEN E,619,2,"2017,2018",31,588
goa,Latn,goa_Latn,Guro,i,Ll,LATIN SMALL LETTER I,607,2,"2017,2018",33,574
goa,Latn,goa_Latn,Guro,ɩ,Ll,LATIN SMALL LETTER IOTA,536,2,"2017,2018",17,519
goa,Latn,goa_Latn,Guro,u,Ll,LATIN SMALL LETTER U,414,2,"2017,2018",26,388
goa,Latn,goa_Latn,Guro,b,Ll,LATIN SMALL LETTER B,392,2,"2017,2018",17,375
goa,Latn,goa_Latn,Guro,o,Ll,LATIN SMALL LETTER O,375,2,"2017,2018",18,357
goa,Latn,goa_Latn,Guro,w,Ll,LATIN SMALL LETTER W,324,2,"2017,2018",8,316
goa,Latn,goa_Latn,Guro,h,Ll,LATIN SMALL LETTER H,299,2,"2017,2018",16,283
goa,Latn,goa_Latn,Guro,k,Ll,LATIN SMALL LETTER K,261,2,"2017,2018",13,248
goa,Latn,goa_Latn,Guro,ɔ,Ll,LATIN SMALL LETTER OPEN O,251,2,"2017,2018",11,240
goa,Latn,goa_Latn,Guro,m,Ll,LATIN SMALL LETTER M,239,2,"2017,2018",7,232
goa,Latn,goa_Latn,Guro,t,Ll,LATIN SMALL LETTER T,234,2,"2017,2018",17,217
goa,Latn,goa_Latn,Guro,r,Ll,LATIN SMALL LETTER R,226,2,"2017,2018",18,208
goa,Latn,goa_Latn,Guro,s,Ll,LATIN SMALL LETTER S,220,2,"2017,2018",41,179
goa,Latn,goa_Latn,Guro,.,Po,FULL STOP,204,2,"2017,2018",9,195
goa,Latn,goa_Latn,Guro,d,Ll,LATIN SMALL LETTER D,189,2,"2017,2018",14,175
goa,Latn,goa_Latn,Guro,v,Ll,LATIN SMALL LETTER V,186,2,"2017,2018",9,177
goa,Latn,goa_Latn,Guro,B,Lu,LATIN CAPITAL LETTER B,180,1,2018,0,180
goa,Latn,goa_Latn,Guro,é,Ll,LATIN SMALL LETTER E WITH ACUTE,179,2,"2017,2018",8,171
goa,Latn,goa_Latn,Guro,",",Po,COMMA,146,2,"2017,2018",3,143
goa,Latn,goa_Latn,Guro,p,Ll,LATIN SMALL LETTER P,137,2,"2017,2018",16,121
goa,Latn,goa_Latn,Guro,ʋ,Ll,LATIN SMALL LETTER V WITH HOOK,132,2,"2017,2018",2,130
goa,Latn,goa_Latn,Guro,z,Ll,LATIN SMALL LETTER Z,125,2,"2017,2018",4,121
goa,Latn,goa_Latn,Guro,f,Ll,LATIN SMALL LETTER F,120,2,"2017,2018",4,116
goa,Latn,goa_Latn,Guro,y,Ll,LATIN SMALL LETTER Y,117,2,"2017,2018",3,114
goa,Latn,goa_Latn,Guro,j,Ll,LATIN SMALL LETTER J,114,2,"2017,2018",7,107
goa,Latn,goa_Latn,Guro,g,Ll,LATIN SMALL LETTER G,112,2,"2017,2018",2,110
goa,Latn,goa_Latn,Guro,c,Ll,LATIN SMALL LETTER C,76,2,"2017,2018",8,68
goa,Latn,goa_Latn,Guro,/,Po,SOLIDUS,64,1,2018,0,64
goa,Latn,goa_Latn,Guro,?,Po,QUESTION MARK,64,1,2018,0,64
