iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
grc,Grek,grc_Grek,Ancient Greek (to 1453), ,Zs,SPACE,30054799,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",314180,920901,524570,1207605,4167072,2820402,3155262,5261882,4134095,3108242,3872927,567661
grc,Grek,grc_Grek,Ancient Greek (to 1453),ν,Ll,GREEK SMALL LETTER NU,12364906,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",126235,367360,211581,459416,1675162,1139313,1335650,2217963,1728600,1317264,1535208,251154
grc,Grek,grc_Grek,Ancient Greek (to 1453),α,Ll,GREEK SMALL LETTER ALPHA,11642749,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",125843,395522,206132,476711,1642895,1116141,1262075,1963340,1605935,1215154,1416701,216300
grc,Grek,grc_Grek,Ancient Greek (to 1453),τ,Ll,GREEK SMALL LETTER TAU,11253459,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",113543,271612,179650,420300,1559040,1043378,1201595,2054305,1560455,1208981,1413653,226947
grc,Grek,grc_Grek,Ancient Greek (to 1453),ο,Ll,GREEK SMALL LETTER OMICRON,10222746,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",105088,340755,179187,411232,1411571,961885,1115922,1739910,1406176,1077157,1276602,197261
grc,Grek,grc_Grek,Ancient Greek (to 1453),ε,Ll,GREEK SMALL LETTER EPSILON,8276037,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",79669,294287,144146,343797,1145191,789087,924621,1382253,1130925,855710,1035417,150934
grc,Grek,grc_Grek,Ancient Greek (to 1453),ι,Ll,GREEK SMALL LETTER IOTA,7229547,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",66529,258612,123870,304199,983619,686216,796830,1232913,973727,748934,917344,136754
grc,Grek,grc_Grek,Ancient Greek (to 1453),σ,Ll,GREEK SMALL LETTER SIGMA,5648583,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",56024,189740,95232,220191,705594,471083,549980,906699,906733,676141,751546,119620
grc,Grek,grc_Grek,Ancient Greek (to 1453),ρ,Ll,GREEK SMALL LETTER RHO,5253438,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",55404,157633,90406,202855,716383,487929,559894,941666,727441,559791,644864,109172
grc,Grek,grc_Grek,Ancient Greek (to 1453),ς,Ll,GREEK SMALL LETTER FINAL SIGMA,5178287,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",62656,144052,93409,197811,810275,552350,604850,968048,593883,479791,575142,96020
