iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
guc,Latn,guc_Latn,Wayuu,a,Ll,LATIN SMALL LETTER A,260451,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",4560,4037,103,20652,24682,8531,8120,20889,67968,92737,8172
guc,Latn,guc_Latn,Wayuu, ,Zs,SPACE,217267,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",3071,5565,114,18898,16139,7335,8122,17810,53214,80420,6579
guc,Latn,guc_Latn,Wayuu,i,Ll,LATIN SMALL LETTER I,118636,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",1871,1891,63,9680,10270,3948,4014,9708,31138,42561,3492
guc,Latn,guc_Latn,Wayuu,n,Ll,LATIN SMALL LETTER N,107589,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",1888,1982,54,8949,9654,3550,3648,7301,28544,39040,2979
guc,Latn,guc_Latn,Wayuu,e,Ll,LATIN SMALL LETTER E,91111,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",924,2690,67,7874,5801,2939,2989,6238,21972,36788,2829
guc,Latn,guc_Latn,Wayuu,ü,Ll,LATIN SMALL LETTER U WITH DIAERESIS,73743,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",1710,659,19,5079,8011,2301,2556,5233,19906,26080,2189
guc,Latn,guc_Latn,Wayuu,s,Ll,LATIN SMALL LETTER S,73680,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",1053,1786,35,5940,5048,2581,2417,6490,18073,27823,2434
guc,Latn,guc_Latn,Wayuu,u,Ll,LATIN SMALL LETTER U,73265,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",1193,1491,29,5301,5303,2620,2240,7404,17263,27810,2611
guc,Latn,guc_Latn,Wayuu,t,Ll,LATIN SMALL LETTER T,65440,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",1083,1600,28,4802,6088,2155,1913,4844,15440,25576,1911
guc,Latn,guc_Latn,Wayuu,o,Ll,LATIN SMALL LETTER O,51471,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",598,1760,30,4734,2605,1784,1628,3918,12019,20756,1639
guc,Latn,guc_Latn,Wayuu,l,Ll,LATIN SMALL LETTER L,49919,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",698,1236,29,4323,3291,1716,1666,3832,12122,19414,1592
guc,Latn,guc_Latn,Wayuu,k,Ll,LATIN SMALL LETTER K,44260,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",910,551,8,3151,4663,1536,1533,3977,11152,15445,1334
guc,Latn,guc_Latn,Wayuu,r,Ll,LATIN SMALL LETTER R,37408,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",333,1315,27,3564,1726,1271,1307,2823,8515,15350,1177
guc,Latn,guc_Latn,Wayuu,j,Ll,LATIN SMALL LETTER J,34714,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",593,414,6,2519,3256,1079,1187,2691,9748,12081,1140
guc,Latn,guc_Latn,Wayuu,m,Ll,LATIN SMALL LETTER M,33207,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",462,690,16,2680,2458,1362,1223,3115,8640,11546,1015
guc,Latn,guc_Latn,Wayuu,p,Ll,LATIN SMALL LETTER P,30058,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",542,630,9,1927,2302,972,1046,2381,7207,12140,902
guc,Latn,guc_Latn,Wayuu,c,Ll,LATIN SMALL LETTER C,26648,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",207,698,28,2220,1228,836,899,1690,6091,11987,764
guc,Latn,guc_Latn,Wayuu,h,Ll,LATIN SMALL LETTER H,26020,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",473,911,9,1940,2427,791,787,2113,6854,8950,765
guc,Latn,guc_Latn,Wayuu,w,Ll,LATIN SMALL LETTER W,22664,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",487,385,5,1832,2880,639,609,1692,5598,7792,745
guc,Latn,guc_Latn,Wayuu,y,Ll,LATIN SMALL LETTER Y,18124,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",261,407,10,1462,1515,442,483,1325,5041,6533,645
guc,Latn,guc_Latn,Wayuu,d,Ll,LATIN SMALL LETTER D,17722,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",58,888,31,1780,172,535,559,1044,3695,8350,610
guc,Latn,guc_Latn,Wayuu,',Po,APOSTROPHE,13179,10,"2013,2014,2016,2017,2019,2020,2021,2022,2023,2024",540,40,1,842,0,209,249,685,4953,5292,368
guc,Latn,guc_Latn,Wayuu,",",Po,COMMA,12630,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",177,367,4,1045,700,463,457,1174,3237,4641,365
guc,Latn,guc_Latn,Wayuu,.,Po,FULL STOP,10304,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",201,347,7,874,1233,331,326,812,2709,3193,271
guc,Latn,guc_Latn,Wayuu,E,Lu,LATIN CAPITAL LETTER E,6956,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",21,66,5,493,291,504,2427,1758,402,941,48
guc,Latn,guc_Latn,Wayuu,A,Lu,LATIN CAPITAL LETTER A,6955,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",78,92,1,1075,1079,308,1331,772,805,1363,51
guc,Latn,guc_Latn,Wayuu,S,Lu,LATIN CAPITAL LETTER S,5737,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",38,69,4,481,485,280,1358,919,553,1477,73
guc,Latn,guc_Latn,Wayuu,g,Ll,LATIN SMALL LETTER G,4225,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",7,290,10,495,63,138,134,311,817,1853,107
guc,Latn,guc_Latn,Wayuu,b,Ll,LATIN SMALL LETTER B,4122,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",8,276,3,477,59,129,166,313,936,1607,148
guc,Latn,guc_Latn,Wayuu,M,Lu,LATIN CAPITAL LETTER M,4004,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",80,41,3,388,390,190,371,460,950,1089,42
guc,Latn,guc_Latn,Wayuu,N,Lu,LATIN CAPITAL LETTER N,3669,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",77,40,3,579,472,112,537,340,518,946,45
guc,Latn,guc_Latn,Wayuu,I,Lu,LATIN CAPITAL LETTER I,3554,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",30,34,6,782,436,87,560,362,235,1012,10
guc,Latn,guc_Latn,Wayuu,ʼ,Lm,MODIFIER LETTER APOSTROPHE,3433,4,"2013,2017,2018,2022",11,0,0,73,3348,0,0,0,1,0,0
guc,Latn,guc_Latn,Wayuu,v,Ll,LATIN SMALL LETTER V,3280,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",8,186,2,329,48,90,104,175,680,1537,121
guc,Latn,guc_Latn,Wayuu,́,Mn,COMBINING ACUTE ACCENT,3257,10,"2013,2014,2016,2017,2019,2020,2021,2022,2023,2024",2,5,6,1103,0,154,171,283,971,419,143
guc,Latn,guc_Latn,Wayuu,J,Lu,LATIN CAPITAL LETTER J,3133,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",52,31,2,504,576,81,349,195,687,616,40
guc,Latn,guc_Latn,Wayuu,P,Lu,LATIN CAPITAL LETTER P,3090,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",15,35,4,290,242,171,402,658,376,855,42
guc,Latn,guc_Latn,Wayuu,T,Lu,LATIN CAPITAL LETTER T,3027,10,"2013,2014,2017,2018,2019,2020,2021,2022,2023,2024",26,51,0,285,469,104,235,503,439,855,60
guc,Latn,guc_Latn,Wayuu,C,Lu,LATIN CAPITAL LETTER C,2938,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",29,38,6,191,116,131,549,403,454,961,60
guc,Latn,guc_Latn,Wayuu,f,Ll,LATIN SMALL LETTER F,2722,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",10,179,1,283,20,77,84,128,561,1288,91
guc,Latn,guc_Latn,Wayuu,ó,Ll,LATIN SMALL LETTER O WITH ACUTE,2592,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",1,87,13,195,17,98,100,142,555,1298,86
guc,Latn,guc_Latn,Wayuu,q,Ll,LATIN SMALL LETTER Q,2508,9,"2014,2017,2018,2019,2020,2021,2022,2023,2024",0,94,0,177,6,39,92,130,706,1165,99
guc,Latn,guc_Latn,Wayuu,L,Lu,LATIN CAPITAL LETTER L,2312,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",15,33,2,424,109,238,402,259,292,505,33
guc,Latn,guc_Latn,Wayuu,1,Nd,DIGIT ONE,2275,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",38,8,2,133,193,146,66,187,501,972,29
guc,Latn,guc_Latn,Wayuu,O,Lu,LATIN CAPITAL LETTER O,2237,10,"2013,2014,2017,2018,2019,2020,2021,2022,2023,2024",19,14,0,254,169,100,524,437,306,401,13
guc,Latn,guc_Latn,Wayuu,’,Pf,RIGHT SINGLE QUOTATION MARK,2201,10,"2013,2014,2017,2018,2019,2020,2021,2022,2023,2024",1,151,0,146,71,63,124,508,318,784,35
guc,Latn,guc_Latn,Wayuu,W,Lu,LATIN CAPITAL LETTER W,2136,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",14,30,1,197,482,167,44,394,361,414,32
guc,Latn,guc_Latn,Wayuu,U,Lu,LATIN CAPITAL LETTER U,1940,10,"2013,2014,2017,2018,2019,2020,2021,2022,2023,2024",18,10,0,207,201,61,565,367,170,327,14
guc,Latn,guc_Latn,Wayuu,R,Lu,LATIN CAPITAL LETTER R,1802,10,"2013,2014,2017,2018,2019,2020,2021,2022,2023,2024",11,12,0,142,146,89,583,263,122,424,10
guc,Latn,guc_Latn,Wayuu,2,Nd,DIGIT TWO,1723,10,"2013,2014,2017,2018,2019,2020,2021,2022,2023,2024",38,8,0,98,101,82,45,106,320,874,51
guc,Latn,guc_Latn,Wayuu,0,Nd,DIGIT ZERO,1713,10,"2013,2014,2017,2018,2019,2020,2021,2022,2023,2024",11,5,0,63,115,123,58,188,295,817,38
guc,Latn,guc_Latn,Wayuu,í,Ll,LATIN SMALL LETTER I WITH ACUTE,1702,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",13,78,6,216,41,61,62,171,333,680,41
guc,Latn,guc_Latn,Wayuu,z,Ll,LATIN SMALL LETTER Z,1694,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",2,58,2,213,25,82,40,104,515,566,87
guc,Latn,guc_Latn,Wayuu,K,Lu,LATIN CAPITAL LETTER K,1635,10,"2013,2014,2017,2018,2019,2020,2021,2022,2023,2024",13,10,0,375,387,115,33,236,177,275,14
