iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
guj,Latn,guj_Latn,Gujarati,a,Ll,LATIN SMALL LETTER A,590304,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",79492,51770,5073,2069,48404,41260,138750,30536,74464,22799,79828,15859
guj,Latn,guj_Latn,Gujarati, ,Zs,SPACE,480795,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",64090,39799,4460,2265,41910,43780,103656,33113,53220,25984,55035,13483
guj,Latn,guj_Latn,Gujarati,e,Ll,LATIN SMALL LETTER E,187030,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",24133,17620,1678,804,17362,15262,44012,11812,19658,10170,19370,5149
guj,Latn,guj_Latn,Gujarati,h,Ll,LATIN SMALL LETTER H,181464,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",24892,15866,1463,768,13761,13180,40725,11364,22251,8257,24507,4430
guj,Latn,guj_Latn,Gujarati,n,Ll,LATIN SMALL LETTER N,158969,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",23813,10813,1529,659,12670,12734,40260,10396,18448,7584,15822,4241
guj,Latn,guj_Latn,Gujarati,i,Ll,LATIN SMALL LETTER I,150127,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",20477,9808,1688,678,12265,13333,34092,10735,17881,7773,17585,3812
guj,Latn,guj_Latn,Gujarati,t,Ll,LATIN SMALL LETTER T,122717,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",16160,10168,1009,571,11091,11215,23504,8376,15274,6373,15838,3138
guj,Latn,guj_Latn,Gujarati,r,Ll,LATIN SMALL LETTER R,114483,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",18315,7989,1328,523,10765,9894,18227,7408,15364,6111,15040,3519
guj,Latn,guj_Latn,Gujarati,o,Ll,LATIN SMALL LETTER O,91199,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",11372,8711,755,467,7887,8575,17057,6794,10934,5601,10293,2753
guj,Latn,guj_Latn,Gujarati,m,Ll,LATIN SMALL LETTER M,89657,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",9958,7372,673,425,7166,6741,24797,4915,9593,3977,11679,2361
guj,Latn,guj_Latn,Gujarati,s,Ll,LATIN SMALL LETTER S,83453,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",8514,4665,644,321,6886,6132,21094,4643,11276,4288,12774,2216
guj,Latn,guj_Latn,Gujarati,u,Ll,LATIN SMALL LETTER U,73590,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",8144,4890,582,366,6013,5902,20693,5037,8965,3715,7242,2041
guj,Latn,guj_Latn,Gujarati,d,Ll,LATIN SMALL LETTER D,71120,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",10509,4412,614,292,5428,5613,18859,4574,9316,3188,6603,1712
guj,Latn,guj_Latn,Gujarati,k,Ll,LATIN SMALL LETTER K,68611,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",7967,5297,557,308,6005,6117,11592,4459,10031,3004,11281,1993
guj,Latn,guj_Latn,Gujarati,v,Ll,LATIN SMALL LETTER V,60363,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",7450,4323,468,182,4559,4740,18139,3493,6087,2588,7511,823
guj,Latn,guj_Latn,Gujarati,l,Ll,LATIN SMALL LETTER L,56618,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",5588,6431,399,279,5406,4856,12471,3968,8487,3265,3652,1816
guj,Latn,guj_Latn,Gujarati,y,Ll,LATIN SMALL LETTER Y,54028,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",6516,4303,433,246,4896,4323,12786,3133,6092,2476,7445,1379
guj,Latn,guj_Latn,Gujarati,p,Ll,LATIN SMALL LETTER P,46244,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",5425,3552,410,200,3957,3825,9920,3091,6418,2463,5753,1230
guj,Latn,guj_Latn,Gujarati,b,Ll,LATIN SMALL LETTER B,36918,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",4337,2808,353,128,3211,3218,8255,2441,5507,1834,3650,1176
guj,Latn,guj_Latn,Gujarati,j,Ll,LATIN SMALL LETTER J,36410,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",6206,3667,679,182,3273,3869,4531,2615,4649,1914,3713,1112
guj,Latn,guj_Latn,Gujarati,g,Ll,LATIN SMALL LETTER G,34677,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",4268,3279,357,163,2660,2638,8835,2374,5135,1772,2514,682
guj,Latn,guj_Latn,Gujarati,c,Ll,LATIN SMALL LETTER C,34354,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",4377,4108,298,225,3635,3402,3639,2784,4914,2661,3449,862
guj,Latn,guj_Latn,Gujarati,.,Po,FULL STOP,32518,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2222,4493,320,137,3311,2564,3510,2571,3288,2830,6424,848
guj,Latn,guj_Latn,Gujarati,",",Po,COMMA,14261,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3432,938,148,108,1640,1244,1539,834,913,715,2254,496
guj,Latn,guj_Latn,Gujarati,-,Pd,HYPHEN-MINUS,10051,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2623,1475,119,17,1034,818,1652,693,579,275,643,123
guj,Latn,guj_Latn,Gujarati,S,Lu,LATIN CAPITAL LETTER S,9417,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1487,453,114,70,1134,795,971,834,1204,815,1109,431
guj,Latn,guj_Latn,Gujarati,A,Lu,LATIN CAPITAL LETTER A,8952,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",565,1094,141,51,1382,833,1087,769,1077,842,762,349
guj,Latn,guj_Latn,Gujarati,f,Ll,LATIN SMALL LETTER F,7702,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",763,433,73,58,805,745,1023,734,1007,876,680,505
guj,Latn,guj_Latn,Gujarati,T,Lu,LATIN CAPITAL LETTER T,7392,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2078,1072,67,41,773,477,766,505,531,462,429,191
guj,Latn,guj_Latn,Gujarati,w,Ll,LATIN SMALL LETTER W,6621,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",336,294,33,75,968,572,880,486,1105,753,730,389
guj,Latn,guj_Latn,Gujarati,M,Lu,LATIN CAPITAL LETTER M,6398,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",547,555,38,44,984,506,768,621,761,435,774,365
guj,Latn,guj_Latn,Gujarati,),Pe,RIGHT PARENTHESIS,5190,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",342,86,18,6,273,264,3204,51,182,137,574,53
guj,Latn,guj_Latn,Gujarati,1,Nd,DIGIT ONE,5135,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1003,167,54,8,439,652,868,222,412,444,734,132
guj,Latn,guj_Latn,Gujarati,(,Ps,LEFT PARENTHESIS,5030,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",342,86,18,6,264,154,3188,49,182,112,575,54
guj,Latn,guj_Latn,Gujarati,D,Lu,LATIN CAPITAL LETTER D,4780,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",627,1227,34,29,739,358,429,344,351,288,239,115
guj,Latn,guj_Latn,Gujarati,N,Lu,LATIN CAPITAL LETTER N,4647,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",382,1006,86,22,665,391,483,464,487,311,296,54
guj,Latn,guj_Latn,Gujarati,P,Lu,LATIN CAPITAL LETTER P,4537,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",520,258,58,20,570,460,537,420,614,393,520,167
guj,Latn,guj_Latn,Gujarati,2,Nd,DIGIT TWO,4269,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",710,134,45,10,304,434,796,222,373,365,526,350
guj,Latn,guj_Latn,Gujarati,E,Lu,LATIN CAPITAL LETTER E,4153,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",558,602,108,17,503,428,426,294,251,650,239,77
guj,Latn,guj_Latn,Gujarati,H,Lu,LATIN CAPITAL LETTER H,4066,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",590,584,69,22,556,328,578,351,315,341,223,109
guj,Latn,guj_Latn,Gujarati,B,Lu,LATIN CAPITAL LETTER B,3756,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",486,269,25,26,429,379,683,313,428,294,287,137
guj,Latn,guj_Latn,Gujarati,’,Pf,RIGHT SINGLE QUOTATION MARK,3554,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",4,26,0,7,179,183,84,24,13,66,2872,96
guj,Latn,guj_Latn,Gujarati,0,Nd,DIGIT ZERO,3514,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",331,101,10,20,383,477,657,222,267,392,371,283
guj,Latn,guj_Latn,Gujarati,G,Lu,LATIN CAPITAL LETTER G,3379,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",570,228,70,16,386,327,504,279,371,315,232,81
guj,Latn,guj_Latn,Gujarati,K,Lu,LATIN CAPITAL LETTER K,3289,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",396,327,57,38,425,290,371,333,479,211,228,134
