iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2019_frequency
guk,Ethi,guk_Ethi,Gumuz, ,Zs,SPACE,90958,3,"2013,2014,2019",85105,5507,346
guk,Ethi,guk_Ethi,Gumuz,ከ,Lo,ETHIOPIC SYLLABLE KA,19863,3,"2013,2014,2019",18688,1135,40
guk,Ethi,guk_Ethi,Gumuz,አ,Lo,ETHIOPIC SYLLABLE GLOTTAL A,10737,3,"2013,2014,2019",10095,620,22
guk,Ethi,guk_Ethi,Gumuz,ገ,Lo,ETHIOPIC SYLLABLE GA,10588,3,"2013,2014,2019",9946,627,15
guk,Ethi,guk_Ethi,Gumuz,ማ,Lo,ETHIOPIC SYLLABLE MAA,10551,3,"2013,2014,2019",9805,707,39
guk,Ethi,guk_Ethi,Gumuz,ም,Lo,ETHIOPIC SYLLABLE ME,10239,3,"2013,2014,2019",9620,584,35
guk,Ethi,guk_Ethi,Gumuz,፥,Po,ETHIOPIC COLON,9692,3,"2013,2014,2019",9072,576,44
guk,Ethi,guk_Ethi,Gumuz,ኤ,Lo,ETHIOPIC SYLLABLE GLOTTAL EE,9598,3,"2013,2014,2019",9063,508,27
guk,Ethi,guk_Ethi,Gumuz,መ,Lo,ETHIOPIC SYLLABLE MA,9381,3,"2013,2014,2019",8811,551,19
guk,Ethi,guk_Ethi,Gumuz,በ,Lo,ETHIOPIC SYLLABLE BA,9192,3,"2013,2014,2019",8652,525,15
guk,Ethi,guk_Ethi,Gumuz,ን,Lo,ETHIOPIC SYLLABLE NE,9046,3,"2013,2014,2019",8488,526,32
guk,Ethi,guk_Ethi,Gumuz,ካ,Lo,ETHIOPIC SYLLABLE KAA,8093,3,"2013,2014,2019",7654,428,11
guk,Ethi,guk_Ethi,Gumuz,ል,Lo,ETHIOPIC SYLLABLE LE,7438,3,"2013,2014,2019",6984,434,20
guk,Ethi,guk_Ethi,Gumuz,።,Po,ETHIOPIC FULL STOP,6084,3,"2013,2014,2019",5692,365,27
guk,Ethi,guk_Ethi,Gumuz,ኳ,Lo,ETHIOPIC SYLLABLE KWAA,5947,3,"2013,2014,2019",5600,322,25
guk,Ethi,guk_Ethi,Gumuz,ለ,Lo,ETHIOPIC SYLLABLE LA,5776,3,"2013,2014,2019",5432,335,9
guk,Ethi,guk_Ethi,Gumuz,ያ,Lo,ETHIOPIC SYLLABLE YAA,5748,3,"2013,2014,2019",5382,326,40
guk,Ethi,guk_Ethi,Gumuz,ቤ,Lo,ETHIOPIC SYLLABLE BEE,5506,3,"2013,2014,2019",5138,307,61
guk,Ethi,guk_Ethi,Gumuz,ሥ,Lo,ETHIOPIC SYLLABLE SZE,5303,3,"2013,2014,2019",4957,333,13
guk,Ethi,guk_Ethi,Gumuz,ቆ,Lo,ETHIOPIC SYLLABLE QO,5265,3,"2013,2014,2019",4913,329,23
guk,Ethi,guk_Ethi,Gumuz,ተ,Lo,ETHIOPIC SYLLABLE TA,5056,3,"2013,2014,2019",4732,317,7
guk,Ethi,guk_Ethi,Gumuz,ደ,Lo,ETHIOPIC SYLLABLE DA,5052,3,"2013,2014,2019",4788,262,2
guk,Ethi,guk_Ethi,Gumuz,ነ,Lo,ETHIOPIC SYLLABLE NA,4824,3,"2013,2014,2019",4455,350,19
guk,Ethi,guk_Ethi,Gumuz,ስ,Lo,ETHIOPIC SYLLABLE SE,4430,3,"2013,2014,2019",4141,249,40
guk,Ethi,guk_Ethi,Gumuz,እ,Lo,ETHIOPIC SYLLABLE GLOTTAL E,3794,3,"2013,2014,2019",3510,270,14
guk,Ethi,guk_Ethi,Gumuz,ጋ,Lo,ETHIOPIC SYLLABLE GAA,3692,3,"2013,2014,2019",3454,233,5
guk,Ethi,guk_Ethi,Gumuz,ዳ,Lo,ETHIOPIC SYLLABLE DAA,3655,3,"2013,2014,2019",3437,206,12
guk,Ethi,guk_Ethi,Gumuz,ር,Lo,ETHIOPIC SYLLABLE RE,3625,3,"2013,2014,2019",3418,189,18
guk,Ethi,guk_Ethi,Gumuz,ጎ,Lo,ETHIOPIC SYLLABLE GO,3583,3,"2013,2014,2019",3335,239,9
guk,Ethi,guk_Ethi,Gumuz,ኸ,Lo,ETHIOPIC SYLLABLE KXA,3555,3,"2013,2014,2019",3333,220,2
guk,Ethi,guk_Ethi,Gumuz,ኮ,Lo,ETHIOPIC SYLLABLE KO,3550,3,"2013,2014,2019",3322,218,10
guk,Ethi,guk_Ethi,Gumuz,ባ,Lo,ETHIOPIC SYLLABLE BAA,3487,3,"2013,2014,2019",3270,207,10
guk,Ethi,guk_Ethi,Gumuz,ቢ,Lo,ETHIOPIC SYLLABLE BI,3347,3,"2013,2014,2019",3048,290,9
guk,Ethi,guk_Ethi,Gumuz,"""",Po,QUOTATION MARK,3200,3,"2013,2014,2019",3009,183,8
guk,Ethi,guk_Ethi,Gumuz,ጸ,Lo,ETHIOPIC SYLLABLE TSA,3109,3,"2013,2014,2019",2928,178,3
guk,Ethi,guk_Ethi,Gumuz,ኻ,Lo,ETHIOPIC SYLLABLE KXAA,2801,2,"2013,2014",2598,203,0
guk,Ethi,guk_Ethi,Gumuz,ኼ,Lo,ETHIOPIC SYLLABLE KXEE,2567,3,"2013,2014,2019",2435,128,4
guk,Ethi,guk_Ethi,Gumuz,ላ,Lo,ETHIOPIC SYLLABLE LAA,2559,3,"2013,2014,2019",2387,166,6
guk,Ethi,guk_Ethi,Gumuz,1,Nd,DIGIT ONE,2383,3,"2013,2014,2019",2230,139,14
guk,Ethi,guk_Ethi,Gumuz,ኢ,Lo,ETHIOPIC SYLLABLE GLOTTAL I,2365,3,"2013,2014,2019",2222,137,6
guk,Ethi,guk_Ethi,Gumuz,ኣ,Lo,ETHIOPIC SYLLABLE GLOTTAL AA,2297,3,"2013,2014,2019",2146,119,32
guk,Ethi,guk_Ethi,Gumuz,ሸ,Lo,ETHIOPIC SYLLABLE SHA,2277,3,"2013,2014,2019",2137,137,3
guk,Ethi,guk_Ethi,Gumuz,ራ,Lo,ETHIOPIC SYLLABLE RAA,2245,3,"2013,2014,2019",2102,128,15
guk,Ethi,guk_Ethi,Gumuz,ኽ,Lo,ETHIOPIC SYLLABLE KXE,2242,3,"2013,2014,2019",2076,123,43
guk,Ethi,guk_Ethi,Gumuz,፤,Po,ETHIOPIC SEMICOLON,2028,3,"2013,2014,2019",1912,112,4
guk,Ethi,guk_Ethi,Gumuz,ዪ,Lo,ETHIOPIC SYLLABLE YI,1958,3,"2013,2014,2019",1823,124,11
guk,Ethi,guk_Ethi,Gumuz,ረ,Lo,ETHIOPIC SYLLABLE RA,1937,3,"2013,2014,2019",1832,101,4
guk,Ethi,guk_Ethi,Gumuz,2,Nd,DIGIT TWO,1813,3,"2013,2014,2019",1699,105,9
guk,Ethi,guk_Ethi,Gumuz,ዥ,Lo,ETHIOPIC SYLLABLE ZHE,1711,3,"2013,2014,2019",1603,103,5
guk,Ethi,guk_Ethi,Gumuz,ና,Lo,ETHIOPIC SYLLABLE NAA,1619,3,"2013,2014,2019",1535,78,6
guk,Ethi,guk_Ethi,Gumuz,ዎ,Lo,ETHIOPIC SYLLABLE WO,1615,3,"2013,2014,2019",1522,91,2
guk,Ethi,guk_Ethi,Gumuz,ሽ,Lo,ETHIOPIC SYLLABLE SHE,1592,3,"2013,2014,2019",1505,83,4
guk,Ethi,guk_Ethi,Gumuz,ኖ,Lo,ETHIOPIC SYLLABLE NO,1574,3,"2013,2014,2019",1483,85,6
guk,Ethi,guk_Ethi,Gumuz,ት,Lo,ETHIOPIC SYLLABLE TE,1566,3,"2013,2014,2019",1428,126,12
guk,Ethi,guk_Ethi,Gumuz,ሱ,Lo,ETHIOPIC SYLLABLE SU,1487,3,"2013,2014,2019",1431,50,6
guk,Ethi,guk_Ethi,Gumuz,ሰ,Lo,ETHIOPIC SYLLABLE SA,1476,3,"2013,2014,2019",1393,76,7
guk,Ethi,guk_Ethi,Gumuz,ታ,Lo,ETHIOPIC SYLLABLE TAA,1442,3,"2013,2014,2019",1341,94,7
guk,Ethi,guk_Ethi,Gumuz,ሻ,Lo,ETHIOPIC SYLLABLE SHAA,1398,2,"2013,2014",1311,87,0
guk,Ethi,guk_Ethi,Gumuz,ሜ,Lo,ETHIOPIC SYLLABLE MEE,1313,2,"2013,2014",1229,84,0
guk,Ethi,guk_Ethi,Gumuz,ሠ,Lo,ETHIOPIC SYLLABLE SZA,1297,3,"2013,2014,2019",1219,76,2
guk,Ethi,guk_Ethi,Gumuz,3,Nd,DIGIT THREE,1282,3,"2013,2014,2019",1201,78,3
guk,Ethi,guk_Ethi,Gumuz,ዶ,Lo,ETHIOPIC SYLLABLE DO,1224,3,"2013,2014,2019",1125,94,5
guk,Ethi,guk_Ethi,Gumuz,ፀ,Lo,ETHIOPIC SYLLABLE TZA,1214,3,"2013,2014,2019",1153,60,1
guk,Ethi,guk_Ethi,Gumuz,ፄ,Lo,ETHIOPIC SYLLABLE TZEE,1145,3,"2013,2014,2019",1049,89,7
guk,Ethi,guk_Ethi,Gumuz,ሎ,Lo,ETHIOPIC SYLLABLE LO,1096,3,"2013,2014,2019",995,95,6
guk,Ethi,guk_Ethi,Gumuz,ሳ,Lo,ETHIOPIC SYLLABLE SAA,1084,3,"2013,2014,2019",1006,71,7
guk,Ethi,guk_Ethi,Gumuz,ኦ,Lo,ETHIOPIC SYLLABLE GLOTTAL O,1079,3,"2013,2014,2019",996,78,5
guk,Ethi,guk_Ethi,Gumuz,ግ,Lo,ETHIOPIC SYLLABLE GE,1071,3,"2013,2014,2019",974,94,3
guk,Ethi,guk_Ethi,Gumuz,ዴ,Lo,ETHIOPIC SYLLABLE DEE,1062,3,"2013,2014,2019",995,65,2
guk,Ethi,guk_Ethi,Gumuz,ዋ,Lo,ETHIOPIC SYLLABLE WAA,1060,3,"2013,2014,2019",981,74,5
guk,Ethi,guk_Ethi,Gumuz,ጦ,Lo,ETHIOPIC SYLLABLE THO,1016,2,"2013,2014",918,98,0
guk,Ethi,guk_Ethi,Gumuz,ብ,Lo,ETHIOPIC SYLLABLE BE,1013,3,"2013,2014,2019",957,43,13
guk,Ethi,guk_Ethi,Gumuz,ፈ,Lo,ETHIOPIC SYLLABLE FA,1009,3,"2013,2014,2019",950,57,2
guk,Ethi,guk_Ethi,Gumuz,ሣ,Lo,ETHIOPIC SYLLABLE SZAA,981,3,"2013,2014,2019",908,69,4
guk,Ethi,guk_Ethi,Gumuz,4,Nd,DIGIT FOUR,942,3,"2013,2014,2019",875,64,3
guk,Ethi,guk_Ethi,Gumuz,ቶ,Lo,ETHIOPIC SYLLABLE TO,941,3,"2013,2014,2019",892,45,4
guk,Ethi,guk_Ethi,Gumuz,ድ,Lo,ETHIOPIC SYLLABLE DE,865,3,"2013,2014,2019",803,54,8
guk,Ethi,guk_Ethi,Gumuz,ሁ,Lo,ETHIOPIC SYLLABLE HU,817,3,"2013,2014,2019",783,31,3
guk,Ethi,guk_Ethi,Gumuz,ጓ,Lo,ETHIOPIC SYLLABLE GWAA,813,3,"2013,2014,2019",760,52,1
guk,Ethi,guk_Ethi,Gumuz,ዱ,Lo,ETHIOPIC SYLLABLE DU,786,3,"2013,2014,2019",723,57,6
guk,Ethi,guk_Ethi,Gumuz,ሮ,Lo,ETHIOPIC SYLLABLE RO,761,3,"2013,2014,2019",707,48,6
guk,Ethi,guk_Ethi,Gumuz,5,Nd,DIGIT FIVE,734,3,"2013,2014,2019",692,39,3
guk,Ethi,guk_Ethi,Gumuz,ሙ,Lo,ETHIOPIC SYLLABLE MU,727,2,"2013,2014",690,37,0
guk,Ethi,guk_Ethi,Gumuz,?,Po,QUESTION MARK,717,2,"2013,2014",687,30,0
guk,Ethi,guk_Ethi,Gumuz,ፋ,Lo,ETHIOPIC SYLLABLE FAA,709,3,"2013,2014,2019",665,40,4
guk,Ethi,guk_Ethi,Gumuz,ይ,Lo,ETHIOPIC SYLLABLE YE,701,3,"2013,2014,2019",645,50,6
guk,Ethi,guk_Ethi,Gumuz,ቋ,Lo,ETHIOPIC SYLLABLE QWAA,681,3,"2013,2014,2019",634,41,6
guk,Ethi,guk_Ethi,Gumuz,',Po,APOSTROPHE,676,3,"2013,2014,2019",622,50,4
guk,Ethi,guk_Ethi,Gumuz,ቸ,Lo,ETHIOPIC SYLLABLE CA,674,3,"2013,2014,2019",615,58,1
guk,Ethi,guk_Ethi,Gumuz,ኬ,Lo,ETHIOPIC SYLLABLE KEE,666,2,"2013,2014",632,34,0
guk,Ethi,guk_Ethi,Gumuz,ኪ,Lo,ETHIOPIC SYLLABLE KI,651,3,"2013,2014,2019",620,29,2
guk,Ethi,guk_Ethi,Gumuz,ቾ,Lo,ETHIOPIC SYLLABLE CO,651,2,"2013,2014",625,26,0
guk,Ethi,guk_Ethi,Gumuz,ጨ,Lo,ETHIOPIC SYLLABLE CHA,637,2,"2013,2014",601,36,0
guk,Ethi,guk_Ethi,Gumuz,ዛ,Lo,ETHIOPIC SYLLABLE ZAA,630,3,"2013,2014,2019",591,33,6
guk,Ethi,guk_Ethi,Gumuz,ዌ,Lo,ETHIOPIC SYLLABLE WEE,625,2,"2013,2014",587,38,0
guk,Ethi,guk_Ethi,Gumuz,6,Nd,DIGIT SIX,624,3,"2013,2014,2019",589,33,2
