iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2019_frequency,year_2022_frequency,year_2023_frequency
gvc,Latn,gvc_Latn,Guanano, ,Zs,SPACE,5580,5,"2013,2014,2019,2022,2023",866,946,1392,2112,264
gvc,Latn,gvc_Latn,Guanano,a,Ll,LATIN SMALL LETTER A,4391,5,"2013,2014,2019,2022,2023",668,818,970,1741,194
gvc,Latn,gvc_Latn,Guanano,i,Ll,LATIN SMALL LETTER I,2640,5,"2013,2014,2019,2022,2023",422,423,696,975,124
gvc,Latn,gvc_Latn,Guanano,r,Ll,LATIN SMALL LETTER R,2431,5,"2013,2014,2019,2022,2023",341,364,732,919,75
gvc,Latn,gvc_Latn,Guanano,o,Ll,LATIN SMALL LETTER O,2293,5,"2013,2014,2019,2022,2023",414,358,625,798,98
gvc,Latn,gvc_Latn,Guanano,h,Ll,LATIN SMALL LETTER H,1910,5,"2013,2014,2019,2022,2023",279,372,506,688,65
gvc,Latn,gvc_Latn,Guanano,e,Ll,LATIN SMALL LETTER E,1902,5,"2013,2014,2019,2022,2023",224,277,566,756,79
gvc,Latn,gvc_Latn,Guanano,n,Ll,LATIN SMALL LETTER N,1288,5,"2013,2014,2019,2022,2023",189,203,300,494,102
gvc,Latn,gvc_Latn,Guanano,t,Ll,LATIN SMALL LETTER T,1284,5,"2013,2014,2019,2022,2023",195,229,358,441,61
gvc,Latn,gvc_Latn,Guanano,u,Ll,LATIN SMALL LETTER U,1144,5,"2013,2014,2019,2022,2023",289,291,180,326,58
gvc,Latn,gvc_Latn,Guanano,c,Ll,LATIN SMALL LETTER C,1087,5,"2013,2014,2019,2022,2023",195,191,234,426,41
gvc,Latn,gvc_Latn,Guanano,ʉ,Ll,LATIN SMALL LETTER U BAR,1018,4,"2014,2019,2022,2023",0,32,402,552,32
gvc,Latn,gvc_Latn,Guanano,s,Ll,LATIN SMALL LETTER S,949,5,"2013,2014,2019,2022,2023",119,131,262,378,59
gvc,Latn,gvc_Latn,Guanano,m,Ll,LATIN SMALL LETTER M,926,5,"2013,2014,2019,2022,2023",138,129,228,388,43
gvc,Latn,gvc_Latn,Guanano,j,Ll,LATIN SMALL LETTER J,701,5,"2013,2014,2019,2022,2023",146,111,187,237,20
gvc,Latn,gvc_Latn,Guanano,y,Ll,LATIN SMALL LETTER Y,581,5,"2013,2014,2019,2022,2023",45,82,150,274,30
gvc,Latn,gvc_Latn,Guanano,p,Ll,LATIN SMALL LETTER P,547,5,"2013,2014,2019,2022,2023",131,120,97,169,30
gvc,Latn,gvc_Latn,Guanano,.,Po,FULL STOP,524,5,"2013,2014,2019,2022,2023",95,78,122,198,31
gvc,Latn,gvc_Latn,Guanano,̶,Mn,COMBINING LONG STROKE OVERLAY,370,2,"2013,2014",209,161,0,0,0
gvc,Latn,gvc_Latn,Guanano,ã,Ll,LATIN SMALL LETTER A WITH TILDE,331,5,"2013,2014,2019,2022,2023",29,66,90,142,4
gvc,Latn,gvc_Latn,Guanano,d,Ll,LATIN SMALL LETTER D,284,5,"2013,2014,2019,2022,2023",40,61,60,99,24
gvc,Latn,gvc_Latn,Guanano,w,Ll,LATIN SMALL LETTER W,258,5,"2013,2014,2019,2022,2023",40,60,41,98,19
gvc,Latn,gvc_Latn,Guanano,b,Ll,LATIN SMALL LETTER B,257,5,"2013,2014,2019,2022,2023",56,45,53,89,14
gvc,Latn,gvc_Latn,Guanano,",",Po,COMMA,251,5,"2013,2014,2019,2022,2023",39,50,50,96,16
gvc,Latn,gvc_Latn,Guanano,C,Lu,LATIN CAPITAL LETTER C,164,5,"2013,2014,2019,2022,2023",19,24,59,56,6
gvc,Latn,gvc_Latn,Guanano,T,Lu,LATIN CAPITAL LETTER T,159,5,"2013,2014,2019,2022,2023",23,34,37,56,9
gvc,Latn,gvc_Latn,Guanano,J,Lu,LATIN CAPITAL LETTER J,158,4,"2013,2014,2019,2022",36,19,53,50,0
gvc,Latn,gvc_Latn,Guanano,ñ,Ll,LATIN SMALL LETTER N WITH TILDE,137,5,"2013,2014,2019,2022,2023",11,30,37,56,3
gvc,Latn,gvc_Latn,Guanano,l,Ll,LATIN SMALL LETTER L,129,5,"2013,2014,2019,2022,2023",26,24,11,36,32
gvc,Latn,gvc_Latn,Guanano,Ã,Lu,LATIN CAPITAL LETTER A WITH TILDE,107,5,"2013,2014,2019,2022,2023",10,22,25,47,3
gvc,Latn,gvc_Latn,Guanano,1,Nd,DIGIT ONE,96,5,"2013,2014,2019,2022,2023",27,14,23,31,1
gvc,Latn,gvc_Latn,Guanano,—,Pd,EM DASH,82,4,"2013,2014,2019,2022",2,12,56,12,0
gvc,Latn,gvc_Latn,Guanano,g,Ll,LATIN SMALL LETTER G,80,5,"2013,2014,2019,2022,2023",6,21,10,15,28
gvc,Latn,gvc_Latn,Guanano,A,Lu,LATIN CAPITAL LETTER A,74,5,"2013,2014,2019,2022,2023",39,5,14,11,5
gvc,Latn,gvc_Latn,Guanano,M,Lu,LATIN CAPITAL LETTER M,71,5,"2013,2014,2019,2022,2023",17,5,17,28,4
gvc,Latn,gvc_Latn,Guanano,P,Lu,LATIN CAPITAL LETTER P,71,5,"2013,2014,2019,2022,2023",11,4,14,37,5
gvc,Latn,gvc_Latn,Guanano,:,Po,COLON,62,5,"2013,2014,2019,2022,2023",9,13,25,9,6
gvc,Latn,gvc_Latn,Guanano,õ,Ll,LATIN SMALL LETTER O WITH TILDE,61,5,"2013,2014,2019,2022,2023",17,6,24,13,1
gvc,Latn,gvc_Latn,Guanano,2,Nd,DIGIT TWO,55,5,"2013,2014,2019,2022,2023",11,9,16,18,1
gvc,Latn,gvc_Latn,Guanano,í,Ll,LATIN SMALL LETTER I WITH ACUTE,53,4,"2013,2014,2019,2022",15,8,7,23,0
gvc,Latn,gvc_Latn,Guanano,S,Lu,LATIN CAPITAL LETTER S,53,5,"2013,2014,2019,2022,2023",16,4,16,14,3
gvc,Latn,gvc_Latn,Guanano,ũ,Ll,LATIN SMALL LETTER U WITH TILDE,51,4,"2013,2014,2019,2022",9,13,6,23,0
gvc,Latn,gvc_Latn,Guanano,“,Pi,LEFT DOUBLE QUOTATION MARK,47,4,"2013,2014,2019,2022",4,7,12,24,0
gvc,Latn,gvc_Latn,Guanano,”,Pf,RIGHT DOUBLE QUOTATION MARK,47,4,"2013,2014,2019,2022",4,7,12,24,0
gvc,Latn,gvc_Latn,Guanano,B,Lu,LATIN CAPITAL LETTER B,39,5,"2013,2014,2019,2022,2023",13,9,4,8,5
gvc,Latn,gvc_Latn,Guanano,E,Lu,LATIN CAPITAL LETTER E,38,4,"2013,2014,2019,2022",24,6,5,3,0
gvc,Latn,gvc_Latn,Guanano,N,Lu,LATIN CAPITAL LETTER N,35,5,"2013,2014,2019,2022,2023",7,4,15,8,1
gvc,Latn,gvc_Latn,Guanano,̃,Mn,COMBINING TILDE,35,2,"2019,2022",0,0,12,23,0
gvc,Latn,gvc_Latn,Guanano,ó,Ll,LATIN SMALL LETTER O WITH ACUTE,34,5,"2013,2014,2019,2022,2023",8,3,4,18,1
gvc,Latn,gvc_Latn,Guanano,3,Nd,DIGIT THREE,33,4,"2013,2014,2019,2022",3,3,17,10,0
gvc,Latn,gvc_Latn,Guanano,f,Ll,LATIN SMALL LETTER F,31,5,"2013,2014,2019,2022,2023",5,4,3,3,16
gvc,Latn,gvc_Latn,Guanano,4,Nd,DIGIT FOUR,29,5,"2013,2014,2019,2022,2023",3,3,15,7,1
