iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2019_frequency
gvl,Latn,gvl_Latn,Gulay, ,Zs,SPACE,259049,5,"2014,2015,2016,2017,2019",199840,30562,6588,10360,11699
gvl,Latn,gvl_Latn,Gulay,e,Ll,LATIN SMALL LETTER E,123407,5,"2014,2015,2016,2017,2019",95020,14390,3189,4914,5894
gvl,Latn,gvl_Latn,Gulay,n,Ll,LATIN SMALL LETTER N,100616,5,"2014,2015,2016,2017,2019",77688,12002,2591,3802,4533
gvl,Latn,gvl_Latn,Gulay,a,Ll,LATIN SMALL LETTER A,82182,5,"2014,2015,2016,2017,2019",63318,9871,1878,3411,3704
gvl,Latn,gvl_Latn,Gulay,k,Ll,LATIN SMALL LETTER K,50313,5,"2014,2015,2016,2017,2019",38627,5985,1190,2096,2415
gvl,Latn,gvl_Latn,Gulay,i,Ll,LATIN SMALL LETTER I,49430,5,"2014,2015,2016,2017,2019",38364,5634,1223,1925,2284
gvl,Latn,gvl_Latn,Gulay,d,Ll,LATIN SMALL LETTER D,47437,5,"2014,2015,2016,2017,2019",36685,5453,1252,1843,2204
gvl,Latn,gvl_Latn,Gulay,t,Ll,LATIN SMALL LETTER T,41894,5,"2014,2015,2016,2017,2019",32258,5001,1065,1664,1906
gvl,Latn,gvl_Latn,Gulay,g,Ll,LATIN SMALL LETTER G,39927,5,"2014,2015,2016,2017,2019",30560,4874,1045,1554,1894
gvl,Latn,gvl_Latn,Gulay,o,Ll,LATIN SMALL LETTER O,32152,5,"2014,2015,2016,2017,2019",24549,3789,969,1181,1664
gvl,Latn,gvl_Latn,Gulay,r,Ll,LATIN SMALL LETTER R,29723,5,"2014,2015,2016,2017,2019",22790,3509,807,1222,1395
gvl,Latn,gvl_Latn,Gulay,u,Ll,LATIN SMALL LETTER U,29609,5,"2014,2015,2016,2017,2019",22812,3428,715,1203,1451
gvl,Latn,gvl_Latn,Gulay,’,Pf,RIGHT SINGLE QUOTATION MARK,28121,5,"2014,2015,2016,2017,2019",21971,3112,623,1207,1208
gvl,Latn,gvl_Latn,Gulay,l,Ll,LATIN SMALL LETTER L,26438,5,"2014,2015,2016,2017,2019",20472,2942,715,1102,1207
gvl,Latn,gvl_Latn,Gulay,è,Ll,LATIN SMALL LETTER E WITH GRAVE,26121,5,"2014,2015,2016,2017,2019",20115,3010,688,1080,1228
gvl,Latn,gvl_Latn,Gulay,m,Ll,LATIN SMALL LETTER M,25931,5,"2014,2015,2016,2017,2019",20040,3059,538,1133,1161
gvl,Latn,gvl_Latn,Gulay,s,Ll,LATIN SMALL LETTER S,21947,5,"2014,2015,2016,2017,2019",17233,2420,525,855,914
gvl,Latn,gvl_Latn,Gulay,é,Ll,LATIN SMALL LETTER E WITH ACUTE,21745,5,"2014,2015,2016,2017,2019",16836,2501,504,878,1026
gvl,Latn,gvl_Latn,Gulay,j,Ll,LATIN SMALL LETTER J,18719,5,"2014,2015,2016,2017,2019",14574,2163,480,708,794
gvl,Latn,gvl_Latn,Gulay,b,Ll,LATIN SMALL LETTER B,13945,5,"2014,2015,2016,2017,2019",10724,1666,349,584,622
gvl,Latn,gvl_Latn,Gulay,ɔ,Ll,LATIN SMALL LETTER OPEN O,13325,5,"2014,2015,2016,2017,2019",10246,1510,408,499,662
gvl,Latn,gvl_Latn,Gulay,.,Po,FULL STOP,13316,5,"2014,2015,2016,2017,2019",10270,1581,345,554,566
gvl,Latn,gvl_Latn,Gulay,",",Po,COMMA,10304,5,"2014,2015,2016,2017,2019",7917,1276,248,408,455
gvl,Latn,gvl_Latn,Gulay,ɓ,Ll,LATIN SMALL LETTER B WITH HOOK,9075,5,"2014,2015,2016,2017,2019",6987,1045,232,379,432
gvl,Latn,gvl_Latn,Gulay,-,Pd,HYPHEN-MINUS,8978,5,"2014,2015,2016,2017,2019",6924,1125,227,332,370
gvl,Latn,gvl_Latn,Gulay,à,Ll,LATIN SMALL LETTER A WITH GRAVE,8943,5,"2014,2015,2016,2017,2019",6813,1242,251,306,331
gvl,Latn,gvl_Latn,Gulay,w,Ll,LATIN SMALL LETTER W,8239,5,"2014,2015,2016,2017,2019",6405,919,202,312,401
gvl,Latn,gvl_Latn,Gulay,N,Lu,LATIN CAPITAL LETTER N,7694,5,"2014,2015,2016,2017,2019",5791,1009,182,313,399
gvl,Latn,gvl_Latn,Gulay,y,Ll,LATIN SMALL LETTER Y,7482,5,"2014,2015,2016,2017,2019",5823,879,201,264,315
gvl,Latn,gvl_Latn,Gulay,á,Ll,LATIN SMALL LETTER A WITH ACUTE,5294,5,"2014,2015,2016,2017,2019",4102,676,118,198,200
gvl,Latn,gvl_Latn,Gulay,ê,Ll,LATIN SMALL LETTER E WITH CIRCUMFLEX,5052,5,"2014,2015,2016,2017,2019",3988,527,137,160,240
gvl,Latn,gvl_Latn,Gulay,K,Lu,LATIN CAPITAL LETTER K,4364,5,"2014,2015,2016,2017,2019",3330,587,95,190,162
gvl,Latn,gvl_Latn,Gulay,J,Lu,LATIN CAPITAL LETTER J,3930,5,"2014,2015,2016,2017,2019",3101,361,100,137,231
gvl,Latn,gvl_Latn,Gulay,1,Nd,DIGIT ONE,3523,5,"2014,2015,2016,2017,2019",2643,406,89,139,246
gvl,Latn,gvl_Latn,Gulay,2,Nd,DIGIT TWO,2623,5,"2014,2015,2016,2017,2019",1958,305,54,90,216
gvl,Latn,gvl_Latn,Gulay,:,Po,COLON,2533,5,"2014,2015,2016,2017,2019",1894,238,72,71,258
gvl,Latn,gvl_Latn,Gulay,p,Ll,LATIN SMALL LETTER P,2477,5,"2014,2015,2016,2017,2019",1844,336,73,123,101
gvl,Latn,gvl_Latn,Gulay,E,Lu,LATIN CAPITAL LETTER E,2104,5,"2014,2015,2016,2017,2019",1683,220,47,65,89
gvl,Latn,gvl_Latn,Gulay,M,Lu,LATIN CAPITAL LETTER M,1952,5,"2014,2015,2016,2017,2019",1459,213,24,149,107
gvl,Latn,gvl_Latn,Gulay,ò,Ll,LATIN SMALL LETTER O WITH GRAVE,1876,5,"2014,2015,2016,2017,2019",1445,218,49,84,80
gvl,Latn,gvl_Latn,Gulay,3,Nd,DIGIT THREE,1819,5,"2014,2015,2016,2017,2019",1358,216,51,55,139
gvl,Latn,gvl_Latn,Gulay,D,Lu,LATIN CAPITAL LETTER D,1751,5,"2014,2015,2016,2017,2019",1344,186,55,75,91
gvl,Latn,gvl_Latn,Gulay,h,Ll,LATIN SMALL LETTER H,1600,5,"2014,2015,2016,2017,2019",1222,143,27,84,124
gvl,Latn,gvl_Latn,Gulay,–,Pd,EN DASH,1460,5,"2014,2015,2016,2017,2019",1155,116,51,36,102
gvl,Latn,gvl_Latn,Gulay,̂,Mn,COMBINING CIRCUMFLEX ACCENT,1312,4,"2014,2015,2016,2017",1015,179,23,95,0
gvl,Latn,gvl_Latn,Gulay,4,Nd,DIGIT FOUR,1298,5,"2014,2015,2016,2017,2019",968,157,38,52,83
gvl,Latn,gvl_Latn,Gulay,T,Lu,LATIN CAPITAL LETTER T,1289,5,"2014,2015,2016,2017,2019",985,176,28,60,40
gvl,Latn,gvl_Latn,Gulay,A,Lu,LATIN CAPITAL LETTER A,1186,5,"2014,2015,2016,2017,2019",934,144,22,34,52
gvl,Latn,gvl_Latn,Gulay,L,Lu,LATIN CAPITAL LETTER L,1122,5,"2014,2015,2016,2017,2019",861,94,30,51,86
gvl,Latn,gvl_Latn,Gulay,5,Nd,DIGIT FIVE,1010,5,"2014,2015,2016,2017,2019",761,134,22,43,50
gvl,Latn,gvl_Latn,Gulay,?,Po,QUESTION MARK,1010,5,"2014,2015,2016,2017,2019",758,124,23,48,57
gvl,Latn,gvl_Latn,Gulay,P,Lu,LATIN CAPITAL LETTER P,1010,5,"2014,2015,2016,2017,2019",788,88,34,36,64
gvl,Latn,gvl_Latn,Gulay,S,Lu,LATIN CAPITAL LETTER S,912,5,"2014,2015,2016,2017,2019",723,89,23,37,40
gvl,Latn,gvl_Latn,Gulay,I,Lu,LATIN CAPITAL LETTER I,873,5,"2014,2015,2016,2017,2019",669,123,13,30,38
gvl,Latn,gvl_Latn,Gulay,6,Nd,DIGIT SIX,865,5,"2014,2015,2016,2017,2019",647,110,22,31,55
gvl,Latn,gvl_Latn,Gulay,G,Lu,LATIN CAPITAL LETTER G,855,5,"2014,2015,2016,2017,2019",668,94,18,31,44
gvl,Latn,gvl_Latn,Gulay,7,Nd,DIGIT SEVEN,809,5,"2014,2015,2016,2017,2019",605,95,21,31,57
gvl,Latn,gvl_Latn,Gulay,8,Nd,DIGIT EIGHT,764,5,"2014,2015,2016,2017,2019",573,90,20,29,52
gvl,Latn,gvl_Latn,Gulay,«,Pi,LEFT-POINTING DOUBLE ANGLE QUOTATION MARK,739,5,"2014,2015,2016,2017,2019",589,77,21,23,29
gvl,Latn,gvl_Latn,Gulay,9,Nd,DIGIT NINE,734,5,"2014,2015,2016,2017,2019",540,86,17,27,64
gvl,Latn,gvl_Latn,Gulay,c,Ll,LATIN SMALL LETTER C,730,5,"2014,2015,2016,2017,2019",544,73,7,27,79
gvl,Latn,gvl_Latn,Gulay,»,Pf,RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK,728,5,"2014,2015,2016,2017,2019",578,77,21,23,29
gvl,Latn,gvl_Latn,Gulay,ɗ,Ll,LATIN SMALL LETTER D WITH HOOK,711,5,"2014,2015,2016,2017,2019",559,70,16,30,36
gvl,Latn,gvl_Latn,Gulay,0,Nd,DIGIT ZERO,682,5,"2014,2015,2016,2017,2019",527,86,16,26,27
gvl,Latn,gvl_Latn,Gulay,B,Lu,LATIN CAPITAL LETTER B,649,5,"2014,2015,2016,2017,2019",531,48,10,29,31
gvl,Latn,gvl_Latn,Gulay,ó,Ll,LATIN SMALL LETTER O WITH ACUTE,429,5,"2014,2015,2016,2017,2019",331,63,13,8,14
gvl,Latn,gvl_Latn,Gulay,!,Po,EXCLAMATION MARK,401,5,"2014,2015,2016,2017,2019",324,36,15,12,14
gvl,Latn,gvl_Latn,Gulay,C,Lu,LATIN CAPITAL LETTER C,291,5,"2014,2015,2016,2017,2019",202,27,32,19,11
gvl,Latn,gvl_Latn,Gulay,R,Lu,LATIN CAPITAL LETTER R,274,5,"2014,2015,2016,2017,2019",220,26,1,6,21
gvl,Latn,gvl_Latn,Gulay,U,Lu,LATIN CAPITAL LETTER U,267,5,"2014,2015,2016,2017,2019",231,22,6,4,4
gvl,Latn,gvl_Latn,Gulay,H,Lu,LATIN CAPITAL LETTER H,232,5,"2014,2015,2016,2017,2019",198,25,3,2,4
gvl,Latn,gvl_Latn,Gulay,O,Lu,LATIN CAPITAL LETTER O,231,5,"2014,2015,2016,2017,2019",181,34,3,10,3
gvl,Latn,gvl_Latn,Gulay,ú,Ll,LATIN SMALL LETTER U WITH ACUTE,190,5,"2014,2015,2016,2017,2019",146,26,8,5,5
gvl,Latn,gvl_Latn,Gulay,;,Po,SEMICOLON,147,5,"2014,2015,2016,2017,2019",116,18,1,3,9
gvl,Latn,gvl_Latn,Gulay,v,Ll,LATIN SMALL LETTER V,139,5,"2014,2015,2016,2017,2019",106,13,7,7,6
gvl,Latn,gvl_Latn,Gulay,ĵ,Ll,LATIN SMALL LETTER J WITH CIRCUMFLEX,116,5,"2014,2015,2016,2017,2019",97,13,3,1,2
gvl,Latn,gvl_Latn,Gulay,q,Ll,LATIN SMALL LETTER Q,114,4,"2014,2015,2017,2019",98,9,0,2,5
gvl,Latn,gvl_Latn,Gulay,Ɓ,Lu,LATIN CAPITAL LETTER B WITH HOOK,100,5,"2014,2015,2016,2017,2019",70,17,5,4,4
gvl,Latn,gvl_Latn,Gulay,z,Ll,LATIN SMALL LETTER Z,100,5,"2014,2015,2016,2017,2019",74,6,1,17,2
gvl,Latn,gvl_Latn,Gulay,Ɔ,Lu,LATIN CAPITAL LETTER OPEN O,75,5,"2014,2015,2016,2017,2019",56,11,3,1,4
gvl,Latn,gvl_Latn,Gulay,̀,Mn,COMBINING GRAVE ACCENT,68,4,"2014,2015,2016,2019",51,12,1,0,4
gvl,Latn,gvl_Latn,Gulay,Ɗ,Lu,LATIN CAPITAL LETTER D WITH HOOK,64,4,"2014,2015,2016,2017",48,9,4,3,0
gvl,Latn,gvl_Latn,Gulay,Ḿ,Lu,LATIN CAPITAL LETTER M WITH ACUTE,61,4,"2014,2015,2016,2019",46,10,1,0,4
gvl,Latn,gvl_Latn,Gulay,Z,Lu,LATIN CAPITAL LETTER Z,55,4,"2014,2015,2017,2019",44,1,0,1,9
gvl,Latn,gvl_Latn,Gulay,W,Lu,LATIN CAPITAL LETTER W,50,3,"2014,2015,2016",45,4,1,0,0
gvl,Latn,gvl_Latn,Gulay,Y,Lu,LATIN CAPITAL LETTER Y,49,3,"2014,2015,2016",40,8,1,0,0
gvl,Latn,gvl_Latn,Gulay,^,Sk,CIRCUMFLEX ACCENT,37,5,"2014,2015,2016,2017,2019",30,2,2,1,2
gvl,Latn,gvl_Latn,Gulay,F,Lu,LATIN CAPITAL LETTER F,33,3,"2014,2015,2019",31,1,0,0,1
gvl,Latn,gvl_Latn,Gulay,x,Ll,LATIN SMALL LETTER X,31,3,"2014,2015,2019",27,1,0,0,3
gvl,Latn,gvl_Latn,Gulay,],Pe,RIGHT SQUARE BRACKET,16,1,2014,16,0,0,0,0
gvl,Latn,gvl_Latn,Gulay,[,Ps,LEFT SQUARE BRACKET,16,1,2014,16,0,0,0,0
gvl,Latn,gvl_Latn,Gulay,(,Ps,LEFT PARENTHESIS,15,2,"2014,2019",5,0,0,0,10
gvl,Latn,gvl_Latn,Gulay,),Pe,RIGHT PARENTHESIS,15,2,"2014,2019",5,0,0,0,10
gvl,Latn,gvl_Latn,Gulay,Q,Lu,LATIN CAPITAL LETTER Q,13,2,"2014,2015",12,1,0,0,0
gvl,Latn,gvl_Latn,Gulay,ŝ,Ll,LATIN SMALL LETTER S WITH CIRCUMFLEX,12,2,"2014,2015",10,2,0,0,0
gvl,Latn,gvl_Latn,Gulay,ù,Ll,LATIN SMALL LETTER U WITH GRAVE,7,1,2014,7,0,0,0,0
gvl,Latn,gvl_Latn,Gulay,ḿ,Ll,LATIN SMALL LETTER M WITH ACUTE,7,2,"2014,2015",5,2,0,0,0
gvl,Latn,gvl_Latn,Gulay,ĝ,Ll,LATIN SMALL LETTER G WITH CIRCUMFLEX,5,2,"2014,2016",1,0,4,0,0
gvl,Latn,gvl_Latn,Gulay,f,Ll,LATIN SMALL LETTER F,5,2,"2014,2019",4,0,0,0,1
gvl,Latn,gvl_Latn,Gulay,́,Mn,COMBINING ACUTE ACCENT,3,1,2014,3,0,0,0,0
gvl,Latn,gvl_Latn,Gulay,í,Ll,LATIN SMALL LETTER I WITH ACUTE,2,1,2014,2,0,0,0,0
gvl,Latn,gvl_Latn,Gulay,‘,Pi,LEFT SINGLE QUOTATION MARK,2,1,2014,2,0,0,0,0
gvl,Latn,gvl_Latn,Gulay,Š,Lu,LATIN CAPITAL LETTER S WITH CARON,1,1,2014,1,0,0,0,0
gvl,Latn,gvl_Latn,Gulay,ń,Ll,LATIN SMALL LETTER N WITH ACUTE,1,1,2014,1,0,0,0,0
