iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
gyr,Latn,gyr_Latn,Guarayu, ,Zs,SPACE,38598,9,"2013,2014,2017,2018,2019,2020,2022,2023,2024",5607,2350,13650,1104,8678,1366,2113,2577,1153
gyr,Latn,gyr_Latn,Guarayu,e,Ll,LATIN SMALL LETTER E,28301,9,"2013,2014,2017,2018,2019,2020,2022,2023,2024",4063,1865,9655,858,6402,1025,1709,1944,780
gyr,Latn,gyr_Latn,Guarayu,a,Ll,LATIN SMALL LETTER A,26547,9,"2013,2014,2017,2018,2019,2020,2022,2023,2024",3965,1521,9262,744,6103,925,1571,1636,820
gyr,Latn,gyr_Latn,Guarayu,o,Ll,LATIN SMALL LETTER O,15894,9,"2013,2014,2017,2018,2019,2020,2022,2023,2024",2365,1030,5414,379,3494,626,903,1270,413
gyr,Latn,gyr_Latn,Guarayu,r,Ll,LATIN SMALL LETTER R,14082,9,"2013,2014,2017,2018,2019,2020,2022,2023,2024",2221,788,4868,381,3182,510,812,950,370
gyr,Latn,gyr_Latn,Guarayu,i,Ll,LATIN SMALL LETTER I,13453,9,"2013,2014,2017,2018,2019,2020,2022,2023,2024",2315,924,4444,336,2874,504,741,908,407
gyr,Latn,gyr_Latn,Guarayu,p,Ll,LATIN SMALL LETTER P,11402,9,"2013,2014,2017,2018,2019,2020,2022,2023,2024",1495,675,4054,412,2604,362,698,733,369
gyr,Latn,gyr_Latn,Guarayu,u,Ll,LATIN SMALL LETTER U,10747,9,"2013,2014,2017,2018,2019,2020,2022,2023,2024",1188,579,3887,325,2536,460,538,915,319
gyr,Latn,gyr_Latn,Guarayu,s,Ll,LATIN SMALL LETTER S,9040,9,"2013,2014,2017,2018,2019,2020,2022,2023,2024",1289,633,3161,242,1986,353,519,610,247
gyr,Latn,gyr_Latn,Guarayu,v,Ll,LATIN SMALL LETTER V,7957,9,"2013,2014,2017,2018,2019,2020,2022,2023,2024",1192,522,2620,207,1747,336,478,624,231
gyr,Latn,gyr_Latn,Guarayu,ɨ,Ll,LATIN SMALL LETTER I WITH STROKE,7576,9,"2013,2014,2017,2018,2019,2020,2022,2023,2024",989,454,2608,264,1696,314,416,579,256
gyr,Latn,gyr_Latn,Guarayu,h,Ll,LATIN SMALL LETTER H,7354,9,"2013,2014,2017,2018,2019,2020,2022,2023,2024",258,345,3022,222,2007,289,304,650,257
gyr,Latn,gyr_Latn,Guarayu,c,Ll,LATIN SMALL LETTER C,7052,9,"2013,2014,2017,2018,2019,2020,2022,2023,2024",267,255,2929,225,1945,278,283,595,275
gyr,Latn,gyr_Latn,Guarayu,t,Ll,LATIN SMALL LETTER T,5834,9,"2013,2014,2017,2018,2019,2020,2022,2023,2024",857,332,2113,190,1241,260,323,319,199
gyr,Latn,gyr_Latn,Guarayu,m,Ll,LATIN SMALL LETTER M,5651,9,"2013,2014,2017,2018,2019,2020,2022,2023,2024",884,308,1888,161,1309,199,350,400,152
gyr,Latn,gyr_Latn,Guarayu,y,Ll,LATIN SMALL LETTER Y,5383,9,"2013,2014,2017,2018,2019,2020,2022,2023,2024",772,258,1880,169,1308,181,250,411,154
gyr,Latn,gyr_Latn,Guarayu,n,Ll,LATIN SMALL LETTER N,4731,9,"2013,2014,2017,2018,2019,2020,2022,2023,2024",708,309,1711,123,1052,165,256,272,135
gyr,Latn,gyr_Latn,Guarayu,d,Ll,LATIN SMALL LETTER D,3076,9,"2013,2014,2017,2018,2019,2020,2022,2023,2024",494,188,1128,66,652,126,148,191,83
gyr,Latn,gyr_Latn,Guarayu,b,Ll,LATIN SMALL LETTER B,3075,9,"2013,2014,2017,2018,2019,2020,2022,2023,2024",510,159,1055,87,680,113,185,201,85
