iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2017_frequency
hag,Latn,hag_Latn,Hanga, ,Zs,SPACE,245252,3,"2013,2014,2017",233030,11538,684
hag,Latn,hag_Latn,Hanga,a,Ll,LATIN SMALL LETTER A,179843,3,"2013,2014,2017",171055,8370,418
hag,Latn,hag_Latn,Hanga,i,Ll,LATIN SMALL LETTER I,126566,3,"2013,2014,2017",120107,6125,334
hag,Latn,hag_Latn,Hanga,n,Ll,LATIN SMALL LETTER N,71785,3,"2013,2014,2017",68077,3534,174
hag,Latn,hag_Latn,Hanga,e,Ll,LATIN SMALL LETTER E,43738,3,"2013,2014,2017",41611,1968,159
hag,Latn,hag_Latn,Hanga,u,Ll,LATIN SMALL LETTER U,41900,3,"2013,2014,2017",39820,1960,120
hag,Latn,hag_Latn,Hanga,s,Ll,LATIN SMALL LETTER S,34775,3,"2013,2014,2017",33100,1571,104
hag,Latn,hag_Latn,Hanga,m,Ll,LATIN SMALL LETTER M,33856,3,"2013,2014,2017",32205,1575,76
hag,Latn,hag_Latn,Hanga,b,Ll,LATIN SMALL LETTER B,33430,3,"2013,2014,2017",31649,1687,94
hag,Latn,hag_Latn,Hanga,",",Po,COMMA,32317,3,"2013,2014,2017",30770,1484,63
hag,Latn,hag_Latn,Hanga,o,Ll,LATIN SMALL LETTER O,31725,3,"2013,2014,2017",29993,1599,133
hag,Latn,hag_Latn,Hanga,y,Ll,LATIN SMALL LETTER Y,27982,3,"2013,2014,2017",26631,1270,81
hag,Latn,hag_Latn,Hanga,r,Ll,LATIN SMALL LETTER R,23861,3,"2013,2014,2017",22644,1118,99
hag,Latn,hag_Latn,Hanga,l,Ll,LATIN SMALL LETTER L,23810,3,"2013,2014,2017",22508,1216,86
hag,Latn,hag_Latn,Hanga,k,Ll,LATIN SMALL LETTER K,21574,3,"2013,2014,2017",20567,966,41
hag,Latn,hag_Latn,Hanga,t,Ll,LATIN SMALL LETTER T,19475,3,"2013,2014,2017",18572,792,111
hag,Latn,hag_Latn,Hanga,ŋ,Ll,LATIN SMALL LETTER ENG,18685,3,"2013,2014,2017",17789,861,35
hag,Latn,hag_Latn,Hanga,d,Ll,LATIN SMALL LETTER D,16600,3,"2013,2014,2017",15697,828,75
hag,Latn,hag_Latn,Hanga,p,Ll,LATIN SMALL LETTER P,14629,3,"2013,2014,2017",13944,661,24
hag,Latn,hag_Latn,Hanga,g,Ll,LATIN SMALL LETTER G,13744,3,"2013,2014,2017",13022,660,62
hag,Latn,hag_Latn,Hanga,.,Po,FULL STOP,10676,3,"2013,2014,2017",10132,508,36
hag,Latn,hag_Latn,Hanga,z,Ll,LATIN SMALL LETTER Z,10027,3,"2013,2014,2017",9557,442,28
hag,Latn,hag_Latn,Hanga,w,Ll,LATIN SMALL LETTER W,9917,3,"2013,2014,2017",9441,457,19
hag,Latn,hag_Latn,Hanga,N,Lu,LATIN CAPITAL LETTER N,5608,3,"2013,2014,2017",5310,278,20
hag,Latn,hag_Latn,Hanga,Y,Lu,LATIN CAPITAL LETTER Y,4506,3,"2013,2014,2017",4298,200,8
hag,Latn,hag_Latn,Hanga,1,Nd,DIGIT ONE,4041,3,"2013,2014,2017",3844,162,35
hag,Latn,hag_Latn,Hanga,A,Lu,LATIN CAPITAL LETTER A,3333,3,"2013,2014,2017",3173,151,9
hag,Latn,hag_Latn,Hanga,2,Nd,DIGIT TWO,2938,3,"2013,2014,2017",2801,131,6
hag,Latn,hag_Latn,Hanga,K,Lu,LATIN CAPITAL LETTER K,2583,3,"2013,2014,2017",2474,103,6
hag,Latn,hag_Latn,Hanga,h,Ll,LATIN SMALL LETTER H,2441,3,"2013,2014,2017",2305,123,13
hag,Latn,hag_Latn,Hanga,3,Nd,DIGIT THREE,2160,3,"2013,2014,2017",2034,108,18
hag,Latn,hag_Latn,Hanga,c,Ll,LATIN SMALL LETTER C,1949,3,"2013,2014,2017",1859,77,13
hag,Latn,hag_Latn,Hanga,4,Nd,DIGIT FOUR,1553,3,"2013,2014,2017",1468,78,7
hag,Latn,hag_Latn,Hanga,v,Ll,LATIN SMALL LETTER V,1473,3,"2013,2014,2017",1401,69,3
