iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
hin,Deva,hin_Deva,Hindi, ,Zs,SPACE,9962563535,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",11103217,15627647,10425550,27388034,388535724,694199337,1064212482,1210887571,1864369970,1642815754,2267560311,765437938
hin,Deva,hin_Deva,Hindi,ा,Mc,DEVANAGARI VOWEL SIGN AA,3259547755,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3618987,5080081,3307285,9081725,130628838,230848156,351958693,397949907,612186346,535715412,726179123,252993202
hin,Deva,hin_Deva,Hindi,क,Lo,DEVANAGARI LETTER KA,2819497388,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3058233,4273456,2848820,7502557,106339549,191151817,299483697,344790890,534331614,466866624,640695801,218154330
hin,Deva,hin_Deva,Hindi,र,Lo,DEVANAGARI LETTER RA,2567529379,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2804629,4003061,2631005,6905869,97657672,176962367,273760248,313821465,485664308,424399563,578271941,200647251
hin,Deva,hin_Deva,Hindi,े,Mn,DEVANAGARI VOWEL SIGN E,2552627455,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2773277,3958355,2651300,6905489,97794803,177628386,273910364,310756123,478960641,423159361,579672750,194456606
hin,Deva,hin_Deva,Hindi,्,Mn,DEVANAGARI SIGN VIRAMA,1679911466,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1890035,2687407,1769281,4511833,61870936,110868894,176744477,203627359,317511183,279095018,384986729,134348314
hin,Deva,hin_Deva,Hindi,न,Lo,DEVANAGARI LETTER NA,1626247033,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1790179,2536561,1683688,4480292,64162765,113576984,173969611,198083470,305799540,268244294,366837936,125081713
hin,Deva,hin_Deva,Hindi,स,Lo,DEVANAGARI LETTER SA,1620433055,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1776798,2568551,1726809,4323155,61380744,110661716,171077485,197156893,304841626,268161670,370798557,125959051
hin,Deva,hin_Deva,Hindi,ी,Mc,DEVANAGARI VOWEL SIGN II,1568187559,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1705388,2360163,1505541,4323965,64584257,114994280,170939326,189783583,292956567,257620234,348036056,119378199
hin,Deva,hin_Deva,Hindi,ि,Mc,DEVANAGARI VOWEL SIGN I,1542644093,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1694498,2402906,1570681,4112420,57829002,103899392,163687683,188902849,293425642,256244336,348919469,119955215
hin,Deva,hin_Deva,Hindi,ं,Mn,DEVANAGARI SIGN ANUSVARA,1457898204,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1600295,2315915,1524370,3943410,55987422,101083586,157367167,179876228,276477776,241000900,326219620,110501515
hin,Deva,hin_Deva,Hindi,ह,Lo,DEVANAGARI LETTER HA,1415595975,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1644849,2278783,1531793,3931025,59505383,100190977,153467476,173303710,264921715,234269587,314833188,105717489
hin,Deva,hin_Deva,Hindi,म,Lo,DEVANAGARI LETTER MA,1260677192,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1402241,1972898,1267754,3469787,50417768,89820925,137232866,153835340,236095889,207718811,280581221,96861692
hin,Deva,hin_Deva,Hindi,त,Lo,DEVANAGARI LETTER TA,1179483926,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1414889,1935727,1273594,3385785,48889612,81178725,126456404,142595673,218806868,192933258,268457079,92156312
hin,Deva,hin_Deva,Hindi,ल,Lo,DEVANAGARI LETTER LA,1116844448,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1184959,1716712,1145307,2956897,42455561,78612802,120099291,135728075,210573554,184506927,252582598,85281765
hin,Deva,hin_Deva,Hindi,ो,Mc,DEVANAGARI VOWEL SIGN O,1098540258,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1164814,1658018,1101599,2925434,42990038,75803336,115731191,135139702,208128585,180917745,248576804,84402992
hin,Deva,hin_Deva,Hindi,प,Lo,DEVANAGARI LETTER PA,1029307665,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1112626,1564806,1049184,2677516,37367772,68355056,108658391,123796226,192472598,170608444,239395668,82249378
hin,Deva,hin_Deva,Hindi,य,Lo,DEVANAGARI LETTER YA,900543875,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1011907,1365696,878363,2486111,34680994,60939195,95361773,110259451,169966849,149106741,203645097,70841698
hin,Deva,hin_Deva,Hindi,व,Lo,DEVANAGARI LETTER VA,730165057,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",837870,1221060,810044,2029556,27936540,49221236,77853347,89733127,138884490,120624033,163499561,57514193
hin,Deva,hin_Deva,Hindi,द,Lo,DEVANAGARI LETTER DA,699791032,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",796827,1162864,749860,2024680,29084480,51060641,76978613,85743161,131090950,114588348,152936650,53573958
hin,Deva,hin_Deva,Hindi,ज,Lo,DEVANAGARI LETTER JA,675877808,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",728500,1006136,675429,1839793,27068069,47688351,71732201,81352794,126209615,111473463,152716083,53387374
hin,Deva,hin_Deva,Hindi,ब,Lo,DEVANAGARI LETTER BA,636619811,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",700389,972123,634665,1741641,25758091,46194731,69617953,77239818,118730302,104828761,142671241,47530096
hin,Deva,hin_Deva,Hindi,ै,Mn,DEVANAGARI VOWEL SIGN AI,591727475,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",647417,900113,601401,1479199,22048472,38526932,62297699,71438761,110490519,98035610,139896594,45364758
hin,Deva,hin_Deva,Hindi,ग,Lo,DEVANAGARI LETTER GA,574002210,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",608764,836208,540066,1536006,22690593,40519466,61131818,69467575,108096885,94649486,129245345,44679998
hin,Deva,hin_Deva,Hindi,ु,Mn,DEVANAGARI VOWEL SIGN U,494382329,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",575923,855058,567653,1423661,20843768,36352040,54131420,60284030,92177172,81005360,108785712,37380532
hin,Deva,hin_Deva,Hindi,ट,Lo,DEVANAGARI LETTER TTA,433145013,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",408158,639072,462185,1005850,13817931,28478869,44960539,51922403,82099104,72813394,102756421,33781087
hin,Deva,hin_Deva,Hindi,ए,Lo,DEVANAGARI LETTER E,395811758,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",424216,611668,416179,973563,13395962,25671598,41744358,48984193,75934457,66244158,90843483,30567923
hin,Deva,hin_Deva,Hindi,श,Lo,DEVANAGARI LETTER SHA,353705771,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",382477,569597,371984,961227,13334639,24306149,37787622,43047794,66744258,58483610,80054055,27662359
hin,Deva,hin_Deva,Hindi,।,Po,DEVANAGARI DANDA,338928431,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",352312,543651,383873,858054,13325924,21172153,34570272,41169463,66068812,57119517,76992522,26371878
hin,Deva,hin_Deva,Hindi,अ,Lo,DEVANAGARI LETTER A,317217300,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",362915,513063,344009,873247,12332545,21443358,33649305,38287240,59338945,52867979,72599017,24605677
hin,Deva,hin_Deva,Hindi,च,Lo,DEVANAGARI LETTER CA,316668898,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",359050,496737,312045,878656,12799471,22323799,34831450,38726623,59265584,52008815,70690690,23975978
