iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
hmo,Latn,hmo_Latn,Hiri Motu,a,Ll,LATIN SMALL LETTER A,1370274,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",3004,1346,100,566,730631,93695,4453,279968,230565,22934,3012
hmo,Latn,hmo_Latn,Hiri Motu, ,Zs,SPACE,1250173,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",4220,1054,72,782,704045,81402,4195,234537,197007,19474,3385
hmo,Latn,hmo_Latn,Hiri Motu,i,Ll,LATIN SMALL LETTER I,749686,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",1953,581,75,397,406159,49672,1418,150913,124558,12358,1602
hmo,Latn,hmo_Latn,Hiri Motu,e,Ll,LATIN SMALL LETTER E,530602,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",1903,409,29,409,307218,32509,2997,96051,80019,7777,1281
hmo,Latn,hmo_Latn,Hiri Motu,n,Ll,LATIN SMALL LETTER N,449413,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",1295,448,19,265,247912,29502,1486,86609,73724,6959,1194
hmo,Latn,hmo_Latn,Hiri Motu,o,Ll,LATIN SMALL LETTER O,383353,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",1220,277,25,265,213986,24828,2027,71123,61924,6341,1337
hmo,Latn,hmo_Latn,Hiri Motu,d,Ll,LATIN SMALL LETTER D,326498,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",826,235,33,185,177458,20997,1254,64701,54315,5571,923
hmo,Latn,hmo_Latn,Hiri Motu,u,Ll,LATIN SMALL LETTER U,313753,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",894,194,9,169,165804,21751,1140,62985,54992,5181,634
hmo,Latn,hmo_Latn,Hiri Motu,r,Ll,LATIN SMALL LETTER R,204592,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",889,182,17,191,125282,11945,1068,34029,27663,2829,497
hmo,Latn,hmo_Latn,Hiri Motu,b,Ll,LATIN SMALL LETTER B,184226,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",485,179,15,100,99389,12736,277,36382,31287,3054,322
