iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
hne,Deva,hne_Deva,Chhattisgarhi, ,Zs,SPACE,6515865,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",12475,579,1348,6347,966529,620278,778161,1036838,966692,839187,998980,288451
hne,Deva,hne_Deva,Chhattisgarhi,ा,Mc,DEVANAGARI VOWEL SIGN AA,1965232,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",4018,138,473,2272,341066,222491,280498,239441,239290,224707,319475,91363
hne,Deva,hne_Deva,Chhattisgarhi,र,Lo,DEVANAGARI LETTER RA,1558481,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2877,110,322,1578,258415,180246,211435,198792,196461,178909,257508,71828
hne,Deva,hne_Deva,Chhattisgarhi,े,Mn,DEVANAGARI VOWEL SIGN E,1495972,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3023,127,356,1886,244190,149305,203361,184420,191336,184593,257742,75633
hne,Deva,hne_Deva,Chhattisgarhi,क,Lo,DEVANAGARI LETTER KA,1366040,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2502,96,294,1389,219303,147932,179971,176707,180227,162669,228614,66336
hne,Deva,hne_Deva,Chhattisgarhi,न,Lo,DEVANAGARI LETTER NA,1069142,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1880,76,258,1048,175469,114997,141560,144774,142736,130648,166833,48863
hne,Deva,hne_Deva,Chhattisgarhi,म,Lo,DEVANAGARI LETTER MA,1001807,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1644,73,225,938,155751,111880,128282,140033,134521,122170,159428,46862
hne,Deva,hne_Deva,Chhattisgarhi,ह,Lo,DEVANAGARI LETTER HA,914731,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1565,66,211,1032,149246,87085,116014,130990,128820,114478,143581,41643
hne,Deva,hne_Deva,Chhattisgarhi,स,Lo,DEVANAGARI LETTER SA,873296,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1695,76,188,799,141138,96704,114328,121415,117420,104425,136738,38370
hne,Deva,hne_Deva,Chhattisgarhi,ि,Mc,DEVANAGARI VOWEL SIGN I,808149,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1310,55,138,792,130092,94529,107436,107997,104972,92483,131301,37044
hne,Deva,hne_Deva,Chhattisgarhi,ल,Lo,DEVANAGARI LETTER LA,800233,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1645,59,137,869,129330,85252,104966,99561,101145,96278,140996,39995
hne,Deva,hne_Deva,Chhattisgarhi,त,Lo,DEVANAGARI LETTER TA,756135,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1511,63,181,807,133468,85374,104885,97244,94127,85883,120080,32512
hne,Deva,hne_Deva,Chhattisgarhi,ी,Mc,DEVANAGARI VOWEL SIGN II,657674,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1467,64,161,723,109955,77078,94372,78661,79664,75917,109455,30157
hne,Deva,hne_Deva,Chhattisgarhi,्,Mn,DEVANAGARI SIGN VIRAMA,615819,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1107,64,127,427,100099,95255,91208,69070,69634,62047,102131,24650
hne,Deva,hne_Deva,Chhattisgarhi,ं,Mn,DEVANAGARI SIGN ANUSVARA,540310,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1057,30,100,615,89961,57348,67263,69976,65476,66770,95189,26525
hne,Deva,hne_Deva,Chhattisgarhi,य,Lo,DEVANAGARI LETTER YA,533404,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",869,24,101,394,83450,61612,67181,70620,64662,63868,94262,26361
hne,Deva,hne_Deva,Chhattisgarhi,ब,Lo,DEVANAGARI LETTER BA,520008,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1047,46,125,612,91122,50728,71342,66636,64444,61349,87087,25470
hne,Deva,hne_Deva,Chhattisgarhi,ो,Mc,DEVANAGARI VOWEL SIGN O,502809,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1006,46,108,702,87806,49454,65281,60106,65324,61813,86005,25158
