iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2014_frequency,year_2016_frequency,year_2018_frequency,year_2019_frequency,year_2021_frequency,year_2023_frequency
hop,Latn,hop_Latn,Hopi, ,Zs,SPACE,3355,6,"2014,2016,2018,2019,2021,2023",1135,174,507,186,292,1061
hop,Latn,hop_Latn,Hopi,a,Ll,LATIN SMALL LETTER A,2799,6,"2014,2016,2018,2019,2021,2023",973,141,484,141,334,726
hop,Latn,hop_Latn,Hopi,t,Ll,LATIN SMALL LETTER T,1539,6,"2014,2016,2018,2019,2021,2023",448,51,252,105,137,546
hop,Latn,hop_Latn,Hopi,i,Ll,LATIN SMALL LETTER I,1522,6,"2014,2016,2018,2019,2021,2023",446,73,181,102,123,597
hop,Latn,hop_Latn,Hopi,n,Ll,LATIN SMALL LETTER N,1281,6,"2014,2016,2018,2019,2021,2023",302,46,192,82,115,544
hop,Latn,hop_Latn,Hopi,u,Ll,LATIN SMALL LETTER U,1030,6,"2014,2016,2018,2019,2021,2023",356,36,126,88,153,271
hop,Latn,hop_Latn,Hopi,w,Ll,LATIN SMALL LETTER W,871,6,"2014,2016,2018,2019,2021,2023",330,34,145,43,94,225
hop,Latn,hop_Latn,Hopi,o,Ll,LATIN SMALL LETTER O,824,6,"2014,2016,2018,2019,2021,2023",234,51,137,36,59,307
hop,Latn,hop_Latn,Hopi,e,Ll,LATIN SMALL LETTER E,811,6,"2014,2016,2018,2019,2021,2023",190,48,62,52,32,427
hop,Latn,hop_Latn,Hopi,p,Ll,LATIN SMALL LETTER P,807,6,"2014,2016,2018,2019,2021,2023",314,67,129,27,66,204
hop,Latn,hop_Latn,Hopi,s,Ll,LATIN SMALL LETTER S,791,6,"2014,2016,2018,2019,2021,2023",223,32,112,38,68,318
hop,Latn,hop_Latn,Hopi,y,Ll,LATIN SMALL LETTER Y,788,6,"2014,2016,2018,2019,2021,2023",256,47,116,46,114,209
hop,Latn,hop_Latn,Hopi,m,Ll,LATIN SMALL LETTER M,734,6,"2014,2016,2018,2019,2021,2023",242,42,128,57,101,164
hop,Latn,hop_Latn,Hopi,h,Ll,LATIN SMALL LETTER H,653,6,"2014,2016,2018,2019,2021,2023",237,28,111,32,81,164
hop,Latn,hop_Latn,Hopi,q,Ll,LATIN SMALL LETTER Q,625,6,"2014,2016,2018,2019,2021,2023",294,11,122,26,99,73
hop,Latn,hop_Latn,Hopi,l,Ll,LATIN SMALL LETTER L,352,6,"2014,2016,2018,2019,2021,2023",94,24,31,29,24,150
hop,Latn,hop_Latn,Hopi,r,Ll,LATIN SMALL LETTER R,344,6,"2014,2016,2018,2019,2021,2023",54,26,35,20,10,199
hop,Latn,hop_Latn,Hopi,k,Ll,LATIN SMALL LETTER K,290,6,"2014,2016,2018,2019,2021,2023",110,17,35,12,44,72
hop,Latn,hop_Latn,Hopi,g,Ll,LATIN SMALL LETTER G,245,5,"2014,2016,2018,2019,2023",18,18,10,22,0,177
hop,Latn,hop_Latn,Hopi,.,Po,FULL STOP,225,6,"2014,2016,2018,2019,2021,2023",65,1,41,21,27,70
hop,Latn,hop_Latn,Hopi,v,Ll,LATIN SMALL LETTER V,214,6,"2014,2016,2018,2019,2021,2023",88,14,32,15,21,44
hop,Latn,hop_Latn,Hopi,d,Ll,LATIN SMALL LETTER D,199,6,"2014,2016,2018,2019,2021,2023",33,13,17,9,2,125
hop,Latn,hop_Latn,Hopi,",",Po,COMMA,198,5,"2014,2018,2019,2021,2023",65,0,26,5,28,74
hop,Latn,hop_Latn,Hopi,ṅ,Ll,LATIN SMALL LETTER N WITH DOT ABOVE,163,3,"2014,2018,2021",93,0,22,0,48,0
hop,Latn,hop_Latn,Hopi,c,Ll,LATIN SMALL LETTER C,161,5,"2014,2016,2018,2019,2023",5,10,10,5,0,131
hop,Latn,hop_Latn,Hopi,’,Pf,RIGHT SINGLE QUOTATION MARK,142,4,"2014,2018,2019,2021",59,0,28,22,33,0
hop,Latn,hop_Latn,Hopi,N,Lu,LATIN CAPITAL LETTER N,106,6,"2014,2016,2018,2019,2021,2023",57,4,27,2,13,3
hop,Latn,hop_Latn,Hopi,C,Lu,LATIN CAPITAL LETTER C,79,6,"2014,2016,2018,2019,2021,2023",7,3,8,1,4,56
hop,Latn,hop_Latn,Hopi,P,Lu,LATIN CAPITAL LETTER P,77,6,"2014,2016,2018,2019,2021,2023",33,5,7,3,4,25
hop,Latn,hop_Latn,Hopi,b,Ll,LATIN SMALL LETTER B,75,4,"2014,2018,2019,2023",10,0,21,10,0,34
hop,Latn,hop_Latn,Hopi,I,Lu,LATIN CAPITAL LETTER I,74,6,"2014,2016,2018,2019,2021,2023",8,1,7,12,6,40
hop,Latn,hop_Latn,Hopi,1,Nd,DIGIT ONE,71,6,"2014,2016,2018,2019,2021,2023",26,2,15,4,11,13
hop,Latn,hop_Latn,Hopi,:,Po,COLON,71,5,"2014,2018,2019,2021,2023",33,0,4,1,3,30
hop,Latn,hop_Latn,Hopi,J,Lu,LATIN CAPITAL LETTER J,69,5,"2014,2018,2019,2021,2023",31,0,28,3,4,3
hop,Latn,hop_Latn,Hopi,T,Lu,LATIN CAPITAL LETTER T,68,6,"2014,2016,2018,2019,2021,2023",18,7,7,7,7,22
hop,Latn,hop_Latn,Hopi,ā,Ll,LATIN SMALL LETTER A WITH MACRON,63,3,"2014,2018,2021",33,0,22,0,8,0
hop,Latn,hop_Latn,Hopi,A,Lu,LATIN CAPITAL LETTER A,60,6,"2014,2016,2018,2019,2021,2023",5,2,13,5,1,34
hop,Latn,hop_Latn,Hopi,á,Ll,LATIN SMALL LETTER A WITH ACUTE,59,3,"2014,2018,2021",15,0,43,0,1,0
hop,Latn,hop_Latn,Hopi,;,Po,SEMICOLON,55,3,"2014,2018,2021",22,0,31,0,2,0
hop,Latn,hop_Latn,Hopi,f,Ll,LATIN SMALL LETTER F,54,5,"2014,2016,2018,2019,2023",6,4,2,5,0,37
hop,Latn,hop_Latn,Hopi,2,Nd,DIGIT TWO,46,5,"2014,2018,2019,2021,2023",16,0,11,3,2,14
