iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2016_frequency,year_2017_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency
hto,Latn,hto_Latn,Minica Huitoto, ,Zs,SPACE,292181,7,"2013,2014,2016,2017,2019,2020,2021",221517,6485,1425,14367,47188,859,340
hto,Latn,hto_Latn,Minica Huitoto,a,Ll,LATIN SMALL LETTER A,229039,7,"2013,2014,2016,2017,2019,2020,2021",172407,5188,1168,11098,38365,540,273
hto,Latn,hto_Latn,Minica Huitoto,e,Ll,LATIN SMALL LETTER E,157984,7,"2013,2014,2016,2017,2019,2020,2021",119824,3632,796,7879,25308,365,180
hto,Latn,hto_Latn,Minica Huitoto,i,Ll,LATIN SMALL LETTER I,150022,7,"2013,2014,2016,2017,2019,2020,2021",113343,3353,743,7465,24647,304,167
hto,Latn,hto_Latn,Minica Huitoto,o,Ll,LATIN SMALL LETTER O,142023,7,"2013,2014,2016,2017,2019,2020,2021",106428,3011,765,7025,24084,530,180
hto,Latn,hto_Latn,Minica Huitoto,ù,Ll,LATIN SMALL LETTER U WITH GRAVE,105604,5,"2013,2014,2016,2017,2020",93080,3290,845,8261,0,128,0
hto,Latn,hto_Latn,Minica Huitoto,n,Ll,LATIN SMALL LETTER N,104987,7,"2013,2014,2016,2017,2019,2020,2021",79220,2446,525,5047,17446,203,100
hto,Latn,hto_Latn,Minica Huitoto,m,Ll,LATIN SMALL LETTER M,89398,7,"2013,2014,2016,2017,2019,2020,2021",66974,1795,434,4661,15033,372,129
hto,Latn,hto_Latn,Minica Huitoto,u,Ll,LATIN SMALL LETTER U,74689,7,"2013,2014,2016,2017,2019,2020,2021",56351,1473,327,3616,12710,122,90
hto,Latn,hto_Latn,Minica Huitoto,d,Ll,LATIN SMALL LETTER D,72033,7,"2013,2014,2016,2017,2019,2020,2021",54608,1576,376,3444,11835,128,66
hto,Latn,hto_Latn,Minica Huitoto,c,Ll,LATIN SMALL LETTER C,68599,7,"2013,2014,2016,2017,2019,2020,2021",51665,1483,346,3384,11483,132,106
hto,Latn,hto_Latn,Minica Huitoto,ɨ,Ll,LATIN SMALL LETTER I WITH STROKE,64636,4,"2013,2019,2020,2021",34026,0,0,0,30203,138,269
hto,Latn,hto_Latn,Minica Huitoto,l,Ll,LATIN SMALL LETTER L,61700,7,"2013,2014,2016,2017,2019,2020,2021",46023,1428,338,2943,10729,158,81
hto,Latn,hto_Latn,Minica Huitoto,r,Ll,LATIN SMALL LETTER R,54774,7,"2013,2014,2016,2017,2019,2020,2021",41042,1267,352,2703,9213,133,64
hto,Latn,hto_Latn,Minica Huitoto,f,Ll,LATIN SMALL LETTER F,51465,7,"2013,2014,2016,2017,2019,2020,2021",38751,1244,208,2568,8581,59,54
hto,Latn,hto_Latn,Minica Huitoto,í,Ll,LATIN SMALL LETTER I WITH ACUTE,39126,7,"2013,2014,2016,2017,2019,2020,2021",29239,805,220,1881,6825,117,39
hto,Latn,hto_Latn,Minica Huitoto,t,Ll,LATIN SMALL LETTER T,36454,7,"2013,2014,2016,2017,2019,2020,2021",27396,653,190,1828,6265,84,38
hto,Latn,hto_Latn,Minica Huitoto,á,Ll,LATIN SMALL LETTER A WITH ACUTE,34810,7,"2013,2014,2016,2017,2019,2020,2021",26140,818,149,1715,5869,73,46
hto,Latn,hto_Latn,Minica Huitoto,j,Ll,LATIN SMALL LETTER J,32965,7,"2013,2014,2016,2017,2019,2020,2021",24869,898,160,1633,5311,58,36
hto,Latn,hto_Latn,Minica Huitoto,.,Po,FULL STOP,31641,7,"2013,2014,2016,2017,2019,2020,2021",23740,751,174,1569,5226,142,39
hto,Latn,hto_Latn,Minica Huitoto,z,Ll,LATIN SMALL LETTER Z,27982,7,"2013,2014,2016,2017,2019,2020,2021",20931,616,151,1464,4713,68,39
hto,Latn,hto_Latn,Minica Huitoto,ó,Ll,LATIN SMALL LETTER O WITH ACUTE,24755,7,"2013,2014,2016,2017,2019,2020,2021",18650,552,111,1303,4034,58,47
hto,Latn,hto_Latn,Minica Huitoto,ñ,Ll,LATIN SMALL LETTER N WITH TILDE,22540,7,"2013,2014,2016,2017,2019,2020,2021",16929,428,113,1140,3865,32,33
hto,Latn,hto_Latn,Minica Huitoto,é,Ll,LATIN SMALL LETTER E WITH ACUTE,19280,7,"2013,2014,2016,2017,2019,2020,2021",14427,465,123,964,3234,50,17
hto,Latn,hto_Latn,Minica Huitoto,b,Ll,LATIN SMALL LETTER B,18039,7,"2013,2014,2016,2017,2019,2020,2021",13549,407,96,893,3016,64,14
hto,Latn,hto_Latn,Minica Huitoto,",",Po,COMMA,16184,7,"2013,2014,2016,2017,2019,2020,2021",12580,356,69,757,2370,32,20
hto,Latn,hto_Latn,Minica Huitoto,J,Lu,LATIN CAPITAL LETTER J,15457,7,"2013,2014,2016,2017,2019,2020,2021",11693,326,59,735,2552,82,10
hto,Latn,hto_Latn,Minica Huitoto,g,Ll,LATIN SMALL LETTER G,14501,7,"2013,2014,2016,2017,2019,2020,2021",10762,413,67,718,2477,38,26
hto,Latn,hto_Latn,Minica Huitoto,s,Ll,LATIN SMALL LETTER S,11007,7,"2013,2014,2016,2017,2019,2020,2021",8378,271,51,503,1684,111,9
hto,Latn,hto_Latn,Minica Huitoto,à,Ll,LATIN SMALL LETTER A WITH GRAVE,10795,5,"2013,2014,2016,2017,2020",9249,744,56,737,0,9,0
hto,Latn,hto_Latn,Minica Huitoto,A,Lu,LATIN CAPITAL LETTER A,10143,7,"2013,2014,2016,2017,2019,2020,2021",7462,283,48,451,1820,70,9
hto,Latn,hto_Latn,Minica Huitoto,ú,Ll,LATIN SMALL LETTER U WITH ACUTE,9592,7,"2013,2014,2016,2017,2019,2020,2021",7336,230,57,481,1475,8,5
hto,Latn,hto_Latn,Minica Huitoto,M,Lu,LATIN CAPITAL LETTER M,6213,7,"2013,2014,2016,2017,2019,2020,2021",4831,116,35,326,869,26,10
hto,Latn,hto_Latn,Minica Huitoto,́,Mn,COMBINING ACUTE ACCENT,5647,4,"2013,2019,2020,2021",3068,0,0,0,2550,9,20
hto,Latn,hto_Latn,Minica Huitoto,I,Lu,LATIN CAPITAL LETTER I,5632,7,"2013,2014,2016,2017,2019,2020,2021",4109,173,28,314,912,94,2
hto,Latn,hto_Latn,Minica Huitoto,1,Nd,DIGIT ONE,5625,7,"2013,2014,2016,2017,2019,2020,2021",4196,172,34,286,897,29,11
hto,Latn,hto_Latn,Minica Huitoto,D,Lu,LATIN CAPITAL LETTER D,4627,7,"2013,2014,2016,2017,2019,2020,2021",3481,84,20,229,790,20,3
hto,Latn,hto_Latn,Minica Huitoto,2,Nd,DIGIT TWO,4006,7,"2013,2014,2016,2017,2019,2020,2021",3068,91,19,194,612,20,2
hto,Latn,hto_Latn,Minica Huitoto,:,Po,COLON,3708,7,"2013,2014,2016,2017,2019,2020,2021",2909,112,14,170,497,4,2
hto,Latn,hto_Latn,Minica Huitoto,C,Lu,LATIN CAPITAL LETTER C,3644,7,"2013,2014,2016,2017,2019,2020,2021",2749,60,19,190,617,4,5
hto,Latn,hto_Latn,Minica Huitoto,N,Lu,LATIN CAPITAL LETTER N,2751,7,"2013,2014,2016,2017,2019,2020,2021",2112,65,15,109,436,10,4
