iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency
huv,Latn,huv_Latn,San Mateo Del Mar Huave, ,Zs,SPACE,52281,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",4303,1070,575,1438,1167,41726,748,292,962
huv,Latn,huv_Latn,San Mateo Del Mar Huave,a,Ll,LATIN SMALL LETTER A,50036,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",4059,1063,492,1243,1120,40087,677,336,959
huv,Latn,huv_Latn,San Mateo Del Mar Huave,n,Ll,LATIN SMALL LETTER N,29435,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",2336,564,293,668,558,23740,487,249,540
huv,Latn,huv_Latn,San Mateo Del Mar Huave,i,Ll,LATIN SMALL LETTER I,21682,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",1685,436,273,636,487,17248,356,154,407
huv,Latn,huv_Latn,San Mateo Del Mar Huave,e,Ll,LATIN SMALL LETTER E,19751,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",1551,391,190,628,476,15685,347,122,361
huv,Latn,huv_Latn,San Mateo Del Mar Huave,ü,Ll,LATIN SMALL LETTER U WITH DIAERESIS,14965,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",1171,276,212,293,314,12125,171,98,305
huv,Latn,huv_Latn,San Mateo Del Mar Huave,o,Ll,LATIN SMALL LETTER O,14654,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",1179,193,129,471,327,11773,245,87,250
huv,Latn,huv_Latn,San Mateo Del Mar Huave,m,Ll,LATIN SMALL LETTER M,14370,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",1180,219,174,378,340,11491,173,88,327
huv,Latn,huv_Latn,San Mateo Del Mar Huave,t,Ll,LATIN SMALL LETTER T,14219,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",1093,263,161,429,375,11383,181,87,247
huv,Latn,huv_Latn,San Mateo Del Mar Huave,j,Ll,LATIN SMALL LETTER J,13240,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",986,343,144,309,288,10714,143,86,227
huv,Latn,huv_Latn,San Mateo Del Mar Huave,w,Ll,LATIN SMALL LETTER W,9687,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",711,202,132,266,191,7816,83,49,237
huv,Latn,huv_Latn,San Mateo Del Mar Huave,c,Ll,LATIN SMALL LETTER C,9582,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",806,172,75,245,229,7655,140,83,177
huv,Latn,huv_Latn,San Mateo Del Mar Huave,s,Ll,LATIN SMALL LETTER S,9500,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",638,174,86,320,258,7637,186,60,141
huv,Latn,huv_Latn,San Mateo Del Mar Huave,l,Ll,LATIN SMALL LETTER L,9331,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",700,185,111,378,180,7396,162,37,182
huv,Latn,huv_Latn,San Mateo Del Mar Huave,g,Ll,LATIN SMALL LETTER G,8830,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",711,176,73,173,183,7180,111,59,164
huv,Latn,huv_Latn,San Mateo Del Mar Huave,y,Ll,LATIN SMALL LETTER Y,6318,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",486,128,68,144,117,5126,93,33,123
huv,Latn,huv_Latn,San Mateo Del Mar Huave,r,Ll,LATIN SMALL LETTER R,5617,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",498,78,41,224,135,4351,150,43,97
huv,Latn,huv_Latn,San Mateo Del Mar Huave,p,Ll,LATIN SMALL LETTER P,5079,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",430,111,41,139,101,4071,62,24,100
huv,Latn,huv_Latn,San Mateo Del Mar Huave,u,Ll,LATIN SMALL LETTER U,4912,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",475,146,74,177,114,3712,82,35,97
huv,Latn,huv_Latn,San Mateo Del Mar Huave,d,Ll,LATIN SMALL LETTER D,4230,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",374,79,59,187,98,3226,105,20,82
huv,Latn,huv_Latn,San Mateo Del Mar Huave,x,Ll,LATIN SMALL LETTER X,4061,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",342,66,48,77,105,3259,50,28,86
huv,Latn,huv_Latn,San Mateo Del Mar Huave,",",Po,COMMA,3877,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",347,78,49,93,80,3068,58,27,77
huv,Latn,huv_Latn,San Mateo Del Mar Huave,.,Po,FULL STOP,3269,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",295,88,38,68,74,2561,47,22,76
huv,Latn,huv_Latn,San Mateo Del Mar Huave,h,Ll,LATIN SMALL LETTER H,2518,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",246,37,9,77,67,1981,29,20,52
huv,Latn,huv_Latn,San Mateo Del Mar Huave,b,Ll,LATIN SMALL LETTER B,2389,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",223,43,37,71,44,1833,64,13,61
huv,Latn,huv_Latn,San Mateo Del Mar Huave,T,Lu,LATIN CAPITAL LETTER T,2216,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",159,47,17,15,69,1827,25,11,46
huv,Latn,huv_Latn,San Mateo Del Mar Huave,q,Ll,LATIN SMALL LETTER Q,2161,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",185,69,42,52,60,1679,20,11,43
huv,Latn,huv_Latn,San Mateo Del Mar Huave,D,Lu,LATIN CAPITAL LETTER D,1258,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",119,19,5,13,33,1038,9,7,15
huv,Latn,huv_Latn,San Mateo Del Mar Huave,á,Ll,LATIN SMALL LETTER A WITH ACUTE,1153,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",95,16,10,18,22,952,9,8,23
huv,Latn,huv_Latn,San Mateo Del Mar Huave,N,Lu,LATIN CAPITAL LETTER N,1134,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",87,44,9,28,23,912,8,6,17
huv,Latn,huv_Latn,San Mateo Del Mar Huave,1,Nd,DIGIT ONE,1062,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",109,23,13,17,25,833,8,11,23
huv,Latn,huv_Latn,San Mateo Del Mar Huave,C,Lu,LATIN CAPITAL LETTER C,1033,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",61,15,9,9,34,858,24,2,21
huv,Latn,huv_Latn,San Mateo Del Mar Huave,A,Lu,LATIN CAPITAL LETTER A,879,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",134,28,6,15,16,635,14,4,27
huv,Latn,huv_Latn,San Mateo Del Mar Huave,2,Nd,DIGIT TWO,650,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",69,16,7,7,14,523,4,2,8
huv,Latn,huv_Latn,San Mateo Del Mar Huave,J,Lu,LATIN CAPITAL LETTER J,598,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",71,43,13,4,13,441,1,6,6
huv,Latn,huv_Latn,San Mateo Del Mar Huave,M,Lu,LATIN CAPITAL LETTER M,566,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",53,10,1,21,14,446,5,4,12
huv,Latn,huv_Latn,San Mateo Del Mar Huave,í,Ll,LATIN SMALL LETTER I WITH ACUTE,432,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",66,15,4,16,8,307,7,2,7
huv,Latn,huv_Latn,San Mateo Del Mar Huave,;,Po,SEMICOLON,399,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",32,10,4,5,7,326,2,2,11
huv,Latn,huv_Latn,San Mateo Del Mar Huave,P,Lu,LATIN CAPITAL LETTER P,372,8,"2013,2014,2017,2018,2019,2020,2021,2022",48,4,0,5,6,294,4,1,10
huv,Latn,huv_Latn,San Mateo Del Mar Huave,S,Lu,LATIN CAPITAL LETTER S,353,8,"2013,2014,2017,2018,2019,2020,2021,2022",69,7,0,12,6,249,6,3,1
huv,Latn,huv_Latn,San Mateo Del Mar Huave,3,Nd,DIGIT THREE,346,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",20,17,3,2,5,289,3,2,5
huv,Latn,huv_Latn,San Mateo Del Mar Huave,ó,Ll,LATIN SMALL LETTER O WITH ACUTE,341,8,"2013,2014,2017,2018,2019,2020,2021,2022",35,6,0,18,6,253,15,1,7
huv,Latn,huv_Latn,San Mateo Del Mar Huave,:,Po,COLON,309,7,"2013,2014,2016,2017,2018,2019,2020",29,34,8,8,3,225,2,0,0
huv,Latn,huv_Latn,San Mateo Del Mar Huave,é,Ll,LATIN SMALL LETTER E WITH ACUTE,307,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",32,8,12,12,2,229,3,3,6
huv,Latn,huv_Latn,San Mateo Del Mar Huave,4,Nd,DIGIT FOUR,292,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",21,15,2,5,5,234,3,2,5
huv,Latn,huv_Latn,San Mateo Del Mar Huave,E,Lu,LATIN CAPITAL LETTER E,250,8,"2013,2014,2016,2017,2018,2019,2020,2022",72,5,4,6,4,153,3,0,3
huv,Latn,huv_Latn,San Mateo Del Mar Huave,I,Lu,LATIN CAPITAL LETTER I,245,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",37,6,5,18,13,150,4,3,9
huv,Latn,huv_Latn,San Mateo Del Mar Huave,―,Pd,HORIZONTAL BAR,244,5,"2013,2014,2016,2017,2019",9,58,10,8,0,159,0,0,0
huv,Latn,huv_Latn,San Mateo Del Mar Huave,5,Nd,DIGIT FIVE,244,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",17,8,2,2,5,203,1,2,4
huv,Latn,huv_Latn,San Mateo Del Mar Huave,X,Lu,LATIN CAPITAL LETTER X,243,8,"2013,2014,2017,2018,2019,2020,2021,2022",15,8,0,2,6,207,2,2,1
huv,Latn,huv_Latn,San Mateo Del Mar Huave,6,Nd,DIGIT SIX,222,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",20,5,2,2,5,181,1,2,4
huv,Latn,huv_Latn,San Mateo Del Mar Huave,0,Nd,DIGIT ZERO,205,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",15,5,2,8,3,164,4,1,3
huv,Latn,huv_Latn,San Mateo Del Mar Huave,7,Nd,DIGIT SEVEN,203,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",14,7,2,4,4,165,1,2,4
huv,Latn,huv_Latn,San Mateo Del Mar Huave,¿,Po,INVERTED QUESTION MARK,197,7,"2013,2014,2016,2017,2018,2019,2020",3,10,1,1,1,180,1,0,0
huv,Latn,huv_Latn,San Mateo Del Mar Huave,?,Po,QUESTION MARK,197,7,"2013,2014,2016,2017,2018,2019,2020",3,10,1,1,1,180,1,0,0
huv,Latn,huv_Latn,San Mateo Del Mar Huave,8,Nd,DIGIT EIGHT,196,9,"2013,2014,2016,2017,2018,2019,2020,2021,2022",19,6,2,3,4,156,1,2,3
