iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
hyw,Armn,hyw_Armn,Western Armenian,ա,Ll,ARMENIAN SMALL LETTER AYB,59817917,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1000389,513362,216644,122907,2709025,3894265,6372620,7308490,10070660,11096523,12422666,4090366
hyw,Armn,hyw_Armn,Western Armenian, ,Zs,SPACE,59592504,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",962355,467245,197496,129837,2758954,3970742,6500358,7415115,9856679,10990901,12304908,4037914
hyw,Armn,hyw_Armn,Western Armenian,ն,Ll,ARMENIAN SMALL LETTER NOW,37997229,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",630817,310027,130205,79689,1717639,2477256,4066638,4651280,6355552,7077609,7902158,2598359
hyw,Armn,hyw_Armn,Western Armenian,ր,Ll,ARMENIAN SMALL LETTER REH,30338130,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",496515,244384,104477,64121,1389192,1979022,3274546,3754779,5067214,5621477,6278321,2064082
hyw,Armn,hyw_Armn,Western Armenian,ո,Ll,ARMENIAN SMALL LETTER VO,27757207,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",459589,220097,93986,61305,1291119,1838533,2989610,3415750,4633332,5141264,5730082,1882540
hyw,Armn,hyw_Armn,Western Armenian,ե,Ll,ARMENIAN SMALL LETTER ECH,24893015,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",402108,203982,85233,55470,1162740,1648569,2680790,3040239,4108697,4620426,5172606,1712155
hyw,Armn,hyw_Armn,Western Armenian,ւ,Ll,ARMENIAN SMALL LETTER YIWN,23361553,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",380544,180287,76808,49717,1080368,1542825,2512259,2872949,3892128,4346075,4838201,1589392
hyw,Armn,hyw_Armn,Western Armenian,ի,Ll,ARMENIAN SMALL LETTER INI,21839416,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",372404,191972,80953,47748,993680,1419780,2357072,2686732,3651166,4043376,4521335,1473198
hyw,Armn,hyw_Armn,Western Armenian,կ,Ll,ARMENIAN SMALL LETTER KEN,13343864,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",212037,108222,44225,27392,607814,881049,1438224,1634052,2242243,2460516,2780669,907421
hyw,Armn,hyw_Armn,Western Armenian,մ,Ll,ARMENIAN SMALL LETTER MEN,11464856,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",180157,95616,39539,23842,516607,754739,1254808,1432438,1906466,2109007,2377976,773661
