iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2023_frequency
ian,Latn,ian_Latn,Iatmul,a,Ll,LATIN SMALL LETTER A,175636,5,"2018,2019,2020,2021,2023",162881,633,828,2858,8436
ian,Latn,ian_Latn,Iatmul, ,Zs,SPACE,166740,5,"2018,2019,2020,2021,2023",155775,518,714,2603,7130
ian,Latn,ian_Latn,Iatmul,n,Ll,LATIN SMALL LETTER N,91426,5,"2018,2019,2020,2021,2023",85021,374,361,1490,4180
ian,Latn,ian_Latn,Iatmul,ɨ,Ll,LATIN SMALL LETTER I WITH STROKE,55552,5,"2018,2019,2020,2021,2023",51436,143,248,995,2730
ian,Latn,ian_Latn,Iatmul,t,Ll,LATIN SMALL LETTER T,43658,5,"2018,2019,2020,2021,2023",40709,121,226,721,1881
ian,Latn,ian_Latn,Iatmul,w,Ll,LATIN SMALL LETTER W,41280,5,"2018,2019,2020,2021,2023",38212,73,166,737,2092
ian,Latn,ian_Latn,Iatmul,k,Ll,LATIN SMALL LETTER K,39050,5,"2018,2019,2020,2021,2023",36085,116,148,722,1979
ian,Latn,ian_Latn,Iatmul,i,Ll,LATIN SMALL LETTER I,35271,5,"2018,2019,2020,2021,2023",33032,136,158,478,1467
ian,Latn,ian_Latn,Iatmul,g,Ll,LATIN SMALL LETTER G,35132,5,"2018,2019,2020,2021,2023",32595,50,138,602,1747
ian,Latn,ian_Latn,Iatmul,m,Ll,LATIN SMALL LETTER M,34402,5,"2018,2019,2020,2021,2023",31869,102,165,626,1640
ian,Latn,ian_Latn,Iatmul,l,Ll,LATIN SMALL LETTER L,32741,5,"2018,2019,2020,2021,2023",30503,113,159,452,1514
ian,Latn,ian_Latn,Iatmul,d,Ll,LATIN SMALL LETTER D,30422,5,"2018,2019,2020,2021,2023",28371,69,163,373,1446
ian,Latn,ian_Latn,Iatmul,e,Ll,LATIN SMALL LETTER E,27049,5,"2018,2019,2020,2021,2023",25868,86,105,217,773
ian,Latn,ian_Latn,Iatmul,u,Ll,LATIN SMALL LETTER U,25821,5,"2018,2019,2020,2021,2023",23952,38,96,477,1258
ian,Latn,ian_Latn,Iatmul,y,Ll,LATIN SMALL LETTER Y,25631,5,"2018,2019,2020,2021,2023",23765,125,119,435,1187
ian,Latn,ian_Latn,Iatmul,b,Ll,LATIN SMALL LETTER B,19476,5,"2018,2019,2020,2021,2023",18131,67,81,289,908
ian,Latn,ian_Latn,Iatmul,s,Ll,LATIN SMALL LETTER S,19321,5,"2018,2019,2020,2021,2023",18489,87,62,185,498
ian,Latn,ian_Latn,Iatmul,v,Ll,LATIN SMALL LETTER V,18738,5,"2018,2019,2020,2021,2023",17473,34,69,322,840
ian,Latn,ian_Latn,Iatmul,o,Ll,LATIN SMALL LETTER O,18552,5,"2018,2019,2020,2021,2023",17589,74,66,236,587
ian,Latn,ian_Latn,Iatmul,.,Po,FULL STOP,17660,5,"2018,2019,2020,2021,2023",16392,87,68,290,823
ian,Latn,ian_Latn,Iatmul,p,Ll,LATIN SMALL LETTER P,11254,5,"2018,2019,2020,2021,2023",10433,32,58,205,526
ian,Latn,ian_Latn,Iatmul,r,Ll,LATIN SMALL LETTER R,10172,5,"2018,2019,2020,2021,2023",9977,28,33,31,103
ian,Latn,ian_Latn,Iatmul,N,Lu,LATIN CAPITAL LETTER N,8269,5,"2018,2019,2020,2021,2023",7684,14,32,140,399
