iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
ikt,Latn,ikt_Latn,Inuinnaqtun,i,Ll,LATIN SMALL LETTER I,391106,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",3356,46194,24937,56154,89929,76571,25022,57373,11570
ikt,Latn,ikt_Latn,Inuinnaqtun,a,Ll,LATIN SMALL LETTER A,385566,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",3816,45881,24378,57269,86222,74668,24294,57005,12033
ikt,Latn,ikt_Latn,Inuinnaqtun,u,Ll,LATIN SMALL LETTER U,276738,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",2520,35972,18656,41923,59747,50275,19847,39346,8452
ikt,Latn,ikt_Latn,Inuinnaqtun,t,Ll,LATIN SMALL LETTER T,253635,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",2369,27904,15452,36238,61848,47946,16543,38146,7189
ikt,Latn,ikt_Latn,Inuinnaqtun, ,Zs,SPACE,232174,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",2137,23805,13978,31302,68504,39542,13546,32841,6519
ikt,Latn,ikt_Latn,Inuinnaqtun,n,Ll,LATIN SMALL LETTER N,214811,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",1737,26627,14270,31214,48200,40056,14530,31456,6721
ikt,Latn,ikt_Latn,Inuinnaqtun,k,Ll,LATIN SMALL LETTER K,140914,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",1217,16934,9089,19209,30730,28010,8091,23673,3961
ikt,Latn,ikt_Latn,Inuinnaqtun,l,Ll,LATIN SMALL LETTER L,95387,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",1012,11238,6380,12959,22766,17706,6115,14332,2879
ikt,Latn,ikt_Latn,Inuinnaqtun,g,Ll,LATIN SMALL LETTER G,88884,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",879,10425,6730,12338,18039,17296,5374,15087,2716
ikt,Latn,ikt_Latn,Inuinnaqtun,h,Ll,LATIN SMALL LETTER H,83315,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",658,10223,4305,11918,20940,16149,5119,11816,2187
ikt,Latn,ikt_Latn,Inuinnaqtun,m,Ll,LATIN SMALL LETTER M,81399,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",811,9579,5646,11210,18365,15760,4949,12551,2528
ikt,Latn,ikt_Latn,Inuinnaqtun,q,Ll,LATIN SMALL LETTER Q,78421,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",832,11408,5543,14579,15735,12700,6495,8170,2959
ikt,Latn,ikt_Latn,Inuinnaqtun,y,Ll,LATIN SMALL LETTER Y,48591,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",496,6164,3883,8145,10832,8321,2583,6561,1606
ikt,Latn,ikt_Latn,Inuinnaqtun,v,Ll,LATIN SMALL LETTER V,46554,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",558,5824,2534,7320,11324,8941,2918,5963,1172
ikt,Latn,ikt_Latn,Inuinnaqtun,r,Ll,LATIN SMALL LETTER R,42185,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",459,4755,1898,5187,13949,6917,2834,4868,1318
ikt,Latn,ikt_Latn,Inuinnaqtun,o,Ll,LATIN SMALL LETTER O,34957,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",419,1268,2470,2227,11045,7233,664,8646,985
ikt,Latn,ikt_Latn,Inuinnaqtun,p,Ll,LATIN SMALL LETTER P,31107,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",275,3349,2066,4690,7583,5233,2496,4384,1031
ikt,Latn,ikt_Latn,Inuinnaqtun,e,Ll,LATIN SMALL LETTER E,23971,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",267,983,1193,1476,14207,1995,627,3030,193
ikt,Latn,ikt_Latn,Inuinnaqtun,.,Po,FULL STOP,22139,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",236,1965,1448,2817,5836,4351,1091,3972,423
ikt,Latn,ikt_Latn,Inuinnaqtun,",",Po,COMMA,19227,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",184,1787,1388,2557,5808,3209,1177,2651,466
ikt,Latn,ikt_Latn,Inuinnaqtun,j,Ll,LATIN SMALL LETTER J,15760,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",47,1222,472,1160,4407,4136,1253,2720,343
ikt,Latn,ikt_Latn,Inuinnaqtun,I,Lu,LATIN CAPITAL LETTER I,15078,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",108,1148,606,1996,4710,2836,699,2684,291
ikt,Latn,ikt_Latn,Inuinnaqtun,N,Lu,LATIN CAPITAL LETTER N,13941,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",158,1360,1009,1857,3452,2463,917,2466,259
ikt,Latn,ikt_Latn,Inuinnaqtun,s,Ll,LATIN SMALL LETTER S,13180,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",106,629,941,1010,7615,1122,452,1084,221
ikt,Latn,ikt_Latn,Inuinnaqtun,A,Lu,LATIN CAPITAL LETTER A,12057,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",109,897,765,1518,3497,2350,729,1963,229
ikt,Latn,ikt_Latn,Inuinnaqtun,d,Ll,LATIN SMALL LETTER D,10725,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",59,859,342,972,5241,1377,522,1056,297
ikt,Latn,ikt_Latn,Inuinnaqtun,T,Lu,LATIN CAPITAL LETTER T,10093,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",108,809,561,1276,3309,1478,531,1734,287
ikt,Latn,ikt_Latn,Inuinnaqtun,-,Pd,HYPHEN-MINUS,9744,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",90,908,368,1489,2884,1526,615,1599,265
ikt,Latn,ikt_Latn,Inuinnaqtun,ᑦ,Lo,CANADIAN SYLLABICS T,8980,5,"2013,2017,2018,2019,2020",6,5,1,6,8962,0,0,0,0
ikt,Latn,ikt_Latn,Inuinnaqtun,K,Lu,LATIN CAPITAL LETTER K,8374,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",138,919,448,1231,1973,1504,435,1528,198
ikt,Latn,ikt_Latn,Inuinnaqtun,0,Nd,DIGIT ZERO,7240,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",106,513,217,1038,2416,1544,459,832,115
ikt,Latn,ikt_Latn,Inuinnaqtun,1,Nd,DIGIT ONE,7058,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",46,405,241,962,2243,1438,506,1146,71
ikt,Latn,ikt_Latn,Inuinnaqtun,2,Nd,DIGIT TWO,6534,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",67,320,188,626,2317,1078,672,1135,131
ikt,Latn,ikt_Latn,Inuinnaqtun,c,Ll,LATIN SMALL LETTER C,5915,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",51,183,175,309,3919,532,185,472,89
ikt,Latn,ikt_Latn,Inuinnaqtun,H,Lu,LATIN CAPITAL LETTER H,5773,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",54,632,206,955,1606,1139,342,708,131
ikt,Latn,ikt_Latn,Inuinnaqtun,U,Lu,LATIN CAPITAL LETTER U,5625,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",60,518,255,956,1548,862,457,800,169
ikt,Latn,ikt_Latn,Inuinnaqtun,ᐊ,Lo,CANADIAN SYLLABICS A,5371,4,"2017,2018,2019,2020",0,1,2,1,5367,0,0,0,0
ikt,Latn,ikt_Latn,Inuinnaqtun,ᓂ,Lo,CANADIAN SYLLABICS NI,5329,4,"2017,2018,2019,2020",0,1,3,1,5324,0,0,0,0
ikt,Latn,ikt_Latn,Inuinnaqtun,M,Lu,LATIN CAPITAL LETTER M,5195,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",111,610,447,720,1216,865,225,852,149
ikt,Latn,ikt_Latn,Inuinnaqtun,f,Ll,LATIN SMALL LETTER F,5112,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",24,416,211,375,2782,537,194,508,65
ikt,Latn,ikt_Latn,Inuinnaqtun,ᑎ,Lo,CANADIAN SYLLABICS TI,4694,5,"2013,2017,2018,2019,2020",3,5,1,5,4680,0,0,0,0
ikt,Latn,ikt_Latn,Inuinnaqtun,ᐅ,Lo,CANADIAN SYLLABICS O,4615,3,"2017,2019,2020",0,4,0,4,4607,0,0,0,0
ikt,Latn,ikt_Latn,Inuinnaqtun,P,Lu,LATIN CAPITAL LETTER P,4439,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",25,548,195,719,1196,759,265,600,132
ikt,Latn,ikt_Latn,Inuinnaqtun,b,Ll,LATIN SMALL LETTER B,3872,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",59,233,276,301,1696,506,195,553,53
ikt,Latn,ikt_Latn,Inuinnaqtun,|,Sm,VERTICAL LINE,3858,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",116,74,51,710,685,503,1019,653,47
ikt,Latn,ikt_Latn,Inuinnaqtun,ᖅ,Lo,CANADIAN SYLLABICS Q,3781,3,"2017,2019,2020",0,3,0,3,3775,0,0,0,0
ikt,Latn,ikt_Latn,Inuinnaqtun,ᕐ,Lo,CANADIAN SYLLABICS R,3696,2,"2018,2020",0,0,1,0,3695,0,0,0,0
ikt,Latn,ikt_Latn,Inuinnaqtun,3,Nd,DIGIT THREE,3518,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",16,156,86,369,1441,738,149,521,42
ikt,Latn,ikt_Latn,Inuinnaqtun,5,Nd,DIGIT FIVE,3480,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",21,257,132,464,996,631,156,787,36
ikt,Latn,ikt_Latn,Inuinnaqtun,ᐃ,Lo,CANADIAN SYLLABICS I,3326,5,"2013,2017,2018,2019,2020",3,4,2,4,3313,0,0,0,0
ikt,Latn,ikt_Latn,Inuinnaqtun,),Pe,RIGHT PARENTHESIS,3257,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",32,212,244,516,708,564,136,791,54
ikt,Latn,ikt_Latn,Inuinnaqtun,ᒪ,Lo,CANADIAN SYLLABICS MA,3250,2,"2019,2020",0,0,0,1,3249,0,0,0,0
ikt,Latn,ikt_Latn,Inuinnaqtun,(,Ps,LEFT PARENTHESIS,3132,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",32,215,242,506,678,497,131,777,54
ikt,Latn,ikt_Latn,Inuinnaqtun,ᑕ,Lo,CANADIAN SYLLABICS TA,3028,4,"2017,2018,2019,2020",0,2,2,4,3020,0,0,0,0
ikt,Latn,ikt_Latn,Inuinnaqtun,ᑐ,Lo,CANADIAN SYLLABICS TO,3015,4,"2013,2017,2019,2020",3,5,0,5,3002,0,0,0,0
ikt,Latn,ikt_Latn,Inuinnaqtun,6,Nd,DIGIT SIX,3014,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",19,239,73,522,1000,470,124,545,22
ikt,Latn,ikt_Latn,Inuinnaqtun,9,Nd,DIGIT NINE,2928,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",63,175,75,450,865,652,191,412,45
ikt,Latn,ikt_Latn,Inuinnaqtun,C,Lu,LATIN CAPITAL LETTER C,2921,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",11,145,205,286,1264,480,202,261,67
ikt,Latn,ikt_Latn,Inuinnaqtun,ᓇ,Lo,CANADIAN SYLLABICS NA,2903,4,"2017,2018,2019,2020",0,2,1,2,2898,0,0,0,0
ikt,Latn,ikt_Latn,Inuinnaqtun,7,Nd,DIGIT SEVEN,2878,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",12,286,74,560,884,486,143,413,20
ikt,Latn,ikt_Latn,Inuinnaqtun,ᒃ,Lo,CANADIAN SYLLABICS K,2852,4,"2017,2018,2019,2020",0,3,1,3,2845,0,0,0,0
ikt,Latn,ikt_Latn,Inuinnaqtun,w,Ll,LATIN SMALL LETTER W,2826,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",8,113,130,190,1729,365,79,186,26
ikt,Latn,ikt_Latn,Inuinnaqtun,ᔪ,Lo,CANADIAN SYLLABICS YO,2752,4,"2017,2018,2019,2020",0,3,1,3,2745,0,0,0,0
