iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
ile,Latn,ile_Latn,Interlingue, ,Zs,SPACE,315287,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2876,10792,4056,1972,15183,31829,28257,64511,32039,17327,92534,13911
ile,Latn,ile_Latn,Interlingue,e,Ll,LATIN SMALL LETTER E,196542,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1817,6877,2587,1251,9464,19756,17764,40198,19737,10909,57153,9029
ile,Latn,ile_Latn,Interlingue,i,Ll,LATIN SMALL LETTER I,147420,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1399,5399,2082,957,7159,15244,14303,27307,15041,8427,43197,6905
ile,Latn,ile_Latn,Interlingue,a,Ll,LATIN SMALL LETTER A,129941,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1215,4513,1649,832,6175,12182,12205,25428,13096,7444,39475,5727
ile,Latn,ile_Latn,Interlingue,n,Ll,LATIN SMALL LETTER N,117713,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1061,4304,1618,739,5964,12506,11067,22712,11839,6375,34440,5088
ile,Latn,ile_Latn,Interlingue,t,Ll,LATIN SMALL LETTER T,110163,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1039,3835,1484,635,5199,10710,10131,22473,10972,6080,32521,5084
ile,Latn,ile_Latn,Interlingue,s,Ll,LATIN SMALL LETTER S,100051,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1019,3517,1277,654,5216,10087,8678,20064,10255,5583,28988,4713
ile,Latn,ile_Latn,Interlingue,r,Ll,LATIN SMALL LETTER R,96394,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",859,3256,1210,595,4808,9646,8817,19108,9719,5284,28612,4480
ile,Latn,ile_Latn,Interlingue,l,Ll,LATIN SMALL LETTER L,92378,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",868,3256,1201,561,4410,8966,8466,19568,8979,5225,26794,4084
ile,Latn,ile_Latn,Interlingue,o,Ll,LATIN SMALL LETTER O,86123,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",821,3000,1105,458,4244,8760,7098,16229,8818,4512,26910,4168
