iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency
ivv,Latn,ivv_Latn,Ivatan,a,Ll,LATIN SMALL LETTER A,7616,6,"2018,2019,2020,2021,2022,2023",1620,2245,342,403,1686,1320
ivv,Latn,ivv_Latn,Ivatan, ,Zs,SPACE,7461,6,"2018,2019,2020,2021,2022,2023",1673,2225,307,314,1596,1346
ivv,Latn,ivv_Latn,Ivatan,n,Ll,LATIN SMALL LETTER N,3511,6,"2018,2019,2020,2021,2022,2023",810,968,135,135,798,665
ivv,Latn,ivv_Latn,Ivatan,o,Ll,LATIN SMALL LETTER O,3337,6,"2018,2019,2020,2021,2022,2023",811,958,154,138,776,500
ivv,Latn,ivv_Latn,Ivatan,i,Ll,LATIN SMALL LETTER I,2284,6,"2018,2019,2020,2021,2022,2023",469,735,95,79,498,408
ivv,Latn,ivv_Latn,Ivatan,m,Ll,LATIN SMALL LETTER M,1483,6,"2018,2019,2020,2021,2022,2023",386,371,63,71,324,268
ivv,Latn,ivv_Latn,Ivatan,k,Ll,LATIN SMALL LETTER K,1447,6,"2018,2019,2020,2021,2022,2023",321,342,70,111,385,218
ivv,Latn,ivv_Latn,Ivatan,s,Ll,LATIN SMALL LETTER S,1309,6,"2018,2019,2020,2021,2022,2023",246,529,34,59,215,226
ivv,Latn,ivv_Latn,Ivatan,e,Ll,LATIN SMALL LETTER E,1072,6,"2018,2019,2020,2021,2022,2023",219,253,54,44,289,213
ivv,Latn,ivv_Latn,Ivatan,t,Ll,LATIN SMALL LETTER T,1034,6,"2018,2019,2020,2021,2022,2023",201,306,43,34,270,180
ivv,Latn,ivv_Latn,Ivatan,y,Ll,LATIN SMALL LETTER Y,991,6,"2018,2019,2020,2021,2022,2023",234,255,63,55,185,199
ivv,Latn,ivv_Latn,Ivatan,d,Ll,LATIN SMALL LETTER D,936,6,"2018,2019,2020,2021,2022,2023",198,297,48,39,201,153
ivv,Latn,ivv_Latn,Ivatan,r,Ll,LATIN SMALL LETTER R,854,6,"2018,2019,2020,2021,2022,2023",263,228,34,34,178,117
ivv,Latn,ivv_Latn,Ivatan,p,Ll,LATIN SMALL LETTER P,725,6,"2018,2019,2020,2021,2022,2023",163,166,41,36,199,120
ivv,Latn,ivv_Latn,Ivatan,",",Po,COMMA,578,6,"2018,2019,2020,2021,2022,2023",169,55,57,50,171,76
ivv,Latn,ivv_Latn,Ivatan,g,Ll,LATIN SMALL LETTER G,569,6,"2018,2019,2020,2021,2022,2023",152,110,33,22,140,112
ivv,Latn,ivv_Latn,Ivatan,v,Ll,LATIN SMALL LETTER V,470,6,"2018,2019,2020,2021,2022,2023",84,127,29,39,130,61
ivv,Latn,ivv_Latn,Ivatan,l,Ll,LATIN SMALL LETTER L,423,6,"2018,2019,2020,2021,2022,2023",74,85,38,9,126,91
ivv,Latn,ivv_Latn,Ivatan,w,Ll,LATIN SMALL LETTER W,353,6,"2018,2019,2020,2021,2022,2023",85,115,21,7,59,66
ivv,Latn,ivv_Latn,Ivatan,.,Po,FULL STOP,319,6,"2018,2019,2020,2021,2022,2023",38,111,9,8,64,89
ivv,Latn,ivv_Latn,Ivatan,h,Ll,LATIN SMALL LETTER H,296,6,"2018,2019,2020,2021,2022,2023",71,118,5,18,41,43
ivv,Latn,ivv_Latn,Ivatan,c,Ll,LATIN SMALL LETTER C,245,6,"2018,2019,2020,2021,2022,2023",55,45,17,7,76,45
ivv,Latn,ivv_Latn,Ivatan,b,Ll,LATIN SMALL LETTER B,164,6,"2018,2019,2020,2021,2022,2023",35,61,12,8,29,19
ivv,Latn,ivv_Latn,Ivatan,z,Ll,LATIN SMALL LETTER Z,161,6,"2018,2019,2020,2021,2022,2023",29,14,22,20,39,37
ivv,Latn,ivv_Latn,Ivatan,的,Lo,CJK UNIFIED IDEOGRAPH-7684,124,4,"2020,2021,2022,2023",0,0,22,26,55,21
ivv,Latn,ivv_Latn,Ivatan,j,Ll,LATIN SMALL LETTER J,92,5,"2018,2020,2021,2022,2023",38,0,3,1,27,23
ivv,Latn,ivv_Latn,Ivatan,A,Lu,LATIN CAPITAL LETTER A,92,3,"2018,2019,2023",7,59,0,0,0,26
ivv,Latn,ivv_Latn,Ivatan,J,Lu,LATIN CAPITAL LETTER J,90,3,"2018,2019,2023",1,76,0,0,0,13
ivv,Latn,ivv_Latn,Ivatan,。,Po,IDEOGRAPHIC FULL STOP,77,4,"2020,2021,2022,2023",0,0,11,9,42,15
ivv,Latn,ivv_Latn,Ivatan,1,Nd,DIGIT ONE,73,3,"2018,2019,2023",8,42,0,0,0,23
ivv,Latn,ivv_Latn,Ivatan,M,Lu,LATIN CAPITAL LETTER M,70,3,"2018,2019,2023",2,47,0,0,0,21
ivv,Latn,ivv_Latn,Ivatan,O,Lu,LATIN CAPITAL LETTER O,64,3,"2018,2019,2023",5,7,0,0,0,52
ivv,Latn,ivv_Latn,Ivatan,S,Lu,LATIN CAPITAL LETTER S,63,2,"2019,2023",0,42,0,0,0,21
ivv,Latn,ivv_Latn,Ivatan,u,Ll,LATIN SMALL LETTER U,63,4,"2019,2020,2021,2023",0,60,1,1,0,1
ivv,Latn,ivv_Latn,Ivatan,N,Lu,LATIN CAPITAL LETTER N,57,3,"2018,2019,2023",2,45,0,0,0,10
ivv,Latn,ivv_Latn,Ivatan,D,Lu,LATIN CAPITAL LETTER D,56,1,2019,0,56,0,0,0,0
ivv,Latn,ivv_Latn,Ivatan,2,Nd,DIGIT TWO,47,5,"2018,2019,2020,2021,2023",2,28,3,2,0,12
ivv,Latn,ivv_Latn,Ivatan,Y,Lu,LATIN CAPITAL LETTER Y,41,2,"2019,2023",0,3,0,0,0,38
ivv,Latn,ivv_Latn,Ivatan,人,Lo,CJK UNIFIED IDEOGRAPH-4EBA,38,4,"2020,2021,2022,2023",0,0,12,2,13,11
ivv,Latn,ivv_Latn,Ivatan,、,Po,IDEOGRAPHIC COMMA,38,4,"2020,2021,2022,2023",0,0,4,2,22,10
ivv,Latn,ivv_Latn,Ivatan,有,Lo,CJK UNIFIED IDEOGRAPH-6709,37,4,"2020,2021,2022,2023",0,0,9,2,19,7
ivv,Latn,ivv_Latn,Ivatan,在,Lo,CJK UNIFIED IDEOGRAPH-5728,37,4,"2020,2021,2022,2023",0,0,5,5,16,11
ivv,Latn,ivv_Latn,Ivatan,I,Lu,LATIN CAPITAL LETTER I,36,5,"2018,2019,2020,2021,2023",2,16,1,1,0,16
ivv,Latn,ivv_Latn,Ivatan,“,Pi,LEFT DOUBLE QUOTATION MARK,36,3,"2019,2022,2023",0,30,0,0,3,3
ivv,Latn,ivv_Latn,Ivatan,”,Pf,RIGHT DOUBLE QUOTATION MARK,35,3,"2019,2022,2023",0,30,0,0,2,3
ivv,Latn,ivv_Latn,Ivatan,會,Lo,CJK UNIFIED IDEOGRAPH-6703,35,4,"2020,2021,2022,2023",0,0,10,11,9,5
ivv,Latn,ivv_Latn,Ivatan,是,Lo,CJK UNIFIED IDEOGRAPH-662F,35,4,"2020,2021,2022,2023",0,0,12,4,16,3
ivv,Latn,ivv_Latn,Ivatan,年,Lo,CJK UNIFIED IDEOGRAPH-5E74,34,3,"2020,2022,2023",0,0,21,0,8,5
ivv,Latn,ivv_Latn,Ivatan,族,Lo,CJK UNIFIED IDEOGRAPH-65CF,31,4,"2020,2021,2022,2023",0,0,2,4,15,10
ivv,Latn,ivv_Latn,Ivatan,3,Nd,DIGIT THREE,31,4,"2018,2019,2021,2023",2,21,0,1,0,7
ivv,Latn,ivv_Latn,Ivatan,落,Lo,CJK UNIFIED IDEOGRAPH-843D,29,4,"2020,2021,2022,2023",0,0,11,1,7,10
ivv,Latn,ivv_Latn,Ivatan,部,Lo,CJK UNIFIED IDEOGRAPH-90E8,28,4,"2020,2021,2022,2023",0,0,11,1,7,9
ivv,Latn,ivv_Latn,Ivatan,傳,Lo,CJK UNIFIED IDEOGRAPH-50B3,28,4,"2020,2021,2022,2023",0,0,5,4,15,4
ivv,Latn,ivv_Latn,Ivatan,4,Nd,DIGIT FOUR,28,3,"2018,2019,2023",2,19,0,0,0,7
ivv,Latn,ivv_Latn,Ivatan,們,Lo,CJK UNIFIED IDEOGRAPH-5011,27,4,"2020,2021,2022,2023",0,0,1,5,15,6
ivv,Latn,ivv_Latn,Ivatan,性,Lo,CJK UNIFIED IDEOGRAPH-6027,25,2,"2021,2022",0,0,0,20,5,0
ivv,Latn,ivv_Latn,Ivatan,化,Lo,CJK UNIFIED IDEOGRAPH-5316,25,4,"2020,2021,2022,2023",0,0,4,2,15,4
ivv,Latn,ivv_Latn,Ivatan,與,Lo,CJK UNIFIED IDEOGRAPH-8207,24,4,"2020,2021,2022,2023",0,0,3,2,11,8
