iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2018_frequency,year_2022_frequency,year_2023_frequency
iws,Latn,iws_Latn,Sepik Iwam, ,Zs,SPACE,196949,4,"2013,2018,2022,2023",5072,182705,8641,531
iws,Latn,iws_Latn,Sepik Iwam,ɨ,Ll,LATIN SMALL LETTER I WITH STROKE,158800,4,"2013,2018,2022,2023",4505,146066,7735,494
iws,Latn,iws_Latn,Sepik Iwam,i,Ll,LATIN SMALL LETTER I,147616,4,"2013,2018,2022,2023",4240,135862,7103,411
iws,Latn,iws_Latn,Sepik Iwam,a,Ll,LATIN SMALL LETTER A,112255,4,"2013,2018,2022,2023",2935,103727,5217,376
iws,Latn,iws_Latn,Sepik Iwam,n,Ll,LATIN SMALL LETTER N,87800,4,"2013,2018,2022,2023",2233,81368,3958,241
iws,Latn,iws_Latn,Sepik Iwam,m,Ll,LATIN SMALL LETTER M,82003,4,"2013,2018,2022,2023",2423,75175,4107,298
iws,Latn,iws_Latn,Sepik Iwam,r,Ll,LATIN SMALL LETTER R,65140,4,"2013,2018,2022,2023",1512,60623,2800,205
iws,Latn,iws_Latn,Sepik Iwam,k,Ll,LATIN SMALL LETTER K,56538,4,"2013,2018,2022,2023",1463,52254,2601,220
iws,Latn,iws_Latn,Sepik Iwam,s,Ll,LATIN SMALL LETTER S,47997,4,"2013,2018,2022,2023",1192,44593,2123,89
iws,Latn,iws_Latn,Sepik Iwam,o,Ll,LATIN SMALL LETTER O,43916,4,"2013,2018,2022,2023",1065,40850,1901,100
iws,Latn,iws_Latn,Sepik Iwam,y,Ll,LATIN SMALL LETTER Y,38392,4,"2013,2018,2022,2023",1158,35216,1921,97
iws,Latn,iws_Latn,Sepik Iwam,w,Ll,LATIN SMALL LETTER W,34792,4,"2013,2018,2022,2023",943,32128,1606,115
iws,Latn,iws_Latn,Sepik Iwam,e,Ll,LATIN SMALL LETTER E,24483,4,"2013,2018,2022,2023",364,23405,676,38
iws,Latn,iws_Latn,Sepik Iwam,h,Ll,LATIN SMALL LETTER H,20558,4,"2013,2018,2022,2023",379,19438,702,39
iws,Latn,iws_Latn,Sepik Iwam,t,Ll,LATIN SMALL LETTER T,17401,4,"2013,2018,2022,2023",356,16510,512,23
iws,Latn,iws_Latn,Sepik Iwam,u,Ll,LATIN SMALL LETTER U,17004,4,"2013,2018,2022,2023",387,15866,715,36
iws,Latn,iws_Latn,Sepik Iwam,g,Ll,LATIN SMALL LETTER G,15966,4,"2013,2018,2022,2023",441,14748,738,39
iws,Latn,iws_Latn,Sepik Iwam,d,Ll,LATIN SMALL LETTER D,15568,4,"2013,2018,2022,2023",464,14483,591,30
iws,Latn,iws_Latn,Sepik Iwam,b,Ll,LATIN SMALL LETTER B,14103,4,"2013,2018,2022,2023",350,13064,651,38
iws,Latn,iws_Latn,Sepik Iwam,.,Po,FULL STOP,12545,4,"2013,2018,2022,2023",257,11681,566,41
iws,Latn,iws_Latn,Sepik Iwam,p,Ll,LATIN SMALL LETTER P,10276,4,"2013,2018,2022,2023",274,9493,488,21
iws,Latn,iws_Latn,Sepik Iwam,",",Po,COMMA,7315,4,"2013,2018,2022,2023",112,6958,220,25
iws,Latn,iws_Latn,Sepik Iwam,M,Lu,LATIN CAPITAL LETTER M,6799,4,"2013,2018,2022,2023",140,6381,264,14
iws,Latn,iws_Latn,Sepik Iwam,K,Lu,LATIN CAPITAL LETTER K,6439,4,"2013,2018,2022,2023",193,5907,311,28
iws,Latn,iws_Latn,Sepik Iwam,l,Ll,LATIN SMALL LETTER L,3992,4,"2013,2018,2022,2023",43,3842,106,1
iws,Latn,iws_Latn,Sepik Iwam,A,Lu,LATIN CAPITAL LETTER A,3603,4,"2013,2018,2022,2023",126,3266,208,3
iws,Latn,iws_Latn,Sepik Iwam,1,Nd,DIGIT ONE,2643,4,"2013,2018,2022,2023",54,2498,80,11
iws,Latn,iws_Latn,Sepik Iwam,S,Lu,LATIN CAPITAL LETTER S,2256,4,"2013,2018,2022,2023",32,2152,71,1
iws,Latn,iws_Latn,Sepik Iwam,c,Ll,LATIN SMALL LETTER C,2223,1,2018,0,2223,0,0
iws,Latn,iws_Latn,Sepik Iwam,T,Lu,LATIN CAPITAL LETTER T,1982,4,"2013,2018,2022,2023",17,1921,42,2
iws,Latn,iws_Latn,Sepik Iwam,J,Lu,LATIN CAPITAL LETTER J,1933,4,"2013,2018,2022,2023",62,1737,132,2
iws,Latn,iws_Latn,Sepik Iwam,V,Lu,LATIN CAPITAL LETTER V,1604,1,2018,0,1604,0,0
iws,Latn,iws_Latn,Sepik Iwam,I,Lu,LATIN CAPITAL LETTER I,1532,4,"2013,2018,2022,2023",12,1432,78,10
iws,Latn,iws_Latn,Sepik Iwam,2,Nd,DIGIT TWO,1496,4,"2013,2018,2022,2023",36,1424,34,2
iws,Latn,iws_Latn,Sepik Iwam,f,Ll,LATIN SMALL LETTER F,1475,3,"2013,2018,2022",3,1461,11,0
iws,Latn,iws_Latn,Sepik Iwam,N,Lu,LATIN CAPITAL LETTER N,1427,4,"2013,2018,2022,2023",13,1379,28,7
iws,Latn,iws_Latn,Sepik Iwam,E,Lu,LATIN CAPITAL LETTER E,1368,3,"2013,2018,2022",23,1342,3,0
iws,Latn,iws_Latn,Sepik Iwam,',Po,APOSTROPHE,1300,1,2018,0,1300,0,0
