iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
jbo,Latn,jbo_Latn,Lojban, ,Zs,SPACE,764875,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",27292,71492,51748,4485,141131,53726,189754,17206,40001,120678,43724,3638
jbo,Latn,jbo_Latn,Lojban,i,Ll,LATIN SMALL LETTER I,322070,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",11890,28341,16919,2024,64724,23680,79906,8715,17171,47047,20076,1577
jbo,Latn,jbo_Latn,Lojban,a,Ll,LATIN SMALL LETTER A,291535,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",11240,27932,17987,1829,56679,21325,75980,7247,13890,39263,16686,1477
jbo,Latn,jbo_Latn,Lojban,u,Ll,LATIN SMALL LETTER U,224902,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",7838,21273,10989,1268,45256,14885,56358,5144,11993,35341,13566,991
jbo,Latn,jbo_Latn,Lojban,o,Ll,LATIN SMALL LETTER O,223540,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",8664,22202,16266,1412,45588,15187,55540,5392,9561,30836,12131,761
jbo,Latn,jbo_Latn,Lojban,e,Ll,LATIN SMALL LETTER E,209630,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",9379,17813,18256,1373,37156,18359,46579,6258,10997,30026,12063,1371
jbo,Latn,jbo_Latn,Lojban,l,Ll,LATIN SMALL LETTER L,207160,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",8626,20458,12032,1310,40051,13008,50708,4628,10153,33228,11871,1087
jbo,Latn,jbo_Latn,Lojban,n,Ll,LATIN SMALL LETTER N,160948,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",6134,15974,12964,995,31346,11600,37375,4032,7746,23071,9000,711
jbo,Latn,jbo_Latn,Lojban,',Po,APOSTROPHE,118746,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",4526,11550,4076,624,25025,7573,28267,2470,5502,21279,7278,576
jbo,Latn,jbo_Latn,Lojban,c,Ll,LATIN SMALL LETTER C,115579,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3903,10468,6317,864,22369,8204,28627,2746,6225,18278,7132,446
jbo,Latn,jbo_Latn,Lojban,r,Ll,LATIN SMALL LETTER R,111082,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",4679,10084,9955,704,20339,9026,25029,2972,5221,16064,6559,450
jbo,Latn,jbo_Latn,Lojban,s,Ll,LATIN SMALL LETTER S,109448,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",4991,9578,9208,883,20451,7874,23772,3387,6298,16203,6198,605
jbo,Latn,jbo_Latn,Lojban,t,Ll,LATIN SMALL LETTER T,97947,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3911,8402,12048,605,17180,8292,20757,3210,4464,13237,5434,407
jbo,Latn,jbo_Latn,Lojban,m,Ll,LATIN SMALL LETTER M,88109,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2842,6791,5096,615,16821,6037,25799,2253,4245,12346,4958,306
jbo,Latn,jbo_Latn,Lojban,k,Ll,LATIN SMALL LETTER K,87273,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3429,7873,3702,555,16186,6280,22744,2212,4476,14012,5299,505
jbo,Latn,jbo_Latn,Lojban,|,Sm,VERTICAL LINE,77130,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2417,1035,597,616,29351,1782,39561,72,815,660,168,56
jbo,Latn,jbo_Latn,Lojban,d,Ll,LATIN SMALL LETTER D,74063,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2318,5232,6122,279,13441,5950,19253,1871,3893,10833,4552,319
jbo,Latn,jbo_Latn,Lojban,.,Po,FULL STOP,61354,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2758,5890,3299,459,10576,5013,13981,1808,3770,9646,3772,382
jbo,Latn,jbo_Latn,Lojban,b,Ll,LATIN SMALL LETTER B,59894,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2550,5603,3012,374,11467,4260,14471,1527,2935,9602,3799,294
jbo,Latn,jbo_Latn,Lojban,p,Ll,LATIN SMALL LETTER P,59474,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2170,4902,3281,403,11122,4408,15606,2032,2943,8739,3536,332
jbo,Latn,jbo_Latn,Lojban,j,Ll,LATIN SMALL LETTER J,48558,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1836,4431,1883,328,9477,3294,12555,1411,2543,7404,3133,263
jbo,Latn,jbo_Latn,Lojban,g,Ll,LATIN SMALL LETTER G,44897,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2143,5042,4545,266,7761,3679,8784,1152,2159,6478,2661,227
jbo,Latn,jbo_Latn,Lojban,f,Ll,LATIN SMALL LETTER F,35536,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1428,3284,3512,250,6550,3159,7883,886,1578,5032,1776,198
jbo,Latn,jbo_Latn,Lojban,v,Ll,LATIN SMALL LETTER V,29065,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1122,2437,1916,211,5358,2176,7695,850,1448,4253,1450,149
jbo,Latn,jbo_Latn,Lojban,y,Ll,LATIN SMALL LETTER Y,27798,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1087,2216,2772,203,4746,1759,5666,678,2037,4810,1755,69
jbo,Latn,jbo_Latn,Lojban,z,Ll,LATIN SMALL LETTER Z,27323,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1239,2532,1072,198,5611,1907,6825,905,1181,4250,1454,149
jbo,Latn,jbo_Latn,Lojban,x,Ll,LATIN SMALL LETTER X,21230,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",781,1899,907,84,4130,1205,5841,443,1151,3067,1631,91
jbo,Latn,jbo_Latn,Lojban,h,Ll,LATIN SMALL LETTER H,14046,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",368,263,6873,56,1686,2016,928,594,549,416,267,30
jbo,Latn,jbo_Latn,Lojban,1,Nd,DIGIT ONE,9223,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",157,246,29,20,3605,180,4257,156,185,236,132,20
jbo,Latn,jbo_Latn,Lojban,2,Nd,DIGIT TWO,6605,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",108,180,18,13,3107,131,2664,109,79,97,81,18
jbo,Latn,jbo_Latn,Lojban,à,Ll,LATIN SMALL LETTER A WITH GRAVE,5917,6,"2014,2017,2018,2019,2022,2023",0,4,0,0,342,39,17,0,0,5464,51,0
jbo,Latn,jbo_Latn,Lojban,3,Nd,DIGIT THREE,5875,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",66,81,10,8,2017,45,3474,67,17,43,27,20
jbo,Latn,jbo_Latn,Lojban,4,Nd,DIGIT FOUR,4881,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",61,95,8,6,1734,32,2726,39,66,66,36,12
jbo,Latn,jbo_Latn,Lojban,w,Ll,LATIN SMALL LETTER W,4805,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",126,86,2273,29,640,712,225,251,190,159,104,10
jbo,Latn,jbo_Latn,Lojban,5,Nd,DIGIT FIVE,4721,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",75,57,8,3,2019,42,2381,35,39,30,21,11
jbo,Latn,jbo_Latn,Lojban,0,Nd,DIGIT ZERO,4493,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",135,197,27,29,1617,165,1878,121,123,105,92,4
jbo,Latn,jbo_Latn,Lojban,6,Nd,DIGIT SIX,4347,11,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",43,78,3,14,1665,28,2328,45,54,69,20,0
jbo,Latn,jbo_Latn,Lojban,ì,Ll,LATIN SMALL LETTER I WITH GRAVE,4189,6,"2014,2017,2018,2019,2022,2023",0,2,0,0,185,31,8,0,0,3924,39,0
jbo,Latn,jbo_Latn,Lojban,7,Nd,DIGIT SEVEN,3808,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",54,36,2,8,1464,19,2127,37,13,30,17,1
jbo,Latn,jbo_Latn,Lojban,",",Po,COMMA,3660,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",190,101,1435,29,579,522,211,119,222,142,104,6
jbo,Latn,jbo_Latn,Lojban,9,Nd,DIGIT NINE,3535,11,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",68,66,6,9,1301,46,1802,40,34,105,58,0
jbo,Latn,jbo_Latn,Lojban,8,Nd,DIGIT EIGHT,3533,11,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",54,73,11,8,1341,36,1877,29,25,56,23,0
jbo,Latn,jbo_Latn,Lojban,ù,Ll,LATIN SMALL LETTER U WITH GRAVE,2820,7,"2014,2016,2017,2018,2019,2022,2023",0,1,0,1,90,21,2,0,0,2682,23,0
jbo,Latn,jbo_Latn,Lojban,è,Ll,LATIN SMALL LETTER E WITH GRAVE,2531,6,"2014,2017,2018,2019,2022,2023",0,2,0,0,123,24,4,0,0,2346,32,0
jbo,Latn,jbo_Latn,Lojban,«,Pi,LEFT-POINTING DOUBLE ANGLE QUOTATION MARK,2504,7,"2014,2017,2018,2019,2020,2022,2023",0,692,0,0,985,24,41,9,0,751,2,0
jbo,Latn,jbo_Latn,Lojban,-,Pd,HYPHEN-MINUS,2382,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",141,157,45,73,359,321,402,102,156,362,218,46
jbo,Latn,jbo_Latn,Lojban,—,Pd,EM DASH,2100,7,"2013,2016,2017,2018,2019,2022,2023",1,0,0,5,884,8,4,0,0,1189,9,0
jbo,Latn,jbo_Latn,Lojban,»,Pf,RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK,1951,7,"2014,2017,2018,2019,2020,2022,2023",0,139,0,0,982,24,43,7,0,752,4,0
jbo,Latn,jbo_Latn,Lojban,:,Po,COLON,1949,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",12,46,17,9,193,455,573,174,138,291,38,3
jbo,Latn,jbo_Latn,Lojban,’,Pf,RIGHT SINGLE QUOTATION MARK,1793,9,"2013,2016,2017,2018,2019,2020,2021,2022,2023",1,0,0,38,23,522,541,17,569,5,77,0
jbo,Latn,jbo_Latn,Lojban,ò,Ll,LATIN SMALL LETTER O WITH GRAVE,1429,6,"2014,2017,2018,2019,2022,2023",0,1,0,0,49,5,7,0,0,1361,6,0
jbo,Latn,jbo_Latn,Lojban,I,Lu,LATIN CAPITAL LETTER I,1344,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",81,51,175,5,386,196,148,117,64,72,46,3
jbo,Latn,jbo_Latn,Lojban,T,Lu,LATIN CAPITAL LETTER T,1133,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",63,46,168,4,209,135,164,113,87,87,51,6
jbo,Latn,jbo_Latn,Lojban,A,Lu,LATIN CAPITAL LETTER A,1068,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",93,43,111,5,250,57,229,86,68,78,45,3
jbo,Latn,jbo_Latn,Lojban,[,Ps,LEFT SQUARE BRACKET,1043,11,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",136,127,34,36,392,42,92,50,39,47,48,0
jbo,Latn,jbo_Latn,Lojban,],Pe,RIGHT SQUARE BRACKET,1043,11,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",136,127,34,36,392,42,92,50,39,47,48,0
jbo,Latn,jbo_Latn,Lojban,S,Lu,LATIN CAPITAL LETTER S,895,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",78,64,93,6,171,87,127,110,56,64,36,3
jbo,Latn,jbo_Latn,Lojban,"""",Po,QUOTATION MARK,870,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",206,10,262,2,106,156,57,10,28,17,14,2
jbo,Latn,jbo_Latn,Lojban,L,Lu,LATIN CAPITAL LETTER L,752,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",41,36,9,6,194,58,101,85,72,96,52,2
jbo,Latn,jbo_Latn,Lojban,C,Lu,LATIN CAPITAL LETTER C,721,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",83,28,19,4,167,55,114,121,22,67,36,5
jbo,Latn,jbo_Latn,Lojban,/,Po,SOLIDUS,698,11,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",8,5,19,1,77,103,99,171,55,140,20,0
jbo,Latn,jbo_Latn,Lojban,ā,Ll,LATIN SMALL LETTER A WITH MACRON,670,5,"2013,2015,2017,2018,2019",3,0,3,0,8,1,655,0,0,0,0,0
jbo,Latn,jbo_Latn,Lojban,(,Ps,LEFT PARENTHESIS,643,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",20,42,60,6,194,86,121,25,14,42,32,1
jbo,Latn,jbo_Latn,Lojban,),Pe,RIGHT PARENTHESIS,642,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",21,36,60,6,194,85,125,25,14,42,33,1
jbo,Latn,jbo_Latn,Lojban,B,Lu,LATIN CAPITAL LETTER B,614,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",91,32,88,3,157,68,55,18,49,33,19,1
jbo,Latn,jbo_Latn,Lojban,G,Lu,LATIN CAPITAL LETTER G,597,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",65,22,303,1,49,27,62,17,10,26,14,1
jbo,Latn,jbo_Latn,Lojban,M,Lu,LATIN CAPITAL LETTER M,589,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",73,34,79,2,131,39,94,43,49,29,14,2
jbo,Latn,jbo_Latn,Lojban,N,Lu,LATIN CAPITAL LETTER N,563,11,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",33,21,32,3,156,41,128,32,28,64,25,0
jbo,Latn,jbo_Latn,Lojban,P,Lu,LATIN CAPITAL LETTER P,545,11,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",46,28,19,3,143,46,65,63,58,49,25,0
jbo,Latn,jbo_Latn,Lojban,E,Lu,LATIN CAPITAL LETTER E,534,11,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",33,24,7,2,160,42,112,17,29,59,49,0
jbo,Latn,jbo_Latn,Lojban,_,Pc,LOW LINE,492,8,"2015,2017,2018,2019,2020,2021,2022,2023",0,0,6,0,126,121,135,33,5,36,30,0
jbo,Latn,jbo_Latn,Lojban,>,Sm,GREATER-THAN SIGN,488,7,"2017,2018,2019,2020,2021,2022,2023",0,0,0,0,116,13,153,7,14,46,139,0
jbo,Latn,jbo_Latn,Lojban,H,Lu,LATIN CAPITAL LETTER H,482,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",65,29,128,2,60,55,24,19,18,67,14,1
jbo,Latn,jbo_Latn,Lojban,R,Lu,LATIN CAPITAL LETTER R,479,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",45,30,5,3,100,18,153,33,16,49,25,2
jbo,Latn,jbo_Latn,Lojban,O,Lu,LATIN CAPITAL LETTER O,468,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",39,23,50,4,110,27,63,25,55,44,26,2
jbo,Latn,jbo_Latn,Lojban,?,Po,QUESTION MARK,467,11,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",14,4,57,7,18,49,112,46,59,71,30,0
jbo,Latn,jbo_Latn,Lojban,D,Lu,LATIN CAPITAL LETTER D,409,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",59,25,14,4,100,32,58,46,5,42,23,1
jbo,Latn,jbo_Latn,Lojban,<,Sm,LESS-THAN SIGN,409,7,"2017,2019,2020,2021,2022,2023,2024",0,0,0,0,124,0,130,1,7,7,138,2
jbo,Latn,jbo_Latn,Lojban,W,Lu,LATIN CAPITAL LETTER W,401,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",44,42,53,2,67,39,30,62,14,30,16,2
jbo,Latn,jbo_Latn,Lojban,о,Ll,CYRILLIC SMALL LETTER O,320,5,"2013,2017,2018,2019,2020",3,0,0,0,1,300,9,7,0,0,0,0
jbo,Latn,jbo_Latn,Lojban,F,Lu,LATIN CAPITAL LETTER F,319,11,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023",29,23,33,1,75,30,52,31,10,25,10,0
jbo,Latn,jbo_Latn,Lojban,J,Lu,LATIN CAPITAL LETTER J,315,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",49,19,5,4,73,30,27,51,19,25,12,1
jbo,Latn,jbo_Latn,Lojban,*,Po,ASTERISK,306,9,"2014,2016,2017,2018,2019,2020,2021,2022,2023",0,60,0,10,108,16,28,6,4,40,34,0
jbo,Latn,jbo_Latn,Lojban,U,Lu,LATIN CAPITAL LETTER U,296,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",10,20,1,2,126,33,30,26,7,24,16,1
jbo,Latn,jbo_Latn,Lojban,K,Lu,LATIN CAPITAL LETTER K,282,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",24,25,1,5,64,6,45,8,31,18,14,41
jbo,Latn,jbo_Latn,Lojban,q,Ll,LATIN SMALL LETTER Q,282,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",12,9,116,4,41,43,17,10,7,14,7,2
jbo,Latn,jbo_Latn,Lojban,=,Sm,EQUALS SIGN,277,8,"2014,2017,2018,2019,2020,2021,2022,2023",0,13,0,0,14,29,104,57,16,43,1,0
