iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2017_frequency,year_2022_frequency
jmc,Latn,jmc_Latn,Machame, ,Zs,SPACE,20059,3,"2013,2017,2022",834,18712,513
jmc,Latn,jmc_Latn,Machame,a,Ll,LATIN SMALL LETTER A,19997,3,"2013,2017,2022",908,18635,454
jmc,Latn,jmc_Latn,Machame,i,Ll,LATIN SMALL LETTER I,8500,3,"2013,2017,2022",449,7824,227
jmc,Latn,jmc_Latn,Machame,e,Ll,LATIN SMALL LETTER E,8420,3,"2013,2017,2022",288,7984,148
jmc,Latn,jmc_Latn,Machame,n,Ll,LATIN SMALL LETTER N,8390,3,"2013,2017,2022",258,7899,233
jmc,Latn,jmc_Latn,Machame,k,Ll,LATIN SMALL LETTER K,6543,3,"2013,2017,2022",287,6078,178
jmc,Latn,jmc_Latn,Machame,y,Ll,LATIN SMALL LETTER Y,6282,3,"2013,2017,2022",141,5989,152
jmc,Latn,jmc_Latn,Machame,u,Ll,LATIN SMALL LETTER U,5900,3,"2013,2017,2022",208,5484,208
jmc,Latn,jmc_Latn,Machame,o,Ll,LATIN SMALL LETTER O,5552,3,"2013,2017,2022",195,5220,137
jmc,Latn,jmc_Latn,Machame,m,Ll,LATIN SMALL LETTER M,5157,3,"2013,2017,2022",196,4866,95
jmc,Latn,jmc_Latn,Machame,l,Ll,LATIN SMALL LETTER L,3963,3,"2013,2017,2022",121,3771,71
jmc,Latn,jmc_Latn,Machame,s,Ll,LATIN SMALL LETTER S,3727,3,"2013,2017,2022",144,3522,61
jmc,Latn,jmc_Latn,Machame,w,Ll,LATIN SMALL LETTER W,3463,3,"2013,2017,2022",128,3281,54
jmc,Latn,jmc_Latn,Machame,r,Ll,LATIN SMALL LETTER R,2823,3,"2013,2017,2022",213,2499,111
jmc,Latn,jmc_Latn,Machame,v,Ll,LATIN SMALL LETTER V,2476,3,"2013,2017,2022",64,2334,78
jmc,Latn,jmc_Latn,Machame,d,Ll,LATIN SMALL LETTER D,2350,3,"2013,2017,2022",91,2218,41
jmc,Latn,jmc_Latn,Machame,h,Ll,LATIN SMALL LETTER H,1947,3,"2013,2017,2022",33,1887,27
jmc,Latn,jmc_Latn,Machame,b,Ll,LATIN SMALL LETTER B,1619,3,"2013,2017,2022",84,1496,39
jmc,Latn,jmc_Latn,Machame,f,Ll,LATIN SMALL LETTER F,1528,3,"2013,2017,2022",52,1409,67
jmc,Latn,jmc_Latn,Machame,t,Ll,LATIN SMALL LETTER T,1440,3,"2013,2017,2022",52,1349,39
jmc,Latn,jmc_Latn,Machame,.,Po,FULL STOP,1439,3,"2013,2017,2022",63,1336,40
jmc,Latn,jmc_Latn,Machame,",",Po,COMMA,1384,3,"2013,2017,2022",58,1261,65
jmc,Latn,jmc_Latn,Machame,N,Lu,LATIN CAPITAL LETTER N,1125,3,"2013,2017,2022",31,1087,7
jmc,Latn,jmc_Latn,Machame,g,Ll,LATIN SMALL LETTER G,949,3,"2013,2017,2022",25,887,37
jmc,Latn,jmc_Latn,Machame,-,Pd,HYPHEN-MINUS,758,3,"2013,2017,2022",5,741,12
jmc,Latn,jmc_Latn,Machame,Y,Lu,LATIN CAPITAL LETTER Y,489,3,"2013,2017,2022",57,431,1
jmc,Latn,jmc_Latn,Machame,“,Pi,LEFT DOUBLE QUOTATION MARK,422,3,"2013,2017,2022",7,402,13
jmc,Latn,jmc_Latn,Machame,1,Nd,DIGIT ONE,416,3,"2013,2017,2022",30,371,15
