iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
kaa,Cyrl,kaa_Cyrl,Kara-Kalpak, ,Zs,SPACE,3354837,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",619,718,1287,207175,431833,867669,628442,698594,116531,241652,160317
kaa,Cyrl,kaa_Cyrl,Kara-Kalpak,а,Ll,CYRILLIC SMALL LETTER A,2962355,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",539,754,1124,159597,377934,784509,566821,619635,97786,209752,143904
kaa,Cyrl,kaa_Cyrl,Kara-Kalpak,и,Ll,CYRILLIC SMALL LETTER I,1820873,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",278,463,631,100615,227046,474012,339699,395618,65335,129137,88039
kaa,Cyrl,kaa_Cyrl,Kara-Kalpak,ы,Ll,CYRILLIC SMALL LETTER YERU,1764422,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",311,447,636,98246,230202,454632,325757,377713,61452,125742,89284
kaa,Cyrl,kaa_Cyrl,Kara-Kalpak,л,Ll,CYRILLIC SMALL LETTER EL,1757704,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",300,486,602,93738,219781,458360,328556,382932,60229,124870,87850
kaa,Cyrl,kaa_Cyrl,Kara-Kalpak,е,Ll,CYRILLIC SMALL LETTER IE,1734927,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",290,410,537,101710,220003,444233,321807,374361,61558,126425,83593
kaa,Cyrl,kaa_Cyrl,Kara-Kalpak,н,Ll,CYRILLIC SMALL LETTER EN,1548644,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",319,350,557,87511,202742,400957,293661,321831,52912,111341,76463
kaa,Cyrl,kaa_Cyrl,Kara-Kalpak,р,Ll,CYRILLIC SMALL LETTER ER,1495819,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",234,412,517,79121,191540,390748,279320,320072,52029,107221,74605
kaa,Cyrl,kaa_Cyrl,Kara-Kalpak,т,Ll,CYRILLIC SMALL LETTER TE,1138590,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",247,298,325,58085,143823,298783,216709,245513,40023,80878,53906
kaa,Cyrl,kaa_Cyrl,Kara-Kalpak,с,Ll,CYRILLIC SMALL LETTER ES,955258,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",137,250,276,51594,120159,247422,178490,208898,33711,67726,46595
kaa,Cyrl,kaa_Cyrl,Kara-Kalpak,м,Ll,CYRILLIC SMALL LETTER EM,884789,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",156,240,194,44796,108947,227240,165127,199003,30339,64522,44225
kaa,Cyrl,kaa_Cyrl,Kara-Kalpak,д,Ll,CYRILLIC SMALL LETTER DE,766135,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",190,136,349,50039,97877,193712,142971,160374,27450,55680,37357
