iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
kam,Latn,kam_Latn,Kamba (Kenya), ,Zs,SPACE,571391,10,"2013,2014,2017,2018,2019,2020,2021,2022,2023,2024",1616,3798,285485,198130,1706,23701,11550,11336,34020,49
kam,Latn,kam_Latn,Kamba (Kenya),a,Ll,LATIN SMALL LETTER A,514257,10,"2013,2014,2017,2018,2019,2020,2021,2022,2023,2024",1282,3155,253921,178601,1467,22660,10770,10852,31511,38
kam,Latn,kam_Latn,Kamba (Kenya),n,Ll,LATIN SMALL LETTER N,268732,10,"2013,2014,2017,2018,2019,2020,2021,2022,2023,2024",754,1732,134106,93492,905,10710,5487,5320,16191,35
kam,Latn,kam_Latn,Kamba (Kenya),ĩ,Ll,LATIN SMALL LETTER I WITH TILDE,198552,10,"2013,2014,2017,2018,2019,2020,2021,2022,2023,2024",114,350,114233,79958,12,186,1238,716,1721,24
kam,Latn,kam_Latn,Kamba (Kenya),e,Ll,LATIN SMALL LETTER E,188153,10,"2013,2014,2017,2018,2019,2020,2021,2022,2023,2024",498,1118,96302,66107,531,6249,3395,3452,10492,9
kam,Latn,kam_Latn,Kamba (Kenya),k,Ll,LATIN SMALL LETTER K,159810,10,"2013,2014,2017,2018,2019,2020,2021,2022,2023,2024",396,1011,78234,55253,450,7049,3314,3647,10442,14
kam,Latn,kam_Latn,Kamba (Kenya),ũ,Ll,LATIN SMALL LETTER U WITH TILDE,156680,10,"2013,2014,2017,2018,2019,2020,2021,2022,2023,2024",89,212,89526,63789,16,139,833,619,1423,34
kam,Latn,kam_Latn,Kamba (Kenya),t,Ll,LATIN SMALL LETTER T,153651,10,"2013,2014,2017,2018,2019,2020,2021,2022,2023,2024",374,991,76517,54325,379,5967,2726,3033,9322,17
kam,Latn,kam_Latn,Kamba (Kenya),i,Ll,LATIN SMALL LETTER I,149660,10,"2013,2014,2017,2018,2019,2020,2021,2022,2023,2024",727,1850,58297,38576,1195,15096,6293,6803,20807,16
kam,Latn,kam_Latn,Kamba (Kenya),m,Ll,LATIN SMALL LETTER M,136463,10,"2013,2014,2017,2018,2019,2020,2021,2022,2023,2024",270,763,67631,47403,328,5943,2737,3002,8372,14
kam,Latn,kam_Latn,Kamba (Kenya),w,Ll,LATIN SMALL LETTER W,136345,10,"2013,2014,2017,2018,2019,2020,2021,2022,2023,2024",397,1079,67224,47189,432,5783,2811,2864,8544,22
kam,Latn,kam_Latn,Kamba (Kenya),o,Ll,LATIN SMALL LETTER O,111296,10,"2013,2014,2017,2018,2019,2020,2021,2022,2023,2024",301,745,55566,38848,401,4253,2340,2254,6570,18
kam,Latn,kam_Latn,Kamba (Kenya),y,Ll,LATIN SMALL LETTER Y,109344,10,"2013,2014,2017,2018,2019,2020,2021,2022,2023,2024",285,743,53999,37545,403,4659,2483,2323,6891,13
kam,Latn,kam_Latn,Kamba (Kenya),u,Ll,LATIN SMALL LETTER U,79737,10,"2013,2014,2017,2018,2019,2020,2021,2022,2023,2024",521,1375,27852,19087,524,10014,3904,4268,12188,4
kam,Latn,kam_Latn,Kamba (Kenya),l,Ll,LATIN SMALL LETTER L,77698,10,"2013,2014,2017,2018,2019,2020,2021,2022,2023,2024",185,399,38484,26169,332,3491,1796,1696,5141,5
kam,Latn,kam_Latn,Kamba (Kenya),s,Ll,LATIN SMALL LETTER S,74096,10,"2013,2014,2017,2018,2019,2020,2021,2022,2023,2024",173,422,35588,25104,314,3843,2026,1664,4960,2
kam,Latn,kam_Latn,Kamba (Kenya),d,Ll,LATIN SMALL LETTER D,54430,10,"2013,2014,2017,2018,2019,2020,2021,2022,2023,2024",158,343,28536,19452,127,1450,765,899,2697,3
