iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
kas,Deva,kas_Deva,Kashmiri, ,Zs,SPACE,281499,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",157,588,178,154,17790,1049,74945,74114,59628,41770,1815,9311
kas,Deva,kas_Deva,Kashmiri,e,Ll,LATIN SMALL LETTER E,33799,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",23,60,3,81,643,147,11588,10507,7177,2870,150,550
kas,Deva,kas_Deva,Kashmiri,र,Lo,DEVANAGARI LETTER RA,31875,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",9,52,42,23,2749,99,4662,8432,7517,6642,285,1363
kas,Deva,kas_Deva,Kashmiri,a,Ll,LATIN SMALL LETTER A,31088,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",14,38,0,34,553,149,9346,8823,7227,4045,370,489
kas,Deva,kas_Deva,Kashmiri,क,Lo,DEVANAGARI LETTER KA,29097,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",7,44,39,14,2022,123,3251,8981,6883,6044,246,1443
kas,Deva,kas_Deva,Kashmiri,t,Ll,LATIN SMALL LETTER T,25635,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",13,22,0,30,657,92,8703,7918,5594,2118,55,433
kas,Deva,kas_Deva,Kashmiri,i,Ll,LATIN SMALL LETTER I,24885,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",17,23,0,42,414,97,7157,7960,5722,2788,176,489
kas,Deva,kas_Deva,Kashmiri,न,Lo,DEVANAGARI LETTER NA,23203,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1,33,55,16,2017,83,3545,6371,5371,4355,454,902
kas,Deva,kas_Deva,Kashmiri,n,Ll,LATIN SMALL LETTER N,22406,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",14,20,0,19,187,94,7157,6815,5253,2293,132,422
kas,Deva,kas_Deva,Kashmiri,o,Ll,LATIN SMALL LETTER O,21903,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",13,17,1,31,514,79,7570,6652,4694,1936,48,348
