iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
kat,Geor,kat_Geor,Georgian,ა,Ll,GEORGIAN LETTER AN,1199534420,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",4426277,7773867,5162189,12650665,76150496,83448978,152325966,223482851,215504575,170680112,184307563,63620881
kat,Geor,kat_Geor,Georgian, ,Zs,SPACE,1191899974,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",4399135,7687295,5110372,12613683,75975231,82322395,149116811,219946215,214113240,172905132,184445129,63265336
kat,Geor,kat_Geor,Georgian,ი,Ll,GEORGIAN LETTER IN,977422087,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3618415,6414122,4280560,10144366,60751657,66196271,123087227,181170156,176581924,140667560,152316927,52192902
kat,Geor,kat_Geor,Georgian,ე,Ll,GEORGIAN LETTER EN,764184756,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2812734,4899577,3244189,7922951,47765813,52021172,96075642,141906783,137861354,109253826,119459908,40960807
kat,Geor,kat_Geor,Georgian,ს,Ll,GEORGIAN LETTER SAN,588089575,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2218341,3875126,2597262,6097987,36549722,39387146,74193235,107891282,106017767,84746525,92516324,31998858
kat,Geor,kat_Geor,Georgian,რ,Ll,GEORGIAN LETTER RAE,513820642,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1900188,3316840,2206243,5443345,32452817,35320910,64824796,95290368,92273169,73465075,79910559,27416332
kat,Geor,kat_Geor,Georgian,ო,Ll,GEORGIAN LETTER ON,429030273,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1598802,2774431,1852751,4522971,27130217,29495587,54269625,79619357,76993162,61155584,66557024,23060762
kat,Geor,kat_Geor,Georgian,მ,Ll,GEORGIAN LETTER MAN,427116729,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1565065,2742901,1815069,4511487,27396576,29986850,54348423,79371216,76803083,60750170,65461117,22364772
kat,Geor,kat_Geor,Georgian,ლ,Ll,GEORGIAN LETTER LAS,351269948,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1339295,2389372,1600902,3689949,22154415,24058687,44538323,64586026,63005479,50408393,54558231,18940876
kat,Geor,kat_Geor,Georgian,ნ,Ll,GEORGIAN LETTER NAR,344102192,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1258770,2183792,1457678,3482873,21148779,23263772,43384367,64101825,62455610,49320518,53576647,18467561
kat,Geor,kat_Geor,Georgian,დ,Ll,GEORGIAN LETTER DON,340032165,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1227044,2226444,1470142,3551725,21573405,23879440,43074483,63578985,60915196,48426780,52236634,17871887
