iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2020_frequency,year_2021_frequency,year_2023_frequency
kdr,Latn,kdr_Latn,Karaim, ,Zs,SPACE,3222,3,"2020,2021,2023",107,2861,254
kdr,Latn,kdr_Latn,Karaim,a,Ll,LATIN SMALL LETTER A,2439,3,"2020,2021,2023",78,2140,221
kdr,Latn,kdr_Latn,Karaim,i,Ll,LATIN SMALL LETTER I,1893,3,"2020,2021,2023",108,1556,229
kdr,Latn,kdr_Latn,Karaim,e,Ll,LATIN SMALL LETTER E,1413,3,"2020,2021,2023",37,1293,83
kdr,Latn,kdr_Latn,Karaim,n,Ll,LATIN SMALL LETTER N,1392,3,"2020,2021,2023",50,1244,98
kdr,Latn,kdr_Latn,Karaim,y,Ll,LATIN SMALL LETTER Y,1287,3,"2020,2021,2023",39,1187,61
kdr,Latn,kdr_Latn,Karaim,r,Ll,LATIN SMALL LETTER R,940,3,"2020,2021,2023",37,833,70
kdr,Latn,kdr_Latn,Karaim,t,Ll,LATIN SMALL LETTER T,820,3,"2020,2021,2023",18,739,63
kdr,Latn,kdr_Latn,Karaim,l,Ll,LATIN SMALL LETTER L,802,3,"2020,2021,2023",45,721,36
kdr,Latn,kdr_Latn,Karaim,d,Ll,LATIN SMALL LETTER D,752,3,"2020,2021,2023",31,648,73
kdr,Latn,kdr_Latn,Karaim,s,Ll,LATIN SMALL LETTER S,729,3,"2020,2021,2023",23,651,55
kdr,Latn,kdr_Latn,Karaim,q,Ll,LATIN SMALL LETTER Q,530,2,"2021,2023",0,529,1
kdr,Latn,kdr_Latn,Karaim,k,Ll,LATIN SMALL LETTER K,500,3,"2020,2021,2023",17,428,55
kdr,Latn,kdr_Latn,Karaim,b,Ll,LATIN SMALL LETTER B,485,3,"2020,2021,2023",15,419,51
kdr,Latn,kdr_Latn,Karaim,o,Ll,LATIN SMALL LETTER O,463,3,"2020,2021,2023",20,396,47
kdr,Latn,kdr_Latn,Karaim,m,Ll,LATIN SMALL LETTER M,439,3,"2020,2021,2023",16,381,42
kdr,Latn,kdr_Latn,Karaim,z,Ll,LATIN SMALL LETTER Z,347,3,"2020,2021,2023",4,256,87
kdr,Latn,kdr_Latn,Karaim,u,Ll,LATIN SMALL LETTER U,333,3,"2020,2021,2023",25,219,89
kdr,Latn,kdr_Latn,Karaim,p,Ll,LATIN SMALL LETTER P,320,3,"2020,2021,2023",3,310,7
kdr,Latn,kdr_Latn,Karaim,j,Ll,LATIN SMALL LETTER J,316,3,"2020,2021,2023",23,251,42
kdr,Latn,kdr_Latn,Karaim,ŋ,Ll,LATIN SMALL LETTER ENG,298,1,2021,0,298,0
kdr,Latn,kdr_Latn,Karaim,ğ,Ll,LATIN SMALL LETTER G WITH BREVE,290,1,2021,0,290,0
kdr,Latn,kdr_Latn,Karaim,.,Po,FULL STOP,288,3,"2020,2021,2023",11,242,35
kdr,Latn,kdr_Latn,Karaim,",",Po,COMMA,237,3,"2020,2021,2023",2,221,14
kdr,Latn,kdr_Latn,Karaim,ş,Ll,LATIN SMALL LETTER S WITH CEDILLA,237,1,2021,0,237,0
kdr,Latn,kdr_Latn,Karaim,g,Ll,LATIN SMALL LETTER G,190,3,"2020,2021,2023",8,167,15
kdr,Latn,kdr_Latn,Karaim,ū,Ll,LATIN SMALL LETTER U WITH MACRON,177,1,2021,0,177,0
kdr,Latn,kdr_Latn,Karaim,ö,Ll,LATIN SMALL LETTER O WITH DIAERESIS,165,3,"2020,2021,2023",2,162,1
kdr,Latn,kdr_Latn,Karaim,-,Pd,HYPHEN-MINUS,154,3,"2020,2021,2023",3,149,2
kdr,Latn,kdr_Latn,Karaim,ü,Ll,LATIN SMALL LETTER U WITH DIAERESIS,139,3,"2020,2021,2023",2,119,18
kdr,Latn,kdr_Latn,Karaim,ä,Ll,LATIN SMALL LETTER A WITH DIAERESIS,132,1,2021,0,132,0
kdr,Latn,kdr_Latn,Karaim,̇,Mn,COMBINING DOT ABOVE,121,1,2021,0,121,0
kdr,Latn,kdr_Latn,Karaim,I,Lu,LATIN CAPITAL LETTER I,105,1,2021,0,105,0
kdr,Latn,kdr_Latn,Karaim,h,Ll,LATIN SMALL LETTER H,91,3,"2020,2021,2023",12,37,42
kdr,Latn,kdr_Latn,Karaim,c,Ll,LATIN SMALL LETTER C,78,2,"2020,2023",3,0,75
kdr,Latn,kdr_Latn,Karaim,а,Ll,CYRILLIC SMALL LETTER A,67,2,"2020,2021",1,66,0
kdr,Latn,kdr_Latn,Karaim,р,Ll,CYRILLIC SMALL LETTER ER,66,1,2021,0,66,0
kdr,Latn,kdr_Latn,Karaim,е,Ll,CYRILLIC SMALL LETTER IE,66,1,2021,0,66,0
