iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency
kew,Latn,kew_Latn,West Kewa,a,Ll,LATIN SMALL LETTER A,291627,6,"2018,2019,2020,2021,2022,2023",232095,1363,3691,31479,1250,21749
kew,Latn,kew_Latn,West Kewa, ,Zs,SPACE,256504,6,"2018,2019,2020,2021,2022,2023",215510,1137,2980,24920,945,11012
kew,Latn,kew_Latn,West Kewa,e,Ll,LATIN SMALL LETTER E,121687,6,"2018,2019,2020,2021,2022,2023",102613,435,1398,12801,582,3858
kew,Latn,kew_Latn,West Kewa,i,Ll,LATIN SMALL LETTER I,99612,6,"2018,2019,2020,2021,2022,2023",86190,341,1178,8785,322,2796
kew,Latn,kew_Latn,West Kewa,o,Ll,LATIN SMALL LETTER O,83066,6,"2018,2019,2020,2021,2022,2023",71038,394,992,7984,320,2338
kew,Latn,kew_Latn,West Kewa,n,Ll,LATIN SMALL LETTER N,81013,6,"2018,2019,2020,2021,2022,2023",69288,291,930,7812,248,2444
kew,Latn,kew_Latn,West Kewa,p,Ll,LATIN SMALL LETTER P,75899,6,"2018,2019,2020,2021,2022,2023",63449,386,1120,8979,359,1606
kew,Latn,kew_Latn,West Kewa,r,Ll,LATIN SMALL LETTER R,75541,6,"2018,2019,2020,2021,2022,2023",65412,468,894,6794,274,1699
kew,Latn,kew_Latn,West Kewa,m,Ll,LATIN SMALL LETTER M,65748,6,"2018,2019,2020,2021,2022,2023",56325,193,811,6770,273,1376
kew,Latn,kew_Latn,West Kewa,u,Ll,LATIN SMALL LETTER U,60690,6,"2018,2019,2020,2021,2022,2023",51295,205,696,6933,238,1323
kew,Latn,kew_Latn,West Kewa,s,Ll,LATIN SMALL LETTER S,39172,6,"2018,2019,2020,2021,2022,2023",35553,199,326,1623,57,1414
kew,Latn,kew_Latn,West Kewa,l,Ll,LATIN SMALL LETTER L,35747,6,"2018,2019,2020,2021,2022,2023",30110,212,463,3608,142,1212
kew,Latn,kew_Latn,West Kewa,d,Ll,LATIN SMALL LETTER D,29405,6,"2018,2019,2020,2021,2022,2023",24871,137,312,2890,147,1048
kew,Latn,kew_Latn,West Kewa,t,Ll,LATIN SMALL LETTER T,27375,6,"2018,2019,2020,2021,2022,2023",23604,92,196,1612,64,1807
kew,Latn,kew_Latn,West Kewa,g,Ll,LATIN SMALL LETTER G,25815,6,"2018,2019,2020,2021,2022,2023",21760,100,332,2705,105,813
kew,Latn,kew_Latn,West Kewa,-,Pd,HYPHEN-MINUS,20194,6,"2018,2019,2020,2021,2022,2023",17370,72,320,2097,81,254
kew,Latn,kew_Latn,West Kewa,.,Po,FULL STOP,18690,6,"2018,2019,2020,2021,2022,2023",15780,86,239,2097,90,398
kew,Latn,kew_Latn,West Kewa,k,Ll,LATIN SMALL LETTER K,18580,6,"2018,2019,2020,2021,2022,2023",15723,37,245,2127,75,373
kew,Latn,kew_Latn,West Kewa,b,Ll,LATIN SMALL LETTER B,16704,6,"2018,2019,2020,2021,2022,2023",14282,101,195,1549,66,511
kew,Latn,kew_Latn,West Kewa,G,Lu,LATIN CAPITAL LETTER G,14712,6,"2018,2019,2020,2021,2022,2023",13084,37,157,1173,44,217
kew,Latn,kew_Latn,West Kewa,y,Ll,LATIN SMALL LETTER Y,13310,6,"2018,2019,2020,2021,2022,2023",10831,110,122,1717,84,446
kew,Latn,kew_Latn,West Kewa,h,Ll,LATIN SMALL LETTER H,10332,5,"2018,2019,2020,2021,2023",9509,17,5,4,0,797
kew,Latn,kew_Latn,West Kewa,w,Ll,LATIN SMALL LETTER W,9893,6,"2018,2019,2020,2021,2022,2023",8269,34,69,1157,55,309
kew,Latn,kew_Latn,West Kewa,c,Ll,LATIN SMALL LETTER C,5228,3,"2018,2019,2023",4224,137,0,0,0,867
kew,Latn,kew_Latn,West Kewa,1,Nd,DIGIT ONE,4760,6,"2018,2019,2020,2021,2022,2023",3980,26,65,576,15,98
kew,Latn,kew_Latn,West Kewa,N,Lu,LATIN CAPITAL LETTER N,4590,6,"2018,2019,2020,2021,2022,2023",3951,21,57,459,27,75
kew,Latn,kew_Latn,West Kewa,S,Lu,LATIN CAPITAL LETTER S,3176,6,"2018,2019,2020,2021,2022,2023",3091,13,8,29,1,34
kew,Latn,kew_Latn,West Kewa,",",Po,COMMA,3063,6,"2018,2019,2020,2021,2022,2023",2723,49,8,89,8,186
kew,Latn,kew_Latn,West Kewa,T,Lu,LATIN CAPITAL LETTER T,2921,5,"2018,2019,2020,2021,2023",2827,1,8,34,0,51
kew,Latn,kew_Latn,West Kewa,A,Lu,LATIN CAPITAL LETTER A,2909,6,"2018,2019,2020,2021,2022,2023",2175,66,42,523,12,91
kew,Latn,kew_Latn,West Kewa,2,Nd,DIGIT TWO,2871,6,"2018,2019,2020,2021,2022,2023",2386,9,42,355,14,65
kew,Latn,kew_Latn,West Kewa,E,Lu,LATIN CAPITAL LETTER E,2703,6,"2018,2019,2020,2021,2022,2023",2548,1,6,116,4,28
kew,Latn,kew_Latn,West Kewa,f,Ll,LATIN SMALL LETTER F,2696,5,"2018,2019,2020,2021,2023",2317,10,4,7,0,358
kew,Latn,kew_Latn,West Kewa,v,Ll,LATIN SMALL LETTER V,2690,4,"2018,2019,2021,2023",2415,7,0,11,0,257
kew,Latn,kew_Latn,West Kewa,V,Lu,LATIN CAPITAL LETTER V,2650,3,"2018,2019,2023",2640,2,0,0,0,8
kew,Latn,kew_Latn,West Kewa,',Po,APOSTROPHE,2642,2,"2018,2023",2640,0,0,0,0,2
kew,Latn,kew_Latn,West Kewa,K,Lu,LATIN CAPITAL LETTER K,2151,5,"2018,2019,2020,2021,2023",1923,5,50,146,0,27
kew,Latn,kew_Latn,West Kewa,Y,Lu,LATIN CAPITAL LETTER Y,2052,5,"2018,2019,2020,2021,2023",1902,1,35,87,0,27
kew,Latn,kew_Latn,West Kewa,P,Lu,LATIN CAPITAL LETTER P,1965,6,"2018,2019,2020,2021,2022,2023",1782,11,36,99,1,36
kew,Latn,kew_Latn,West Kewa,:,Po,COLON,1940,5,"2018,2019,2020,2021,2023",1838,6,20,69,0,7
kew,Latn,kew_Latn,West Kewa,H,Lu,LATIN CAPITAL LETTER H,1687,5,"2018,2019,2020,2021,2023",1662,1,2,12,0,10
kew,Latn,kew_Latn,West Kewa,3,Nd,DIGIT THREE,1584,6,"2018,2019,2020,2021,2022,2023",1369,5,16,173,4,17
kew,Latn,kew_Latn,West Kewa,x,Ll,LATIN SMALL LETTER X,1574,2,"2018,2023",1540,0,0,0,0,34
kew,Latn,kew_Latn,West Kewa,J,Lu,LATIN CAPITAL LETTER J,1494,5,"2018,2019,2020,2021,2023",1448,3,6,33,0,4
kew,Latn,kew_Latn,West Kewa,I,Lu,LATIN CAPITAL LETTER I,1323,4,"2018,2019,2021,2023",1259,8,0,16,0,40
kew,Latn,kew_Latn,West Kewa,0,Nd,DIGIT ZERO,1266,6,"2018,2019,2020,2021,2022,2023",1102,5,10,84,3,62
kew,Latn,kew_Latn,West Kewa,M,Lu,LATIN CAPITAL LETTER M,1226,6,"2018,2019,2020,2021,2022,2023",1063,6,14,119,2,22
kew,Latn,kew_Latn,West Kewa,4,Nd,DIGIT FOUR,1183,6,"2018,2019,2020,2021,2022,2023",1025,5,19,112,4,18
kew,Latn,kew_Latn,West Kewa,D,Lu,LATIN CAPITAL LETTER D,1078,6,"2018,2019,2020,2021,2022,2023",969,4,10,36,1,58
kew,Latn,kew_Latn,West Kewa,8,Nd,DIGIT EIGHT,988,6,"2018,2019,2020,2021,2022,2023",849,4,9,98,5,23
kew,Latn,kew_Latn,West Kewa,5,Nd,DIGIT FIVE,938,6,"2018,2019,2020,2021,2022,2023",792,5,13,107,4,17
kew,Latn,kew_Latn,West Kewa,U,Lu,LATIN CAPITAL LETTER U,894,2,"2018,2023",883,0,0,0,0,11
kew,Latn,kew_Latn,West Kewa,7,Nd,DIGIT SEVEN,893,6,"2018,2019,2020,2021,2022,2023",743,5,10,112,5,18
kew,Latn,kew_Latn,West Kewa,6,Nd,DIGIT SIX,852,6,"2018,2019,2020,2021,2022,2023",705,4,12,105,4,22
kew,Latn,kew_Latn,West Kewa,W,Lu,LATIN CAPITAL LETTER W,806,4,"2018,2019,2021,2023",742,2,0,51,0,11
kew,Latn,kew_Latn,West Kewa,O,Lu,LATIN CAPITAL LETTER O,792,6,"2018,2019,2020,2021,2022,2023",642,4,22,90,4,30
kew,Latn,kew_Latn,West Kewa,C,Lu,LATIN CAPITAL LETTER C,736,3,"2018,2019,2023",692,6,0,0,0,38
kew,Latn,kew_Latn,West Kewa,9,Nd,DIGIT NINE,710,6,"2018,2019,2020,2021,2022,2023",591,3,11,86,4,15
kew,Latn,kew_Latn,West Kewa,?,Po,QUESTION MARK,649,6,"2018,2019,2020,2021,2022,2023",579,2,3,54,2,9
kew,Latn,kew_Latn,West Kewa,B,Lu,LATIN CAPITAL LETTER B,631,5,"2018,2019,2020,2021,2023",608,6,1,12,0,4
kew,Latn,kew_Latn,West Kewa,R,Lu,LATIN CAPITAL LETTER R,601,5,"2018,2019,2020,2021,2023",519,4,6,66,0,6
kew,Latn,kew_Latn,West Kewa,F,Lu,LATIN CAPITAL LETTER F,425,4,"2018,2020,2021,2023",392,0,23,4,0,6
kew,Latn,kew_Latn,West Kewa,),Pe,RIGHT PARENTHESIS,392,4,"2018,2020,2021,2023",288,0,17,51,0,36
