iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
kmh,Latn,kmh_Latn,Kalam, ,Zs,SPACE,544266,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",1640,43384,488905,3216,1447,896,642,711,3425
kmh,Latn,kmh_Latn,Kalam,a,Ll,LATIN SMALL LETTER A,236219,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",665,17389,213834,1517,764,324,189,252,1285
kmh,Latn,kmh_Latn,Kalam,n,Ll,LATIN SMALL LETTER N,193339,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",457,16360,172499,1241,424,475,214,237,1432
kmh,Latn,kmh_Latn,Kalam,i,Ll,LATIN SMALL LETTER I,179327,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",140,16604,158517,1300,114,752,78,78,1744
kmh,Latn,kmh_Latn,Kalam,ɨ,Ll,LATIN SMALL LETTER I WITH STROKE,164147,8,"2013,2017,2018,2019,2020,2022,2023,2024",1024,13196,146727,675,826,0,437,396,866
kmh,Latn,kmh_Latn,Kalam,k,Ll,LATIN SMALL LETTER K,160697,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",490,12984,144086,1044,549,258,176,169,941
kmh,Latn,kmh_Latn,Kalam,e,Ll,LATIN SMALL LETTER E,148244,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",409,9834,135550,809,361,186,166,188,741
kmh,Latn,kmh_Latn,Kalam,m,Ll,LATIN SMALL LETTER M,124213,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",316,11183,110054,703,264,393,125,142,1033
kmh,Latn,kmh_Latn,Kalam,g,Ll,LATIN SMALL LETTER G,110243,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",355,8602,99045,608,284,235,126,137,851
kmh,Latn,kmh_Latn,Kalam,p,Ll,LATIN SMALL LETTER P,105364,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",302,9839,92828,714,321,240,131,131,858
kmh,Latn,kmh_Latn,Kalam,o,Ll,LATIN SMALL LETTER O,102063,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",327,6438,93614,540,279,132,102,133,498
kmh,Latn,kmh_Latn,Kalam,b,Ll,LATIN SMALL LETTER B,92624,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",454,7160,83128,491,224,204,158,166,639
kmh,Latn,kmh_Latn,Kalam,y,Ll,LATIN SMALL LETTER Y,77924,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",61,7360,68651,631,47,295,29,39,811
kmh,Latn,kmh_Latn,Kalam,r,Ll,LATIN SMALL LETTER R,71971,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",151,4561,66152,377,138,115,63,61,353
kmh,Latn,kmh_Latn,Kalam,s,Ll,LATIN SMALL LETTER S,71727,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",109,4214,66410,389,123,87,52,67,276
kmh,Latn,kmh_Latn,Kalam,l,Ll,LATIN SMALL LETTER L,66826,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",228,4381,61065,350,320,13,110,100,259
kmh,Latn,kmh_Latn,Kalam,d,Ll,LATIN SMALL LETTER D,58235,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",159,5045,51969,333,150,101,82,93,303
kmh,Latn,kmh_Latn,Kalam,",",Po,COMMA,58080,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",188,4575,52236,368,172,78,67,56,340
kmh,Latn,kmh_Latn,Kalam,ŋ,Ll,LATIN SMALL LETTER ENG,55103,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",94,4721,49003,377,141,175,32,38,522
kmh,Latn,kmh_Latn,Kalam,t,Ll,LATIN SMALL LETTER T,47854,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",94,2725,44381,300,97,29,31,33,164
kmh,Latn,kmh_Latn,Kalam,u,Ll,LATIN SMALL LETTER U,38210,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",23,3303,34057,326,29,134,21,17,300
kmh,Latn,kmh_Latn,Kalam,.,Po,FULL STOP,28499,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",77,2460,25395,195,67,60,34,31,180
kmh,Latn,kmh_Latn,Kalam,h,Ll,LATIN SMALL LETTER H,22051,6,"2017,2018,2019,2020,2021,2024",0,611,21251,94,11,28,0,0,56
kmh,Latn,kmh_Latn,Kalam,ñ,Ll,LATIN SMALL LETTER N WITH TILDE,16710,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",54,1339,14935,119,65,34,13,20,131
kmh,Latn,kmh_Latn,Kalam,w,Ll,LATIN SMALL LETTER W,15241,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",14,878,14094,104,17,29,7,12,86
kmh,Latn,kmh_Latn,Kalam,c,Ll,LATIN SMALL LETTER C,14056,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",13,908,12930,66,14,20,9,11,85
kmh,Latn,kmh_Latn,Kalam,G,Lu,LATIN CAPITAL LETTER G,11114,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",54,1108,9750,53,19,19,16,23,72
kmh,Latn,kmh_Latn,Kalam,K,Lu,LATIN CAPITAL LETTER K,9417,9,"2013,2017,2018,2019,2020,2021,2022,2023,2024",10,1030,8150,74,17,12,16,22,86
