iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2019_frequency,year_2022_frequency,year_2023_frequency
kmk,Latn,kmk_Latn,Limos Kalinga,a,Ll,LATIN SMALL LETTER A,28670,3,"2019,2022,2023",1545,5204,21921
kmk,Latn,kmk_Latn,Limos Kalinga, ,Zs,SPACE,28459,3,"2019,2022,2023",1582,5766,21111
kmk,Latn,kmk_Latn,Limos Kalinga,n,Ll,LATIN SMALL LETTER N,16528,3,"2019,2022,2023",1042,2420,13066
kmk,Latn,kmk_Latn,Limos Kalinga,u,Ll,LATIN SMALL LETTER U,13697,3,"2019,2022,2023",648,2991,10058
kmk,Latn,kmk_Latn,Limos Kalinga,i,Ll,LATIN SMALL LETTER I,11974,3,"2019,2022,2023",750,2724,8500
kmk,Latn,kmk_Latn,Limos Kalinga,t,Ll,LATIN SMALL LETTER T,8560,3,"2019,2022,2023",519,1156,6885
kmk,Latn,kmk_Latn,Limos Kalinga,d,Ll,LATIN SMALL LETTER D,7409,3,"2019,2022,2023",475,481,6453
kmk,Latn,kmk_Latn,Limos Kalinga,s,Ll,LATIN SMALL LETTER S,6508,3,"2019,2022,2023",398,1443,4667
kmk,Latn,kmk_Latn,Limos Kalinga,k,Ll,LATIN SMALL LETTER K,6226,3,"2019,2022,2023",279,1409,4538
kmk,Latn,kmk_Latn,Limos Kalinga,m,Ll,LATIN SMALL LETTER M,6147,3,"2019,2022,2023",301,1550,4296
kmk,Latn,kmk_Latn,Limos Kalinga,g,Ll,LATIN SMALL LETTER G,5949,3,"2019,2022,2023",319,1151,4479
kmk,Latn,kmk_Latn,Limos Kalinga,o,Ll,LATIN SMALL LETTER O,5296,3,"2019,2022,2023",302,809,4185
kmk,Latn,kmk_Latn,Limos Kalinga,y,Ll,LATIN SMALL LETTER Y,4394,3,"2019,2022,2023",159,1287,2948
kmk,Latn,kmk_Latn,Limos Kalinga,l,Ll,LATIN SMALL LETTER L,4334,3,"2019,2022,2023",156,1610,2568
kmk,Latn,kmk_Latn,Limos Kalinga,p,Ll,LATIN SMALL LETTER P,4298,3,"2019,2022,2023",165,956,3177
kmk,Latn,kmk_Latn,Limos Kalinga,b,Ll,LATIN SMALL LETTER B,2191,3,"2019,2022,2023",124,459,1608
kmk,Latn,kmk_Latn,Limos Kalinga,w,Ll,LATIN SMALL LETTER W,2049,3,"2019,2022,2023",91,406,1552
kmk,Latn,kmk_Latn,Limos Kalinga,.,Po,FULL STOP,1689,3,"2019,2022,2023",109,330,1250
kmk,Latn,kmk_Latn,Limos Kalinga,e,Ll,LATIN SMALL LETTER E,1561,3,"2019,2022,2023",118,747,696
kmk,Latn,kmk_Latn,Limos Kalinga,h,Ll,LATIN SMALL LETTER H,1233,3,"2019,2022,2023",8,1185,40
kmk,Latn,kmk_Latn,Limos Kalinga,c,Ll,LATIN SMALL LETTER C,1139,3,"2019,2022,2023",17,1053,69
kmk,Latn,kmk_Latn,Limos Kalinga,’,Pf,RIGHT SINGLE QUOTATION MARK,1024,2,"2019,2023",62,0,962
kmk,Latn,kmk_Latn,Limos Kalinga,",",Po,COMMA,1023,3,"2019,2022,2023",104,292,627
kmk,Latn,kmk_Latn,Limos Kalinga,A,Lu,LATIN CAPITAL LETTER A,1022,3,"2019,2022,2023",60,245,717
kmk,Latn,kmk_Latn,Limos Kalinga,ḻ,Ll,LATIN SMALL LETTER L WITH LINE BELOW,1016,2,"2019,2023",35,0,981
kmk,Latn,kmk_Latn,Limos Kalinga,1,Nd,DIGIT ONE,671,3,"2019,2022,2023",56,177,438
kmk,Latn,kmk_Latn,Limos Kalinga,r,Ll,LATIN SMALL LETTER R,666,3,"2019,2022,2023",70,130,466
kmk,Latn,kmk_Latn,Limos Kalinga,S,Lu,LATIN CAPITAL LETTER S,597,3,"2019,2022,2023",96,65,436
kmk,Latn,kmk_Latn,Limos Kalinga,K,Lu,LATIN CAPITAL LETTER K,577,3,"2019,2022,2023",27,181,369
kmk,Latn,kmk_Latn,Limos Kalinga,-,Pd,HYPHEN-MINUS,575,3,"2019,2022,2023",21,164,390
kmk,Latn,kmk_Latn,Limos Kalinga,J,Lu,LATIN CAPITAL LETTER J,498,3,"2019,2022,2023",74,109,315
kmk,Latn,kmk_Latn,Limos Kalinga,2,Nd,DIGIT TWO,358,3,"2019,2022,2023",32,67,259
kmk,Latn,kmk_Latn,Limos Kalinga,ɏ,Ll,LATIN SMALL LETTER Y WITH STROKE,304,1,2022,0,304,0
kmk,Latn,kmk_Latn,Limos Kalinga,M,Lu,LATIN CAPITAL LETTER M,283,3,"2019,2022,2023",29,35,219
kmk,Latn,kmk_Latn,Limos Kalinga,T,Lu,LATIN CAPITAL LETTER T,259,3,"2019,2022,2023",5,65,189
kmk,Latn,kmk_Latn,Limos Kalinga,I,Lu,LATIN CAPITAL LETTER I,241,3,"2019,2022,2023",30,35,176
kmk,Latn,kmk_Latn,Limos Kalinga,ʼ,Lm,MODIFIER LETTER APOSTROPHE,238,1,2022,0,238,0
kmk,Latn,kmk_Latn,Limos Kalinga,N,Lu,LATIN CAPITAL LETTER N,216,3,"2019,2022,2023",21,26,169
kmk,Latn,kmk_Latn,Limos Kalinga,U,Lu,LATIN CAPITAL LETTER U,204,3,"2019,2022,2023",21,18,165
kmk,Latn,kmk_Latn,Limos Kalinga,O,Lu,LATIN CAPITAL LETTER O,200,3,"2019,2022,2023",14,12,174
kmk,Latn,kmk_Latn,Limos Kalinga,P,Lu,LATIN CAPITAL LETTER P,198,3,"2019,2022,2023",6,40,152
kmk,Latn,kmk_Latn,Limos Kalinga,3,Nd,DIGIT THREE,182,3,"2019,2022,2023",23,39,120
kmk,Latn,kmk_Latn,Limos Kalinga,4,Nd,DIGIT FOUR,166,3,"2019,2022,2023",20,30,116
kmk,Latn,kmk_Latn,Limos Kalinga,D,Lu,LATIN CAPITAL LETTER D,148,3,"2019,2022,2023",12,3,133
kmk,Latn,kmk_Latn,Limos Kalinga,5,Nd,DIGIT FIVE,139,3,"2019,2022,2023",10,35,94
kmk,Latn,kmk_Latn,Limos Kalinga,7,Nd,DIGIT SEVEN,125,3,"2019,2022,2023",10,25,90
kmk,Latn,kmk_Latn,Limos Kalinga,6,Nd,DIGIT SIX,122,3,"2019,2022,2023",8,21,93
kmk,Latn,kmk_Latn,Limos Kalinga,:,Po,COLON,122,3,"2019,2022,2023",12,37,73
kmk,Latn,kmk_Latn,Limos Kalinga,9,Nd,DIGIT NINE,119,3,"2019,2022,2023",8,27,84
kmk,Latn,kmk_Latn,Limos Kalinga,8,Nd,DIGIT EIGHT,118,3,"2019,2022,2023",11,23,84
kmk,Latn,kmk_Latn,Limos Kalinga,“,Pi,LEFT DOUBLE QUOTATION MARK,115,3,"2019,2022,2023",30,5,80
kmk,Latn,kmk_Latn,Limos Kalinga,”,Pf,RIGHT DOUBLE QUOTATION MARK,114,3,"2019,2022,2023",30,5,79
kmk,Latn,kmk_Latn,Limos Kalinga,0,Nd,DIGIT ZERO,105,3,"2019,2022,2023",7,20,78
kmk,Latn,kmk_Latn,Limos Kalinga,Y,Lu,LATIN CAPITAL LETTER Y,97,3,"2019,2022,2023",2,8,87
kmk,Latn,kmk_Latn,Limos Kalinga,B,Lu,LATIN CAPITAL LETTER B,86,3,"2019,2022,2023",14,6,66
kmk,Latn,kmk_Latn,Limos Kalinga,L,Lu,LATIN CAPITAL LETTER L,78,3,"2019,2022,2023",4,26,48
kmk,Latn,kmk_Latn,Limos Kalinga,C,Lu,LATIN CAPITAL LETTER C,76,3,"2019,2022,2023",3,42,31
kmk,Latn,kmk_Latn,Limos Kalinga,G,Lu,LATIN CAPITAL LETTER G,55,3,"2019,2022,2023",4,15,36
kmk,Latn,kmk_Latn,Limos Kalinga,E,Lu,LATIN CAPITAL LETTER E,54,3,"2019,2022,2023",8,7,39
kmk,Latn,kmk_Latn,Limos Kalinga,H,Lu,LATIN CAPITAL LETTER H,50,3,"2019,2022,2023",2,39,9
kmk,Latn,kmk_Latn,Limos Kalinga,?,Po,QUESTION MARK,43,3,"2019,2022,2023",11,4,28
kmk,Latn,kmk_Latn,Limos Kalinga,*,Po,ASTERISK,37,2,"2022,2023",0,8,29
kmk,Latn,kmk_Latn,Limos Kalinga,f,Ll,LATIN SMALL LETTER F,27,2,"2019,2023",3,0,24
kmk,Latn,kmk_Latn,Limos Kalinga,R,Lu,LATIN CAPITAL LETTER R,21,3,"2019,2022,2023",4,2,15
kmk,Latn,kmk_Latn,Limos Kalinga,!,Po,EXCLAMATION MARK,21,3,"2019,2022,2023",3,9,9
kmk,Latn,kmk_Latn,Limos Kalinga,F,Lu,LATIN CAPITAL LETTER F,21,2,"2019,2023",9,0,12
kmk,Latn,kmk_Latn,Limos Kalinga,Z,Lu,LATIN CAPITAL LETTER Z,20,2,"2019,2023",4,0,16
kmk,Latn,kmk_Latn,Limos Kalinga,;,Po,SEMICOLON,20,3,"2019,2022,2023",2,10,8
kmk,Latn,kmk_Latn,Limos Kalinga,v,Ll,LATIN SMALL LETTER V,18,2,"2019,2023",7,0,11
kmk,Latn,kmk_Latn,Limos Kalinga,z,Ll,LATIN SMALL LETTER Z,15,2,"2019,2023",14,0,1
kmk,Latn,kmk_Latn,Limos Kalinga,),Pe,RIGHT PARENTHESIS,15,3,"2019,2022,2023",3,10,2
kmk,Latn,kmk_Latn,Limos Kalinga,(,Ps,LEFT PARENTHESIS,15,3,"2019,2022,2023",3,10,2
kmk,Latn,kmk_Latn,Limos Kalinga,‘,Pi,LEFT SINGLE QUOTATION MARK,11,2,"2019,2023",5,0,6
kmk,Latn,kmk_Latn,Limos Kalinga,†,Po,DAGGER,8,2,"2022,2023",0,1,7
kmk,Latn,kmk_Latn,Limos Kalinga,‡,Po,DOUBLE DAGGER,7,2,"2022,2023",0,1,6
kmk,Latn,kmk_Latn,Limos Kalinga,#,Po,NUMBER SIGN,6,1,2019,6,0,0
kmk,Latn,kmk_Latn,Limos Kalinga,j,Ll,LATIN SMALL LETTER J,4,1,2023,0,0,4
kmk,Latn,kmk_Latn,Limos Kalinga,§,Po,SECTION SIGN,3,2,"2022,2023",0,1,2
kmk,Latn,kmk_Latn,Limos Kalinga,ò,Ll,LATIN SMALL LETTER O WITH GRAVE,1,1,2022,0,1,0
kmk,Latn,kmk_Latn,Limos Kalinga,],Pe,RIGHT SQUARE BRACKET,1,1,2019,1,0,0
kmk,Latn,kmk_Latn,Limos Kalinga,ù,Ll,LATIN SMALL LETTER U WITH GRAVE,1,1,2022,0,1,0
kmk,Latn,kmk_Latn,Limos Kalinga,[,Ps,LEFT SQUARE BRACKET,1,1,2019,1,0,0
kmk,Latn,kmk_Latn,Limos Kalinga,x,Ll,LATIN SMALL LETTER X,1,1,2023,0,0,1
