iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2018_frequency,year_2019_frequency,year_2022_frequency
kmo,Latn,kmo_Latn,Kwoma, ,Zs,SPACE,244529,4,"2013,2018,2019,2022",783,235445,1546,6755
kmo,Latn,kmo_Latn,Kwoma,a,Ll,LATIN SMALL LETTER A,182907,4,"2013,2018,2019,2022",600,175299,1153,5855
kmo,Latn,kmo_Latn,Kwoma,i,Ll,LATIN SMALL LETTER I,151732,4,"2013,2018,2019,2022",520,145559,1195,4458
kmo,Latn,kmo_Latn,Kwoma,e,Ll,LATIN SMALL LETTER E,109746,4,"2013,2018,2019,2022",289,106100,713,2644
kmo,Latn,kmo_Latn,Kwoma,o,Ll,LATIN SMALL LETTER O,72438,4,"2013,2018,2019,2022",256,69696,375,2111
kmo,Latn,kmo_Latn,Kwoma,t,Ll,LATIN SMALL LETTER T,61539,4,"2013,2018,2019,2022",221,59048,366,1904
kmo,Latn,kmo_Latn,Kwoma,k,Ll,LATIN SMALL LETTER K,60854,4,"2013,2018,2019,2022",231,58249,422,1952
kmo,Latn,kmo_Latn,Kwoma,r,Ll,LATIN SMALL LETTER R,59864,4,"2013,2018,2019,2022",112,58066,436,1250
kmo,Latn,kmo_Latn,Kwoma,n,Ll,LATIN SMALL LETTER N,54939,4,"2013,2018,2019,2022",183,53033,303,1420
kmo,Latn,kmo_Latn,Kwoma,h,Ll,LATIN SMALL LETTER H,52608,4,"2013,2018,2019,2022",126,50754,306,1422
kmo,Latn,kmo_Latn,Kwoma,s,Ll,LATIN SMALL LETTER S,46490,4,"2013,2018,2019,2022",122,45106,260,1002
kmo,Latn,kmo_Latn,Kwoma,y,Ll,LATIN SMALL LETTER Y,41802,4,"2013,2018,2019,2022",164,40142,221,1275
kmo,Latn,kmo_Latn,Kwoma,w,Ll,LATIN SMALL LETTER W,35267,4,"2013,2018,2019,2022",139,33764,208,1156
kmo,Latn,kmo_Latn,Kwoma,m,Ll,LATIN SMALL LETTER M,29106,4,"2013,2018,2019,2022",102,28039,164,801
kmo,Latn,kmo_Latn,Kwoma,c,Ll,LATIN SMALL LETTER C,28841,4,"2013,2018,2019,2022",68,27738,179,856
kmo,Latn,kmo_Latn,Kwoma,p,Ll,LATIN SMALL LETTER P,22696,4,"2013,2018,2019,2022",70,21923,126,577
kmo,Latn,kmo_Latn,Kwoma,b,Ll,LATIN SMALL LETTER B,22022,4,"2013,2018,2019,2022",70,21204,102,646
kmo,Latn,kmo_Latn,Kwoma,.,Po,FULL STOP,19786,4,"2013,2018,2019,2022",77,18994,128,587
kmo,Latn,kmo_Latn,Kwoma,",",Po,COMMA,18204,4,"2013,2018,2019,2022",51,17521,120,512
kmo,Latn,kmo_Latn,Kwoma,d,Ll,LATIN SMALL LETTER D,17708,4,"2013,2018,2019,2022",56,17107,120,425
kmo,Latn,kmo_Latn,Kwoma,u,Ll,LATIN SMALL LETTER U,14760,4,"2013,2018,2019,2022",72,14178,118,392
kmo,Latn,kmo_Latn,Kwoma,l,Ll,LATIN SMALL LETTER L,8673,4,"2013,2018,2019,2022",8,8549,39,77
kmo,Latn,kmo_Latn,Kwoma,A,Lu,LATIN CAPITAL LETTER A,8097,4,"2013,2018,2019,2022",41,7764,43,249
kmo,Latn,kmo_Latn,Kwoma,g,Ll,LATIN SMALL LETTER G,7631,4,"2013,2018,2019,2022",7,7407,35,182
kmo,Latn,kmo_Latn,Kwoma,I,Lu,LATIN CAPITAL LETTER I,7171,4,"2013,2018,2019,2022",31,6903,57,180
kmo,Latn,kmo_Latn,Kwoma,E,Lu,LATIN CAPITAL LETTER E,6420,4,"2013,2018,2019,2022",27,6231,36,126
kmo,Latn,kmo_Latn,Kwoma,j,Ll,LATIN SMALL LETTER J,6238,4,"2013,2018,2019,2022",44,5949,40,205
kmo,Latn,kmo_Latn,Kwoma,K,Lu,LATIN CAPITAL LETTER K,5844,4,"2013,2018,2019,2022",36,5593,24,191
kmo,Latn,kmo_Latn,Kwoma,S,Lu,LATIN CAPITAL LETTER S,5256,4,"2013,2018,2019,2022",7,5137,37,75
kmo,Latn,kmo_Latn,Kwoma,T,Lu,LATIN CAPITAL LETTER T,4965,4,"2013,2018,2019,2022",15,4860,19,71
kmo,Latn,kmo_Latn,Kwoma,G,Lu,LATIN CAPITAL LETTER G,4630,4,"2013,2018,2019,2022",14,4415,30,171
kmo,Latn,kmo_Latn,Kwoma,J,Lu,LATIN CAPITAL LETTER J,4507,4,"2013,2018,2019,2022",11,4323,57,116
kmo,Latn,kmo_Latn,Kwoma,W,Lu,LATIN CAPITAL LETTER W,4412,4,"2013,2018,2019,2022",9,4282,32,89
kmo,Latn,kmo_Latn,Kwoma,1,Nd,DIGIT ONE,4406,4,"2013,2018,2019,2022",14,4240,31,121
kmo,Latn,kmo_Latn,Kwoma,N,Lu,LATIN CAPITAL LETTER N,4042,4,"2013,2018,2019,2022",18,3876,25,123
kmo,Latn,kmo_Latn,Kwoma,H,Lu,LATIN CAPITAL LETTER H,3912,4,"2013,2018,2019,2022",3,3793,16,100
kmo,Latn,kmo_Latn,Kwoma,M,Lu,LATIN CAPITAL LETTER M,3861,4,"2013,2018,2019,2022",19,3689,43,110
kmo,Latn,kmo_Latn,Kwoma,R,Lu,LATIN CAPITAL LETTER R,3676,4,"2013,2018,2019,2022",18,3521,45,92
kmo,Latn,kmo_Latn,Kwoma,Y,Lu,LATIN CAPITAL LETTER Y,3399,4,"2013,2018,2019,2022",13,3246,22,118
kmo,Latn,kmo_Latn,Kwoma,v,Ll,LATIN SMALL LETTER V,3334,3,"2018,2019,2022",0,3307,6,21
kmo,Latn,kmo_Latn,Kwoma,V,Lu,LATIN CAPITAL LETTER V,2988,2,"2018,2019",0,2978,10,0
kmo,Latn,kmo_Latn,Kwoma,',Po,APOSTROPHE,2922,2,"2018,2019",0,2920,2,0
kmo,Latn,kmo_Latn,Kwoma,2,Nd,DIGIT TWO,2760,4,"2013,2018,2019,2022",5,2664,18,73
kmo,Latn,kmo_Latn,Kwoma,P,Lu,LATIN CAPITAL LETTER P,2720,4,"2013,2018,2019,2022",4,2644,20,52
kmo,Latn,kmo_Latn,Kwoma,f,Ll,LATIN SMALL LETTER F,2472,2,"2018,2019",0,2465,7,0
kmo,Latn,kmo_Latn,Kwoma,O,Lu,LATIN CAPITAL LETTER O,2448,4,"2013,2018,2019,2022",19,2340,10,79
kmo,Latn,kmo_Latn,Kwoma,“,Pi,LEFT DOUBLE QUOTATION MARK,2109,4,"2013,2018,2019,2022",1,2047,36,25
kmo,Latn,kmo_Latn,Kwoma,:,Po,COLON,2088,4,"2013,2018,2019,2022",6,2015,41,26
kmo,Latn,kmo_Latn,Kwoma,”,Pf,RIGHT DOUBLE QUOTATION MARK,1764,4,"2013,2018,2019,2022",1,1708,34,21
kmo,Latn,kmo_Latn,Kwoma,x,Ll,LATIN SMALL LETTER X,1707,2,"2018,2019",0,1705,2,0
kmo,Latn,kmo_Latn,Kwoma,3,Nd,DIGIT THREE,1690,4,"2013,2018,2019,2022",5,1628,18,39
kmo,Latn,kmo_Latn,Kwoma,D,Lu,LATIN CAPITAL LETTER D,1634,4,"2013,2018,2019,2022",7,1571,23,33
kmo,Latn,kmo_Latn,Kwoma,B,Lu,LATIN CAPITAL LETTER B,1493,4,"2013,2018,2019,2022",3,1450,9,31
kmo,Latn,kmo_Latn,Kwoma,U,Lu,LATIN CAPITAL LETTER U,1433,4,"2013,2018,2019,2022",4,1398,11,20
kmo,Latn,kmo_Latn,Kwoma,C,Lu,LATIN CAPITAL LETTER C,1315,3,"2018,2019,2022",0,1286,5,24
kmo,Latn,kmo_Latn,Kwoma,4,Nd,DIGIT FOUR,1272,4,"2013,2018,2019,2022",3,1219,16,34
kmo,Latn,kmo_Latn,Kwoma,0,Nd,DIGIT ZERO,1181,4,"2013,2018,2019,2022",2,1150,7,22
kmo,Latn,kmo_Latn,Kwoma,?,Po,QUESTION MARK,981,3,"2018,2019,2022",0,953,13,15
kmo,Latn,kmo_Latn,Kwoma,5,Nd,DIGIT FIVE,977,4,"2013,2018,2019,2022",3,939,8,27
kmo,Latn,kmo_Latn,Kwoma,8,Nd,DIGIT EIGHT,950,4,"2013,2018,2019,2022",2,921,6,21
kmo,Latn,kmo_Latn,Kwoma,-,Pd,HYPHEN-MINUS,943,3,"2018,2019,2022",0,936,5,2
kmo,Latn,kmo_Latn,Kwoma,6,Nd,DIGIT SIX,834,4,"2013,2018,2019,2022",2,804,6,22
kmo,Latn,kmo_Latn,Kwoma,7,Nd,DIGIT SEVEN,817,4,"2013,2018,2019,2022",2,785,7,23
kmo,Latn,kmo_Latn,Kwoma,L,Lu,LATIN CAPITAL LETTER L,697,3,"2018,2019,2022",0,677,5,15
kmo,Latn,kmo_Latn,Kwoma,9,Nd,DIGIT NINE,667,4,"2013,2018,2019,2022",2,639,7,19
kmo,Latn,kmo_Latn,Kwoma,!,Po,EXCLAMATION MARK,585,3,"2018,2019,2022",0,563,14,8
kmo,Latn,kmo_Latn,Kwoma,‘,Pi,LEFT SINGLE QUOTATION MARK,374,3,"2018,2019,2022",0,364,6,4
kmo,Latn,kmo_Latn,Kwoma,’,Pf,RIGHT SINGLE QUOTATION MARK,310,3,"2018,2019,2022",0,301,5,4
kmo,Latn,kmo_Latn,Kwoma,(,Ps,LEFT PARENTHESIS,290,2,"2018,2022",0,289,0,1
kmo,Latn,kmo_Latn,Kwoma,),Pe,RIGHT PARENTHESIS,290,2,"2018,2022",0,289,0,1
kmo,Latn,kmo_Latn,Kwoma,q,Ll,LATIN SMALL LETTER Q,268,2,"2018,2019",0,266,2,0
kmo,Latn,kmo_Latn,Kwoma,F,Lu,LATIN CAPITAL LETTER F,251,2,"2018,2019",0,250,1,0
kmo,Latn,kmo_Latn,Kwoma,`,Sk,GRAVE ACCENT,246,2,"2018,2019",0,245,1,0
kmo,Latn,kmo_Latn,Kwoma,©,So,COPYRIGHT SIGN,246,2,"2018,2019",0,245,1,0
kmo,Latn,kmo_Latn,Kwoma,&,Po,AMPERSAND,243,1,2018,0,243,0,0
kmo,Latn,kmo_Latn,Kwoma,;,Po,SEMICOLON,12,1,2018,0,12,0,0
