iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2016_frequency,year_2017_frequency
knk,Latn,knk_Latn,Kuranko, ,Zs,SPACE,255273,4,"2013,2014,2016,2017",245457,4384,1854,3578
knk,Latn,knk_Latn,Kuranko,a,Ll,LATIN SMALL LETTER A,154376,4,"2013,2014,2016,2017",148479,2627,1060,2210
knk,Latn,knk_Latn,Kuranko,n,Ll,LATIN SMALL LETTER N,100550,4,"2013,2014,2016,2017",96573,1740,832,1405
knk,Latn,knk_Latn,Kuranko,i,Ll,LATIN SMALL LETTER I,70360,4,"2013,2014,2016,2017",67644,1183,499,1034
knk,Latn,knk_Latn,Kuranko,ɛ,Ll,LATIN SMALL LETTER OPEN E,54242,4,"2013,2014,2016,2017",52003,990,433,816
knk,Latn,knk_Latn,Kuranko,l,Ll,LATIN SMALL LETTER L,49734,4,"2013,2014,2016,2017",47839,821,342,732
knk,Latn,knk_Latn,Kuranko,o,Ll,LATIN SMALL LETTER O,44054,4,"2013,2014,2016,2017",42372,777,318,587
knk,Latn,knk_Latn,Kuranko,k,Ll,LATIN SMALL LETTER K,42147,4,"2013,2014,2016,2017",40466,738,360,583
knk,Latn,knk_Latn,Kuranko,ɔ,Ll,LATIN SMALL LETTER OPEN O,41543,4,"2013,2014,2016,2017",39780,817,339,607
knk,Latn,knk_Latn,Kuranko,m,Ll,LATIN SMALL LETTER M,37363,4,"2013,2014,2016,2017",35812,703,308,540
knk,Latn,knk_Latn,Kuranko,y,Ll,LATIN SMALL LETTER Y,35701,4,"2013,2014,2016,2017",34356,579,270,496
knk,Latn,knk_Latn,Kuranko,u,Ll,LATIN SMALL LETTER U,34583,4,"2013,2014,2016,2017",33295,560,259,469
knk,Latn,knk_Latn,Kuranko,e,Ll,LATIN SMALL LETTER E,30991,4,"2013,2014,2016,2017",29865,515,197,414
knk,Latn,knk_Latn,Kuranko,b,Ll,LATIN SMALL LETTER B,28028,4,"2013,2014,2016,2017",26954,488,156,430
knk,Latn,knk_Latn,Kuranko,r,Ll,LATIN SMALL LETTER R,27339,4,"2013,2014,2016,2017",26297,452,194,396
knk,Latn,knk_Latn,Kuranko,t,Ll,LATIN SMALL LETTER T,23648,4,"2013,2014,2016,2017",22775,366,165,342
knk,Latn,knk_Latn,Kuranko,s,Ll,LATIN SMALL LETTER S,22447,4,"2013,2014,2016,2017",21592,429,124,302
knk,Latn,knk_Latn,Kuranko,w,Ll,LATIN SMALL LETTER W,21150,4,"2013,2014,2016,2017",20340,382,162,266
knk,Latn,knk_Latn,Kuranko,",",Po,COMMA,16697,4,"2013,2014,2016,2017",16090,274,115,218
knk,Latn,knk_Latn,Kuranko,d,Ll,LATIN SMALL LETTER D,15963,4,"2013,2014,2016,2017",15342,287,100,234
knk,Latn,knk_Latn,Kuranko,.,Po,FULL STOP,15862,4,"2013,2014,2016,2017",15214,292,114,242
knk,Latn,knk_Latn,Kuranko,g,Ll,LATIN SMALL LETTER G,14746,4,"2013,2014,2016,2017",14146,278,115,207
knk,Latn,knk_Latn,Kuranko,-,Pd,HYPHEN-MINUS,13035,4,"2013,2014,2016,2017",12512,232,119,172
knk,Latn,knk_Latn,Kuranko,f,Ll,LATIN SMALL LETTER F,12540,4,"2013,2014,2016,2017",12031,228,99,182
knk,Latn,knk_Latn,Kuranko,A,Lu,LATIN CAPITAL LETTER A,10348,4,"2013,2014,2016,2017",9945,141,70,192
knk,Latn,knk_Latn,Kuranko,Y,Lu,LATIN CAPITAL LETTER Y,4155,4,"2013,2014,2016,2017",4035,75,11,34
knk,Latn,knk_Latn,Kuranko,1,Nd,DIGIT ONE,4108,4,"2013,2014,2016,2017",3949,70,34,55
knk,Latn,knk_Latn,Kuranko,N,Lu,LATIN CAPITAL LETTER N,3939,4,"2013,2014,2016,2017",3758,101,27,53
knk,Latn,knk_Latn,Kuranko,M,Lu,LATIN CAPITAL LETTER M,3640,4,"2013,2014,2016,2017",3532,46,17,45
knk,Latn,knk_Latn,Kuranko,W,Lu,LATIN CAPITAL LETTER W,3308,4,"2013,2014,2016,2017",3192,40,15,61
knk,Latn,knk_Latn,Kuranko,K,Lu,LATIN CAPITAL LETTER K,3113,4,"2013,2014,2016,2017",2999,64,18,32
knk,Latn,knk_Latn,Kuranko,2,Nd,DIGIT TWO,3078,4,"2013,2014,2016,2017",2961,54,21,42
knk,Latn,knk_Latn,Kuranko,h,Ll,LATIN SMALL LETTER H,2973,4,"2013,2014,2016,2017",2833,69,37,34
knk,Latn,knk_Latn,Kuranko,“,Pi,LEFT DOUBLE QUOTATION MARK,2594,4,"2013,2014,2016,2017",2484,54,11,45
knk,Latn,knk_Latn,Kuranko,!,Po,EXCLAMATION MARK,2581,4,"2013,2014,2016,2017",2489,46,16,30
knk,Latn,knk_Latn,Kuranko,”,Pf,RIGHT DOUBLE QUOTATION MARK,2296,4,"2013,2014,2016,2017",2219,33,11,33
