iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
kos,Latn,kos_Latn,Kosraean, ,Zs,SPACE,1048351,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",23914,55163,72160,16267,69527,34618,118582,71366,258397,198612,106327,23418
kos,Latn,kos_Latn,Kosraean,a,Ll,LATIN SMALL LETTER A,545707,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",12212,28863,37254,8163,35554,18263,61648,35472,139172,103372,53947,11787
kos,Latn,kos_Latn,Kosraean,n,Ll,LATIN SMALL LETTER N,351347,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",7586,18617,24115,5489,23456,12484,37992,22419,88640,67242,35559,7748
kos,Latn,kos_Latn,Kosraean,u,Ll,LATIN SMALL LETTER U,341945,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",8417,19497,25801,5869,23004,11751,37330,20826,83066,64193,34534,7657
kos,Latn,kos_Latn,Kosraean,e,Ll,LATIN SMALL LETTER E,340950,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",7288,17469,22396,5019,22978,11931,37699,21361,85144,65857,35806,8002
kos,Latn,kos_Latn,Kosraean,l,Ll,LATIN SMALL LETTER L,307999,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",6538,15255,19497,4269,18308,8973,37347,19789,79228,59396,32283,7116
kos,Latn,kos_Latn,Kosraean,k,Ll,LATIN SMALL LETTER K,275223,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",6940,16651,21412,4529,19824,10230,28849,16361,65693,51044,27424,6266
kos,Latn,kos_Latn,Kosraean,s,Ll,LATIN SMALL LETTER S,270771,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",6459,14338,19306,4374,16313,8273,30233,17316,67543,52254,28030,6332
kos,Latn,kos_Latn,Kosraean,i,Ll,LATIN SMALL LETTER I,254045,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",5982,13924,18468,4140,17073,8721,27752,15813,62760,48106,25668,5638
kos,Latn,kos_Latn,Kosraean,o,Ll,LATIN SMALL LETTER O,230433,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",4820,11152,14568,3313,13261,6787,27744,15817,60141,45197,22607,5026
kos,Latn,kos_Latn,Kosraean,h,Ll,LATIN SMALL LETTER H,187176,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",10850,25285,32524,7072,22710,9533,10992,6466,27276,20326,11792,2350
kos,Latn,kos_Latn,Kosraean,t,Ll,LATIN SMALL LETTER T,157593,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3695,8280,11560,2606,10087,5183,18374,10064,39170,30036,15386,3152
kos,Latn,kos_Latn,Kosraean,m,Ll,LATIN SMALL LETTER M,157517,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3054,7673,9952,2258,10495,5252,19014,10425,40482,30434,15181,3297
kos,Latn,kos_Latn,Kosraean,c,Ll,LATIN SMALL LETTER C,131293,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",5133,12447,16057,3619,12438,5259,10239,6896,25596,20351,10953,2305
kos,Latn,kos_Latn,Kosraean,w,Ll,LATIN SMALL LETTER W,117539,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3169,8125,10100,2331,8156,3914,13268,7056,27838,20685,10501,2396
kos,Latn,kos_Latn,Kosraean,r,Ll,LATIN SMALL LETTER R,110826,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2888,6279,8796,1981,7155,3627,11294,7194,27396,20794,11061,2361
kos,Latn,kos_Latn,Kosraean,p,Ll,LATIN SMALL LETTER P,73975,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1869,4572,6098,1349,4998,2691,7513,4725,18035,13208,7300,1617
kos,Latn,kos_Latn,Kosraean,g,Ll,LATIN SMALL LETTER G,73869,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1652,3993,4858,1156,4415,2170,7593,4928,19003,14676,7734,1691
kos,Latn,kos_Latn,Kosraean,f,Ll,LATIN SMALL LETTER F,67548,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1449,3380,4231,1003,3794,1907,7379,4512,17365,13832,7155,1541
kos,Latn,kos_Latn,Kosraean,y,Ll,LATIN SMALL LETTER Y,62140,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1703,4398,5343,1101,4347,2380,6128,3673,14139,11199,6293,1436
kos,Latn,kos_Latn,Kosraean,",",Po,COMMA,61365,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1345,3003,3940,855,3261,1478,8092,4350,17013,11546,5414,1068
kos,Latn,kos_Latn,Kosraean,.,Po,FULL STOP,54496,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1527,3280,4272,1099,3536,1728,5677,3495,13153,10169,5404,1156
kos,Latn,kos_Latn,Kosraean,E,Lu,LATIN CAPITAL LETTER E,22721,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",264,648,844,253,1103,425,2914,1798,6426,4644,2851,551
kos,Latn,kos_Latn,Kosraean,M,Lu,LATIN CAPITAL LETTER M,20799,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",357,845,1049,290,1161,565,2373,1529,5728,4070,2367,465
kos,Latn,kos_Latn,Kosraean,d,Ll,LATIN SMALL LETTER D,20233,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",300,601,915,225,1087,395,2104,1052,5187,4670,2963,734
kos,Latn,kos_Latn,Kosraean,1,Nd,DIGIT ONE,20195,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",367,718,993,221,1671,795,2340,1839,4715,4048,2067,421
kos,Latn,kos_Latn,Kosraean,K,Lu,LATIN CAPITAL LETTER K,16730,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",419,936,1364,288,1395,637,1501,951,3596,3269,1922,452
kos,Latn,kos_Latn,Kosraean,L,Lu,LATIN CAPITAL LETTER L,15886,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",422,873,1182,326,752,335,1539,963,4056,2932,2037,469
kos,Latn,kos_Latn,Kosraean,G,Lu,LATIN CAPITAL LETTER G,15787,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",140,308,420,97,917,442,1620,980,4267,3634,2383,579
kos,Latn,kos_Latn,Kosraean,2,Nd,DIGIT TWO,13558,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",221,450,654,142,982,391,1793,1172,3355,2781,1325,292
kos,Latn,kos_Latn,Kosraean,S,Lu,LATIN CAPITAL LETTER S,12936,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",219,469,667,147,920,681,1668,752,3124,2216,1762,311
kos,Latn,kos_Latn,Kosraean,A,Lu,LATIN CAPITAL LETTER A,11814,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",169,404,599,104,718,383,1636,862,2873,2484,1314,268
kos,Latn,kos_Latn,Kosraean,N,Lu,LATIN CAPITAL LETTER N,11606,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",287,582,766,177,602,261,1354,806,2905,2383,1279,204
kos,Latn,kos_Latn,Kosraean,J,Lu,LATIN CAPITAL LETTER J,11085,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",219,294,386,101,805,426,1720,789,2875,2109,1104,257
kos,Latn,kos_Latn,Kosraean,T,Lu,LATIN CAPITAL LETTER T,9685,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",179,347,499,107,643,341,1348,698,2555,1661,1122,185
kos,Latn,kos_Latn,Kosraean,O,Lu,LATIN CAPITAL LETTER O,9510,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",85,188,226,58,508,252,1191,799,2972,1852,1197,182
kos,Latn,kos_Latn,Kosraean,:,Po,COLON,9420,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",197,434,560,138,1123,531,386,861,1733,1718,1408,331
kos,Latn,kos_Latn,Kosraean,I,Lu,LATIN CAPITAL LETTER I,8450,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",126,263,356,71,564,267,1004,663,2311,1677,968,180
kos,Latn,kos_Latn,Kosraean,D,Lu,LATIN CAPITAL LETTER D,8158,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",50,137,178,45,267,73,1388,584,2747,1638,908,143
kos,Latn,kos_Latn,Kosraean,P,Lu,LATIN CAPITAL LETTER P,8077,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",263,488,642,186,538,264,558,482,1828,1360,1235,233
kos,Latn,kos_Latn,Kosraean,3,Nd,DIGIT THREE,7687,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",113,267,360,87,587,268,1023,702,1920,1562,661,137
kos,Latn,kos_Latn,Kosraean,“,Pi,LEFT DOUBLE QUOTATION MARK,7640,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",232,390,517,171,510,194,1143,575,1736,1499,586,87
kos,Latn,kos_Latn,Kosraean,b,Ll,LATIN SMALL LETTER B,7475,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",44,108,159,46,554,224,1055,678,2172,1664,599,172
kos,Latn,kos_Latn,Kosraean,”,Pf,RIGHT DOUBLE QUOTATION MARK,7130,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",209,391,504,148,492,193,1102,499,1583,1320,594,95
kos,Latn,kos_Latn,Kosraean,4,Nd,DIGIT FOUR,5744,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",120,215,285,65,505,208,662,562,1390,1099,500,133
kos,Latn,kos_Latn,Kosraean,U,Lu,LATIN CAPITAL LETTER U,5636,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",30,46,61,11,385,153,889,535,1907,1027,543,49
kos,Latn,kos_Latn,Kosraean,5,Nd,DIGIT FIVE,5157,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",91,202,298,65,426,221,574,458,1207,1040,456,119
kos,Latn,kos_Latn,Kosraean,0,Nd,DIGIT ZERO,5073,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",149,275,456,95,394,128,446,330,1104,1014,551,131
kos,Latn,kos_Latn,Kosraean,v,Ll,LATIN SMALL LETTER V,4731,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",77,118,212,51,544,372,798,197,1216,779,323,44
kos,Latn,kos_Latn,Kosraean,6,Nd,DIGIT SIX,4554,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",79,183,284,55,337,140,530,346,1109,911,470,110
kos,Latn,kos_Latn,Kosraean,C,Lu,LATIN CAPITAL LETTER C,4274,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",69,175,267,61,470,375,194,272,824,708,722,137
kos,Latn,kos_Latn,Kosraean,7,Nd,DIGIT SEVEN,4052,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",64,161,250,60,302,125,496,350,970,818,372,84
kos,Latn,kos_Latn,Kosraean,8,Nd,DIGIT EIGHT,4049,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",78,234,364,87,281,132,477,351,918,705,359,63
kos,Latn,kos_Latn,Kosraean,F,Lu,LATIN CAPITAL LETTER F,4044,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",79,168,263,42,242,164,307,266,984,855,573,101
kos,Latn,kos_Latn,Kosraean,9,Nd,DIGIT NINE,3903,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",94,180,280,64,295,190,460,335,873,735,334,63
kos,Latn,kos_Latn,Kosraean,َ,Mn,ARABIC FATHA,3596,1,2020,0,0,0,0,0,0,0,3596,0,0,0,0
kos,Latn,kos_Latn,Kosraean,?,Po,QUESTION MARK,3507,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",70,97,162,47,627,282,476,150,676,671,200,49
kos,Latn,kos_Latn,Kosraean,W,Lu,LATIN CAPITAL LETTER W,3179,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",57,133,221,65,196,111,263,176,692,599,566,100
