iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency
kqw,Latn,kqw_Latn,Kandas, ,Zs,SPACE,269687,6,"2018,2019,2020,2021,2022,2023",72298,136366,41721,11427,6503,1372
kqw,Latn,kqw_Latn,Kandas,a,Ll,LATIN SMALL LETTER A,157556,6,"2018,2019,2020,2021,2022,2023",40892,80795,24445,6524,4102,798
kqw,Latn,kqw_Latn,Kandas,n,Ll,LATIN SMALL LETTER N,96732,6,"2018,2019,2020,2021,2022,2023",26496,48776,14592,4034,2355,479
kqw,Latn,kqw_Latn,Kandas,u,Ll,LATIN SMALL LETTER U,85064,6,"2018,2019,2020,2021,2022,2023",21965,43790,13177,3723,2058,351
kqw,Latn,kqw_Latn,Kandas,i,Ll,LATIN SMALL LETTER I,74459,6,"2018,2019,2020,2021,2022,2023",20237,37659,11430,3068,1666,399
kqw,Latn,kqw_Latn,Kandas,t,Ll,LATIN SMALL LETTER T,72157,6,"2018,2019,2020,2021,2022,2023",19935,36025,11151,3125,1583,338
kqw,Latn,kqw_Latn,Kandas,o,Ll,LATIN SMALL LETTER O,67118,6,"2018,2019,2020,2021,2022,2023",18161,33979,10161,2955,1391,471
kqw,Latn,kqw_Latn,Kandas,r,Ll,LATIN SMALL LETTER R,57791,6,"2018,2019,2020,2021,2022,2023",16498,28629,8623,2402,1333,306
kqw,Latn,kqw_Latn,Kandas,m,Ll,LATIN SMALL LETTER M,50194,6,"2018,2019,2020,2021,2022,2023",12919,25934,7791,2085,1261,204
kqw,Latn,kqw_Latn,Kandas,s,Ll,LATIN SMALL LETTER S,44281,6,"2018,2019,2020,2021,2022,2023",13533,21472,6391,1719,866,300
kqw,Latn,kqw_Latn,Kandas,e,Ll,LATIN SMALL LETTER E,42159,6,"2018,2019,2020,2021,2022,2023",15087,18648,5571,1718,953,182
kqw,Latn,kqw_Latn,Kandas,k,Ll,LATIN SMALL LETTER K,34882,6,"2018,2019,2020,2021,2022,2023",8852,17801,5549,1466,976,238
kqw,Latn,kqw_Latn,Kandas,l,Ll,LATIN SMALL LETTER L,25731,6,"2018,2019,2020,2021,2022,2023",7504,12487,3853,1087,690,110
kqw,Latn,kqw_Latn,Kandas,d,Ll,LATIN SMALL LETTER D,22855,6,"2018,2019,2020,2021,2022,2023",6390,11291,3375,1100,600,99
kqw,Latn,kqw_Latn,Kandas,",",Po,COMMA,19269,6,"2018,2019,2020,2021,2022,2023",5140,9716,3046,828,442,97
kqw,Latn,kqw_Latn,Kandas,p,Ll,LATIN SMALL LETTER P,18758,6,"2018,2019,2020,2021,2022,2023",4814,9580,3019,745,515,85
kqw,Latn,kqw_Latn,Kandas,g,Ll,LATIN SMALL LETTER G,17284,6,"2018,2019,2020,2021,2022,2023",4651,8490,2814,769,474,86
kqw,Latn,kqw_Latn,Kandas,w,Ll,LATIN SMALL LETTER W,12031,6,"2018,2019,2020,2021,2022,2023",3451,5808,1770,494,346,162
kqw,Latn,kqw_Latn,Kandas,.,Po,FULL STOP,11765,6,"2018,2019,2020,2021,2022,2023",3357,5798,1785,488,274,63
kqw,Latn,kqw_Latn,Kandas,b,Ll,LATIN SMALL LETTER B,9607,6,"2018,2019,2020,2021,2022,2023",3193,4278,1381,427,314,14
kqw,Latn,kqw_Latn,Kandas,1,Nd,DIGIT ONE,7199,6,"2018,2019,2020,2021,2022,2023",1344,4060,1246,309,204,36
kqw,Latn,kqw_Latn,Kandas,2,Nd,DIGIT TWO,4665,6,"2018,2019,2020,2021,2022,2023",867,2605,865,190,116,22
kqw,Latn,kqw_Latn,Kandas,I,Lu,LATIN CAPITAL LETTER I,4489,6,"2018,2019,2020,2021,2022,2023",1451,2145,600,214,64,15
kqw,Latn,kqw_Latn,Kandas,A,Lu,LATIN CAPITAL LETTER A,4484,6,"2018,2019,2020,2021,2022,2023",975,2452,694,218,120,25
kqw,Latn,kqw_Latn,Kandas,:,Po,COLON,3777,6,"2018,2019,2020,2021,2022,2023",356,2368,738,169,135,11
kqw,Latn,kqw_Latn,Kandas,G,Lu,LATIN CAPITAL LETTER G,3280,6,"2018,2019,2020,2021,2022,2023",821,1762,422,214,46,15
kqw,Latn,kqw_Latn,Kandas,3,Nd,DIGIT THREE,2885,6,"2018,2019,2020,2021,2022,2023",594,1547,538,106,82,18
kqw,Latn,kqw_Latn,Kandas,M,Lu,LATIN CAPITAL LETTER M,2531,6,"2018,2019,2020,2021,2022,2023",595,1287,476,111,56,6
kqw,Latn,kqw_Latn,Kandas,h,Ll,LATIN SMALL LETTER H,2439,2,"2018,2020",2437,0,2,0,0,0
kqw,Latn,kqw_Latn,Kandas,T,Lu,LATIN CAPITAL LETTER T,2242,6,"2018,2019,2020,2021,2022,2023",1064,897,185,53,35,8
kqw,Latn,kqw_Latn,Kandas,R,Lu,LATIN CAPITAL LETTER R,2206,6,"2018,2019,2020,2021,2022,2023",542,1111,379,106,52,16
kqw,Latn,kqw_Latn,Kandas,4,Nd,DIGIT FOUR,2204,6,"2018,2019,2020,2021,2022,2023",443,1222,391,88,50,10
kqw,Latn,kqw_Latn,Kandas,K,Lu,LATIN CAPITAL LETTER K,1967,6,"2018,2019,2020,2021,2022,2023",522,1097,276,52,16,4
kqw,Latn,kqw_Latn,Kandas,5,Nd,DIGIT FIVE,1786,6,"2018,2019,2020,2021,2022,2023",328,995,321,94,43,5
kqw,Latn,kqw_Latn,Kandas,“,Pi,LEFT DOUBLE QUOTATION MARK,1633,6,"2018,2019,2020,2021,2022,2023",506,759,255,81,29,3
kqw,Latn,kqw_Latn,Kandas,J,Lu,LATIN CAPITAL LETTER J,1547,6,"2018,2019,2020,2021,2022,2023",467,800,194,58,25,3
kqw,Latn,kqw_Latn,Kandas,U,Lu,LATIN CAPITAL LETTER U,1527,6,"2018,2019,2020,2021,2022,2023",576,666,201,61,18,5
