iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2014_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
ksw,Mymr,ksw_Mymr,S'gaw Karen,်,Mn,MYANMAR SIGN ASAT,913509,9,"2014,2017,2018,2019,2020,2021,2022,2023,2024",104,15656,47100,56268,124873,131762,257255,236426,44065
ksw,Mymr,ksw_Mymr,S'gaw Karen,ၢ,Mc,MYANMAR VOWEL SIGN SGAW KAREN EU,514201,9,"2014,2017,2018,2019,2020,2021,2022,2023,2024",66,8666,26583,28740,65451,75603,146154,137031,25907
ksw,Mymr,ksw_Mymr,S'gaw Karen,ၣ,Mc,MYANMAR TONE MARK SGAW KAREN HATHI,471629,9,"2014,2017,2018,2019,2020,2021,2022,2023,2024",53,8138,24120,29070,66778,66750,134355,120656,21709
ksw,Mymr,ksw_Mymr,S'gaw Karen, ,Zs,SPACE,425195,9,"2014,2017,2018,2019,2020,2021,2022,2023,2024",95,9710,23784,20698,47486,98792,117194,87474,19962
ksw,Mymr,ksw_Mymr,S'gaw Karen,ီ,Mn,MYANMAR VOWEL SIGN II,366962,9,"2014,2017,2018,2019,2020,2021,2022,2023,2024",80,5578,17408,22093,50904,53078,106561,94781,16479
ksw,Mymr,ksw_Mymr,S'gaw Karen,ၤ,Mc,MYANMAR TONE MARK SGAW KAREN KE PHO,354695,9,"2014,2017,2018,2019,2020,2021,2022,2023,2024",58,6752,21678,19315,45726,51328,99413,93085,17340
ksw,Mymr,ksw_Mymr,S'gaw Karen,တ,Lo,MYANMAR LETTER TA,300083,9,"2014,2017,2018,2019,2020,2021,2022,2023,2024",28,4993,15782,17099,38822,43886,82411,81798,15264
ksw,Mymr,ksw_Mymr,S'gaw Karen,လ,Lo,MYANMAR LETTER LA,252536,9,"2014,2017,2018,2019,2020,2021,2022,2023,2024",46,4630,15454,13978,31595,36966,71462,66317,12088
ksw,Mymr,ksw_Mymr,S'gaw Karen,အ,Lo,MYANMAR LETTER A,248789,9,"2014,2017,2018,2019,2020,2021,2022,2023,2024",34,4558,15062,13622,32512,36084,70578,63389,12950
ksw,Mymr,ksw_Mymr,S'gaw Karen,့,Mn,MYANMAR SIGN DOT BELOW,230519,9,"2014,2017,2018,2019,2020,2021,2022,2023,2024",30,3971,12545,12836,29777,32117,65233,63135,10875
ksw,Mymr,ksw_Mymr,S'gaw Karen,း,Mc,MYANMAR SIGN VISARGA,227001,9,"2014,2017,2018,2019,2020,2021,2022,2023,2024",47,3797,12320,12165,28769,33091,65369,61245,10198
ksw,Mymr,ksw_Mymr,S'gaw Karen,က,Lo,MYANMAR LETTER KA,224895,9,"2014,2017,2018,2019,2020,2021,2022,2023,2024",27,3653,10472,14671,30908,32293,64425,58305,10141
ksw,Mymr,ksw_Mymr,S'gaw Karen,ိ,Mn,MYANMAR VOWEL SIGN I,206967,9,"2014,2017,2018,2019,2020,2021,2022,2023,2024",29,3900,11623,12665,28103,30772,58198,51723,9954
ksw,Mymr,ksw_Mymr,S'gaw Karen,ဲ,Mn,MYANMAR VOWEL SIGN AI,190667,9,"2014,2017,2018,2019,2020,2021,2022,2023,2024",24,3285,10560,11526,28100,25588,53997,49454,8133
ksw,Mymr,ksw_Mymr,S'gaw Karen,ံ,Mn,MYANMAR SIGN ANUSVARA,152663,9,"2014,2017,2018,2019,2020,2021,2022,2023,2024",21,2493,7875,8887,21238,21718,44886,39057,6488
ksw,Mymr,ksw_Mymr,S'gaw Karen,န,Lo,MYANMAR LETTER NA,144111,9,"2014,2017,2018,2019,2020,2021,2022,2023,2024",14,2487,7756,7420,18037,20475,40401,40712,6809
