iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2017_frequency,year_2019_frequency,year_2020_frequency
ktz,Latn,ktz_Latn,Juǀʼhoan, ,Zs,SPACE,2052,3,"2017,2019,2020",197,1189,666
ktz,Latn,ktz_Latn,Juǀʼhoan,a,Ll,LATIN SMALL LETTER A,1448,3,"2017,2019,2020",180,732,536
ktz,Latn,ktz_Latn,Juǀʼhoan,e,Ll,LATIN SMALL LETTER E,550,3,"2017,2019,2020",76,301,173
ktz,Latn,ktz_Latn,Juǀʼhoan,o,Ll,LATIN SMALL LETTER O,548,3,"2017,2019,2020",93,271,184
ktz,Latn,ktz_Latn,Juǀʼhoan,k,Ll,LATIN SMALL LETTER K,518,3,"2017,2019,2020",66,274,178
ktz,Latn,ktz_Latn,Juǀʼhoan,n,Ll,LATIN SMALL LETTER N,493,3,"2017,2019,2020",55,232,206
ktz,Latn,ktz_Latn,Juǀʼhoan,i,Ll,LATIN SMALL LETTER I,462,3,"2017,2019,2020",75,295,92
ktz,Latn,ktz_Latn,Juǀʼhoan,h,Ll,LATIN SMALL LETTER H,425,3,"2017,2019,2020",23,289,113
ktz,Latn,ktz_Latn,Juǀʼhoan,u,Ll,LATIN SMALL LETTER U,384,3,"2017,2019,2020",33,247,104
ktz,Latn,ktz_Latn,Juǀʼhoan,t,Ll,LATIN SMALL LETTER T,346,3,"2017,2019,2020",39,213,94
ktz,Latn,ktz_Latn,Juǀʼhoan,s,Ll,LATIN SMALL LETTER S,291,3,"2017,2019,2020",47,161,83
ktz,Latn,ktz_Latn,Juǀʼhoan,|,Sm,VERTICAL LINE,280,2,"2019,2020",0,254,26
ktz,Latn,ktz_Latn,Juǀʼhoan,’,Pf,RIGHT SINGLE QUOTATION MARK,254,3,"2017,2019,2020",1,134,119
ktz,Latn,ktz_Latn,Juǀʼhoan,!,Po,EXCLAMATION MARK,253,3,"2017,2019,2020",28,119,106
ktz,Latn,ktz_Latn,Juǀʼhoan,g,Ll,LATIN SMALL LETTER G,197,3,"2017,2019,2020",18,104,75
ktz,Latn,ktz_Latn,Juǀʼhoan,m,Ll,LATIN SMALL LETTER M,174,3,"2017,2019,2020",28,83,63
ktz,Latn,ktz_Latn,Juǀʼhoan,.,Po,FULL STOP,115,3,"2017,2019,2020",24,71,20
ktz,Latn,ktz_Latn,Juǀʼhoan,r,Ll,LATIN SMALL LETTER R,109,3,"2017,2019,2020",17,68,24
ktz,Latn,ktz_Latn,Juǀʼhoan,x,Ll,LATIN SMALL LETTER X,102,3,"2017,2019,2020",26,42,34
ktz,Latn,ktz_Latn,Juǀʼhoan,",",Po,COMMA,94,3,"2017,2019,2020",5,67,22
ktz,Latn,ktz_Latn,Juǀʼhoan,c,Ll,LATIN SMALL LETTER C,92,3,"2017,2019,2020",10,55,27
ktz,Latn,ktz_Latn,Juǀʼhoan,d,Ll,LATIN SMALL LETTER D,91,3,"2017,2019,2020",4,72,15
ktz,Latn,ktz_Latn,Juǀʼhoan,ǀ,Lo,LATIN LETTER DENTAL CLICK,84,2,"2017,2020",31,0,53
