iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
kwj,Latn,kwj_Latn,Kwanga, ,Zs,SPACE,294348,9,"2016,2017,2018,2019,2020,2021,2022,2023,2024",206,1163,245781,5011,2104,5679,6121,21017,7266
kwj,Latn,kwj_Latn,Kwanga,a,Ll,LATIN SMALL LETTER A,179515,9,"2016,2017,2018,2019,2020,2021,2022,2023,2024",145,678,149101,3246,1288,3421,3701,13405,4530
kwj,Latn,kwj_Latn,Kwanga,i,Ll,LATIN SMALL LETTER I,173795,9,"2016,2017,2018,2019,2020,2021,2022,2023,2024",104,521,144585,2934,1283,3486,3738,12849,4295
kwj,Latn,kwj_Latn,Kwanga,n,Ll,LATIN SMALL LETTER N,109836,9,"2016,2017,2018,2019,2020,2021,2022,2023,2024",56,339,91237,1757,734,2064,2410,8492,2747
kwj,Latn,kwj_Latn,Kwanga,e,Ll,LATIN SMALL LETTER E,85660,9,"2016,2017,2018,2019,2020,2021,2022,2023,2024",58,235,73754,1382,462,1445,1497,4999,1828
kwj,Latn,kwj_Latn,Kwanga,u,Ll,LATIN SMALL LETTER U,75771,9,"2016,2017,2018,2019,2020,2021,2022,2023,2024",71,276,61513,1271,440,1587,1773,6603,2237
kwj,Latn,kwj_Latn,Kwanga,o,Ll,LATIN SMALL LETTER O,69714,9,"2016,2017,2018,2019,2020,2021,2022,2023,2024",104,464,58447,1220,596,1221,1324,4638,1700
kwj,Latn,kwj_Latn,Kwanga,w,Ll,LATIN SMALL LETTER W,62995,9,"2016,2017,2018,2019,2020,2021,2022,2023,2024",22,79,52748,1092,389,1110,1307,4579,1669
kwj,Latn,kwj_Latn,Kwanga,m,Ll,LATIN SMALL LETTER M,57475,9,"2016,2017,2018,2019,2020,2021,2022,2023,2024",34,164,47750,927,408,1197,1297,4125,1573
kwj,Latn,kwj_Latn,Kwanga,r,Ll,LATIN SMALL LETTER R,54477,9,"2016,2017,2018,2019,2020,2021,2022,2023,2024",50,186,46502,932,395,884,1034,3183,1311
kwj,Latn,kwj_Latn,Kwanga,k,Ll,LATIN SMALL LETTER K,52526,9,"2016,2017,2018,2019,2020,2021,2022,2023,2024",82,273,42837,1016,380,1038,1153,4269,1478
kwj,Latn,kwj_Latn,Kwanga,h,Ll,LATIN SMALL LETTER H,51111,9,"2016,2017,2018,2019,2020,2021,2022,2023,2024",31,152,43491,844,266,831,984,3279,1233
kwj,Latn,kwj_Latn,Kwanga,s,Ll,LATIN SMALL LETTER S,48553,9,"2016,2017,2018,2019,2020,2021,2022,2023,2024",47,186,41809,738,262,859,866,2826,960
kwj,Latn,kwj_Latn,Kwanga,t,Ll,LATIN SMALL LETTER T,46518,9,"2016,2017,2018,2019,2020,2021,2022,2023,2024",63,262,39525,809,318,822,794,2871,1054
kwj,Latn,kwj_Latn,Kwanga,d,Ll,LATIN SMALL LETTER D,30175,9,"2016,2017,2018,2019,2020,2021,2022,2023,2024",21,84,25289,460,203,521,684,2172,741
kwj,Latn,kwj_Latn,Kwanga,b,Ll,LATIN SMALL LETTER B,27405,9,"2016,2017,2018,2019,2020,2021,2022,2023,2024",16,22,22859,356,122,541,635,2016,838
kwj,Latn,kwj_Latn,Kwanga,l,Ll,LATIN SMALL LETTER L,22736,7,"2018,2019,2020,2021,2022,2023,2024",0,0,19769,382,88,300,340,1419,438
kwj,Latn,kwj_Latn,Kwanga,p,Ll,LATIN SMALL LETTER P,16945,7,"2018,2019,2020,2021,2022,2023,2024",0,0,14474,296,50,257,287,1158,423
kwj,Latn,kwj_Latn,Kwanga,g,Ll,LATIN SMALL LETTER G,16509,9,"2016,2017,2018,2019,2020,2021,2022,2023,2024",9,96,13767,318,112,284,356,1156,411
kwj,Latn,kwj_Latn,Kwanga,.,Po,FULL STOP,16454,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,26,13889,294,105,271,315,1170,384
kwj,Latn,kwj_Latn,Kwanga,",",Po,COMMA,13422,9,"2016,2017,2018,2019,2020,2021,2022,2023,2024",1,38,11278,237,73,249,275,967,304
kwj,Latn,kwj_Latn,Kwanga,y,Ll,LATIN SMALL LETTER Y,11517,9,"2016,2017,2018,2019,2020,2021,2022,2023,2024",11,54,9870,244,116,206,146,714,156
kwj,Latn,kwj_Latn,Kwanga,f,Ll,LATIN SMALL LETTER F,9541,9,"2016,2017,2018,2019,2020,2021,2022,2023,2024",4,12,8367,146,47,145,99,563,158
kwj,Latn,kwj_Latn,Kwanga,c,Ll,LATIN SMALL LETTER C,8290,9,"2016,2017,2018,2019,2020,2021,2022,2023,2024",10,19,7482,137,31,125,93,301,92
kwj,Latn,kwj_Latn,Kwanga,',Po,APOSTROPHE,5957,4,"2018,2019,2020,2022",0,0,5827,102,16,0,12,0,0
kwj,Latn,kwj_Latn,Kwanga,W,Lu,LATIN CAPITAL LETTER W,5775,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,1,4927,120,51,58,106,387,125
kwj,Latn,kwj_Latn,Kwanga,G,Lu,LATIN CAPITAL LETTER G,5720,7,"2018,2019,2020,2021,2022,2023,2024",0,0,4732,76,35,107,154,411,205
kwj,Latn,kwj_Latn,Kwanga,j,Ll,LATIN SMALL LETTER J,5078,9,"2016,2017,2018,2019,2020,2021,2022,2023,2024",3,22,4121,89,50,135,131,393,134
kwj,Latn,kwj_Latn,Kwanga,1,Nd,DIGIT ONE,4342,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,1,3715,85,23,69,76,276,97
kwj,Latn,kwj_Latn,Kwanga,E,Lu,LATIN CAPITAL LETTER E,3955,9,"2016,2017,2018,2019,2020,2021,2022,2023,2024",1,2,3578,90,10,32,30,159,53
kwj,Latn,kwj_Latn,Kwanga,K,Lu,LATIN CAPITAL LETTER K,3369,9,"2016,2017,2018,2019,2020,2021,2022,2023,2024",2,20,2836,75,21,48,52,247,68
kwj,Latn,kwj_Latn,Kwanga,H,Lu,LATIN CAPITAL LETTER H,3115,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,4,2702,52,20,80,49,148,60
kwj,Latn,kwj_Latn,Kwanga,J,Lu,LATIN CAPITAL LETTER J,2987,7,"2018,2019,2020,2021,2022,2023,2024",0,0,2596,82,34,61,50,132,32
kwj,Latn,kwj_Latn,Kwanga,T,Lu,LATIN CAPITAL LETTER T,2709,9,"2016,2017,2018,2019,2020,2021,2022,2023,2024",3,7,2574,32,6,24,14,44,5
kwj,Latn,kwj_Latn,Kwanga,S,Lu,LATIN CAPITAL LETTER S,2609,9,"2016,2017,2018,2019,2020,2021,2022,2023,2024",1,9,2421,39,17,30,14,61,17
kwj,Latn,kwj_Latn,Kwanga,2,Nd,DIGIT TWO,2569,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,1,2217,65,16,33,49,145,43
kwj,Latn,kwj_Latn,Kwanga,V,Lu,LATIN CAPITAL LETTER V,2364,2,"2018,2019",0,0,2340,24,0,0,0,0,0
kwj,Latn,kwj_Latn,Kwanga,A,Lu,LATIN CAPITAL LETTER A,2337,9,"2016,2017,2018,2019,2020,2021,2022,2023,2024",2,5,1852,44,25,52,64,227,66
kwj,Latn,kwj_Latn,Kwanga,v,Ll,LATIN SMALL LETTER V,1997,5,"2018,2019,2020,2021,2022",0,0,1933,20,1,41,2,0,0
kwj,Latn,kwj_Latn,Kwanga,M,Lu,LATIN CAPITAL LETTER M,1815,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,5,1465,50,32,39,38,138,48
kwj,Latn,kwj_Latn,Kwanga,N,Lu,LATIN CAPITAL LETTER N,1683,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,9,1513,17,11,23,19,70,21
kwj,Latn,kwj_Latn,Kwanga,“,Pi,LEFT DOUBLE QUOTATION MARK,1601,7,"2018,2019,2020,2021,2022,2023,2024",0,0,1377,49,37,16,25,73,24
kwj,Latn,kwj_Latn,Kwanga,3,Nd,DIGIT THREE,1578,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,1,1361,46,17,15,27,89,22
kwj,Latn,kwj_Latn,Kwanga,O,Lu,LATIN CAPITAL LETTER O,1480,9,"2016,2017,2018,2019,2020,2021,2022,2023,2024",5,11,1218,24,6,30,36,107,43
kwj,Latn,kwj_Latn,Kwanga,I,Lu,LATIN CAPITAL LETTER I,1466,9,"2016,2017,2018,2019,2020,2021,2022,2023,2024",1,7,1356,25,13,18,7,20,19
kwj,Latn,kwj_Latn,Kwanga,x,Ll,LATIN SMALL LETTER X,1362,3,"2018,2019,2020",0,0,1342,14,6,0,0,0,0
kwj,Latn,kwj_Latn,Kwanga,”,Pf,RIGHT DOUBLE QUOTATION MARK,1336,7,"2018,2019,2020,2021,2022,2023,2024",0,0,1133,33,37,15,24,70,24
kwj,Latn,kwj_Latn,Kwanga,P,Lu,LATIN CAPITAL LETTER P,1257,9,"2016,2017,2018,2019,2020,2021,2022,2023,2024",1,1,1107,8,5,12,14,102,7
kwj,Latn,kwj_Latn,Kwanga,4,Nd,DIGIT FOUR,1174,7,"2018,2019,2020,2021,2022,2023,2024",0,0,1010,28,16,14,17,70,19
kwj,Latn,kwj_Latn,Kwanga,0,Nd,DIGIT ZERO,1126,7,"2018,2019,2020,2021,2022,2023,2024",0,0,995,19,5,23,13,51,20
kwj,Latn,kwj_Latn,Kwanga,:,Po,COLON,1087,7,"2018,2019,2020,2021,2022,2023,2024",0,0,938,28,11,20,21,46,23
kwj,Latn,kwj_Latn,Kwanga,D,Lu,LATIN CAPITAL LETTER D,926,9,"2016,2017,2018,2019,2020,2021,2022,2023,2024",2,2,817,20,8,12,15,37,13
kwj,Latn,kwj_Latn,Kwanga,5,Nd,DIGIT FIVE,921,7,"2018,2019,2020,2021,2022,2023,2024",0,0,780,19,8,22,17,57,18
kwj,Latn,kwj_Latn,Kwanga,8,Nd,DIGIT EIGHT,896,7,"2018,2019,2020,2021,2022,2023,2024",0,0,791,14,6,10,15,46,14
kwj,Latn,kwj_Latn,Kwanga,C,Lu,LATIN CAPITAL LETTER C,895,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,2,830,10,9,12,27,3,2
kwj,Latn,kwj_Latn,Kwanga,R,Lu,LATIN CAPITAL LETTER R,850,9,"2016,2017,2018,2019,2020,2021,2022,2023,2024",1,1,702,18,13,26,24,50,15
kwj,Latn,kwj_Latn,Kwanga,U,Lu,LATIN CAPITAL LETTER U,833,8,"2016,2017,2018,2019,2020,2021,2022,2023",1,13,801,8,1,7,1,1,0
kwj,Latn,kwj_Latn,Kwanga,?,Po,QUESTION MARK,784,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,3,631,16,12,6,8,80,28
kwj,Latn,kwj_Latn,Kwanga,6,Nd,DIGIT SIX,775,7,"2018,2019,2020,2021,2022,2023,2024",0,0,656,15,5,12,15,55,17
kwj,Latn,kwj_Latn,Kwanga,-,Pd,HYPHEN-MINUS,740,6,"2017,2018,2019,2020,2021,2023",0,1,611,15,5,106,0,2,0
kwj,Latn,kwj_Latn,Kwanga,7,Nd,DIGIT SEVEN,722,7,"2018,2019,2020,2021,2022,2023,2024",0,0,605,21,7,11,14,49,15
kwj,Latn,kwj_Latn,Kwanga,ꞌ,Ll,LATIN SMALL LETTER SALTILLO,704,4,"2021,2022,2023,2024",0,0,0,0,0,88,67,430,119
kwj,Latn,kwj_Latn,Kwanga,9,Nd,DIGIT NINE,672,7,"2018,2019,2020,2021,2022,2023,2024",0,0,573,16,5,10,13,43,12
kwj,Latn,kwj_Latn,Kwanga,B,Lu,LATIN CAPITAL LETTER B,593,8,"2016,2017,2018,2019,2020,2021,2023,2024",1,5,542,22,8,4,0,10,1
kwj,Latn,kwj_Latn,Kwanga,F,Lu,LATIN CAPITAL LETTER F,536,8,"2017,2018,2019,2020,2021,2022,2023,2024",0,1,477,12,7,5,10,20,4
kwj,Latn,kwj_Latn,Kwanga,Y,Lu,LATIN CAPITAL LETTER Y,472,7,"2018,2019,2020,2021,2022,2023,2024",0,0,415,16,3,11,9,16,2
