iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2016_frequency,year_2017_frequency,year_2019_frequency
kxc,Ethi,kxc_Ethi,Konso, ,Zs,SPACE,178064,5,"2013,2014,2016,2017,2019",129123,3896,1048,43609,388
kxc,Ethi,kxc_Ethi,Konso,ን,Lo,ETHIOPIC SYLLABLE NE,35825,5,"2013,2014,2016,2017,2019",25695,742,193,9151,44
kxc,Ethi,kxc_Ethi,Konso,ከ,Lo,ETHIOPIC SYLLABLE KA,32083,5,"2013,2014,2016,2017,2019",22833,773,211,8193,73
kxc,Ethi,kxc_Ethi,Konso,ተ,Lo,ETHIOPIC SYLLABLE TA,27122,5,"2013,2014,2016,2017,2019",19474,700,146,6738,64
kxc,Ethi,kxc_Ethi,Konso,አ,Lo,ETHIOPIC SYLLABLE GLOTTAL A,24684,5,"2013,2014,2016,2017,2019",17810,556,123,6139,56
kxc,Ethi,kxc_Ethi,Konso,እ,Lo,ETHIOPIC SYLLABLE GLOTTAL E,19394,5,"2013,2014,2016,2017,2019",14018,379,127,4822,48
kxc,Ethi,kxc_Ethi,Konso,፥,Po,ETHIOPIC COLON,17789,5,"2013,2014,2016,2017,2019",12787,349,85,4547,21
kxc,Ethi,kxc_Ethi,Konso,መ,Lo,ETHIOPIC SYLLABLE MA,15296,5,"2013,2014,2016,2017,2019",11094,354,64,3763,21
kxc,Ethi,kxc_Ethi,Konso,ፐ,Lo,ETHIOPIC SYLLABLE PA,14412,5,"2013,2014,2016,2017,2019",10272,375,81,3655,29
kxc,Ethi,kxc_Ethi,Konso,ነ,Lo,ETHIOPIC SYLLABLE NA,13749,5,"2013,2014,2016,2017,2019",9851,314,55,3512,17
kxc,Ethi,kxc_Ethi,Konso,ረ,Lo,ETHIOPIC SYLLABLE RA,13546,5,"2013,2014,2016,2017,2019",9739,314,84,3392,17
kxc,Ethi,kxc_Ethi,Konso,ሴ,Lo,ETHIOPIC SYLLABLE SEE,12082,5,"2013,2014,2016,2017,2019",8702,287,91,2967,35
kxc,Ethi,kxc_Ethi,Konso,።,Po,ETHIOPIC FULL STOP,11283,5,"2013,2014,2016,2017,2019",8170,259,67,2733,54
kxc,Ethi,kxc_Ethi,Konso,ኦ,Lo,ETHIOPIC SYLLABLE GLOTTAL O,10760,5,"2013,2014,2016,2017,2019",7742,230,81,2692,15
kxc,Ethi,kxc_Ethi,Konso,ዴ,Lo,ETHIOPIC SYLLABLE DEE,10692,5,"2013,2014,2016,2017,2019",7905,203,72,2496,16
kxc,Ethi,kxc_Ethi,Konso,ሰ,Lo,ETHIOPIC SYLLABLE SA,10538,5,"2013,2014,2016,2017,2019",7658,268,60,2533,19
kxc,Ethi,kxc_Ethi,Konso,ይ,Lo,ETHIOPIC SYLLABLE YE,10387,5,"2013,2014,2016,2017,2019",7582,219,50,2518,18
kxc,Ethi,kxc_Ethi,Konso,ለ,Lo,ETHIOPIC SYLLABLE LA,9820,5,"2013,2014,2016,2017,2019",7113,218,43,2431,15
kxc,Ethi,kxc_Ethi,Konso,ቀ,Lo,ETHIOPIC SYLLABLE QA,9818,5,"2013,2014,2016,2017,2019",7066,235,53,2460,4
kxc,Ethi,kxc_Ethi,Konso,ክ,Lo,ETHIOPIC SYLLABLE KE,9616,5,"2013,2014,2016,2017,2019",7136,167,36,2257,20
