iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2018_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
kyc,Latn,kyc_Latn,Kyaka,a,Ll,LATIN SMALL LETTER A,485081,8,"2013,2014,2018,2020,2021,2022,2023,2024",231601,12970,141382,11158,46229,33513,2347,5881
kyc,Latn,kyc_Latn,Kyaka, ,Zs,SPACE,441016,8,"2013,2014,2018,2020,2021,2022,2023,2024",200637,10748,140087,10506,40580,30909,2175,5374
kyc,Latn,kyc_Latn,Kyaka,o,Ll,LATIN SMALL LETTER O,209859,8,"2013,2014,2018,2020,2021,2022,2023,2024",97394,5140,64163,4937,19981,14670,1128,2446
kyc,Latn,kyc_Latn,Kyaka,e,Ll,LATIN SMALL LETTER E,188993,8,"2013,2014,2018,2020,2021,2022,2023,2024",81499,4415,63889,4385,18707,12952,946,2200
kyc,Latn,kyc_Latn,Kyaka,n,Ll,LATIN SMALL LETTER N,177292,8,"2013,2014,2018,2020,2021,2022,2023,2024",82073,4092,54930,4049,16669,12221,897,2361
kyc,Latn,kyc_Latn,Kyaka,i,Ll,LATIN SMALL LETTER I,158779,8,"2013,2014,2018,2020,2021,2022,2023,2024",71547,3714,49122,3924,16031,11696,699,2046
kyc,Latn,kyc_Latn,Kyaka,p,Ll,LATIN SMALL LETTER P,147025,8,"2013,2014,2018,2020,2021,2022,2023,2024",69393,3954,42908,3509,14612,10293,675,1681
kyc,Latn,kyc_Latn,Kyaka,m,Ll,LATIN SMALL LETTER M,131634,8,"2013,2014,2018,2020,2021,2022,2023,2024",61130,3361,39597,3111,13022,9107,681,1625
kyc,Latn,kyc_Latn,Kyaka,k,Ll,LATIN SMALL LETTER K,124759,8,"2013,2014,2018,2020,2021,2022,2023,2024",59782,3323,36009,2849,12258,8476,602,1460
kyc,Latn,kyc_Latn,Kyaka,y,Ll,LATIN SMALL LETTER Y,114310,8,"2013,2014,2018,2020,2021,2022,2023,2024",55235,3037,31990,2870,10904,8355,532,1387
kyc,Latn,kyc_Latn,Kyaka,u,Ll,LATIN SMALL LETTER U,107223,8,"2013,2014,2018,2020,2021,2022,2023,2024",48974,2478,32433,3029,10027,8354,522,1406
kyc,Latn,kyc_Latn,Kyaka,l,Ll,LATIN SMALL LETTER L,100610,8,"2013,2014,2018,2020,2021,2022,2023,2024",48345,2731,29273,2344,9452,6862,440,1163
kyc,Latn,kyc_Latn,Kyaka,d,Ll,LATIN SMALL LETTER D,79733,8,"2013,2014,2018,2020,2021,2022,2023,2024",36224,2006,25211,1801,7902,5344,394,851
kyc,Latn,kyc_Latn,Kyaka,r,Ll,LATIN SMALL LETTER R,68870,8,"2013,2014,2018,2020,2021,2022,2023,2024",29774,1593,24844,1519,5480,4401,334,925
kyc,Latn,kyc_Latn,Kyaka,s,Ll,LATIN SMALL LETTER S,51708,8,"2013,2014,2018,2020,2021,2022,2023,2024",21007,1168,20312,1047,3961,3406,208,599
