iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2019_frequency,year_2020_frequency,year_2023_frequency,year_2024_frequency
kyu,Kali,kyu_Kali,Western Kayah,ꤢ,Lo,KAYAH LI LETTER A,6727,4,"2019,2020,2023,2024",1409,1150,3201,967
kyu,Kali,kyu_Kali,Western Kayah,꤬,Mn,KAYAH LI TONE CALYA,4460,4,"2019,2020,2023,2024",865,779,2263,553
kyu,Kali,kyu_Kali,Western Kayah, ,Zs,SPACE,4308,4,"2019,2020,2023,2024",971,689,2121,527
kyu,Kali,kyu_Kali,Western Kayah,ꤟ,Lo,KAYAH LI LETTER HA,2163,4,"2019,2020,2023,2024",460,329,1125,249
kyu,Kali,kyu_Kali,Western Kayah,꤭,Mn,KAYAH LI TONE CALYA PLOPHU,1881,4,"2019,2020,2023,2024",418,323,845,295
kyu,Kali,kyu_Kali,Western Kayah,ꤛ,Lo,KAYAH LI LETTER YA,1302,4,"2019,2020,2023,2024",275,290,579,158
kyu,Kali,kyu_Kali,Western Kayah,ꤧ,Mn,KAYAH LI VOWEL E,1211,4,"2019,2020,2023,2024",198,170,756,87
kyu,Kali,kyu_Kali,Western Kayah,ꤩ,Mn,KAYAH LI VOWEL EE,1171,4,"2019,2020,2023,2024",265,243,558,105
kyu,Kali,kyu_Kali,Western Kayah,ꤒ,Lo,KAYAH LI LETTER TA,1058,4,"2019,2020,2023,2024",185,147,598,128
kyu,Kali,kyu_Kali,Western Kayah,ꤣ,Lo,KAYAH LI LETTER OE,873,4,"2019,2020,2023,2024",217,133,437,86
kyu,Kali,kyu_Kali,Western Kayah,ꤤ,Lo,KAYAH LI LETTER I,813,4,"2019,2020,2023,2024",171,119,390,133
kyu,Kali,kyu_Kali,Western Kayah,ꤨ,Mn,KAYAH LI VOWEL U,775,4,"2019,2020,2023,2024",180,120,278,197
kyu,Kali,kyu_Kali,Western Kayah,ꤔ,Lo,KAYAH LI LETTER NA,745,4,"2019,2020,2023,2024",183,80,413,69
kyu,Kali,kyu_Kali,Western Kayah,ꤥ,Lo,KAYAH LI LETTER OO,664,4,"2019,2020,2023,2024",116,87,401,60
kyu,Kali,kyu_Kali,Western Kayah,ꤚ,Lo,KAYAH LI LETTER RA,662,4,"2019,2020,2023,2024",151,106,330,75
kyu,Kali,kyu_Kali,Western Kayah,ꤜ,Lo,KAYAH LI LETTER LA,628,4,"2019,2020,2023,2024",165,124,278,61
kyu,Kali,kyu_Kali,Western Kayah,ꤗ,Lo,KAYAH LI LETTER MA,600,4,"2019,2020,2023,2024",152,77,271,100
kyu,Kali,kyu_Kali,Western Kayah,ꤪ,Mn,KAYAH LI VOWEL O,593,4,"2019,2020,2023,2024",254,59,220,60
