iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2018_frequency,year_2020_frequency,year_2022_frequency,year_2023_frequency
lbb,Latn,lbb_Latn,Label, ,Zs,SPACE,177952,4,"2018,2020,2022,2023",21890,1471,24967,129624
lbb,Latn,lbb_Latn,Label,a,Ll,LATIN SMALL LETTER A,145713,4,"2018,2020,2022,2023",16697,1155,20642,107219
lbb,Latn,lbb_Latn,Label,n,Ll,LATIN SMALL LETTER N,69232,4,"2018,2020,2022,2023",7962,517,9351,51402
lbb,Latn,lbb_Latn,Label,i,Ll,LATIN SMALL LETTER I,51630,4,"2018,2020,2022,2023",6224,490,6910,38006
lbb,Latn,lbb_Latn,Label,t,Ll,LATIN SMALL LETTER T,41902,4,"2018,2020,2022,2023",4972,301,6240,30389
lbb,Latn,lbb_Latn,Label,r,Ll,LATIN SMALL LETTER R,40582,4,"2018,2020,2022,2023",4915,320,5837,29510
lbb,Latn,lbb_Latn,Label,l,Ll,LATIN SMALL LETTER L,39823,4,"2018,2020,2022,2023",4148,230,5685,29760
lbb,Latn,lbb_Latn,Label,o,Ll,LATIN SMALL LETTER O,37567,4,"2018,2020,2022,2023",4061,296,6012,27198
lbb,Latn,lbb_Latn,Label,u,Ll,LATIN SMALL LETTER U,36048,4,"2018,2020,2022,2023",4123,201,4936,26788
lbb,Latn,lbb_Latn,Label,e,Ll,LATIN SMALL LETTER E,28902,4,"2018,2020,2022,2023",4853,329,4199,19521
lbb,Latn,lbb_Latn,Label,s,Ll,LATIN SMALL LETTER S,26994,4,"2018,2020,2022,2023",4088,224,3812,18870
lbb,Latn,lbb_Latn,Label,k,Ll,LATIN SMALL LETTER K,26912,4,"2018,2020,2022,2023",3122,166,3609,20015
lbb,Latn,lbb_Latn,Label,g,Ll,LATIN SMALL LETTER G,23266,4,"2018,2020,2022,2023",2543,184,2963,17576
lbb,Latn,lbb_Latn,Label,m,Ll,LATIN SMALL LETTER M,21514,4,"2018,2020,2022,2023",2489,172,3107,15746
lbb,Latn,lbb_Latn,Label,p,Ll,LATIN SMALL LETTER P,13169,4,"2018,2020,2022,2023",1730,118,1810,9511
lbb,Latn,lbb_Latn,Label,",",Po,COMMA,12534,4,"2018,2020,2022,2023",1514,135,1527,9358
lbb,Latn,lbb_Latn,Label,.,Po,FULL STOP,8228,4,"2018,2020,2022,2023",1030,72,1121,6005
lbb,Latn,lbb_Latn,Label,d,Ll,LATIN SMALL LETTER D,6963,4,"2018,2020,2022,2023",954,69,1105,4835
lbb,Latn,lbb_Latn,Label,b,Ll,LATIN SMALL LETTER B,6336,4,"2018,2020,2022,2023",909,49,688,4690
lbb,Latn,lbb_Latn,Label,h,Ll,LATIN SMALL LETTER H,5692,4,"2018,2020,2022,2023",1277,45,543,3827
lbb,Latn,lbb_Latn,Label,w,Ll,LATIN SMALL LETTER W,5499,4,"2018,2020,2022,2023",711,57,839,3892
lbb,Latn,lbb_Latn,Label,1,Nd,DIGIT ONE,3515,4,"2018,2020,2022,2023",548,28,661,2278
lbb,Latn,lbb_Latn,Label,I,Lu,LATIN CAPITAL LETTER I,3251,4,"2018,2020,2022,2023",627,41,470,2113
lbb,Latn,lbb_Latn,Label,A,Lu,LATIN CAPITAL LETTER A,2927,4,"2018,2020,2022,2023",299,31,571,2026
lbb,Latn,lbb_Latn,Label,2,Nd,DIGIT TWO,2374,4,"2018,2020,2022,2023",412,17,322,1623
lbb,Latn,lbb_Latn,Label,G,Lu,LATIN CAPITAL LETTER G,2142,4,"2018,2020,2022,2023",207,25,442,1468
lbb,Latn,lbb_Latn,Label,P,Lu,LATIN CAPITAL LETTER P,2053,4,"2018,2020,2022,2023",320,18,362,1353
lbb,Latn,lbb_Latn,Label,N,Lu,LATIN CAPITAL LETTER N,1677,4,"2018,2020,2022,2023",279,30,188,1180
lbb,Latn,lbb_Latn,Label,3,Nd,DIGIT THREE,1545,4,"2018,2020,2022,2023",295,18,162,1070
lbb,Latn,lbb_Latn,Label,L,Lu,LATIN CAPITAL LETTER L,1497,4,"2018,2020,2022,2023",218,10,184,1085
lbb,Latn,lbb_Latn,Label,E,Lu,LATIN CAPITAL LETTER E,1458,4,"2018,2020,2022,2023",347,29,224,858
lbb,Latn,lbb_Latn,Label,“,Pi,LEFT DOUBLE QUOTATION MARK,1358,4,"2018,2020,2022,2023",257,30,68,1003
lbb,Latn,lbb_Latn,Label,T,Lu,LATIN CAPITAL LETTER T,1275,4,"2018,2020,2022,2023",257,13,226,779
lbb,Latn,lbb_Latn,Label,M,Lu,LATIN CAPITAL LETTER M,1261,4,"2018,2020,2022,2023",192,14,115,940
lbb,Latn,lbb_Latn,Label,4,Nd,DIGIT FOUR,1170,4,"2018,2020,2022,2023",225,18,135,792
lbb,Latn,lbb_Latn,Label,”,Pf,RIGHT DOUBLE QUOTATION MARK,1163,4,"2018,2020,2022,2023",240,30,63,830
lbb,Latn,lbb_Latn,Label,:,Po,COLON,1113,4,"2018,2020,2022,2023",208,8,302,595
lbb,Latn,lbb_Latn,Label,5,Nd,DIGIT FIVE,869,4,"2018,2020,2022,2023",133,7,119,610
lbb,Latn,lbb_Latn,Label,J,Lu,LATIN CAPITAL LETTER J,841,4,"2018,2020,2022,2023",176,21,138,506
lbb,Latn,lbb_Latn,Label,K,Lu,LATIN CAPITAL LETTER K,799,4,"2018,2020,2022,2023",88,11,259,441
lbb,Latn,lbb_Latn,Label,B,Lu,LATIN CAPITAL LETTER B,757,4,"2018,2020,2022,2023",140,12,78,527
lbb,Latn,lbb_Latn,Label,6,Nd,DIGIT SIX,751,4,"2018,2020,2022,2023",106,5,95,545
lbb,Latn,lbb_Latn,Label,8,Nd,DIGIT EIGHT,720,4,"2018,2020,2022,2023",134,7,97,482
