iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
lfn,Cyrl,lfn_Cyrl,Lingua Franca Nova, ,Zs,SPACE,131386,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",3361,3359,490,719,18645,41654,7045,17902,24736,8808,4667
lfn,Cyrl,lfn_Cyrl,Lingua Franca Nova,е,Ll,CYRILLIC SMALL LETTER IE,79700,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",2209,2483,196,311,10868,25598,3742,11318,14556,5356,3063
lfn,Cyrl,lfn_Cyrl,Lingua Franca Nova,а,Ll,CYRILLIC SMALL LETTER A,75667,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",1256,1469,149,395,11307,23636,3025,10518,15672,5536,2704
lfn,Cyrl,lfn_Cyrl,Lingua Franca Nova,о,Ll,CYRILLIC SMALL LETTER O,52475,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",749,854,133,304,6450,17351,2609,7989,10275,3726,2035
lfn,Cyrl,lfn_Cyrl,Lingua Franca Nova,с,Ll,CYRILLIC SMALL LETTER ES,45940,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",1102,1226,95,278,6769,14120,2044,6612,8896,3095,1703
lfn,Cyrl,lfn_Cyrl,Lingua Franca Nova,и,Ll,CYRILLIC SMALL LETTER I,45163,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",1036,1274,85,212,5065,15988,2022,6799,7748,3131,1803
lfn,Cyrl,lfn_Cyrl,Lingua Franca Nova,н,Ll,CYRILLIC SMALL LETTER EN,43655,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",948,1057,95,210,6540,13377,1877,5863,8842,3255,1591
lfn,Cyrl,lfn_Cyrl,Lingua Franca Nova,р,Ll,CYRILLIC SMALL LETTER ER,40639,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",732,911,82,213,5930,12499,1924,5940,8196,2849,1363
lfn,Cyrl,lfn_Cyrl,Lingua Franca Nova,т,Ll,CYRILLIC SMALL LETTER TE,32648,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",883,1064,75,116,4691,10522,1565,4271,6270,2160,1031
lfn,Cyrl,lfn_Cyrl,Lingua Franca Nova,л,Ll,CYRILLIC SMALL LETTER EL,30635,11,"2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",603,662,63,121,4898,9759,1209,3937,5911,2225,1247
