iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2019_frequency,year_2023_frequency
lgl,Latn,lgl_Latn,Wala, ,Zs,SPACE,39093,2,"2019,2023",979,38114
lgl,Latn,lgl_Latn,Wala,a,Ll,LATIN SMALL LETTER A,38193,2,"2019,2023",893,37300
lgl,Latn,lgl_Latn,Wala,i,Ll,LATIN SMALL LETTER I,16554,2,"2019,2023",412,16142
lgl,Latn,lgl_Latn,Wala,l,Ll,LATIN SMALL LETTER L,16063,2,"2019,2023",453,15610
lgl,Latn,lgl_Latn,Wala,o,Ll,LATIN SMALL LETTER O,9834,2,"2019,2023",223,9611
lgl,Latn,lgl_Latn,Wala,e,Ll,LATIN SMALL LETTER E,9733,2,"2019,2023",328,9405
lgl,Latn,lgl_Latn,Wala,u,Ll,LATIN SMALL LETTER U,8816,2,"2019,2023",215,8601
lgl,Latn,lgl_Latn,Wala,',Po,APOSTROPHE,7901,2,"2019,2023",181,7720
lgl,Latn,lgl_Latn,Wala,f,Ll,LATIN SMALL LETTER F,4970,2,"2019,2023",144,4826
lgl,Latn,lgl_Latn,Wala,k,Ll,LATIN SMALL LETTER K,4896,2,"2019,2023",121,4775
lgl,Latn,lgl_Latn,Wala,m,Ll,LATIN SMALL LETTER M,4826,2,"2019,2023",90,4736
lgl,Latn,lgl_Latn,Wala,s,Ll,LATIN SMALL LETTER S,4784,2,"2019,2023",114,4670
lgl,Latn,lgl_Latn,Wala,r,Ll,LATIN SMALL LETTER R,4707,2,"2019,2023",112,4595
lgl,Latn,lgl_Latn,Wala,t,Ll,LATIN SMALL LETTER T,3966,2,"2019,2023",113,3853
lgl,Latn,lgl_Latn,Wala,g,Ll,LATIN SMALL LETTER G,3848,2,"2019,2023",57,3791
lgl,Latn,lgl_Latn,Wala,n,Ll,LATIN SMALL LETTER N,2906,2,"2019,2023",67,2839
lgl,Latn,lgl_Latn,Wala,",",Po,COMMA,2803,2,"2019,2023",71,2732
lgl,Latn,lgl_Latn,Wala,w,Ll,LATIN SMALL LETTER W,1914,2,"2019,2023",65,1849
lgl,Latn,lgl_Latn,Wala,d,Ll,LATIN SMALL LETTER D,1892,2,"2019,2023",70,1822
lgl,Latn,lgl_Latn,Wala,.,Po,FULL STOP,1750,2,"2019,2023",36,1714
lgl,Latn,lgl_Latn,Wala,b,Ll,LATIN SMALL LETTER B,1155,2,"2019,2023",37,1118
lgl,Latn,lgl_Latn,Wala,M,Lu,LATIN CAPITAL LETTER M,1073,2,"2019,2023",24,1049
lgl,Latn,lgl_Latn,Wala,1,Nd,DIGIT ONE,713,2,"2019,2023",20,693
lgl,Latn,lgl_Latn,Wala,J,Lu,LATIN CAPITAL LETTER J,665,2,"2019,2023",21,644
lgl,Latn,lgl_Latn,Wala,2,Nd,DIGIT TWO,536,2,"2019,2023",10,526
lgl,Latn,lgl_Latn,Wala,G,Lu,LATIN CAPITAL LETTER G,518,2,"2019,2023",10,508
lgl,Latn,lgl_Latn,Wala,A,Lu,LATIN CAPITAL LETTER A,432,2,"2019,2023",2,430
lgl,Latn,lgl_Latn,Wala,“,Pi,LEFT DOUBLE QUOTATION MARK,420,2,"2019,2023",10,410
lgl,Latn,lgl_Latn,Wala,3,Nd,DIGIT THREE,400,2,"2019,2023",4,396
lgl,Latn,lgl_Latn,Wala,”,Pf,RIGHT DOUBLE QUOTATION MARK,319,2,"2019,2023",10,309
lgl,Latn,lgl_Latn,Wala,4,Nd,DIGIT FOUR,290,2,"2019,2023",2,288
lgl,Latn,lgl_Latn,Wala,L,Lu,LATIN CAPITAL LETTER L,247,2,"2019,2023",2,245
lgl,Latn,lgl_Latn,Wala,S,Lu,LATIN CAPITAL LETTER S,240,2,"2019,2023",4,236
lgl,Latn,lgl_Latn,Wala,:,Po,COLON,212,2,"2019,2023",5,207
lgl,Latn,lgl_Latn,Wala,5,Nd,DIGIT FIVE,203,2,"2019,2023",4,199
lgl,Latn,lgl_Latn,Wala,I,Lu,LATIN CAPITAL LETTER I,200,2,"2019,2023",10,190
lgl,Latn,lgl_Latn,Wala,-,Pd,HYPHEN-MINUS,189,2,"2019,2023",1,188
lgl,Latn,lgl_Latn,Wala,T,Lu,LATIN CAPITAL LETTER T,182,2,"2019,2023",3,179
lgl,Latn,lgl_Latn,Wala,6,Nd,DIGIT SIX,172,2,"2019,2023",2,170
lgl,Latn,lgl_Latn,Wala,W,Lu,LATIN CAPITAL LETTER W,160,2,"2019,2023",2,158
lgl,Latn,lgl_Latn,Wala,8,Nd,DIGIT EIGHT,157,2,"2019,2023",2,155
lgl,Latn,lgl_Latn,Wala,9,Nd,DIGIT NINE,156,2,"2019,2023",2,154
lgl,Latn,lgl_Latn,Wala,7,Nd,DIGIT SEVEN,148,2,"2019,2023",2,146
lgl,Latn,lgl_Latn,Wala,0,Nd,DIGIT ZERO,147,2,"2019,2023",2,145
lgl,Latn,lgl_Latn,Wala,h,Ll,LATIN SMALL LETTER H,126,2,"2019,2023",9,117
lgl,Latn,lgl_Latn,Wala,‘,Pi,LEFT SINGLE QUOTATION MARK,123,2,"2019,2023",1,122
lgl,Latn,lgl_Latn,Wala,’,Pf,RIGHT SINGLE QUOTATION MARK,122,2,"2019,2023",1,121
lgl,Latn,lgl_Latn,Wala,E,Lu,LATIN CAPITAL LETTER E,122,2,"2019,2023",9,113
lgl,Latn,lgl_Latn,Wala,p,Ll,LATIN SMALL LETTER P,117,2,"2019,2023",16,101
lgl,Latn,lgl_Latn,Wala,O,Lu,LATIN CAPITAL LETTER O,110,2,"2019,2023",1,109
lgl,Latn,lgl_Latn,Wala,(,Ps,LEFT PARENTHESIS,110,1,2023,0,110
lgl,Latn,lgl_Latn,Wala,),Pe,RIGHT PARENTHESIS,110,1,2023,0,110
lgl,Latn,lgl_Latn,Wala,F,Lu,LATIN CAPITAL LETTER F,108,1,2023,0,108
lgl,Latn,lgl_Latn,Wala,?,Po,QUESTION MARK,106,2,"2019,2023",2,104
lgl,Latn,lgl_Latn,Wala,;,Po,SEMICOLON,82,1,2023,0,82
lgl,Latn,lgl_Latn,Wala,!,Po,EXCLAMATION MARK,73,1,2023,0,73
lgl,Latn,lgl_Latn,Wala,U,Lu,LATIN CAPITAL LETTER U,57,2,"2019,2023",2,55
lgl,Latn,lgl_Latn,Wala,P,Lu,LATIN CAPITAL LETTER P,56,1,2023,0,56
lgl,Latn,lgl_Latn,Wala,D,Lu,LATIN CAPITAL LETTER D,42,2,"2019,2023",3,39
lgl,Latn,lgl_Latn,Wala,C,Lu,LATIN CAPITAL LETTER C,41,2,"2019,2023",1,40
lgl,Latn,lgl_Latn,Wala,v,Ll,LATIN SMALL LETTER V,36,2,"2019,2023",5,31
lgl,Latn,lgl_Latn,Wala,B,Lu,LATIN CAPITAL LETTER B,31,2,"2019,2023",6,25
lgl,Latn,lgl_Latn,Wala,K,Lu,LATIN CAPITAL LETTER K,30,1,2023,0,30
lgl,Latn,lgl_Latn,Wala,H,Lu,LATIN CAPITAL LETTER H,27,2,"2019,2023",12,15
lgl,Latn,lgl_Latn,Wala,N,Lu,LATIN CAPITAL LETTER N,25,2,"2019,2023",2,23
lgl,Latn,lgl_Latn,Wala,j,Ll,LATIN SMALL LETTER J,19,2,"2019,2023",7,12
lgl,Latn,lgl_Latn,Wala,R,Lu,LATIN CAPITAL LETTER R,15,2,"2019,2023",2,13
lgl,Latn,lgl_Latn,Wala,y,Ll,LATIN SMALL LETTER Y,12,2,"2019,2023",5,7
lgl,Latn,lgl_Latn,Wala,c,Ll,LATIN SMALL LETTER C,5,2,"2019,2023",2,3
lgl,Latn,lgl_Latn,Wala,—,Pd,EM DASH,5,1,2023,0,5
lgl,Latn,lgl_Latn,Wala,#,Po,NUMBER SIGN,4,1,2019,4,0
