iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency
lid,Latn,lid_Latn,Nyindrou, ,Zs,SPACE,409637,6,"2013,2017,2018,2019,2020,2021",614,43934,359717,715,567,4090
lid,Latn,lid_Latn,Nyindrou,a,Ll,LATIN SMALL LETTER A,289277,6,"2013,2017,2018,2019,2020,2021",476,34111,250844,490,416,2940
lid,Latn,lid_Latn,Nyindrou,e,Ll,LATIN SMALL LETTER E,158519,6,"2013,2017,2018,2019,2020,2021",192,15493,140807,322,271,1434
lid,Latn,lid_Latn,Nyindrou,i,Ll,LATIN SMALL LETTER I,143621,6,"2013,2017,2018,2019,2020,2021",183,16412,125158,253,226,1389
lid,Latn,lid_Latn,Nyindrou,n,Ll,LATIN SMALL LETTER N,138026,6,"2013,2017,2018,2019,2020,2021",216,15514,120510,268,159,1359
lid,Latn,lid_Latn,Nyindrou,o,Ll,LATIN SMALL LETTER O,105329,6,"2013,2017,2018,2019,2020,2021",124,10867,92829,170,146,1193
lid,Latn,lid_Latn,Nyindrou,r,Ll,LATIN SMALL LETTER R,88313,6,"2013,2017,2018,2019,2020,2021",117,9135,78191,125,112,633
lid,Latn,lid_Latn,Nyindrou,h,Ll,LATIN SMALL LETTER H,84308,6,"2013,2017,2018,2019,2020,2021",154,9189,73908,159,129,769
lid,Latn,lid_Latn,Nyindrou,u,Ll,LATIN SMALL LETTER U,78559,6,"2013,2017,2018,2019,2020,2021",107,9076,68141,131,110,994
lid,Latn,lid_Latn,Nyindrou,d,Ll,LATIN SMALL LETTER D,76822,6,"2013,2017,2018,2019,2020,2021",111,9199,66445,161,90,816
lid,Latn,lid_Latn,Nyindrou,t,Ll,LATIN SMALL LETTER T,70146,6,"2013,2017,2018,2019,2020,2021",77,7573,61708,68,123,597
lid,Latn,lid_Latn,Nyindrou,m,Ll,LATIN SMALL LETTER M,66713,6,"2013,2017,2018,2019,2020,2021",85,7059,58532,123,75,839
lid,Latn,lid_Latn,Nyindrou,s,Ll,LATIN SMALL LETTER S,65012,6,"2013,2017,2018,2019,2020,2021",44,6083,58316,72,117,380
lid,Latn,lid_Latn,Nyindrou,k,Ll,LATIN SMALL LETTER K,64106,6,"2013,2017,2018,2019,2020,2021",72,7214,55856,159,61,744
lid,Latn,lid_Latn,Nyindrou,l,Ll,LATIN SMALL LETTER L,58712,6,"2013,2017,2018,2019,2020,2021",78,6376,51556,111,71,520
lid,Latn,lid_Latn,Nyindrou,b,Ll,LATIN SMALL LETTER B,56053,6,"2013,2017,2018,2019,2020,2021",72,6281,48819,116,88,677
lid,Latn,lid_Latn,Nyindrou,y,Ll,LATIN SMALL LETTER Y,37782,6,"2013,2017,2018,2019,2020,2021",82,3986,33084,84,61,485
lid,Latn,lid_Latn,Nyindrou,",",Po,COMMA,35476,6,"2013,2017,2018,2019,2020,2021",14,4183,30862,31,64,322
lid,Latn,lid_Latn,Nyindrou,w,Ll,LATIN SMALL LETTER W,31930,6,"2013,2017,2018,2019,2020,2021",29,3534,27832,61,40,434
lid,Latn,lid_Latn,Nyindrou,.,Po,FULL STOP,21769,6,"2013,2017,2018,2019,2020,2021",36,2379,18999,50,19,286
lid,Latn,lid_Latn,Nyindrou,-,Pd,HYPHEN-MINUS,13509,6,"2013,2017,2018,2019,2020,2021",5,1774,11592,13,9,116
lid,Latn,lid_Latn,Nyindrou,K,Lu,LATIN CAPITAL LETTER K,8261,6,"2013,2017,2018,2019,2020,2021",2,1507,6694,23,11,24
lid,Latn,lid_Latn,Nyindrou,j,Ll,LATIN SMALL LETTER J,7045,6,"2013,2017,2018,2019,2020,2021",18,741,6176,10,4,96
lid,Latn,lid_Latn,Nyindrou,J,Lu,LATIN CAPITAL LETTER J,6805,5,"2017,2018,2019,2020,2021",0,757,5944,1,34,69
lid,Latn,lid_Latn,Nyindrou,1,Nd,DIGIT ONE,6519,6,"2013,2017,2018,2019,2020,2021",16,862,5554,15,4,68
lid,Latn,lid_Latn,Nyindrou,E,Lu,LATIN CAPITAL LETTER E,6360,6,"2013,2017,2018,2019,2020,2021",9,299,5970,22,7,53
lid,Latn,lid_Latn,Nyindrou,p,Ll,LATIN SMALL LETTER P,5887,6,"2013,2017,2018,2019,2020,2021",3,410,5420,4,19,31
lid,Latn,lid_Latn,Nyindrou,I,Lu,LATIN CAPITAL LETTER I,5852,6,"2013,2017,2018,2019,2020,2021",4,606,5184,2,9,47
lid,Latn,lid_Latn,Nyindrou,A,Lu,LATIN CAPITAL LETTER A,5637,6,"2013,2017,2018,2019,2020,2021",20,448,5065,22,26,56
lid,Latn,lid_Latn,Nyindrou,c,Ll,LATIN SMALL LETTER C,5527,2,"2017,2018",0,37,5490,0,0,0
lid,Latn,lid_Latn,Nyindrou,T,Lu,LATIN CAPITAL LETTER T,5264,6,"2013,2017,2018,2019,2020,2021",6,378,4865,1,3,11
lid,Latn,lid_Latn,Nyindrou,S,Lu,LATIN CAPITAL LETTER S,4339,5,"2013,2017,2018,2020,2021",9,296,4002,0,11,21
lid,Latn,lid_Latn,Nyindrou,g,Ll,LATIN SMALL LETTER G,4322,5,"2017,2018,2019,2020,2021",0,222,4069,8,2,21
lid,Latn,lid_Latn,Nyindrou,2,Nd,DIGIT TWO,4020,5,"2013,2017,2018,2019,2021",18,471,3485,13,0,33
lid,Latn,lid_Latn,Nyindrou,V,Lu,LATIN CAPITAL LETTER V,3462,1,2018,0,0,3462,0,0,0
lid,Latn,lid_Latn,Nyindrou,N,Lu,LATIN CAPITAL LETTER N,3416,6,"2013,2017,2018,2019,2020,2021",5,315,3028,2,4,62
lid,Latn,lid_Latn,Nyindrou,',Po,APOSTROPHE,3390,1,2018,0,0,3390,0,0,0
lid,Latn,lid_Latn,Nyindrou,f,Ll,LATIN SMALL LETTER F,2959,2,"2017,2018",0,37,2922,0,0,0
lid,Latn,lid_Latn,Nyindrou,“,Pi,LEFT DOUBLE QUOTATION MARK,2954,6,"2013,2017,2018,2019,2020,2021",3,112,2757,15,2,65
lid,Latn,lid_Latn,Nyindrou,v,Ll,LATIN SMALL LETTER V,2856,2,"2017,2018",0,7,2849,0,0,0
lid,Latn,lid_Latn,Nyindrou,”,Pf,RIGHT DOUBLE QUOTATION MARK,2667,6,"2013,2017,2018,2019,2020,2021",3,110,2475,15,2,62
lid,Latn,lid_Latn,Nyindrou,M,Lu,LATIN CAPITAL LETTER M,2667,6,"2013,2017,2018,2019,2020,2021",3,406,2207,5,16,30
lid,Latn,lid_Latn,Nyindrou,3,Nd,DIGIT THREE,2417,5,"2013,2017,2018,2019,2021",13,224,2159,5,0,16
lid,Latn,lid_Latn,Nyindrou,L,Lu,LATIN CAPITAL LETTER L,2384,6,"2013,2017,2018,2019,2020,2021",5,294,2046,2,1,36
lid,Latn,lid_Latn,Nyindrou,H,Lu,LATIN CAPITAL LETTER H,2348,5,"2013,2017,2018,2020,2021",10,67,2258,0,4,9
lid,Latn,lid_Latn,Nyindrou,P,Lu,LATIN CAPITAL LETTER P,2259,5,"2013,2017,2018,2020,2021",2,255,1996,0,2,4
lid,Latn,lid_Latn,Nyindrou,B,Lu,LATIN CAPITAL LETTER B,2157,6,"2013,2017,2018,2019,2020,2021",6,189,1880,1,9,72
lid,Latn,lid_Latn,Nyindrou,Y,Lu,LATIN CAPITAL LETTER Y,2009,5,"2013,2017,2018,2019,2020",5,136,1855,10,3,0
lid,Latn,lid_Latn,Nyindrou,x,Ll,LATIN SMALL LETTER X,1992,2,"2017,2018",0,7,1985,0,0,0
lid,Latn,lid_Latn,Nyindrou,4,Nd,DIGIT FOUR,1841,6,"2013,2017,2018,2019,2020,2021",7,199,1615,3,4,13
lid,Latn,lid_Latn,Nyindrou,:,Po,COLON,1808,4,"2017,2018,2020,2021",0,479,1317,0,5,7
lid,Latn,lid_Latn,Nyindrou,0,Nd,DIGIT ZERO,1633,5,"2013,2017,2018,2019,2021",18,145,1452,3,0,15
lid,Latn,lid_Latn,Nyindrou,U,Lu,LATIN CAPITAL LETTER U,1541,5,"2013,2017,2018,2020,2021",1,86,1442,0,6,6
lid,Latn,lid_Latn,Nyindrou,G,Lu,LATIN CAPITAL LETTER G,1520,3,"2017,2018,2021",0,59,1460,0,0,1
lid,Latn,lid_Latn,Nyindrou,5,Nd,DIGIT FIVE,1457,5,"2013,2017,2018,2019,2021",5,164,1272,3,0,13
lid,Latn,lid_Latn,Nyindrou,O,Lu,LATIN CAPITAL LETTER O,1412,5,"2013,2017,2018,2020,2021",2,176,1190,0,3,41
lid,Latn,lid_Latn,Nyindrou,8,Nd,DIGIT EIGHT,1365,5,"2013,2017,2018,2019,2021",3,121,1225,3,0,13
lid,Latn,lid_Latn,Nyindrou,6,Nd,DIGIT SIX,1248,5,"2013,2017,2018,2019,2021",3,145,1084,3,0,13
lid,Latn,lid_Latn,Nyindrou,7,Nd,DIGIT SEVEN,1135,6,"2013,2017,2018,2019,2020,2021",5,133,980,3,1,13
lid,Latn,lid_Latn,Nyindrou,?,Po,QUESTION MARK,1133,3,"2017,2018,2021",0,45,1073,0,0,15
lid,Latn,lid_Latn,Nyindrou,),Pe,RIGHT PARENTHESIS,1091,4,"2013,2017,2018,2020",17,280,790,0,4,0
lid,Latn,lid_Latn,Nyindrou,(,Ps,LEFT PARENTHESIS,1090,4,"2013,2017,2018,2020",17,280,789,0,4,0
lid,Latn,lid_Latn,Nyindrou,D,Lu,LATIN CAPITAL LETTER D,1089,4,"2017,2018,2020,2021",0,29,1038,0,8,14
lid,Latn,lid_Latn,Nyindrou,9,Nd,DIGIT NINE,1024,5,"2013,2017,2018,2019,2021",6,119,886,3,0,10
lid,Latn,lid_Latn,Nyindrou,C,Lu,LATIN CAPITAL LETTER C,902,1,2018,0,0,902,0,0,0
lid,Latn,lid_Latn,Nyindrou,!,Po,EXCLAMATION MARK,834,4,"2013,2017,2018,2021",1,45,774,0,0,14
lid,Latn,lid_Latn,Nyindrou,R,Lu,LATIN CAPITAL LETTER R,757,5,"2013,2017,2018,2020,2021",2,68,633,0,6,48
lid,Latn,lid_Latn,Nyindrou,W,Lu,LATIN CAPITAL LETTER W,665,2,"2017,2018",0,27,638,0,0,0
lid,Latn,lid_Latn,Nyindrou,;,Po,SEMICOLON,611,6,"2013,2017,2018,2019,2020,2021",1,78,518,3,2,9
lid,Latn,lid_Latn,Nyindrou,‘,Pi,LEFT SINGLE QUOTATION MARK,401,2,"2017,2018",0,5,396,0,0,0
lid,Latn,lid_Latn,Nyindrou,’,Pf,RIGHT SINGLE QUOTATION MARK,389,2,"2017,2018",0,5,384,0,0,0
lid,Latn,lid_Latn,Nyindrou,▼,So,BLACK DOWN-POINTING TRIANGLE,337,1,2018,0,0,337,0,0,0
lid,Latn,lid_Latn,Nyindrou,q,Ll,LATIN SMALL LETTER Q,292,2,"2017,2018",0,2,290,0,0,0
lid,Latn,lid_Latn,Nyindrou,`,Sk,GRAVE ACCENT,291,1,2018,0,0,291,0,0,0
lid,Latn,lid_Latn,Nyindrou,F,Lu,LATIN CAPITAL LETTER F,290,1,2018,0,0,290,0,0,0
lid,Latn,lid_Latn,Nyindrou,©,So,COPYRIGHT SIGN,290,1,2018,0,0,290,0,0,0
lid,Latn,lid_Latn,Nyindrou,&,Po,AMPERSAND,281,1,2018,0,0,281,0,0,0
lid,Latn,lid_Latn,Nyindrou,–,Pd,EN DASH,167,2,"2017,2018",0,103,64,0,0,0
lid,Latn,lid_Latn,Nyindrou,*,Po,ASTERISK,19,1,2017,0,19,0,0,0,0
lid,Latn,lid_Latn,Nyindrou,᥇,Nd,LIMBU DIGIT ONE,14,1,2020,0,0,0,0,14,0
lid,Latn,lid_Latn,Nyindrou,],Pe,RIGHT SQUARE BRACKET,12,2,"2017,2018",0,2,10,0,0,0
lid,Latn,lid_Latn,Nyindrou,[,Ps,LEFT SQUARE BRACKET,11,2,"2017,2018",0,2,9,0,0,0
lid,Latn,lid_Latn,Nyindrou,᥈,Nd,LIMBU DIGIT TWO,9,1,2020,0,0,0,0,9,0
lid,Latn,lid_Latn,Nyindrou,/,Po,SOLIDUS,6,1,2017,0,6,0,0,0,0
lid,Latn,lid_Latn,Nyindrou,†,Po,DAGGER,4,1,2017,0,4,0,0,0,0
lid,Latn,lid_Latn,Nyindrou,#,Po,NUMBER SIGN,3,1,2018,0,0,3,0,0,0
lid,Latn,lid_Latn,Nyindrou,᥉,Nd,LIMBU DIGIT THREE,3,1,2020,0,0,0,0,3,0
lid,Latn,lid_Latn,Nyindrou,᥊,Nd,LIMBU DIGIT FOUR,3,1,2020,0,0,0,0,3,0
lid,Latn,lid_Latn,Nyindrou,᥋,Nd,LIMBU DIGIT FIVE,3,1,2020,0,0,0,0,3,0
lid,Latn,lid_Latn,Nyindrou,‡,Po,DOUBLE DAGGER,2,1,2017,0,2,0,0,0,0
lid,Latn,lid_Latn,Nyindrou,᥌,Nd,LIMBU DIGIT SIX,2,1,2020,0,0,0,0,2,0
lid,Latn,lid_Latn,Nyindrou,᥍,Nd,LIMBU DIGIT SEVEN,2,1,2020,0,0,0,0,2,0
lid,Latn,lid_Latn,Nyindrou,᥎,Nd,LIMBU DIGIT EIGHT,2,1,2020,0,0,0,0,2,0
lid,Latn,lid_Latn,Nyindrou,᥏,Nd,LIMBU DIGIT NINE,2,1,2020,0,0,0,0,2,0
lid,Latn,lid_Latn,Nyindrou,᥆,Nd,LIMBU DIGIT ZERO,2,1,2020,0,0,0,0,2,0
lid,Latn,lid_Latn,Nyindrou,—,Pd,EM DASH,1,1,2018,0,0,1,0,0,0
