iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2017_frequency,year_2018_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency
lif,Deva,lif_Deva,Limbu,्,Mn,DEVANAGARI SIGN VIRAMA,107928,7,"2013,2014,2017,2018,2021,2022,2023",2451,323,7110,8652,47075,8179,34138
lif,Deva,lif_Deva,Limbu, ,Zs,SPACE,93592,7,"2013,2014,2017,2018,2021,2022,2023",2191,369,5830,7256,42154,6828,28964
lif,Deva,lif_Deva,Limbu,ा,Mc,DEVANAGARI VOWEL SIGN AA,68893,7,"2013,2014,2017,2018,2021,2022,2023",1531,241,4206,5710,30066,5297,21842
lif,Deva,lif_Deva,Limbu,े,Mn,DEVANAGARI VOWEL SIGN E,60102,7,"2013,2014,2017,2018,2021,2022,2023",1389,242,3744,4318,26325,4482,19602
lif,Deva,lif_Deva,Limbu,़,Mn,DEVANAGARI SIGN NUKTA,49882,7,"2013,2014,2017,2018,2021,2022,2023",1134,211,3140,3468,21898,3701,16330
lif,Deva,lif_Deva,Limbu,न,Lo,DEVANAGARI LETTER NA,39673,7,"2013,2014,2017,2018,2021,2022,2023",921,88,2783,3223,17105,3296,12257
lif,Deva,lif_Deva,Limbu,क,Lo,DEVANAGARI LETTER KA,39377,7,"2013,2014,2017,2018,2021,2022,2023",871,155,2462,3334,16943,3075,12537
lif,Deva,lif_Deva,Limbu,ङ,Lo,DEVANAGARI LETTER NGA,37958,7,"2013,2014,2017,2018,2021,2022,2023",836,85,2503,3205,16553,2962,11814
lif,Deva,lif_Deva,Limbu,म,Lo,DEVANAGARI LETTER MA,36685,7,"2013,2014,2017,2018,2021,2022,2023",818,139,2214,2691,16356,2580,11887
lif,Deva,lif_Deva,Limbu,ि,Mc,DEVANAGARI VOWEL SIGN I,36611,7,"2013,2014,2017,2018,2021,2022,2023",928,117,2489,3084,15802,2832,11359
lif,Deva,lif_Deva,Limbu,ु,Mn,DEVANAGARI VOWEL SIGN U,31603,7,"2013,2014,2017,2018,2021,2022,2023",777,131,2206,2613,13478,2464,9934
lif,Deva,lif_Deva,Limbu,ल,Lo,DEVANAGARI LETTER LA,27670,7,"2013,2014,2017,2018,2021,2022,2023",736,80,1918,2200,12253,2070,8413
lif,Deva,lif_Deva,Limbu,ॽ,Lo,DEVANAGARI LETTER GLOTTAL STOP,25029,7,"2013,2014,2017,2018,2021,2022,2023",539,43,1689,1995,11028,1837,7898
lif,Deva,lif_Deva,Limbu,स,Lo,DEVANAGARI LETTER SA,24250,7,"2013,2014,2017,2018,2021,2022,2023",610,159,1540,2189,10180,1957,7615
lif,Deva,lif_Deva,Limbu,ः,Mc,DEVANAGARI SIGN VISARGA,20875,7,"2013,2014,2017,2018,2021,2022,2023",469,78,1413,1734,9204,1673,6304
lif,Deva,lif_Deva,Limbu,ो,Mc,DEVANAGARI VOWEL SIGN O,20656,7,"2013,2014,2017,2018,2021,2022,2023",465,77,1246,1662,9236,1433,6537
lif,Deva,lif_Deva,Limbu,र,Lo,DEVANAGARI LETTER RA,18375,7,"2013,2014,2017,2018,2021,2022,2023",410,120,963,1428,8006,1288,6160
lif,Deva,lif_Deva,Limbu,प,Lo,DEVANAGARI LETTER PA,15089,7,"2013,2014,2017,2018,2021,2022,2023",323,18,858,1258,6460,1200,4972
lif,Deva,lif_Deva,Limbu,त,Lo,DEVANAGARI LETTER TA,14948,7,"2013,2014,2017,2018,2021,2022,2023",333,48,1091,1075,6491,1088,4822
lif,Deva,lif_Deva,Limbu,ब,Lo,DEVANAGARI LETTER BA,14801,7,"2013,2014,2017,2018,2021,2022,2023",301,56,895,1251,6479,1185,4634
lif,Deva,lif_Deva,Limbu,ह,Lo,DEVANAGARI LETTER HA,13598,7,"2013,2014,2017,2018,2021,2022,2023",297,63,750,1021,5979,849,4639
lif,Deva,lif_Deva,Limbu,य,Lo,DEVANAGARI LETTER YA,12412,7,"2013,2014,2017,2018,2021,2022,2023",300,135,746,909,5405,877,4040
lif,Deva,lif_Deva,Limbu,ख,Lo,DEVANAGARI LETTER KHA,11588,7,"2013,2014,2017,2018,2021,2022,2023",268,27,725,853,5050,863,3802
lif,Deva,lif_Deva,Limbu,आ,Lo,DEVANAGARI LETTER AA,11048,7,"2013,2014,2017,2018,2021,2022,2023",295,21,885,712,4980,750,3405
lif,Deva,lif_Deva,Limbu,ग,Lo,DEVANAGARI LETTER GA,10299,7,"2013,2014,2017,2018,2021,2022,2023",230,9,637,790,4581,796,3256
lif,Deva,lif_Deva,Limbu,व,Lo,DEVANAGARI LETTER VA,8790,7,"2013,2014,2017,2018,2021,2022,2023",214,66,546,805,3750,685,2724
lif,Deva,lif_Deva,Limbu,॥,Po,DEVANAGARI DOUBLE DANDA,6548,7,"2013,2014,2017,2018,2021,2022,2023",154,23,429,474,2824,494,2150
lif,Deva,lif_Deva,Limbu,द,Lo,DEVANAGARI LETTER DA,5679,7,"2013,2014,2017,2018,2021,2022,2023",98,31,316,369,2499,368,1998
lif,Deva,lif_Deva,Limbu,इ,Lo,DEVANAGARI LETTER I,5220,7,"2013,2014,2017,2018,2021,2022,2023",111,13,287,477,2293,493,1546
lif,Deva,lif_Deva,Limbu,फ,Lo,DEVANAGARI LETTER PHA,4723,7,"2013,2014,2017,2018,2021,2022,2023",126,12,362,402,2064,359,1398
lif,Deva,lif_Deva,Limbu,",",Po,COMMA,3834,7,"2013,2014,2017,2018,2021,2022,2023",83,30,292,280,1721,239,1189
lif,Deva,lif_Deva,Limbu,च,Lo,DEVANAGARI LETTER CA,3567,7,"2013,2014,2017,2018,2021,2022,2023",82,2,198,298,1620,202,1165
lif,Deva,lif_Deva,Limbu,थ,Lo,DEVANAGARI LETTER THA,3438,7,"2013,2014,2017,2018,2021,2022,2023",76,12,182,250,1587,219,1112
lif,Deva,lif_Deva,Limbu,ओ,Lo,DEVANAGARI LETTER O,3112,7,"2013,2014,2017,2018,2021,2022,2023",63,4,176,237,1304,285,1043
lif,Deva,lif_Deva,Limbu,ज,Lo,DEVANAGARI LETTER JA,3027,7,"2013,2014,2017,2018,2021,2022,2023",64,21,233,207,1322,219,961
lif,Deva,lif_Deva,Limbu,1,Nd,DIGIT ONE,2218,7,"2013,2014,2017,2018,2021,2022,2023",45,14,142,159,992,153,713
lif,Deva,lif_Deva,Limbu,भ,Lo,DEVANAGARI LETTER BHA,1795,7,"2013,2014,2017,2018,2021,2022,2023",29,1,104,146,841,84,590
lif,Deva,lif_Deva,Limbu,ध,Lo,DEVANAGARI LETTER DHA,1694,7,"2013,2014,2017,2018,2021,2022,2023",36,4,95,133,723,113,590
lif,Deva,lif_Deva,Limbu,छ,Lo,DEVANAGARI LETTER CHA,1619,7,"2013,2014,2017,2018,2021,2022,2023",43,13,130,73,697,120,543
lif,Deva,lif_Deva,Limbu,2,Nd,DIGIT TWO,1529,7,"2013,2014,2017,2018,2021,2022,2023",38,9,99,98,693,91,501
lif,Deva,lif_Deva,Limbu,घ,Lo,DEVANAGARI LETTER GHA,1500,6,"2013,2017,2018,2021,2022,2023",47,0,87,127,619,136,484
lif,Deva,lif_Deva,Limbu,ए,Lo,DEVANAGARI LETTER E,1486,7,"2013,2014,2017,2018,2021,2022,2023",27,11,93,126,647,97,485
lif,Deva,lif_Deva,Limbu,3,Nd,DIGIT THREE,964,7,"2013,2014,2017,2018,2021,2022,2023",31,3,69,38,431,53,339
lif,Deva,lif_Deva,Limbu,अ,Lo,DEVANAGARI LETTER A,913,7,"2013,2014,2017,2018,2021,2022,2023",12,16,31,38,442,44,330
lif,Deva,lif_Deva,Limbu,4,Nd,DIGIT FOUR,650,7,"2013,2014,2017,2018,2021,2022,2023",14,3,46,30,285,43,229
lif,Deva,lif_Deva,Limbu,“,Pi,LEFT DOUBLE QUOTATION MARK,625,7,"2013,2014,2017,2018,2021,2022,2023",13,1,48,12,293,48,210
lif,Deva,lif_Deva,Limbu,”,Pf,RIGHT DOUBLE QUOTATION MARK,621,7,"2013,2014,2017,2018,2021,2022,2023",12,1,48,12,290,48,210
lif,Deva,lif_Deva,Limbu,5,Nd,DIGIT FIVE,535,7,"2013,2014,2017,2018,2021,2022,2023",12,3,33,30,235,42,180
lif,Deva,lif_Deva,Limbu,6,Nd,DIGIT SIX,478,7,"2013,2014,2017,2018,2021,2022,2023",11,2,30,27,212,40,156
lif,Deva,lif_Deva,Limbu,7,Nd,DIGIT SEVEN,461,7,"2013,2014,2017,2018,2021,2022,2023",10,2,31,26,202,39,151
lif,Deva,lif_Deva,Limbu,8,Nd,DIGIT EIGHT,440,7,"2013,2014,2017,2018,2021,2022,2023",10,2,30,25,197,30,146
lif,Deva,lif_Deva,Limbu,0,Nd,DIGIT ZERO,424,7,"2013,2014,2017,2018,2021,2022,2023",12,2,26,24,197,27,136
lif,Deva,lif_Deva,Limbu,9,Nd,DIGIT NINE,422,7,"2013,2014,2017,2018,2021,2022,2023",13,2,30,25,188,28,136
lif,Deva,lif_Deva,Limbu,?,Po,QUESTION MARK,325,6,"2013,2017,2018,2021,2022,2023",8,0,28,6,181,10,92
lif,Deva,lif_Deva,Limbu,१,Nd,DEVANAGARI DIGIT ONE,270,6,"2014,2017,2018,2021,2022,2023",0,3,8,135,15,93,16
lif,Deva,lif_Deva,Limbu,उ,Lo,DEVANAGARI LETTER U,241,7,"2013,2014,2017,2018,2021,2022,2023",10,11,18,16,94,12,80
lif,Deva,lif_Deva,Limbu,-,Pd,HYPHEN-MINUS,232,6,"2014,2017,2018,2021,2022,2023",0,3,2,78,33,70,46
lif,Deva,lif_Deva,Limbu,!,Po,EXCLAMATION MARK,178,6,"2013,2017,2018,2021,2022,2023",5,0,11,8,85,14,55
lif,Deva,lif_Deva,Limbu,.,Po,FULL STOP,176,6,"2013,2017,2018,2021,2022,2023",8,0,6,82,11,65,4
lif,Deva,lif_Deva,Limbu,(,Ps,LEFT PARENTHESIS,157,6,"2014,2017,2018,2021,2022,2023",0,8,9,7,71,6,56
lif,Deva,lif_Deva,Limbu,),Pe,RIGHT PARENTHESIS,157,6,"2014,2017,2018,2021,2022,2023",0,8,9,7,71,6,56
lif,Deva,lif_Deva,Limbu,‘,Pi,LEFT SINGLE QUOTATION MARK,148,5,"2014,2017,2021,2022,2023",0,2,16,0,64,8,58
lif,Deva,lif_Deva,Limbu,’,Pf,RIGHT SINGLE QUOTATION MARK,148,5,"2014,2017,2021,2022,2023",0,2,16,0,64,8,58
