iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
lij,Latn,lij_Latn,Ligurian, ,Zs,SPACE,1733836,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",7060,20450,22712,18601,168480,78025,130473,167630,173581,169639,681284,95901
lij,Latn,lij_Latn,Ligurian,a,Ll,LATIN SMALL LETTER A,991183,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",5974,17004,16830,11975,84585,43704,81349,117182,111502,89358,350559,61161
lij,Latn,lij_Latn,Ligurian,e,Ll,LATIN SMALL LETTER E,949454,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",4766,14324,14884,11418,78325,45246,76302,111523,101427,80059,357491,53689
lij,Latn,lij_Latn,Ligurian,i,Ll,LATIN SMALL LETTER I,909787,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",5576,16901,16408,11924,77278,42050,77453,112470,105660,91418,297300,55349
lij,Latn,lij_Latn,Ligurian,o,Ll,LATIN SMALL LETTER O,740639,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3819,11693,12521,9084,49043,30569,57769,89779,81616,68106,282886,43754
lij,Latn,lij_Latn,Ligurian,n,Ll,LATIN SMALL LETTER N,704064,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",4166,11905,11491,8439,52112,30636,58493,85926,77511,69209,248475,45701
lij,Latn,lij_Latn,Ligurian,t,Ll,LATIN SMALL LETTER T,560188,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",3030,9368,9303,6941,41313,24132,47043,69127,66051,57510,190624,35746
lij,Latn,lij_Latn,Ligurian,r,Ll,LATIN SMALL LETTER R,515361,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2679,7805,7740,5926,41786,27317,42796,60961,58951,47563,181150,30687
lij,Latn,lij_Latn,Ligurian,s,Ll,LATIN SMALL LETTER S,477141,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2943,8334,7904,6024,40439,21209,39541,61628,51288,41213,169074,27544
lij,Latn,lij_Latn,Ligurian,c,Ll,LATIN SMALL LETTER C,371842,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1796,5045,5270,4181,34720,16333,29605,42791,39586,34413,134149,23953
lij,Latn,lij_Latn,Ligurian,l,Ll,LATIN SMALL LETTER L,357025,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2206,6096,5556,3953,29083,17779,25980,42564,41331,35261,124605,22611
lij,Latn,lij_Latn,Ligurian,d,Ll,LATIN SMALL LETTER D,306460,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1695,5116,5275,3991,25960,13352,24826,35599,33520,27164,110288,19674
lij,Latn,lij_Latn,Ligurian,u,Ll,LATIN SMALL LETTER U,286881,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1807,4496,4047,3643,37366,13077,27549,32300,31528,23051,90985,17032
lij,Latn,lij_Latn,Ligurian,m,Ll,LATIN SMALL LETTER M,257404,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1280,3711,4052,3155,19603,10437,21236,30675,29538,22889,95452,15376
