iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
lin,Latn,lin_Latn,Lingala, ,Zs,SPACE,9505894,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",37706,61072,74956,92925,2434577,1393711,752181,1276579,1618121,720042,878797,165227
lin,Latn,lin_Latn,Lingala,a,Ll,LATIN SMALL LETTER A,6214402,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",28612,34811,51615,69084,1696335,794722,440767,760516,1025891,489983,691315,130751
lin,Latn,lin_Latn,Lingala,o,Ll,LATIN SMALL LETTER O,4087482,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",19919,22843,34876,45933,1103460,524782,296817,516325,677497,315532,443081,86417
lin,Latn,lin_Latn,Lingala,e,Ll,LATIN SMALL LETTER E,3882577,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",14483,23538,27246,35079,848537,494211,354217,630430,744441,319016,329548,61831
lin,Latn,lin_Latn,Lingala,i,Ll,LATIN SMALL LETTER I,3350286,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",14394,19814,27951,35811,826025,437671,268083,470601,590582,270836,325592,62926
lin,Latn,lin_Latn,Lingala,n,Ll,LATIN SMALL LETTER N,3233633,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",14616,19084,26411,34819,814213,405724,251167,438600,565825,264978,335150,63046
lin,Latn,lin_Latn,Lingala,l,Ll,LATIN SMALL LETTER L,2065364,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",9222,12362,17860,23344,507555,254458,166240,290240,366307,168120,209557,40099
lin,Latn,lin_Latn,Lingala,m,Ll,LATIN SMALL LETTER M,1949511,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",8746,10613,16782,22690,523595,242799,140885,248710,323003,150869,218840,41979
lin,Latn,lin_Latn,Lingala,s,Ll,LATIN SMALL LETTER S,1934384,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",8076,12362,14423,18399,410332,230476,180476,319518,380329,163469,165571,30953
lin,Latn,lin_Latn,Lingala,t,Ll,LATIN SMALL LETTER T,1751989,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",6830,10991,13340,17010,370912,212087,161644,287522,342795,150644,150483,27731
lin,Latn,lin_Latn,Lingala,k,Ll,LATIN SMALL LETTER K,1657694,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",9282,8559,16421,22472,539987,218458,89007,144589,229619,122967,216212,40121
lin,Latn,lin_Latn,Lingala,b,Ll,LATIN SMALL LETTER B,1519485,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",7329,8244,12920,18110,443320,202002,97505,162924,233104,117496,181611,34920
